"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","2,775.0","2,739.5","2,799.0","2,727.0","580.74K","1.76%"
"Nov 26, 2020","2,727.0","2,641.0","2,734.5","2,634.5","856.06K","3.57%"
"Nov 25, 2020","2,633.0","2,614.5","2,635.0","2,580.0","437.47K","0.80%"
"Nov 24, 2020","2,612.0","2,639.5","2,649.5","2,590.0","462.71K","-0.95%"
"Nov 23, 2020","2,637.0","2,673.5","2,709.0","2,606.0","527.78K","-1.42%"
"Nov 20, 2020","2,675.0","2,706.0","2,725.0","2,657.5","304.02K","-1.65%"
"Nov 19, 2020","2,720.0","2,746.5","2,747.0","2,700.0","221.26K","-0.33%"
"Nov 18, 2020","2,729.0","2,738.5","2,748.5","2,700.0","277.16K","-0.02%"
"Nov 17, 2020","2,729.5","2,772.0","2,784.0","2,703.0","217.96K","-1.53%"
"Nov 16, 2020","2,772.0","2,798.0","2,812.0","2,755.0","307.72K","-0.16%"
"Nov 13, 2020","2,776.5","2,800.0","2,810.0","2,740.0","182.40K","-0.29%"
"Nov 12, 2020","2,784.5","2,734.0","2,815.5","2,700.0","425.74K","1.87%"
"Nov 11, 2020","2,733.5","2,805.0","2,829.0","2,658.0","445.16K","-3.14%"
"Nov 10, 2020","2,822.0","2,861.0","2,875.0","2,774.5","280.22K","-0.67%"
"Nov 09, 2020","2,841.0","2,860.5","2,897.5","2,804.0","571.57K","-0.19%"
"Nov 06, 2020","2,846.5","2,819.0","2,866.5","2,804.0","233.18K","0.62%"
"Nov 05, 2020","2,829.0","2,855.0","2,890.5","2,804.5","528.37K","-0.39%"
"Nov 03, 2020","2,840.0","2,826.5","2,893.5","2,788.0","249.15K","-0.56%"
"Nov 02, 2020","2,856.0","2,788.0","2,878.0","2,729.0","185.30K","2.86%"
"Oct 30, 2020","2,776.5","2,775.0","2,820.0","2,701.0","192.84K","-0.16%"
"Oct 29, 2020","2,781.0","2,838.5","2,838.5","2,741.0","203.30K","-0.57%"
"Oct 28, 2020","2,797.0","2,829.5","2,847.5","2,701.5","442.73K","-0.97%"
"Oct 27, 2020","2,824.5","2,861.5","2,914.0","2,782.5","447.01K","-2.01%"
"Oct 26, 2020","2,882.5","2,999.0","3,087.0","2,840.5","398.25K","-3.74%"
"Oct 23, 2020","2,994.5","2,972.0","2,996.5","2,930.0","156.43K","0.86%"
"Oct 22, 2020","2,969.0","2,964.0","2,989.0","2,926.0","159.28K","0.15%"
"Oct 21, 2020","2,964.5","3,030.0","3,030.0","2,944.0","184.75K","-1.98%"
"Oct 20, 2020","3,024.5","3,119.5","3,134.5","3,001.0","147.06K","-3.03%"
"Oct 19, 2020","3,119.0","3,081.0","3,140.0","3,050.5","150.85K","1.60%"
"Oct 16, 2020","3,070.0","2,991.5","3,087.0","2,990.0","252.73K","2.16%"
"Oct 15, 2020","3,005.0","3,038.0","3,052.0","2,963.0","180.74K","-0.87%"
"Oct 14, 2020","3,031.5","2,897.5","3,036.5","2,884.5","235.82K","5.26%"
"Oct 13, 2020","2,880.0","2,939.5","2,988.0","2,873.0","169.87K","-2.54%"
"Oct 12, 2020","2,955.0","2,834.5","2,955.0","2,821.0","209.54K","4.60%"
"Oct 09, 2020","2,825.0","2,859.5","2,865.0","2,810.0","111.20K","-0.70%"
"Oct 08, 2020","2,845.0","2,881.0","2,905.0","2,834.0","77.16K","-0.82%"
"Oct 07, 2020","2,868.5","2,892.5","2,904.0","2,815.5","205.08K","-1.34%"
"Oct 06, 2020","2,907.5","2,930.0","2,937.5","2,880.0","115.10K","-0.26%"
"Oct 05, 2020","2,915.0","2,890.0","2,938.5","2,850.5","165.77K","1.57%"
"Oct 02, 2020","2,870.0","2,844.0","2,897.5","2,832.0","101.96K","1.00%"
"Oct 01, 2020","2,841.5","2,887.5","2,902.5","2,806.0","168.09K","-1.59%"
"Sep 30, 2020","2,887.5","2,928.5","2,947.0","2,870.5","129.66K","-1.69%"
"Sep 29, 2020","2,937.0","2,950.0","2,960.0","2,895.0","151.29K","-0.74%"
"Sep 28, 2020","2,959.0","2,982.5","3,015.0","2,921.0","159.01K","-0.20%"
"Sep 25, 2020","2,965.0","2,990.5","3,009.5","2,928.0","230.54K","-1.15%"
"Sep 24, 2020","2,999.5","2,979.0","3,031.0","2,947.0","304.52K","1.52%"
"Sep 23, 2020","2,954.5","2,901.0","3,050.0","2,870.0","379.36K","2.13%"
"Sep 22, 2020","2,893.0","2,824.0","2,960.0","2,824.0","235.83K","1.81%"
"Sep 21, 2020","2,841.5","2,828.0","2,850.0","2,806.0","253.88K","0.71%"
"Sep 18, 2020","2,821.5","2,810.0","2,861.0","2,786.0","303.26K","0.43%"
"Sep 17, 2020","2,809.5","2,662.0","2,826.0","2,662.0","505.70K","4.73%"
"Sep 16, 2020","2,682.5","2,699.5","2,727.0","2,643.0","222.13K","-0.54%"
"Sep 15, 2020","2,697.0","2,637.0","2,700.0","2,608.0","253.93K","2.82%"
"Sep 14, 2020","2,623.0","2,613.5","2,648.5","2,593.5","138.96K","0.98%"
"Sep 11, 2020","2,597.5","2,617.5","2,619.5","2,561.5","184.64K","-0.42%"
"Sep 10, 2020","2,608.5","2,591.0","2,620.5","2,585.0","109.95K","0.21%"
"Sep 09, 2020","2,603.0","2,675.0","2,700.0","2,585.0","173.17K","-2.98%"
"Sep 08, 2020","2,683.0","2,639.5","2,709.5","2,627.0","257.53K","1.65%"
"Sep 07, 2020","2,639.5","2,679.0","2,679.0","2,622.0","116.30K","-1.22%"
"Sep 04, 2020","2,672.0","2,663.5","2,694.0","2,623.0","110.15K","0.53%"
"Sep 03, 2020","2,658.0","2,684.5","2,684.5","2,626.5","146.98K","-0.11%"
"Sep 02, 2020","2,661.0","2,604.0","2,704.5","2,591.5","213.59K","1.49%"
"Sep 01, 2020","2,622.0","2,706.0","2,706.0","2,577.0","276.69K","-1.94%"
"Aug 31, 2020","2,674.0","2,724.5","2,750.0","2,663.0","369.25K","-1.44%"
"Aug 28, 2020","2,713.0","2,796.0","2,796.0","2,690.0","145.90K","-2.20%"
"Aug 27, 2020","2,774.0","2,840.0","2,840.0","2,766.0","167.81K","-2.22%"
"Aug 26, 2020","2,837.0","2,839.0","2,853.0","2,820.0","80.06K","-0.32%"
"Aug 25, 2020","2,846.0","2,868.5","2,884.5","2,821.0","69.24K","-0.70%"
"Aug 24, 2020","2,866.0","2,790.5","2,875.0","2,790.5","143.60K","2.72%"
"Aug 21, 2020","2,790.0","2,829.5","2,834.0","2,772.5","128.66K","-0.99%"
"Aug 20, 2020","2,818.0","2,807.0","2,830.0","2,788.0","68.43K","0.43%"
"Aug 19, 2020","2,806.0","2,829.0","2,882.0","2,795.0","205.92K","-0.50%"
"Aug 18, 2020","2,820.0","2,810.5","2,838.0","2,775.0","167.64K","-0.09%"
"Aug 17, 2020","2,822.5","2,838.0","2,838.0","2,785.5","129.27K","-0.19%"
"Aug 14, 2020","2,828.0","2,875.0","2,887.0","2,806.0","193.53K","-1.31%"
"Aug 13, 2020","2,865.5","2,804.5","2,889.0","2,804.5","363.87K","2.27%"
"Aug 12, 2020","2,802.0","2,818.5","2,840.0","2,751.0","221.02K","-0.46%"
"Aug 11, 2020","2,815.0","2,827.0","2,860.0","2,802.0","139.35K","-0.78%"
"Aug 10, 2020","2,837.0","2,840.5","2,877.5","2,804.0","95.03K","-0.26%"
"Aug 07, 2020","2,844.5","2,845.5","2,859.0","2,820.0","111.95K","-0.16%"
"Aug 06, 2020","2,849.0","2,839.5","2,850.0","2,812.0","99.07K","0.78%"
"Aug 05, 2020","2,827.0","2,827.0","2,838.5","2,797.0","177.71K","0.25%"
"Aug 04, 2020","2,820.0","2,805.0","2,822.5","2,770.0","106.68K","1.81%"
"Aug 03, 2020","2,770.0","2,780.0","2,829.5","2,601.0","92.58K","-0.36%"
"Jul 31, 2020","2,780.0","2,795.5","2,824.5","2,772.5","88.17K","-0.36%"
"Jul 30, 2020","2,790.0","2,850.0","2,875.0","2,770.0","147.70K","-1.74%"
"Jul 29, 2020","2,839.5","2,870.0","2,870.0","2,794.5","175.36K","-1.03%"
"Jul 28, 2020","2,869.0","2,760.5","2,869.0","2,760.5","201.65K","3.20%"
"Jul 27, 2020","2,780.0","2,790.0","2,798.0","2,760.0","144.78K","-0.36%"
"Jul 24, 2020","2,790.0","2,777.5","2,796.5","2,720.5","168.91K","0.36%"
"Jul 23, 2020","2,780.0","2,727.5","2,785.0","2,713.5","138.17K","2.62%"
"Jul 22, 2020","2,709.0","2,661.0","2,739.5","2,640.5","257.00K","2.05%"
"Jul 21, 2020","2,654.5","2,520.0","2,665.0","2,520.0","342.77K","5.42%"
"Jul 20, 2020","2,518.0","2,521.0","2,521.0","2,475.0","215.43K","-0.14%"
"Jul 17, 2020","2,521.5","2,544.5","2,564.0","2,504.5","192.04K","-0.77%"
"Jul 16, 2020","2,541.0","2,502.5","2,541.0","2,444.0","177.85K","1.93%"
"Jul 15, 2020","2,493.0","2,491.0","2,505.5","2,455.5","180.08K","0.73%"
"Jul 14, 2020","2,475.0","2,497.5","2,507.0","2,430.5","196.73K","-1.37%"
"Jul 13, 2020","2,509.5","2,536.5","2,578.0","2,474.0","119.70K","-1.57%"
"Jul 10, 2020","2,549.5","2,508.5","2,549.5","2,460.0","154.92K","1.61%"
"Jul 09, 2020","2,509.0","2,558.5","2,558.5","2,461.5","347.30K","-1.12%"
"Jul 08, 2020","2,537.5","2,615.0","2,615.0","2,523.0","182.07K","-2.72%"
"Jul 07, 2020","2,608.5","2,601.5","2,679.0","2,587.5","263.49K","0.08%"
"Jul 06, 2020","2,606.5","2,571.0","2,660.0","2,545.0","219.49K","1.58%"
"Jul 03, 2020","2,566.0","2,515.0","2,576.5","2,500.0","86.70K","2.13%"
"Jul 02, 2020","2,512.5","2,502.5","2,535.0","2,502.5","156.59K","0.42%"
"Jun 30, 2020","2,502.0","2,494.0","2,564.0","2,490.0","236.28K","-0.64%"
"Jun 29, 2020","2,518.0","2,486.0","2,540.0","2,460.5","220.67K","1.45%"
"Jun 26, 2020","2,482.0","2,420.0","2,492.0","2,420.0","306.02K","2.60%"
"Jun 25, 2020","2,419.0","2,343.0","2,429.0","2,343.0","345.11K","2.11%"
"Jun 23, 2020","2,369.0","2,341.5","2,375.0","2,325.0","189.63K","0.77%"
"Jun 22, 2020","2,351.0","2,276.5","2,362.5","2,222.0","335.49K","3.00%"
"Jun 19, 2020","2,282.5","2,270.5","2,289.5","2,235.5","252.95K","0.68%"
"Jun 18, 2020","2,267.0","2,250.5","2,289.0","2,232.0","391.76K","0.31%"
"Jun 17, 2020","2,260.0","2,300.5","2,337.0","2,260.0","183.62K","-2.61%"
"Jun 16, 2020","2,320.5","2,350.0","2,369.5","2,305.0","265.09K","-0.39%"
"Jun 15, 2020","2,329.5","2,352.0","2,398.0","2,280.0","473.64K","-0.66%"
"Jun 11, 2020","2,345.0","2,175.0","2,421.0","2,166.0","1.23M","7.15%"
"Jun 10, 2020","2,188.5","2,075.0","2,204.5","2,070.5","999.62K","5.70%"
"Jun 09, 2020","2,070.5","2,123.0","2,130.5","2,052.0","377.21K","-2.33%"
"Jun 08, 2020","2,120.0","2,130.0","2,140.0","2,105.5","268.79K","-0.28%"
"Jun 05, 2020","2,126.0","2,137.0","2,154.0","2,093.5","290.14K","0.05%"
"Jun 04, 2020","2,125.0","2,162.5","2,162.5","2,100.0","270.78K","-1.76%"
"Jun 03, 2020","2,163.0","2,180.5","2,185.0","2,131.5","297.99K","-0.78%"
"Jun 02, 2020","2,180.0","2,119.0","2,180.0","2,106.5","297.03K","3.64%"
"Jun 01, 2020","2,103.5","2,037.0","2,128.0","2,037.0","313.65K","0.69%"
"May 29, 2020","2,089.0","2,190.0","2,190.0","2,080.0","936.93K","-4.59%"
"May 28, 2020","2,189.5","2,149.0","2,195.0","2,135.0","352.14K","-2.21%"
