"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","185.90","185.04","186.75","182.56","50.01M","0.20%"
"Nov 26, 2020","185.52","188.24","189.10","184.60","45.76M","-1.33%"
"Nov 25, 2020","188.03","187.00","188.76","185.85","51.15M","0.68%"
"Nov 24, 2020","186.76","185.09","187.30","183.97","60.74M","1.42%"
"Nov 23, 2020","184.15","183.62","185.63","182.77","41.08M","0.51%"
"Nov 20, 2020","183.21","184.10","184.36","182.10","31.88M","-0.52%"
"Nov 19, 2020","184.16","185.20","185.88","181.92","53.23M","-0.45%"
"Nov 18, 2020","185.00","182.20","187.69","180.80","69.13M","1.15%"
"Nov 17, 2020","182.90","185.05","185.31","178.83","99.35M","-1.31%"
"Nov 16, 2020","185.32","181.01","185.62","180.30","89.65M","2.78%"
"Nov 13, 2020","180.30","172.90","181.27","172.42","104.62M","4.27%"
"Nov 12, 2020","172.91","170.00","175.30","169.75","72.00M","1.40%"
"Nov 11, 2020","170.53","173.50","175.15","170.26","72.04M","-1.38%"
"Nov 10, 2020","172.92","169.03","173.64","167.63","76.69M","1.64%"
"Nov 09, 2020","170.13","166.72","171.50","164.90","103.45M","3.16%"
"Nov 06, 2020","164.92","163.00","165.84","161.52","51.68M","0.75%"
"Nov 05, 2020","163.70","163.80","165.25","161.99","73.28M","1.62%"
"Nov 03, 2020","161.09","158.21","161.92","157.44","71.12M","2.12%"
"Nov 02, 2020","157.74","153.98","157.98","151.90","69.73M","2.24%"
"Oct 30, 2020","154.28","155.00","156.20","154.08","42.72M","-1.57%"
"Oct 29, 2020","156.74","155.01","157.30","154.20","52.78M","1.58%"
"Oct 28, 2020","154.30","158.98","158.99","153.70","86.90M","-3.08%"
"Oct 27, 2020","159.21","162.11","162.62","158.21","58.29M","-1.83%"
"Oct 26, 2020","162.17","164.44","164.96","161.10","53.50M","-1.69%"
"Oct 23, 2020","164.96","165.15","165.88","164.39","32.93M","-0.19%"
"Oct 22, 2020","165.27","163.87","166.53","163.66","39.97M","0.55%"
"Oct 21, 2020","164.37","166.80","167.30","163.87","36.69M","-1.30%"
"Oct 20, 2020","166.53","163.74","167.12","162.80","50.48M","1.79%"
"Oct 19, 2020","163.60","165.00","165.60","163.00","34.06M","-0.23%"
"Oct 16, 2020","163.98","167.24","167.25","163.56","50.42M","-1.90%"
"Oct 15, 2020","167.16","166.87","168.85","166.00","39.90M","-0.05%"
"Oct 14, 2020","167.24","166.68","167.63","165.71","26.69M","0.52%"
"Oct 13, 2020","166.37","169.13","169.47","165.82","34.70M","-1.59%"
"Oct 12, 2020","169.05","167.50","169.80","166.87","38.97M","1.25%"
"Oct 09, 2020","166.97","167.80","168.19","165.77","41.54M","-0.27%"
"Oct 08, 2020","167.43","168.19","168.86","166.15","36.67M","-0.48%"
"Oct 07, 2020","168.23","171.75","172.26","167.04","65.84M","-1.82%"
"Oct 06, 2020","171.35","170.70","173.41","170.50","64.13M","0.42%"
"Oct 05, 2020","170.64","170.11","170.88","168.58","37.44M","0.69%"
"Oct 02, 2020","169.47","167.38","169.95","167.22","40.35M","0.64%"
"Oct 01, 2020","168.40","171.16","171.40","167.97","60.36M","-0.92%"
"Sep 30, 2020","169.97","171.04","171.98","169.80","48.63M","-0.86%"
"Sep 29, 2020","171.44","172.75","173.47","170.00","48.79M","-0.75%"
"Sep 28, 2020","172.74","174.20","175.38","171.29","50.55M","-0.59%"
"Sep 25, 2020","173.77","175.10","175.17","169.60","96.33M","-0.26%"
"Sep 24, 2020","174.23","176.00","178.49","171.90","49.89M","-1.56%"
"Sep 23, 2020","177.00","179.82","180.37","176.81","31.92M","-1.12%"
"Sep 22, 2020","179.00","176.51","180.90","176.42","36.41M","1.03%"
"Sep 21, 2020","177.17","181.37","181.37","175.36","41.36M","-2.40%"
"Sep 18, 2020","181.52","184.40","184.70","181.34","45.24M","-1.29%"
"Sep 17, 2020","183.90","181.80","184.84","180.34","49.88M","0.35%"
"Sep 16, 2020","183.26","182.67","184.16","181.35","37.43M","0.57%"
"Sep 15, 2020","182.22","178.03","182.95","178.01","42.49M","2.26%"
