"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","21,720.0","21,604.0","21,852.0","21,458.0","215.05K","0.70%"
"Nov 26, 2020","21,570.0","21,500.0","21,660.0","21,450.0","203.31K","0.51%"
"Nov 25, 2020","21,460.0","21,550.0","21,630.0","21,248.0","260.99K","-0.55%"
"Nov 24, 2020","21,578.0","21,100.0","21,592.0","21,050.0","279.92K","2.62%"
"Nov 23, 2020","21,028.0","20,764.0","21,094.0","20,764.0","342.65K","1.42%"
"Nov 20, 2020","20,734.0","20,640.0","20,784.0","20,568.0","114.73K","0.36%"
"Nov 19, 2020","20,660.0","20,700.0","20,788.0","20,606.0","169.83K","-0.29%"
"Nov 18, 2020","20,720.0","20,570.0","20,850.0","20,480.0","193.06K","0.57%"
"Nov 17, 2020","20,602.0","20,772.0","20,790.0","20,420.0","214.31K","-0.86%"
"Nov 16, 2020","20,780.0","20,600.0","20,832.0","20,580.0","242.44K","1.44%"
"Nov 13, 2020","20,486.0","20,530.0","20,538.0","20,156.0","247.14K","0.19%"
"Nov 12, 2020","20,448.0","20,500.0","20,610.0","20,402.0","154.17K","-0.30%"
"Nov 11, 2020","20,510.0","20,660.0","20,758.0","20,382.0","328.00K","-0.56%"
"Nov 10, 2020","20,626.0","20,620.0","20,788.0","20,312.0","361.48K","0.17%"
"Nov 09, 2020","20,590.0","20,348.0","20,888.0","20,272.0","558.98K","2.24%"
"Nov 06, 2020","20,138.0","19,670.0","20,200.0","19,584.0","341.67K","2.31%"
"Nov 05, 2020","19,684.0","19,612.0","19,818.0","19,526.0","267.18K","0.88%"
"Nov 03, 2020","19,512.0","19,360.0","19,598.0","19,150.0","347.17K","0.92%"
"Nov 02, 2020","19,334.0","18,892.0","19,374.0","18,734.0","225.67K","2.49%"
"Oct 30, 2020","18,864.0","18,898.0","19,112.0","18,654.0","234.71K","-0.71%"
"Oct 29, 2020","18,998.0","18,700.0","19,082.0","18,486.0","253.39K","2.43%"
"Oct 28, 2020","18,548.0","19,104.0","19,210.0","18,400.0","377.21K","-3.14%"
"Oct 27, 2020","19,150.0","19,502.0","19,526.0","19,100.0","293.32K","-1.87%"
"Oct 26, 2020","19,514.0","19,780.0","19,838.0","19,420.0","280.46K","-1.63%"
"Oct 23, 2020","19,838.0","19,716.0","19,966.0","19,540.0","198.87K","0.84%"
"Oct 22, 2020","19,672.0","19,788.0","19,850.0","19,504.0","251.58K","-0.79%"
"Oct 21, 2020","19,828.0","20,200.0","20,368.0","19,754.0","289.89K","-1.80%"
"Oct 20, 2020","20,192.0","19,920.0","20,276.0","19,832.0","318.77K","1.68%"
"Oct 19, 2020","19,858.0","19,702.0","19,988.0","19,672.0","224.03K","0.89%"
"Oct 16, 2020","19,682.0","19,674.0","19,826.0","19,604.0","219.17K","0.01%"
"Oct 15, 2020","19,680.0","19,732.0","19,786.0","19,500.0","206.07K","-0.57%"
"Oct 14, 2020","19,792.0","19,658.0","19,880.0","19,580.0","165.70K","0.96%"
"Oct 13, 2020","19,604.0","19,568.0","19,818.0","19,440.0","250.93K","0.36%"
"Oct 12, 2020","19,534.0","19,400.0","19,822.0","19,284.0","323.83K","0.43%"
"Oct 09, 2020","19,450.0","18,988.0","19,488.0","18,820.0","410.35K","2.78%"
"Oct 08, 2020","18,924.0","18,664.0","18,996.0","18,562.0","203.88K","1.45%"
"Oct 07, 2020","18,654.0","18,808.0","18,900.0","18,554.0","261.21K","-0.68%"
"Oct 06, 2020","18,782.0","19,300.0","19,480.0","18,746.0","363.43K","-2.59%"
"Oct 05, 2020","19,282.0","18,904.0","19,288.0","18,768.0","320.85K","2.35%"
"Oct 02, 2020","18,840.0","18,698.0","18,916.0","18,420.0","286.64K","0.61%"
"Oct 01, 2020","18,726.0","18,850.0","18,942.0","18,708.0","149.73K","-0.19%"
"Sep 30, 2020","18,762.0","18,716.0","18,916.0","18,648.0","158.03K","-0.20%"
"Sep 29, 2020","18,800.0","18,800.0","18,868.0","18,570.0","171.86K","-0.14%"
"Sep 28, 2020","18,826.0","18,900.0","19,010.0","18,716.0","178.18K","-0.33%"
"Sep 25, 2020","18,888.0","18,850.0","18,930.0","18,556.0","224.68K","0.58%"
"Sep 24, 2020","18,780.0","18,780.0","18,880.0","18,592.0","258.00K","-0.42%"
"Sep 23, 2020","18,860.0","18,750.0","19,286.0","18,682.0","328.75K","0.54%"
"Sep 22, 2020","18,758.0","18,690.0","18,868.0","18,490.0","291.37K","0.34%"
"Sep 21, 2020","18,694.0","19,276.0","19,336.0","18,542.0","449.90K","-3.14%"
"Sep 18, 2020","19,300.0","19,432.0","19,512.0","19,252.0","263.14K","-0.36%"
"Sep 17, 2020","19,370.0","19,168.0","19,498.0","19,054.0","373.10K","0.52%"
"Sep 16, 2020","19,270.0","19,570.0","19,588.0","19,086.0","687.27K","-1.85%"
"Sep 15, 2020","19,634.0","19,502.0","19,776.0","19,450.0","470.62K","0.73%"
"Sep 14, 2020","19,492.0","19,446.0","19,620.0","19,410.0","245.15K","0.71%"
"Sep 11, 2020","19,354.0","19,500.0","19,520.0","19,174.0","309.46K","-0.89%"
"Sep 10, 2020","19,528.0","19,704.0","19,804.0","19,378.0","250.53K","-0.91%"
"Sep 09, 2020","19,708.0","19,842.0","19,900.0","19,602.0","172.05K","-0.92%"
"Sep 08, 2020","19,890.0","20,050.0","20,178.0","19,680.0","285.59K","-0.58%"
"Sep 07, 2020","20,006.0","19,910.0","20,052.0","19,814.0","116.64K","0.41%"
"Sep 04, 2020","19,924.0","19,812.0","20,004.0","19,628.0","269.14K","0.43%"
"Sep 03, 2020","19,838.0","19,916.0","20,142.0","19,786.0","276.76K","-0.39%"
"Sep 02, 2020","19,916.0","19,968.0","20,238.0","19,526.0","642.62K","-0.07%"
"Sep 01, 2020","19,930.0","19,450.0","19,944.0","19,332.0","379.66K","2.76%"
"Aug 31, 2020","19,394.0","19,442.0","19,672.0","19,250.0","402.70K","0.15%"
"Aug 28, 2020","19,364.0","19,712.0","19,770.0","19,300.0","285.18K","-1.56%"
"Aug 27, 2020","19,670.0","20,000.0","20,020.0","19,602.0","249.05K","-1.53%"
"Aug 26, 2020","19,976.0","19,804.0","20,070.0","19,600.0","269.59K","0.74%"
"Aug 25, 2020","19,830.0","20,050.0","20,130.0","19,692.0","189.39K","-0.85%"
"Aug 24, 2020","20,000.0","20,048.0","20,172.0","19,818.0","214.05K","0.29%"
"Aug 21, 2020","19,942.0","20,048.0","20,134.0","19,570.0","310.17K","-0.23%"
"Aug 20, 2020","19,988.0","20,440.0","20,440.0","19,808.0","439.09K","-2.50%"
"Aug 19, 2020","20,500.0","20,752.0","20,820.0","20,450.0","286.29K","-1.43%"
"Aug 18, 2020","20,798.0","20,690.0","20,918.0","20,504.0","214.40K","0.42%"
"Aug 17, 2020","20,710.0","20,850.0","21,098.0","20,540.0","289.27K","-0.37%"
"Aug 14, 2020","20,786.0","20,864.0","20,930.0","20,610.0","173.89K","-0.69%"
"Aug 13, 2020","20,930.0","20,790.0","21,136.0","20,678.0","385.99K","0.77%"
"Aug 12, 2020","20,770.0","20,418.0","20,822.0","20,308.0","335.36K","1.68%"
