"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","5.23","5.23","5.27","5.18","368.95M","0.00%"
"Nov 26, 2020","5.22","5.17","5.25","5.14","272.99M","1.36%"
"Nov 25, 2020","5.16","5.19","5.20","5.12","278.16M","-0.67%"
"Nov 24, 2020","5.19","5.21","5.22","5.16","153.40M","-0.25%"
"Nov 23, 2020","5.20","5.19","5.25","5.17","165.97M","0.54%"
"Nov 20, 2020","5.18","5.22","5.22","5.16","159.56M","-0.67%"
"Nov 19, 2020","5.21","5.20","5.24","5.17","315.34M","0.10%"
"Nov 18, 2020","5.20","5.13","5.27","5.09","488.89M","1.08%"
"Nov 17, 2020","5.15","5.24","5.24","5.12","305.74M","-1.72%"
"Nov 16, 2020","5.24","5.25","5.27","5.19","327.96M","0.00%"
"Nov 13, 2020","5.24","5.20","5.25","5.15","242.38M","0.36%"
"Nov 12, 2020","5.22","5.28","5.28","5.16","268.37M","-1.26%"
"Nov 11, 2020","5.28","5.29","5.36","5.28","230.98M","0.11%"
"Nov 10, 2020","5.28","5.23","5.30","5.20","187.62M","0.94%"
"Nov 09, 2020","5.23","5.23","5.32","5.16","389.04M","0.69%"
"Nov 06, 2020","5.19","5.20","5.22","5.11","234.97M","-0.53%"
"Nov 05, 2020","5.22","5.21","5.25","5.15","228.86M","1.06%"
"Nov 03, 2020","5.16","5.12","5.18","5.08","161.30M","0.95%"
"Nov 02, 2020","5.12","5.12","5.14","5.02","108.00M","0.51%"
"Oct 30, 2020","5.09","5.07","5.15","5.00","257.88M","0.19%"
"Oct 29, 2020","5.08","5.00","5.14","4.95","258.67M","2.16%"
"Oct 28, 2020","4.97","5.18","5.18","4.96","367.16M","-3.94%"
"Oct 27, 2020","5.18","5.20","5.23","5.15","116.15M","-0.47%"
"Oct 26, 2020","5.20","5.28","5.36","5.17","186.94M","-2.15%"
"Oct 23, 2020","5.32","5.32","5.38","5.27","129.73M","-0.51%"
"Oct 22, 2020","5.34","5.26","5.56","5.22","127.34M","1.51%"
"Oct 21, 2020","5.26","5.19","5.28","5.19","154.23M","1.30%"
"Oct 20, 2020","5.20","5.11","5.22","5.07","150.99M","1.63%"
"Oct 19, 2020","5.11","5.19","5.20","5.06","164.02M","-1.02%"
"Oct 16, 2020","5.17","5.22","5.26","5.16","143.81M","-1.06%"
"Oct 15, 2020","5.22","5.28","5.29","5.20","140.52M","-1.10%"
"Oct 14, 2020","5.28","5.22","5.30","5.22","122.68M","0.65%"
"Oct 13, 2020","5.24","5.30","5.32","5.22","176.81M","-1.23%"
"Oct 12, 2020","5.31","5.33","5.37","5.28","193.84M","-0.18%"
"Oct 09, 2020","5.32","5.35","5.38","5.26","163.67M","-0.67%"
"Oct 08, 2020","5.36","5.33","5.44","5.31","190.85M","0.31%"
"Oct 07, 2020","5.34","5.44","5.45","5.25","269.30M","-1.67%"
"Oct 06, 2020","5.43","5.49","5.51","5.41","147.97M","-0.86%"
"Oct 05, 2020","5.48","5.50","5.53","5.43","187.69M","0.18%"
"Oct 02, 2020","5.47","5.44","5.52","5.35","248.53M","0.00%"
"Oct 01, 2020","5.46","5.64","5.64","5.40","356.02M","-2.78%"
"Sep 30, 2020","5.62","5.79","5.80","5.53","380.13M","-2.94%"
"Sep 29, 2020","5.79","5.84","5.89","5.70","228.76M","-0.97%"
"Sep 28, 2020","5.85","5.69","5.86","5.65","253.86M","3.35%"
"Sep 25, 2020","5.66","5.61","5.69","5.57","146.67M","1.04%"
"Sep 24, 2020","5.60","5.58","5.62","5.50","181.50M","0.30%"
