"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","11.26","11.22","11.34","11.20","34.90K","0.18%"
"Nov 26, 2020","11.24","11.24","11.40","11.20","40.10K","0.36%"
"Nov 25, 2020","11.20","11.34","11.56","11.06","229.70K","-1.93%"
"Nov 24, 2020","11.42","11.42","11.48","11.30","39.80K","0.00%"
"Nov 23, 2020","11.42","11.34","11.54","11.28","80.80K","0.53%"
"Nov 20, 2020","11.36","11.40","11.40","11.26","59.80K","0.00%"
"Nov 19, 2020","11.36","11.44","11.46","11.34","24.90K","0.00%"
"Nov 18, 2020","11.36","11.02","11.70","11.02","239.00K","3.27%"
"Nov 17, 2020","11.00","11.22","11.36","10.98","252.90K","-1.79%"
"Nov 16, 2020","11.20","11.34","11.36","11.10","76.40K","0.00%"
"Nov 13, 2020","11.20","11.10","11.28","11.10","25.00K","0.54%"
"Nov 12, 2020","11.14","11.16","11.16","11.10","22.40K","-0.89%"
"Nov 11, 2020","11.24","11.00","11.40","11.00","82.80K","0.72%"
"Nov 10, 2020","11.16","11.14","11.26","11.04","45.30K","0.18%"
"Nov 09, 2020","11.14","10.98","11.26","10.68","91.40K","1.83%"
"Nov 06, 2020","10.94","10.90","10.94","10.82","8.20K","0.74%"
"Nov 05, 2020","10.86","11.00","11.10","10.66","53.70K","-0.91%"
"Nov 03, 2020","10.96","10.86","10.98","10.86","14.00K","2.24%"
"Nov 02, 2020","10.72","10.86","10.86","10.62","14.50K","0.00%"
"Oct 30, 2020","10.72","11.00","11.00","10.62","27.70K","-1.47%"
"Oct 29, 2020","10.88","10.86","10.90","10.70","29.40K","0.55%"
"Oct 28, 2020","10.82","11.00","11.02","10.70","23.60K","-0.18%"
"Oct 27, 2020","10.84","11.12","11.12","10.82","20.40K","-0.73%"
"Oct 26, 2020","10.92","11.28","11.34","10.84","68.60K","-1.97%"
"Oct 23, 2020","11.14","11.00","11.40","11.00","14.70K","-0.89%"
"Oct 22, 2020","11.24","10.72","11.36","10.72","91.80K","3.31%"
"Oct 21, 2020","10.88","11.06","11.06","10.80","29.70K","0.37%"
"Oct 20, 2020","10.84","10.72","10.90","10.56","38.10K","1.50%"
"Oct 19, 2020","10.68","10.70","11.00","10.58","27.70K","-1.66%"
"Oct 16, 2020","10.86","11.12","11.18","10.20","115.10K","-2.86%"
"Oct 15, 2020","11.18","11.20","11.32","11.14","33.60K","-0.71%"
"Oct 14, 2020","11.26","11.30","11.40","11.24","25.20K","0.18%"
"Oct 13, 2020","11.24","11.48","11.48","11.22","78.80K","-1.92%"
"Oct 12, 2020","11.46","11.56","11.56","11.30","40.50K","1.06%"
"Oct 09, 2020","11.34","11.58","11.62","11.24","55.00K","-1.73%"
"Oct 08, 2020","11.54","11.72","11.72","11.52","4.20K","1.05%"
"Oct 07, 2020","11.42","11.56","11.82","11.38","89.00K","-2.56%"
"Oct 06, 2020","11.72","11.92","11.92","11.68","16.90K","-0.17%"
"Oct 05, 2020","11.74","11.92","11.92","11.60","70.40K","-1.01%"
"Oct 02, 2020","11.86","11.78","11.90","11.72","31.50K","-0.34%"
"Oct 01, 2020","11.90","11.76","12.00","11.76","73.40K","-0.34%"
"Sep 30, 2020","11.94","11.56","11.94","11.56","44.30K","1.70%"
"Sep 29, 2020","11.74","11.68","11.86","11.68","58.00K","1.21%"
"Sep 28, 2020","11.60","11.54","11.74","11.52","138.00K","-0.68%"
"Sep 25, 2020","11.68","11.82","11.82","11.40","249.70K","-1.18%"
"Sep 24, 2020","11.82","12.24","12.28","11.80","162.60K","-3.43%"
"Sep 23, 2020","12.24","12.24","12.24","12.06","60.90K","0.82%"
"Sep 22, 2020","12.14","11.94","12.20","11.94","79.80K","0.00%"
"Sep 21, 2020","12.14","12.20","12.20","12.04","33.50K","-0.33%"
"Sep 18, 2020","12.18","12.06","12.22","12.04","25.90K","1.00%"
"Sep 17, 2020","12.06","12.22","12.22","12.06","46.10K","-0.82%"
"Sep 16, 2020","12.16","12.24","12.24","12.14","24.30K","-0.49%"
"Sep 15, 2020","12.22","12.06","12.30","12.00","87.90K","0.00%"
"Sep 14, 2020","12.22","12.32","12.38","12.02","95.00K","-0.49%"
"Sep 11, 2020","12.28","12.12","12.30","11.98","59.40K","2.16%"
"Sep 10, 2020","12.02","12.12","12.18","11.92","82.80K","-1.48%"
"Sep 09, 2020","12.20","12.00","12.26","11.80","92.00K","1.33%"
"Sep 08, 2020","12.04","12.32","12.44","12.00","79.20K","-2.59%"
"Sep 07, 2020","12.36","12.24","12.50","12.20","23.30K","-0.48%"
"Sep 04, 2020","12.42","12.32","12.50","12.26","40.30K","-0.32%"
"Sep 03, 2020","12.46","12.40","12.52","12.36","23.30K","-0.32%"
"Sep 02, 2020","12.50","12.42","12.56","12.40","88.90K","-0.32%"
"Sep 01, 2020","12.54","12.52","12.56","12.28","95.30K","-0.79%"
"Aug 31, 2020","12.64","12.36","12.78","12.06","174.50K","1.12%"
"Aug 28, 2020","12.50","12.48","12.60","12.36","76.00K","0.16%"
"Aug 27, 2020","12.48","12.70","12.70","12.28","153.80K","-0.64%"
"Aug 26, 2020","12.56","12.96","12.96","12.38","247.50K","-0.79%"
"Aug 25, 2020","12.66","12.14","12.84","12.00","589.90K","5.32%"
"Aug 24, 2020","12.02","12.06","12.28","11.86","129.20K","0.84%"
"Aug 21, 2020","11.92","12.00","12.18","11.84","86.50K","0.00%"
"Aug 20, 2020","11.92","11.92","12.00","11.84","73.10K","-0.50%"
"Aug 19, 2020","11.98","12.04","12.14","11.80","87.20K","-0.83%"
"Aug 18, 2020","12.08","12.30","12.30","11.94","156.50K","-1.31%"
"Aug 17, 2020","12.24","12.30","12.32","12.16","75.40K","0.00%"
"Aug 14, 2020","12.24","12.44","12.46","12.04","137.50K","-1.29%"
"Aug 13, 2020","12.40","12.22","12.44","12.06","118.40K","1.97%"
"Aug 12, 2020","12.16","12.10","12.46","12.02","122.10K","-0.33%"
"Aug 11, 2020","12.20","12.46","12.50","12.12","416.70K","-0.16%"
"Aug 10, 2020","12.22","11.90","12.70","11.88","494.10K","2.69%"
"Aug 07, 2020","11.90","11.88","12.10","11.52","94.40K","1.54%"
"Aug 06, 2020","11.72","11.76","11.96","11.64","79.00K","-0.34%"
"Aug 05, 2020","11.76","11.74","11.76","11.58","132.20K","0.68%"
"Aug 04, 2020","11.68","11.72","11.72","11.60","14.30K","-0.17%"
"Aug 03, 2020","11.70","11.60","11.70","11.58","30.80K","0.86%"
"Jul 31, 2020","11.60","11.74","11.74","11.56","70.00K","0.00%"
"Jul 30, 2020","11.60","11.70","11.90","11.54","243.30K","0.35%"
"Jul 29, 2020","11.56","11.56","11.70","11.56","77.90K","-0.52%"
"Jul 28, 2020","11.62","11.70","11.76","11.50","130.20K","-1.02%"
"Jul 27, 2020","11.74","11.80","11.80","11.50","177.80K","-0.34%"
"Jul 24, 2020","11.78","11.74","11.78","11.66","26.00K","0.17%"
"Jul 23, 2020","11.76","11.86","11.86","11.70","63.70K","-0.17%"
"Jul 22, 2020","11.78","11.66","11.96","11.66","63.60K","1.38%"
"Jul 21, 2020","11.62","11.32","11.80","11.32","365.00K","1.93%"
"Jul 20, 2020","11.40","11.48","11.76","11.30","132.20K","-0.70%"
"Jul 17, 2020","11.48","11.58","11.58","11.36","39.80K","-0.17%"
"Jul 16, 2020","11.50","11.34","11.66","11.34","47.10K","0.70%"
"Jul 15, 2020","11.42","11.62","11.62","11.34","48.30K","-0.35%"
"Jul 14, 2020","11.46","11.68","11.68","11.38","65.50K","-2.05%"
"Jul 13, 2020","11.70","11.64","11.86","11.52","40.30K","0.00%"
"Jul 10, 2020","11.70","11.70","11.90","11.60","35.60K","0.34%"
"Jul 09, 2020","11.66","11.82","11.92","11.64","53.40K","-1.19%"
"Jul 08, 2020","11.80","11.94","12.18","11.68","101.90K","-0.17%"
"Jul 07, 2020","11.82","11.74","11.96","11.70","33.50K","0.85%"
"Jul 06, 2020","11.72","11.98","11.98","11.66","100.40K","-0.68%"
"Jul 03, 2020","11.80","11.68","11.92","11.60","27.20K","1.20%"
"Jul 02, 2020","11.66","11.68","11.74","11.48","74.00K","0.34%"
"Jun 30, 2020","11.62","11.86","11.96","11.50","77.30K","-2.35%"
"Jun 29, 2020","11.90","12.00","12.00","11.76","20.60K","0.00%"
"Jun 26, 2020","11.90","11.86","12.00","11.82","18.00K","-0.50%"
"Jun 25, 2020","11.96","11.82","12.18","11.72","116.90K","-0.99%"
"Jun 23, 2020","12.08","12.04","12.28","12.04","49.40K","-0.17%"
"Jun 22, 2020","12.10","12.08","12.20","11.86","62.10K","0.33%"
"Jun 19, 2020","12.06","12.10","12.30","12.04","38.70K","-0.17%"
"Jun 18, 2020","12.08","12.14","12.16","11.92","11.20K","0.00%"
"Jun 17, 2020","12.08","11.92","12.36","11.62","200.80K","1.68%"
"Jun 16, 2020","11.88","11.70","12.20","11.70","123.20K","2.06%"
"Jun 15, 2020","11.64","11.72","11.88","11.34","41.40K","-0.34%"
"Jun 11, 2020","11.68","11.78","11.90","11.28","102.30K","-1.85%"
"Jun 10, 2020","11.90","12.08","12.08","11.84","46.10K","0.34%"
"Jun 09, 2020","11.86","12.14","12.14","11.80","80.10K","-0.67%"
"Jun 08, 2020","11.94","12.10","12.40","11.94","229.90K","-0.67%"
"Jun 05, 2020","12.02","12.02","12.24","11.90","224.90K","0.00%"
"Jun 04, 2020","12.02","12.48","12.48","11.96","180.10K","-1.15%"
"Jun 03, 2020","12.16","12.56","12.60","11.96","330.80K","-1.94%"
"Jun 02, 2020","12.40","12.54","12.54","12.16","90.00K","0.81%"
"Jun 01, 2020","12.30","12.40","12.50","12.20","88.80K","-0.49%"
"May 29, 2020","12.36","12.34","12.46","12.26","77.10K","-0.32%"
"May 28, 2020","12.40","12.52","12.80","12.20","163.50K","-1.59%"
"May 27, 2020","12.60","12.80","12.80","12.34","100.40K","-0.79%"
"May 26, 2020","12.70","12.62","12.78","12.54","42.30K","0.63%"
"May 25, 2020","12.62","12.60","12.76","12.44","33.20K","0.16%"
"May 22, 2020","12.60","12.46","12.62","12.46","30.80K","0.32%"
"May 21, 2020","12.56","12.70","12.78","12.36","98.80K","-1.72%"
"May 20, 2020","12.78","12.86","12.94","12.54","284.00K","1.59%"
"May 19, 2020","12.58","12.56","12.74","12.40","124.00K","0.96%"
"May 18, 2020","12.46","12.58","12.84","12.34","140.40K","-0.32%"
"May 15, 2020","12.50","12.52","13.10","12.40","179.50K","-0.16%"
"May 14, 2020","12.52","13.00","13.14","12.30","298.10K","-5.44%"
"May 13, 2020","13.24","13.46","13.80","12.88","242.90K","0.00%"
"May 12, 2020","13.24","13.24","13.42","13.00","134.50K","-1.34%"
"May 08, 2020","13.42","12.54","14.40","12.52","1.30M","6.51%"
"May 07, 2020","12.60","12.90","12.92","12.30","78.50K","-0.47%"
"May 06, 2020","12.66","12.02","13.08","12.02","401.30K","3.09%"
"May 05, 2020","12.28","12.26","12.46","12.06","111.80K","1.99%"
"May 04, 2020","12.04","12.44","12.44","11.60","224.50K","-0.99%"
"Apr 30, 2020","12.16","12.28","14.62","12.08","3.70M","4.11%"
"Apr 29, 2020","11.68","11.64","11.80","11.44","188.10K","-0.51%"
"Apr 28, 2020","11.74","11.72","11.80","11.50","109.00K","1.38%"
"Apr 27, 2020","11.58","11.70","11.82","11.54","27.60K","-0.52%"
"Apr 24, 2020","11.64","11.36","11.70","11.32","126.40K","2.65%"
"Apr 23, 2020","11.34","11.38","11.48","11.08","123.00K","1.07%"
"Apr 22, 2020","11.22","11.14","11.52","11.10","67.30K","0.54%"
"Apr 21, 2020","11.16","11.06","11.50","11.00","70.00K","-2.79%"
"Apr 20, 2020","11.48","11.24","11.88","11.24","303.50K","2.14%"
"Apr 17, 2020","11.24","11.34","11.38","11.02","43.50K","0.72%"
"Apr 16, 2020","11.16","11.10","11.60","11.08","57.40K","-0.71%"
"Apr 15, 2020","11.24","11.04","11.62","11.00","231.70K","-2.77%"
"Apr 14, 2020","11.56","11.58","11.90","11.14","371.50K","-0.86%"
"Apr 13, 2020","11.66","11.98","11.98","11.50","154.80K","-2.18%"
"Apr 10, 2020","11.92","11.70","11.94","11.70","107.20K","1.53%"
"Apr 09, 2020","11.74","11.60","12.08","11.60","181.00K","-0.51%"
"Apr 08, 2020","11.80","11.80","12.10","11.64","121.00K","-0.17%"
"Apr 07, 2020","11.82","11.96","12.14","11.64","400.00K","0.34%"
"Apr 06, 2020","11.78","11.86","11.90","11.50","290.70K","0.34%"
"Apr 03, 2020","11.74","12.14","12.14","11.58","759.80K","-3.14%"
"Apr 02, 2020","12.12","12.62","12.90","11.20","3.52M","-1.14%"
"Apr 01, 2020","12.26","9.18","13.34","9.14","5.27M","33.26%"
"Mar 31, 2020","9.20","9.12","9.30","9.06","141.40K","2.00%"
"Mar 30, 2020","9.02","8.94","9.14","8.78","85.10K","-0.22%"
"Mar 27, 2020","9.04","9.14","9.46","8.94","161.70K","-3.00%"
"Mar 26, 2020","9.32","9.10","9.34","8.86","236.90K","2.64%"
"Mar 25, 2020","9.08","9.80","10.00","8.94","921.00K","-4.82%"
"Mar 24, 2020","9.54","9.04","9.76","9.02","405.80K","7.43%"
"Mar 23, 2020","8.88","8.40","8.98","8.14","298.10K","5.71%"
"Mar 20, 2020","8.40","8.34","8.94","8.30","306.60K","2.19%"
"Mar 19, 2020","8.22","8.26","8.56","7.72","449.50K","4.05%"
"Mar 18, 2020","7.90","9.02","9.20","7.82","701.30K","-15.24%"
"Mar 17, 2020","9.32","9.86","9.96","8.90","173.60K","-5.28%"
"Mar 16, 2020","9.84","9.96","10.00","9.54","103.90K","-1.20%"
"Mar 13, 2020","9.96","10.26","10.44","9.50","775.80K","-1.97%"
"Mar 12, 2020","10.16","11.52","11.52","10.10","510.90K","-13.75%"
"Mar 11, 2020","11.78","12.18","12.32","11.54","80.60K","-2.32%"
"Mar 10, 2020","12.06","11.50","12.40","10.88","216.40K","-5.63%"
"Mar 06, 2020","12.78","13.02","13.16","12.54","45.80K","-3.18%"
"Mar 05, 2020","13.20","13.40","13.48","13.18","47.30K","0.30%"
"Mar 04, 2020","13.16","13.22","13.44","13.14","22.00K","-0.75%"
"Mar 03, 2020","13.26","13.36","13.46","13.10","34.70K","0.00%"
"Mar 02, 2020","13.26","13.16","13.64","12.82","81.70K","2.00%"
"Feb 28, 2020","13.00","13.42","13.42","12.24","318.40K","-3.99%"
"Feb 27, 2020","13.54","14.00","14.00","13.48","150.10K","-3.15%"
"Feb 26, 2020","13.98","14.12","14.12","13.86","141.90K","-1.41%"
"Feb 25, 2020","14.18","14.52","14.60","14.14","178.80K","-2.34%"
"Feb 21, 2020","14.52","14.74","15.00","14.50","225.40K","-1.22%"
"Feb 20, 2020","14.70","14.40","15.04","14.34","778.40K","2.23%"
"Feb 19, 2020","14.38","14.26","14.38","14.16","42.80K","1.27%"
"Feb 18, 2020","14.20","14.50","14.50","14.20","55.80K","-1.53%"
"Feb 17, 2020","14.42","14.28","14.56","14.22","146.10K","1.41%"
