"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","5,260.0","5,230.0","5,269.5","5,164.5","1.65M","0.32%"
"Nov 26, 2020","5,243.0","5,396.0","5,400.0","5,236.0","1.83M","-2.77%"
"Nov 25, 2020","5,392.5","5,192.0","5,395.0","5,141.5","3.14M","4.11%"
"Nov 24, 2020","5,179.5","5,056.0","5,179.5","5,050.0","2.12M","3.04%"
"Nov 23, 2020","5,026.5","4,962.0","5,046.5","4,945.5","1.81M","1.58%"
"Nov 20, 2020","4,948.5","4,915.0","4,952.0","4,877.5","767.36K","0.66%"
"Nov 19, 2020","4,916.0","4,880.0","4,937.0","4,850.0","1.21M","0.53%"
"Nov 18, 2020","4,890.0","4,841.0","4,972.0","4,818.0","1.37M","0.53%"
"Nov 17, 2020","4,864.0","4,943.0","4,954.0","4,796.5","1.51M","-1.39%"
"Nov 16, 2020","4,932.5","4,901.0","4,949.5","4,861.0","1.40M","1.10%"
"Nov 13, 2020","4,879.0","4,830.0","4,900.0","4,795.0","947.19K","0.54%"
"Nov 12, 2020","4,853.0","4,900.0","4,939.5","4,821.5","1.87M","-1.86%"
"Nov 11, 2020","4,945.0","4,920.5","4,996.0","4,916.5","2.67M","1.24%"
"Nov 10, 2020","4,884.5","4,750.0","4,950.0","4,702.0","3.27M","2.72%"
"Nov 09, 2020","4,755.0","4,455.0","4,820.0","4,420.0","4.57M","8.17%"
"Nov 06, 2020","4,396.0","4,306.0","4,418.5","4,272.0","1.37M","1.72%"
"Nov 05, 2020","4,321.5","4,300.5","4,379.0","4,279.5","1.40M","1.63%"
"Nov 03, 2020","4,252.0","4,160.0","4,269.5","4,160.0","1.53M","2.16%"
"Nov 02, 2020","4,162.0","4,020.0","4,165.0","3,992.0","1.70M","2.77%"
"Oct 30, 2020","4,050.0","4,001.0","4,089.0","3,970.0","1.23M","-0.18%"
"Oct 29, 2020","4,057.5","4,035.5","4,080.0","3,996.0","1.38M","1.12%"
"Oct 28, 2020","4,012.5","4,095.0","4,109.5","3,961.0","2.01M","-2.69%"
"Oct 27, 2020","4,123.5","4,235.0","4,249.5","4,111.0","1.24M","-2.36%"
"Oct 26, 2020","4,223.0","4,289.5","4,301.5","4,205.0","884.88K","-2.36%"
"Oct 23, 2020","4,325.0","4,305.0","4,374.5","4,287.5","1.00M","0.41%"
"Oct 22, 2020","4,307.5","4,190.0","4,318.0","4,182.0","1.09M","2.28%"
"Oct 21, 2020","4,211.5","4,297.0","4,297.0","4,202.0","875.04K","-1.37%"
"Oct 20, 2020","4,270.0","4,185.0","4,289.0","4,164.0","951.57K","1.81%"
"Oct 19, 2020","4,194.0","4,280.0","4,296.0","4,171.0","824.38K","-1.39%"
"Oct 16, 2020","4,253.0","4,260.0","4,301.0","4,200.5","1.48M","-0.42%"
"Oct 15, 2020","4,271.0","4,352.0","4,362.5","4,231.0","1.45M","-2.14%"
"Oct 14, 2020","4,364.5","4,371.5","4,385.5","4,326.0","932.16K","-0.23%"
"Oct 13, 2020","4,374.5","4,440.0","4,473.0","4,364.0","798.78K","-1.59%"
"Oct 12, 2020","4,445.0","4,444.0","4,493.5","4,428.0","612.37K","-0.15%"
"Oct 09, 2020","4,451.5","4,510.0","4,510.5","4,411.0","853.41K","-1.03%"
"Oct 08, 2020","4,498.0","4,481.5","4,503.0","4,431.0","954.79K","0.54%"
