"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","2,280.80","2,260.00","2,290.60","2,248.20","1.33M","1.06%"
"Nov 26, 2020","2,256.80","2,203.60","2,259.80","2,191.00","1.39M","2.72%"
"Nov 25, 2020","2,197.00","2,179.40","2,208.60","2,170.00","1.46M","0.98%"
"Nov 24, 2020","2,175.60","2,190.00","2,206.00","2,152.00","1.15M","-0.20%"
"Nov 23, 2020","2,180.00","2,167.00","2,209.20","2,160.00","1.12M","1.16%"
"Nov 20, 2020","2,155.00","2,147.20","2,164.40","2,130.20","692.64K","0.66%"
"Nov 19, 2020","2,140.80","2,174.60","2,197.00","2,132.60","848.23K","-1.16%"
"Nov 18, 2020","2,166.00","2,179.00","2,193.00","2,151.20","745.32K","-0.52%"
"Nov 17, 2020","2,177.40","2,185.00","2,216.00","2,161.00","736.01K","-1.33%"
"Nov 16, 2020","2,206.80","2,229.80","2,250.00","2,178.60","1.08M","-0.91%"
"Nov 13, 2020","2,227.00","2,225.20","2,244.40","2,210.00","569.74K","0.47%"
"Nov 12, 2020","2,216.60","2,240.00","2,269.00","2,205.80","866.78K","-0.78%"
"Nov 11, 2020","2,234.00","2,310.00","2,333.80","2,210.40","1.91M","-0.71%"
"Nov 10, 2020","2,250.00","2,268.00","2,297.40","2,202.00","921.55K","-0.62%"
"Nov 09, 2020","2,264.00","2,265.80","2,291.00","2,236.00","868.02K","0.98%"
"Nov 06, 2020","2,242.00","2,190.00","2,253.60","2,159.00","589.74K","2.09%"
"Nov 05, 2020","2,196.20","2,125.00","2,200.00","2,125.00","906.60K","3.60%"
"Nov 03, 2020","2,119.80","2,135.00","2,148.80","2,100.00","478.88K","0.00%"
"Nov 02, 2020","2,119.80","2,100.00","2,137.40","2,071.00","432.00K","1.43%"
"Oct 30, 2020","2,090.00","2,110.00","2,117.80","2,080.00","322.55K","-1.77%"
"Oct 29, 2020","2,127.60","2,110.20","2,248.20","2,099.80","370.11K","0.88%"
