"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","8.58","8.37","8.59","8.35","2.71M","1.30%"
"Nov 25, 2020","8.47","8.29","8.48","8.21","3.45M","2.54%"
"Nov 24, 2020","8.26","8.35","8.40","8.26","10.60M","-1.20%"
"Nov 23, 2020","8.36","8.38","8.38","8.27","2.05M","0.72%"
"Nov 22, 2020","8.30","8.30","8.30","8.30","-","0.00%"
"Nov 20, 2020","8.30","8.30","8.34","8.26","3.29M","-0.84%"
"Nov 19, 2020","8.37","8.39","8.43","8.32","2.49M","-0.71%"
"Nov 18, 2020","8.43","8.57","8.59","8.42","3.16M","-1.98%"
"Nov 17, 2020","8.60","8.40","8.60","8.31","5.13M","1.65%"
"Nov 16, 2020","8.46","8.36","8.49","8.33","3.24M","2.05%"
"Nov 15, 2020","8.29","8.29","8.29","8.29","-","0.00%"
"Nov 14, 2020","8.29","8.29","8.29","8.29","-","0.00%"
"Nov 13, 2020","8.29","8.19","8.31","8.08","3.41M","0.73%"
"Nov 12, 2020","8.23","8.32","8.32","8.18","2.84M","-1.32%"
"Nov 11, 2020","8.34","8.36","8.37","8.29","2.63M","-0.71%"
"Nov 10, 2020","8.40","8.39","8.43","8.31","3.53M","0.36%"
"Nov 09, 2020","8.37","8.59","8.66","8.37","4.94M","0.72%"
"Nov 06, 2020","8.31","8.28","8.38","8.26","7.90M","-0.72%"
"Nov 05, 2020","8.37","8.25","8.39","8.23","3.25M","3.08%"
"Nov 04, 2020","8.12","8.17","8.22","8.12","2.11M","1.12%"
"Nov 03, 2020","8.03","7.94","8.05","7.93","2.61M","2.55%"
"Nov 02, 2020","7.83","7.79","7.83","7.75","1.65M","0.13%"
"Oct 30, 2020","7.82","7.84","7.87","7.74","2.95M","-0.76%"
"Oct 29, 2020","7.88","7.79","7.91","7.72","1.83M","0.38%"
"Oct 28, 2020","7.85","7.89","7.95","7.81","3.18M","-3.33%"
"Oct 27, 2020","8.12","8.27","8.28","8.12","2.11M","-1.81%"
"Oct 26, 2020","8.27","8.32","8.36","8.21","1.52M","-0.36%"
"Oct 23, 2020","8.30","8.36","8.36","8.26","2.23M","-0.24%"
"Oct 22, 2020","8.32","8.34","8.35","8.24","3.41M","0.12%"
"Oct 21, 2020","8.31","8.20","8.36","8.19","2.55M","0.85%"
"Oct 20, 2020","8.24","8.19","8.28","8.18","2.14M","2.36%"
"Oct 19, 2020","8.05","8.17","8.21","8.04","1.54M","-2.19%"
"Oct 16, 2020","8.23","8.24","8.27","8.15","1.95M","1.11%"
"Oct 15, 2020","8.14","8.43","8.43","8.14","5.25M","-5.24%"
"Oct 14, 2020","8.59","8.50","8.59","8.47","3.13M","1.06%"
"Oct 13, 2020","8.50","8.53","8.59","8.47","2.79M","-0.23%"
"Oct 12, 2020","8.52","8.55","8.60","8.51","1.34M","-0.23%"
"Oct 09, 2020","8.54","8.57","8.63","8.49","3.17M","0.00%"
"Oct 08, 2020","8.54","8.45","8.54","8.37","4.35M","1.79%"
