"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","4,985.5","4,965.0","4,997.0","4,936.5","272.52K","0.28%"
"Nov 26, 2020","4,971.5","4,894.0","4,995.0","4,874.5","309.23K","1.64%"
"Nov 25, 2020","4,891.5","4,915.0","4,935.0","4,806.5","555.66K","-0.38%"
"Nov 24, 2020","4,910.0","4,960.0","4,968.5","4,876.5","319.94K","-0.71%"
"Nov 23, 2020","4,945.0","4,929.0","4,989.0","4,883.0","367.36K","0.24%"
"Nov 20, 2020","4,933.0","5,000.0","5,028.5","4,900.0","390.53K","-1.59%"
"Nov 19, 2020","5,012.5","4,998.0","5,096.5","4,943.0","632.86K","0.65%"
"Nov 18, 2020","4,980.0","4,891.5","5,001.0","4,850.0","442.53K","1.81%"
"Nov 17, 2020","4,891.5","4,994.0","5,000.0","4,848.0","320.05K","-1.82%"
"Nov 16, 2020","4,982.0","4,945.0","5,025.0","4,906.5","396.11K","1.01%"
"Nov 13, 2020","4,932.0","4,930.0","4,946.5","4,831.0","250.74K","0.45%"
"Nov 12, 2020","4,910.0","4,766.0","4,974.5","4,766.0","478.15K","2.72%"
"Nov 11, 2020","4,780.0","4,961.0","5,003.5","4,754.0","523.04K","-3.34%"
"Nov 10, 2020","4,945.0","4,885.0","4,985.5","4,880.0","333.62K","1.05%"
"Nov 09, 2020","4,893.5","4,820.0","4,930.0","4,797.5","487.32K","2.03%"
"Nov 06, 2020","4,796.0","4,750.0","4,827.5","4,694.5","400.78K","1.15%"
"Nov 05, 2020","4,741.5","4,820.0","4,860.5","4,708.0","345.12K","-0.60%"
"Nov 03, 2020","4,770.0","4,832.5","4,900.0","4,728.0","415.64K","-1.22%"
"Nov 02, 2020","4,829.0","4,706.0","4,844.0","4,635.0","291.31K","2.61%"
"Oct 30, 2020","4,706.0","4,639.0","4,728.0","4,542.0","357.27K","1.01%"
"Oct 29, 2020","4,659.0","4,710.0","4,742.0","4,581.0","603.82K","-0.91%"
"Oct 28, 2020","4,702.0","4,776.0","4,783.5","4,636.0","403.94K","-1.71%"
"Oct 27, 2020","4,784.0","4,815.0","4,862.0","4,763.0","263.93K","-0.32%"
"Oct 26, 2020","4,799.5","4,820.0","4,894.0","4,760.0","255.00K","-1.15%"
"Oct 23, 2020","4,855.5","4,897.5","4,908.0","4,825.5","176.40K","-0.92%"
"Oct 22, 2020","4,900.5","4,849.0","4,925.0","4,831.0","212.91K","0.77%"
"Oct 21, 2020","4,863.0","4,911.5","4,934.0","4,829.0","267.11K","-0.97%"
"Oct 20, 2020","4,910.5","4,929.5","5,023.0","4,867.5","506.89K","-0.08%"
"Oct 19, 2020","4,914.5","4,787.0","4,950.0","4,777.5","441.23K","2.77%"
"Oct 16, 2020","4,782.0","4,743.0","4,804.5","4,687.0","358.83K","0.86%"
"Oct 15, 2020","4,741.0","4,900.0","4,912.0","4,702.0","357.78K","-3.48%"
"Oct 14, 2020","4,912.0","4,839.0","4,931.5","4,818.5","369.44K","1.55%"
"Oct 13, 2020","4,837.0","4,851.0","4,934.5","4,785.0","449.10K","-0.45%"
"Oct 12, 2020","4,859.0","4,695.0","4,863.0","4,676.0","428.21K","3.59%"
"Oct 09, 2020","4,690.5","4,718.0","4,719.5","4,597.0","330.73K","-0.67%"
"Oct 08, 2020","4,722.0","4,770.0","4,799.0","4,695.0","389.17K","-0.93%"
"Oct 07, 2020","4,766.5","4,878.0","4,897.0","4,692.0","603.33K","-2.31%"
"Oct 06, 2020","4,879.0","4,905.0","4,911.0","4,858.0","215.54K","-0.33%"
"Oct 05, 2020","4,895.0","4,915.0","4,949.5","4,872.0","323.03K","-0.23%"
"Oct 02, 2020","4,906.5","4,860.0","4,940.0","4,853.5","308.18K","0.21%"
"Oct 01, 2020","4,896.0","4,985.0","5,022.0","4,850.0","419.83K","-1.21%"
"Sep 30, 2020","4,956.0","4,955.0","4,995.5","4,874.5","440.60K","-0.19%"
"Sep 29, 2020","4,965.5","5,068.5","5,086.5","4,926.0","492.28K","-2.25%"
"Sep 28, 2020","5,080.0","5,040.0","5,114.0","5,023.0","347.12K","1.09%"
"Sep 25, 2020","5,025.0","5,060.5","5,129.5","4,976.5","485.19K","-0.63%"
"Sep 24, 2020","5,057.0","4,980.0","5,082.0","4,966.0","585.77K","1.35%"
"Sep 23, 2020","4,989.5","4,952.5","5,138.5","4,918.0","762.96K","0.55%"
"Sep 22, 2020","4,962.0","4,758.5","4,965.0","4,717.0","654.09K","3.97%"
"Sep 21, 2020","4,772.5","4,813.0","4,813.0","4,691.5","468.30K","-0.68%"
"Sep 18, 2020","4,805.0","4,865.0","4,875.0","4,788.0","395.04K","-1.19%"
"Sep 17, 2020","4,863.0","4,682.0","4,889.5","4,677.0","787.60K","3.25%"
"Sep 16, 2020","4,710.0","4,721.5","4,753.0","4,637.0","274.58K","-0.31%"
"Sep 15, 2020","4,724.5","4,663.5","4,758.0","4,609.5","382.88K","1.13%"
"Sep 14, 2020","4,671.5","4,685.0","4,773.5","4,632.0","459.10K","0.17%"
"Sep 11, 2020","4,663.5","4,499.5","4,685.0","4,468.0","322.33K","4.21%"
"Sep 10, 2020","4,475.0","4,472.0","4,518.0","4,420.0","218.00K","0.43%"
"Sep 09, 2020","4,456.0","4,532.0","4,532.0","4,403.0","279.47K","-1.74%"
"Sep 08, 2020","4,535.0","4,562.5","4,582.5","4,448.5","312.06K","-0.52%"
"Sep 07, 2020","4,558.5","4,585.0","4,604.5","4,540.0","150.81K","-0.70%"
"Sep 04, 2020","4,590.5","4,555.5","4,616.0","4,528.0","251.52K","0.56%"
"Sep 03, 2020","4,565.0","4,577.0","4,597.5","4,537.5","274.93K","0.01%"
"Sep 02, 2020","4,564.5","4,500.0","4,619.0","4,444.5","518.25K","1.49%"
"Sep 01, 2020","4,497.5","4,480.0","4,540.0","4,376.0","556.70K","0.51%"
"Aug 31, 2020","4,474.5","4,590.0","4,603.0","4,420.5","468.24K","-2.34%"
"Aug 28, 2020","4,581.5","4,735.5","4,735.5","4,560.0","481.24K","-3.10%"
"Aug 27, 2020","4,728.0","4,669.0","4,746.0","4,652.5","422.30K","1.33%"
"Aug 26, 2020","4,666.0","4,640.5","4,676.0","4,606.5","302.63K","0.51%"
"Aug 25, 2020","4,642.5","4,615.0","4,644.5","4,576.0","473.70K","0.75%"
"Aug 24, 2020","4,608.0","4,548.5","4,613.0","4,532.5","335.62K","1.88%"
"Aug 21, 2020","4,523.0","4,557.5","4,585.0","4,438.0","369.02K","-0.84%"
