"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","198.38","196.84","199.48","196.10","3.26M","0.63%"
"Nov 26, 2020","197.14","194.50","198.22","193.98","5.24M","1.38%"
"Nov 25, 2020","194.46","193.98","195.60","191.70","4.53M","0.53%"
"Nov 24, 2020","193.44","190.22","193.90","189.76","3.76M","1.63%"
"Nov 23, 2020","190.34","191.50","193.90","188.70","5.16M","-0.52%"
"Nov 20, 2020","191.34","191.50","192.20","189.76","2.86M","0.18%"
"Nov 19, 2020","191.00","192.00","193.80","190.20","4.61M","-0.83%"
"Nov 18, 2020","192.60","195.20","196.18","190.72","10.03M","-1.76%"
"Nov 17, 2020","196.06","202.64","202.76","193.80","9.98M","-3.22%"
"Nov 16, 2020","202.58","199.00","202.86","198.00","10.06M","2.46%"
"Nov 13, 2020","197.72","192.70","198.52","192.70","5.43M","2.19%"
"Nov 12, 2020","193.48","193.00","194.98","191.72","10.34M","-0.49%"
"Nov 11, 2020","194.44","191.62","195.10","191.62","5.49M","1.05%"
"Nov 10, 2020","192.42","192.34","193.10","190.38","5.79M","0.28%"
"Nov 09, 2020","191.88","190.90","193.66","188.00","7.74M","1.26%"
"Nov 06, 2020","189.50","186.00","189.58","184.00","7.80M","1.59%"
"Nov 05, 2020","186.54","193.44","194.24","185.70","12.47M","-2.13%"
"Nov 03, 2020","190.60","190.08","191.32","188.20","6.44M","1.28%"
"Nov 02, 2020","188.20","185.10","189.24","183.24","7.04M","1.67%"
"Oct 30, 2020","185.10","180.00","186.40","177.80","9.14M","2.22%"
"Oct 29, 2020","181.08","179.44","182.50","177.36","5.98M","1.25%"
"Oct 28, 2020","178.84","181.16","181.84","175.62","7.95M","-0.99%"
"Oct 27, 2020","180.62","179.80","184.18","179.24","6.89M","0.55%"
"Oct 26, 2020","179.64","179.88","181.00","178.02","4.78M","0.08%"
"Oct 23, 2020","179.50","180.40","181.92","178.70","7.04M","-0.41%"
"Oct 22, 2020","180.24","170.70","182.22","170.70","13.29M","5.27%"
"Oct 21, 2020","171.22","172.86","173.34","170.40","4.43M","-0.65%"
"Oct 20, 2020","172.34","169.74","172.62","169.74","2.85M","1.29%"
"Oct 19, 2020","170.14","170.88","171.70","168.02","2.13M","-0.25%"
"Oct 16, 2020","170.56","170.76","171.90","169.64","4.07M","-0.11%"
"Oct 15, 2020","170.74","169.70","171.38","168.68","4.02M","0.62%"
"Oct 14, 2020","169.68","168.66","170.50","167.12","5.18M","0.83%"
"Oct 13, 2020","168.28","172.72","173.30","167.80","3.66M","-2.89%"
"Oct 12, 2020","173.28","169.26","173.52","169.00","4.04M","2.40%"
"Oct 09, 2020","169.22","170.44","171.86","167.02","6.07M","-2.90%"
