"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","1,244.20","1,251.00","1,256.00","1,235.80","1.24M","-0.54%"
"Nov 26, 2020","1,251.00","1,268.00","1,268.00","1,246.00","723.88K","-1.31%"
"Nov 25, 2020","1,267.60","1,266.60","1,273.00","1,248.20","935.00K","-0.16%"
"Nov 24, 2020","1,269.60","1,260.00","1,274.80","1,255.00","766.62K","0.99%"
"Nov 23, 2020","1,257.20","1,263.00","1,277.80","1,245.00","1.34M","-0.54%"
"Nov 20, 2020","1,264.00","1,248.00","1,271.40","1,237.20","1.63M","1.38%"
"Nov 19, 2020","1,246.80","1,261.40","1,266.40","1,240.40","1.06M","-1.16%"
"Nov 18, 2020","1,261.40","1,248.80","1,275.40","1,242.80","1.11M","1.06%"
"Nov 17, 2020","1,248.20","1,250.00","1,256.80","1,230.60","1.31M","-0.38%"
"Nov 16, 2020","1,253.00","1,239.00","1,259.80","1,222.20","1.69M","0.98%"
"Nov 13, 2020","1,240.80","1,196.00","1,241.40","1,190.80","1.65M","3.57%"
"Nov 12, 2020","1,198.00","1,190.20","1,214.00","1,185.00","1.38M","0.42%"
"Nov 11, 2020","1,193.00","1,188.00","1,207.00","1,172.20","1.82M","0.40%"
"Nov 10, 2020","1,188.20","1,157.80","1,214.20","1,145.80","3.48M","2.52%"
"Nov 09, 2020","1,159.00","1,099.80","1,189.00","1,095.40","4.67M","5.90%"
"Nov 06, 2020","1,094.40","1,062.00","1,095.40","1,047.20","1.92M","2.95%"
"Nov 05, 2020","1,063.00","1,040.20","1,071.60","1,036.20","1.75M","3.12%"
"Nov 03, 2020","1,030.80","1,019.00","1,032.60","1,014.40","1.31M","0.47%"
"Nov 02, 2020","1,026.00","952.40","1,026.40","937.60","3.30M","7.84%"
"Oct 30, 2020","951.40","979.20","979.40","948.80","2.20M","-3.49%"
"Oct 29, 2020","985.80","990.00","1,002.00","972.00","1.62M","-0.58%"
"Oct 28, 2020","991.60","1,029.80","1,035.00","980.00","2.03M","-3.91%"
"Oct 27, 2020","1,032.00","1,039.00","1,044.40","1,027.00","640.76K","-0.56%"
"Oct 26, 2020","1,037.80","1,054.00","1,063.00","1,031.20","640.99K","-1.96%"
"Oct 23, 2020","1,058.60","1,036.00","1,063.00","1,035.00","1.06M","2.32%"
"Oct 22, 2020","1,034.60","1,039.80","1,048.00","1,028.80","991.69K","-0.82%"
