"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","3,039.0","3,036.0","3,068.0","3,030.0","76.86K","-0.33%"
"Nov 26, 2020","3,049.0","3,043.0","3,068.0","3,032.0","61.27K","0.00%"
"Nov 25, 2020","3,049.0","3,063.0","3,072.0","3,022.0","84.09K","-1.20%"
"Nov 24, 2020","3,086.0","3,066.0","3,100.0","3,045.0","53.63K","-0.13%"
"Nov 23, 2020","3,090.0","3,106.0","3,118.0","3,061.0","47.02K","-0.26%"
"Nov 20, 2020","3,098.0","3,071.0","3,108.0","3,059.0","26.26K","0.65%"
"Nov 19, 2020","3,078.0","3,100.0","3,135.0","3,069.0","59.04K","-0.90%"
"Nov 18, 2020","3,106.0","3,096.0","3,126.0","3,085.0","53.76K","0.10%"
"Nov 17, 2020","3,103.0","3,101.0","3,110.0","3,063.0","72.27K","0.52%"
"Nov 16, 2020","3,087.0","3,035.0","3,124.0","3,016.0","145.11K","2.05%"
"Nov 13, 2020","3,025.0","3,025.0","3,035.0","2,992.0","40.16K","0.53%"
"Nov 12, 2020","3,009.0","3,028.0","3,046.0","3,007.0","44.69K","-0.10%"
"Nov 11, 2020","3,012.0","3,015.0","3,064.0","2,950.0","96.90K","-0.43%"
"Nov 10, 2020","3,025.0","2,979.0","3,032.0","2,962.0","114.41K","1.92%"
"Nov 09, 2020","2,968.0","2,987.0","3,015.0","2,944.0","230.34K","-0.03%"
"Nov 06, 2020","2,969.0","2,840.0","2,986.0","2,838.0","171.00K","4.95%"
"Nov 05, 2020","2,829.0","2,835.0","2,852.0","2,800.0","62.74K","0.04%"
"Nov 03, 2020","2,828.0","2,836.0","2,844.0","2,796.0","45.33K","0.28%"
"Nov 02, 2020","2,820.0","2,801.0","2,841.0","2,771.0","68.04K","0.71%"
"Oct 30, 2020","2,800.0","2,800.0","2,823.0","2,726.0","86.85K","0.14%"
"Oct 29, 2020","2,796.0","2,850.0","2,860.0","2,792.0","65.18K","-1.79%"
"Oct 28, 2020","2,847.0","2,799.0","2,850.0","2,782.0","86.29K","1.97%"
"Oct 27, 2020","2,792.0","2,776.0","2,806.0","2,766.0","26.34K","0.79%"
"Oct 26, 2020","2,770.0","2,785.0","2,814.0","2,752.0","31.97K","-1.04%"
"Oct 23, 2020","2,799.0","2,751.0","2,802.0","2,744.0","49.57K","1.60%"
"Oct 22, 2020","2,755.0","2,775.0","2,788.0","2,733.0","56.99K","-0.65%"
"Oct 21, 2020","2,773.0","2,815.0","2,815.0","2,755.0","67.17K","-0.89%"
"Oct 20, 2020","2,798.0","2,790.0","2,831.0","2,778.0","60.70K","-0.29%"
"Oct 19, 2020","2,806.0","2,838.0","2,848.0","2,787.0","19.30K","-0.81%"
"Oct 16, 2020","2,829.0","2,800.0","2,849.0","2,773.0","35.49K","1.40%"
"Oct 15, 2020","2,790.0","2,854.0","2,854.0","2,776.0","35.03K","-1.86%"
"Oct 14, 2020","2,843.0","2,829.0","2,856.0","2,804.0","45.48K","0.42%"
"Oct 13, 2020","2,831.0","2,854.0","2,870.0","2,820.0","47.85K","-0.94%"
"Oct 12, 2020","2,858.0","2,850.0","2,872.0","2,845.0","29.03K","0.28%"
"Oct 09, 2020","2,850.0","2,867.0","2,873.0","2,828.0","40.13K","-0.56%"
"Oct 08, 2020","2,866.0","2,869.0","2,880.0","2,855.0","18.29K","0.46%"
"Oct 07, 2020","2,853.0","2,882.0","2,915.0","2,840.0","63.54K","-0.83%"
"Oct 06, 2020","2,877.0","2,873.0","2,908.0","2,852.0","64.28K","0.45%"
"Oct 05, 2020","2,864.0","2,877.0","2,879.0","2,837.0","31.46K","0.17%"
"Oct 02, 2020","2,859.0","2,823.0","2,881.0","2,801.0","53.82K","1.13%"
"Oct 01, 2020","2,827.0","2,855.0","2,878.0","2,821.0","55.82K","-1.08%"
"Sep 30, 2020","2,858.0","2,862.0","2,887.0","2,845.0","71.80K","0.04%"
"Sep 29, 2020","2,857.0","2,795.0","2,868.0","2,795.0","90.70K","1.42%"
"Sep 28, 2020","2,817.0","2,746.0","2,829.0","2,745.0","64.16K","2.59%"
"Sep 25, 2020","2,746.0","2,746.0","2,749.0","2,716.0","21.31K","0.59%"
"Sep 24, 2020","2,730.0","2,696.0","2,748.0","2,689.0","42.28K","1.04%"
"Sep 23, 2020","2,702.0","2,698.0","2,745.0","2,679.0","101.54K","0.67%"
"Sep 22, 2020","2,684.0","2,719.0","2,725.0","2,671.0","85.28K","-1.32%"
"Sep 21, 2020","2,720.0","2,769.0","2,770.0","2,706.0","80.19K","-1.45%"
"Sep 18, 2020","2,760.0","2,735.0","2,788.0","2,715.0","131.60K","1.17%"
"Sep 17, 2020","2,728.0","2,718.0","2,742.0","2,704.0","72.09K","0.04%"
"Sep 16, 2020","2,727.0","2,745.0","2,753.0","2,720.0","78.96K","-1.55%"
"Sep 15, 2020","2,770.0","2,751.0","2,773.0","2,734.0","109.01K","0.87%"
"Sep 14, 2020","2,746.0","2,760.0","2,762.0","2,731.0","28.79K","0.37%"
"Sep 11, 2020","2,736.0","2,760.0","2,760.0","2,716.0","52.02K","-0.18%"
"Sep 10, 2020","2,741.0","2,756.0","2,773.0","2,725.0","38.55K","-0.58%"
"Sep 09, 2020","2,757.0","2,759.0","2,792.0","2,741.0","62.19K","-0.11%"
"Sep 08, 2020","2,760.0","2,805.0","2,805.0","2,730.0","61.18K","-1.39%"
"Sep 07, 2020","2,799.0","2,765.0","2,815.0","2,671.0","56.63K","0.72%"
"Sep 04, 2020","2,779.0","2,749.0","2,780.0","2,735.0","58.30K","1.09%"
"Sep 03, 2020","2,749.0","2,755.0","2,765.0","2,724.0","39.34K","-0.04%"
"Sep 02, 2020","2,750.0","2,741.0","2,768.0","2,701.0","73.67K","0.59%"
"Sep 01, 2020","2,734.0","2,791.0","2,793.0","2,713.0","92.93K","-1.12%"
"Aug 31, 2020","2,765.0","2,731.0","2,807.0","2,719.0","214.12K","1.73%"
"Aug 28, 2020","2,718.0","2,770.0","2,770.0","2,701.0","114.57K","-1.56%"
"Aug 27, 2020","2,761.0","2,813.0","2,813.0","2,745.0","99.15K","-1.29%"
"Aug 26, 2020","2,797.0","2,766.0","2,802.0","2,765.0","59.27K","1.01%"
"Aug 25, 2020","2,769.0","2,757.0","2,784.0","2,743.0","46.36K","-0.25%"
"Aug 24, 2020","2,776.0","2,788.0","2,800.0","2,752.0","48.37K","0.00%"
"Aug 21, 2020","2,776.0","2,793.0","2,815.0","2,752.0","52.19K","-0.75%"
"Aug 20, 2020","2,797.0","2,813.0","2,824.0","2,781.0","35.99K","-0.29%"
"Aug 19, 2020","2,805.0","2,811.0","2,839.0","2,788.0","71.09K","0.47%"
"Aug 18, 2020","2,792.0","2,810.0","2,820.0","2,786.0","94.94K","-0.57%"
"Aug 17, 2020","2,808.0","2,823.0","2,824.0","2,765.0","122.80K","0.21%"
"Aug 14, 2020","2,802.0","2,816.0","2,819.0","2,770.0","42.72K","0.00%"
"Aug 13, 2020","2,802.0","2,758.0","2,825.0","2,741.0","110.08K","1.89%"
"Aug 12, 2020","2,750.0","2,734.0","2,767.0","2,711.0","149.96K","1.66%"
"Aug 11, 2020","2,705.0","2,700.0","2,736.0","2,700.0","65.28K","0.19%"
"Aug 10, 2020","2,700.0","2,696.0","2,718.0","2,683.0","35.81K","0.15%"
"Aug 07, 2020","2,696.0","2,704.0","2,718.0","2,676.0","34.46K","-0.30%"
"Aug 06, 2020","2,704.0","2,713.0","2,721.0","2,685.0","58.63K","-0.62%"
"Aug 05, 2020","2,721.0","2,728.0","2,737.0","2,703.0","50.09K","-0.26%"
