"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","14,640.0","14,989.5","15,038.0","14,472.0","232.89K","-2.53%"
"Nov 26, 2020","15,020.0","14,580.0","15,129.0","14,580.0","278.04K","3.09%"
"Nov 25, 2020","14,570.0","14,580.0","14,650.0","14,259.0","219.78K","-0.41%"
"Nov 24, 2020","14,630.0","14,592.0","15,343.5","14,362.0","618.66K","-1.05%"
"Nov 23, 2020","14,785.0","15,440.0","15,469.5","14,454.5","403.35K","-4.06%"
"Nov 20, 2020","15,410.0","15,442.0","15,530.0","15,315.0","160.85K","-0.52%"
"Nov 19, 2020","15,490.0","15,720.0","15,736.5","15,440.5","217.22K","-1.78%"
"Nov 18, 2020","15,770.5","15,746.0","15,875.0","15,608.0","129.02K","-0.13%"
"Nov 17, 2020","15,790.5","15,970.5","16,024.5","15,730.5","165.60K","-1.52%"
"Nov 16, 2020","16,035.0","16,213.0","16,349.0","15,907.5","225.30K","-1.60%"
"Nov 13, 2020","16,295.5","15,964.0","16,480.0","15,825.5","217.89K","1.64%"
"Nov 12, 2020","16,033.0","15,825.0","16,335.0","15,650.0","305.27K","0.96%"
"Nov 11, 2020","15,880.0","16,483.0","16,483.0","15,464.5","364.56K","-3.36%"
"Nov 10, 2020","16,432.5","16,615.0","16,749.0","16,010.0","323.93K","-1.10%"
"Nov 09, 2020","16,615.0","17,812.5","18,027.0","15,802.5","584.44K","-6.12%"
"Nov 06, 2020","17,697.5","17,118.0","17,750.0","17,056.5","223.88K","2.92%"
"Nov 05, 2020","17,195.0","16,710.0","17,265.0","16,610.0","215.72K","3.15%"
"Nov 03, 2020","16,670.5","16,251.0","16,670.5","16,235.5","172.62K","2.15%"
"Nov 02, 2020","16,319.0","15,598.5","16,340.0","15,524.5","148.98K","5.04%"
"Oct 30, 2020","15,536.5","15,520.0","15,600.0","15,127.0","162.18K","-0.41%"
"Oct 29, 2020","15,601.0","16,000.0","16,279.0","15,421.0","137.43K","-2.10%"
"Oct 28, 2020","15,935.0","16,412.0","16,497.5","15,455.5","201.47K","-3.42%"
"Oct 27, 2020","16,499.0","16,050.5","16,543.5","16,050.5","100.51K","2.21%"
"Oct 26, 2020","16,141.5","16,468.0","16,568.5","16,078.0","96.85K","-2.33%"
"Oct 23, 2020","16,527.0","16,880.0","16,880.0","16,316.0","97.75K","-1.44%"
"Oct 22, 2020","16,768.5","16,839.0","17,049.0","16,620.0","155.78K","-0.19%"
"Oct 21, 2020","16,800.5","17,153.0","17,218.0","16,667.5","125.57K","-1.92%"
"Oct 20, 2020","17,130.0","17,229.5","17,248.5","17,037.0","84.19K","-0.80%"
"Oct 19, 2020","17,268.5","17,299.5","17,382.5","17,149.0","72.60K","-0.75%"
"Oct 16, 2020","17,399.5","17,380.0","17,538.0","17,255.0","172.71K","0.47%"
"Oct 15, 2020","17,318.5","17,399.0","17,399.0","17,085.5","158.86K","-0.64%"
"Oct 14, 2020","17,430.0","16,700.0","17,470.5","16,690.0","249.85K","4.65%"
"Oct 13, 2020","16,655.0","16,790.0","16,855.0","16,615.0","67.08K","-1.16%"
"Oct 12, 2020","16,850.0","17,039.0","17,039.0","16,715.0","123.98K","-0.77%"
"Oct 09, 2020","16,981.5","16,950.0","17,063.0","16,780.0","120.28K","0.58%"
"Oct 08, 2020","16,883.0","16,630.0","16,968.5","16,551.0","177.61K","1.91%"
"Oct 07, 2020","16,566.0","16,500.0","16,661.0","16,425.0","91.06K","1.01%"
"Oct 06, 2020","16,401.0","16,970.0","16,977.5","16,400.0","162.65K","-3.31%"
"Oct 05, 2020","16,962.5","16,685.0","17,037.0","16,475.0","129.34K","1.35%"
"Oct 02, 2020","16,737.0","16,495.0","16,862.0","16,369.5","173.81K","2.35%"
"Oct 01, 2020","16,352.0","16,348.0","16,515.5","16,125.0","121.50K","0.62%"
"Sep 30, 2020","16,250.5","16,550.0","16,586.5","16,247.5","134.70K","-2.45%"
"Sep 29, 2020","16,658.0","16,500.0","16,699.5","16,273.0","118.38K","1.43%"
"Sep 28, 2020","16,423.5","16,320.0","16,645.0","16,224.5","148.34K","0.54%"
"Sep 25, 2020","16,335.5","16,345.0","16,585.0","16,161.0","128.87K","0.00%"
"Sep 24, 2020","16,335.0","16,200.0","16,423.5","15,870.5","214.81K","0.16%"
"Sep 23, 2020","16,309.5","16,097.0","16,531.0","15,800.0","211.27K","0.15%"
"Sep 22, 2020","16,285.0","16,255.0","16,676.5","16,126.0","200.46K","-1.06%"
"Sep 21, 2020","16,460.0","16,940.0","16,995.5","15,902.0","206.00K","-2.78%"
"Sep 18, 2020","16,930.0","17,092.0","17,161.0","16,789.5","256.71K","-0.10%"
"Sep 17, 2020","16,947.0","16,280.0","17,367.0","16,280.0","301.91K","-1.87%"
"Sep 16, 2020","17,270.0","16,938.5","17,413.0","16,886.0","245.72K","1.93%"
"Sep 15, 2020","16,943.0","16,980.0","17,073.0","16,776.0","161.18K","-0.04%"
"Sep 14, 2020","16,950.0","17,077.5","17,122.0","16,778.0","187.43K","-0.69%"
"Sep 11, 2020","17,067.0","16,820.0","17,395.0","16,762.0","238.28K","1.55%"
"Sep 10, 2020","16,806.5","16,700.0","16,998.0","16,607.0","204.31K","0.43%"
"Sep 09, 2020","16,735.0","17,014.5","17,074.0","16,518.0","253.31K","-1.69%"
"Sep 08, 2020","17,023.0","17,493.0","17,527.0","16,820.5","211.93K","-2.34%"
"Sep 07, 2020","17,431.0","17,230.0","17,646.5","17,230.0","159.20K","0.96%"
"Sep 04, 2020","17,266.0","16,968.5","17,380.0","16,928.5","217.93K","1.86%"
"Sep 03, 2020","16,951.0","17,374.0","17,444.5","16,763.5","330.00K","-3.30%"
"Sep 02, 2020","17,529.5","17,800.0","17,869.0","17,253.5","238.99K","-1.89%"
"Sep 01, 2020","17,868.0","18,220.0","18,765.0","17,707.5","296.66K","-1.20%"
"Aug 31, 2020","18,085.5","18,400.5","18,404.5","17,890.5","227.94K","-1.53%"
"Aug 28, 2020","18,366.0","18,300.0","18,442.0","18,052.0","231.33K","1.08%"
"Aug 27, 2020","18,170.0","18,200.0","18,470.0","18,077.5","174.10K","-0.95%"
"Aug 26, 2020","18,344.5","17,929.5","18,444.0","17,800.5","202.15K","2.00%"
"Aug 25, 2020","17,985.5","17,983.5","18,127.0","17,820.5","97.57K","0.11%"
"Aug 24, 2020","17,966.0","17,725.0","18,186.5","17,588.0","170.16K","1.58%"
"Aug 21, 2020","17,686.0","17,755.0","17,917.0","17,420.0","161.84K","-0.81%"
"Aug 20, 2020","17,830.0","17,789.0","17,899.0","17,317.0","176.99K","1.12%"
"Aug 19, 2020","17,633.0","17,856.0","18,170.0","17,560.5","247.39K","-1.76%"
"Aug 18, 2020","17,948.0","18,338.5","18,659.0","17,887.0","329.61K","-1.13%"
"Aug 17, 2020","18,152.5","17,530.0","18,280.5","17,517.0","268.97K","4.21%"
"Aug 14, 2020","17,419.0","17,310.5","17,563.0","17,183.5","155.02K","-0.23%"
"Aug 13, 2020","17,460.0","17,315.0","17,630.0","17,122.0","218.35K","0.92%"
"Aug 12, 2020","17,301.5","16,829.0","17,595.0","16,526.0","387.22K","2.78%"
"Aug 11, 2020","16,834.0","17,291.5","17,599.5","16,750.0","445.79K","-5.18%"
"Aug 10, 2020","17,753.0","18,000.0","18,123.5","17,710.0","244.73K","-1.74%"
"Aug 07, 2020","18,067.5","18,440.0","18,564.5","17,755.0","482.10K","-2.82%"
"Aug 06, 2020","18,592.0","18,400.0","18,773.0","18,023.0","322.33K","2.33%"
"Aug 05, 2020","18,169.5","17,463.5","18,500.0","17,450.5","498.63K","4.54%"
"Aug 04, 2020","17,380.5","16,831.0","17,420.0","16,707.5","229.20K","3.15%"
"Aug 03, 2020","16,850.0","17,074.5","17,185.0","16,720.0","188.26K","-0.58%"
"Jul 31, 2020","16,949.0","16,578.0","17,079.5","16,466.0","368.89K","4.37%"
"Jul 30, 2020","16,240.0","16,327.0","16,430.0","16,075.0","222.35K","-2.46%"
"Jul 29, 2020","16,650.0","16,689.0","17,094.5","16,215.0","393.06K","0.42%"
"Jul 28, 2020","16,580.0","17,092.5","17,097.5","16,028.0","563.46K","-3.87%"
"Jul 27, 2020","17,248.0","15,570.0","17,490.0","15,477.0","620.59K","12.99%"
"Jul 24, 2020","15,265.0","14,549.5","15,274.5","14,452.0","340.90K","5.29%"
"Jul 23, 2020","14,498.0","13,973.0","14,600.0","13,921.0","295.19K","4.15%"
"Jul 22, 2020","13,920.0","13,558.5","13,944.0","13,503.5","188.31K","3.23%"
"Jul 21, 2020","13,484.5","13,400.5","13,629.5","13,251.0","151.64K","1.07%"
"Jul 20, 2020","13,342.0","13,290.5","13,426.0","13,121.5","144.37K","0.88%"
"Jul 17, 2020","13,225.0","13,132.5","13,320.0","13,105.5","140.34K","0.43%"
"Jul 16, 2020","13,168.0","13,269.0","13,536.0","12,940.0","318.62K","-0.77%"
"Jul 15, 2020","13,270.0","12,840.0","13,320.0","12,825.5","250.08K","3.51%"
"Jul 14, 2020","12,819.5","12,880.0","12,930.0","12,366.0","264.65K","-0.25%"
"Jul 13, 2020","12,852.0","13,280.0","13,373.5","12,765.0","211.21K","-2.42%"
"Jul 10, 2020","13,170.5","13,250.0","13,729.5","13,056.0","329.08K","-0.82%"
"Jul 09, 2020","13,280.0","12,954.5","13,394.0","12,921.0","327.24K","2.83%"
"Jul 08, 2020","12,914.0","12,710.0","12,961.0","12,556.0","236.78K","1.63%"
"Jul 07, 2020","12,707.0","12,470.0","12,722.0","12,453.0","174.71K","1.73%"
"Jul 06, 2020","12,491.0","12,220.0","12,600.0","12,125.0","209.44K","2.22%"
"Jul 03, 2020","12,220.0","11,970.0","12,284.0","11,933.5","170.54K","2.05%"
"Jul 02, 2020","11,974.0","11,942.0","12,000.0","11,780.0","208.23K","0.03%"
"Jun 30, 2020","11,970.0","11,899.0","12,072.0","11,851.0","172.99K","0.67%"
"Jun 29, 2020","11,890.0","11,750.0","12,010.0","11,718.0","219.17K","1.29%"
"Jun 26, 2020","11,738.5","11,690.0","11,835.0","11,628.0","142.15K","0.56%"
"Jun 25, 2020","11,673.0","11,530.0","11,792.5","11,508.5","247.83K","0.77%"
"Jun 23, 2020","11,583.5","11,303.5","11,640.5","11,234.0","199.92K","2.18%"
"Jun 22, 2020","11,336.5","11,177.5","11,478.0","11,095.5","257.83K","2.43%"
"Jun 19, 2020","11,067.5","10,879.5","11,193.5","10,802.0","359.41K","2.00%"
"Jun 18, 2020","10,850.0","10,753.0","10,915.0","10,670.0","218.86K","1.01%"
"Jun 17, 2020","10,742.0","10,399.5","10,749.5","10,395.0","247.87K","3.84%"
"Jun 16, 2020","10,345.0","10,518.0","10,642.5","10,345.0","179.19K","-1.66%"
"Jun 15, 2020","10,520.0","10,889.0","10,893.0","10,315.0","250.14K","-3.38%"
"Jun 11, 2020","10,888.0","10,801.0","10,970.0","10,616.0","338.32K","2.82%"
"Jun 10, 2020","10,589.5","10,538.0","10,790.0","10,456.0","268.00K","1.19%"
"Jun 09, 2020","10,465.0","10,149.5","10,680.0","10,075.0","364.12K","3.11%"
"Jun 08, 2020","10,149.0","10,290.0","10,302.5","9,952.0","330.71K","-0.95%"
"Jun 05, 2020","10,246.0","10,618.0","10,620.5","10,150.5","311.40K","-4.14%"
"Jun 04, 2020","10,688.5","10,495.0","11,036.0","10,450.5","395.38K","1.15%"
"Jun 03, 2020","10,567.0","10,967.0","11,029.0","10,400.0","423.44K","-5.16%"
"Jun 02, 2020","11,142.0","11,379.5","11,426.0","11,032.0","213.08K","-2.26%"
"Jun 01, 2020","11,400.0","11,650.0","11,686.5","11,159.0","172.08K","-2.34%"
"May 29, 2020","11,673.0","11,388.0","11,701.0","11,268.0","655.92K","2.94%"
"May 28, 2020","11,340.0","11,358.0","11,424.5","11,201.5","189.54K","0.69%"
"May 27, 2020","11,262.5","11,600.0","11,620.0","11,020.0","302.92K","-3.14%"
"May 26, 2020","11,628.0","12,000.0","12,000.0","11,628.0","147.65K","-2.90%"
"May 25, 2020","11,975.0","11,755.0","11,982.0","11,750.5","59.34K","1.36%"
"May 22, 2020","11,814.5","12,000.0","12,088.5","11,755.0","136.33K","-0.93%"
"May 21, 2020","11,925.0","11,978.5","12,044.0","11,754.5","137.54K","-1.23%"
"May 20, 2020","12,073.5","12,203.0","12,269.5","11,980.0","183.66K","-0.30%"
