"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","1,610.00","1,626.00","1,635.00","1,590.60","1.10M","-1.25%"
"Nov 26, 2020","1,630.30","1,592.00","1,648.60","1,591.00","1.42M","2.68%"
"Nov 25, 2020","1,587.80","1,597.30","1,601.50","1,571.40","1.42M","-1.21%"
"Nov 24, 2020","1,607.20","1,631.00","1,650.70","1,579.00","2.45M","-2.35%"
"Nov 23, 2020","1,645.80","1,698.80","1,701.90","1,616.10","1.93M","-2.88%"
"Nov 20, 2020","1,694.60","1,695.40","1,704.40","1,680.50","535.94K","0.04%"
"Nov 19, 2020","1,694.00","1,704.00","1,706.90","1,682.40","848.74K","-0.66%"
"Nov 18, 2020","1,705.30","1,698.00","1,721.40","1,660.00","1.32M","0.54%"
"Nov 17, 2020","1,696.20","1,716.00","1,721.40","1,686.00","1.02M","-1.27%"
"Nov 16, 2020","1,718.00","1,744.80","1,749.70","1,691.20","1.69M","-0.81%"
"Nov 13, 2020","1,732.10","1,715.00","1,742.00","1,700.00","1.47M","1.07%"
"Nov 12, 2020","1,713.70","1,700.70","1,746.10","1,691.40","2.12M","0.76%"
"Nov 11, 2020","1,700.70","1,717.00","1,718.40","1,660.00","2.53M","-0.82%"
"Nov 10, 2020","1,714.70","1,765.00","1,798.60","1,676.00","4.08M","-2.68%"
"Nov 09, 2020","1,762.00","1,940.00","1,979.10","1,672.00","6.31M","-8.47%"
"Nov 06, 2020","1,925.10","1,831.10","1,933.90","1,830.10","1.54M","4.16%"
"Nov 05, 2020","1,848.20","1,808.00","1,869.40","1,800.10","1.39M","2.92%"
"Nov 03, 2020","1,795.70","1,746.00","1,809.30","1,734.20","1.50M","2.29%"
"Nov 02, 2020","1,755.50","1,687.80","1,765.00","1,680.00","1.20M","4.98%"
"Oct 30, 2020","1,672.30","1,694.20","1,701.80","1,639.00","956.56K","-1.29%"
"Oct 29, 2020","1,694.20","1,717.80","1,730.00","1,676.00","1.04M","-0.15%"
"Oct 28, 2020","1,696.80","1,770.00","1,783.80","1,530.00","1.52M","-4.15%"
"Oct 27, 2020","1,770.30","1,758.10","1,782.50","1,745.50","864.04K","1.15%"
"Oct 26, 2020","1,750.10","1,762.00","1,776.00","1,741.50","544.77K","-1.06%"
"Oct 23, 2020","1,768.80","1,788.70","1,798.20","1,743.20","724.06K","-0.82%"
"Oct 22, 2020","1,783.40","1,784.90","1,819.80","1,772.50","1.41M","0.55%"
"Oct 21, 2020","1,773.60","1,779.30","1,784.00","1,732.00","911.12K","0.06%"
"Oct 20, 2020","1,772.50","1,795.90","1,795.90","1,764.10","676.39K","-1.31%"
"Oct 19, 2020","1,796.00","1,795.00","1,807.50","1,786.90","489.45K","0.51%"
"Oct 16, 2020","1,786.80","1,784.00","1,808.20","1,771.40","885.99K","0.34%"
"Oct 15, 2020","1,780.80","1,800.00","1,806.60","1,760.10","1.09M","-1.01%"
"Oct 14, 2020","1,798.90","1,728.00","1,800.00","1,719.00","1.42M","4.41%"
"Oct 13, 2020","1,723.00","1,712.00","1,741.80","1,710.10","794.37K","-0.06%"
"Oct 12, 2020","1,724.10","1,713.40","1,730.70","1,700.00","986.35K","1.32%"
"Oct 09, 2020","1,701.60","1,683.90","1,709.00","1,680.20","756.18K","1.59%"
"Oct 08, 2020","1,675.00","1,681.30","1,691.40","1,658.80","939.31K","-0.35%"
"Oct 07, 2020","1,680.90","1,674.00","1,685.60","1,660.60","626.91K","1.13%"
"Oct 06, 2020","1,662.10","1,724.20","1,724.20","1,660.00","1.34M","-3.23%"
"Oct 05, 2020","1,717.60","1,714.80","1,727.60","1,687.00","1.26M","0.27%"
"Oct 02, 2020","1,712.90","1,709.90","1,729.50","1,691.20","1.13M","1.31%"
"Oct 01, 2020","1,690.80","1,694.70","1,707.90","1,666.30","733.06K","0.64%"
"Sep 30, 2020","1,680.00","1,714.00","1,718.00","1,677.40","1.08M","-2.66%"
"Sep 29, 2020","1,725.90","1,705.00","1,734.00","1,685.10","1.01M","1.17%"
"Sep 28, 2020","1,706.00","1,667.00","1,723.70","1,659.00","1.06M","2.00%"
"Sep 25, 2020","1,672.50","1,683.20","1,690.00","1,639.40","1.27M","-1.27%"
"Sep 24, 2020","1,694.00","1,617.70","1,700.10","1,584.20","2.22M","4.96%"
"Sep 23, 2020","1,614.00","1,631.90","1,657.00","1,603.90","2.02M","-2.75%"
"Sep 22, 2020","1,659.60","1,700.00","1,701.00","1,633.90","2.12M","-1.72%"
"Sep 21, 2020","1,688.70","1,744.80","1,744.80","1,641.40","2.40M","-3.52%"
"Sep 18, 2020","1,750.40","1,775.80","1,778.20","1,726.90","2.45M","-1.22%"
"Sep 17, 2020","1,772.10","1,874.50","1,888.70","1,771.10","2.52M","-6.53%"
"Sep 16, 2020","1,896.00","1,880.40","1,906.00","1,877.40","1.04M","0.62%"
"Sep 15, 2020","1,884.40","1,884.90","1,896.00","1,872.30","1.15M","0.06%"
"Sep 14, 2020","1,883.30","1,929.10","1,930.50","1,863.50","1.27M","-1.78%"
"Sep 11, 2020","1,917.50","1,915.90","1,923.50","1,897.90","956.05K","0.03%"
"Sep 10, 2020","1,916.90","1,917.90","1,927.60","1,892.80","1.53M","0.31%"
"Sep 09, 2020","1,911.00","1,895.00","1,920.90","1,861.00","4.54M","-1.90%"
"Sep 08, 2020","1,948.10","2,007.40","2,027.80","1,902.30","1.82M","-2.86%"
"Sep 07, 2020","2,005.50","1,934.70","2,027.00","1,923.90","1.95M","3.80%"
"Sep 04, 2020","1,932.00","1,924.80","1,955.00","1,894.30","915.92K","0.36%"
"Sep 03, 2020","1,925.00","1,969.00","1,969.90","1,904.10","892.65K","-2.97%"
"Sep 02, 2020","1,984.00","2,030.90","2,043.00","1,964.00","807.93K","-3.19%"
"Sep 01, 2020","2,049.30","2,035.00","2,061.30","2,005.00","1.32M","2.21%"
"Aug 31, 2020","2,004.90","2,031.70","2,084.50","1,965.20","1.35M","-1.01%"
"Aug 28, 2020","2,025.30","1,960.00","2,036.00","1,942.60","1.32M","4.22%"
"Aug 27, 2020","1,943.30","1,977.80","2,004.20","1,927.80","1.30M","-2.11%"
"Aug 26, 2020","1,985.20","1,949.80","1,988.00","1,914.00","1.04M","2.39%"
"Aug 25, 2020","1,938.80","1,921.00","1,939.70","1,917.30","356.41K","0.93%"
"Aug 24, 2020","1,921.00","1,923.00","1,947.90","1,902.60","607.69K","0.38%"
"Aug 21, 2020","1,913.80","1,931.10","1,932.00","1,866.00","945.00K","-0.78%"
"Aug 20, 2020","1,928.80","1,907.40","1,939.00","1,872.00","659.48K","1.78%"
"Aug 19, 2020","1,895.00","1,936.00","1,964.30","1,885.00","610.89K","-3.12%"
"Aug 18, 2020","1,956.00","1,975.10","1,991.60","1,945.20","689.41K","-0.21%"
"Aug 17, 2020","1,960.20","1,909.90","1,968.40","1,900.20","839.65K","3.60%"
"Aug 14, 2020","1,892.10","1,905.00","1,910.00","1,880.00","422.19K","-1.32%"
"Aug 13, 2020","1,917.50","1,885.80","1,931.00","1,872.90","696.37K","1.99%"
"Aug 12, 2020","1,880.10","1,797.00","1,929.00","1,791.20","1.42M","3.87%"
"Aug 11, 2020","1,810.10","1,907.00","1,907.00","1,786.30","1.63M","-6.45%"
"Aug 10, 2020","1,934.90","1,937.50","1,962.70","1,902.00","536.51K","0.36%"
