"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","461.20","465.00","466.40","456.65","6.13M","-0.76%"
"Nov 26, 2020","464.75","473.30","473.80","463.80","5.96M","-1.81%"
"Nov 25, 2020","473.30","473.10","474.80","467.60","6.85M","0.23%"
"Nov 24, 2020","472.20","472.50","474.90","462.30","8.98M","0.55%"
"Nov 23, 2020","469.60","467.30","472.25","463.65","11.21M","1.03%"
"Nov 20, 2020","464.80","450.50","465.00","446.15","13.30M","2.87%"
"Nov 19, 2020","451.85","452.15","454.10","443.05","9.55M","-0.23%"
"Nov 18, 2020","452.90","438.00","460.00","436.25","19.29M","3.20%"
"Nov 17, 2020","438.85","430.90","441.50","419.80","15.12M","1.83%"
"Nov 16, 2020","430.95","425.00","435.45","415.65","13.00M","2.77%"
"Nov 13, 2020","419.35","412.30","419.35","408.55","6.39M","1.71%"
"Nov 12, 2020","412.30","418.00","419.65","410.55","7.72M","-1.68%"
"Nov 11, 2020","419.35","416.40","429.00","415.85","16.14M","1.16%"
"Nov 10, 2020","414.55","395.40","418.85","392.25","11.05M","4.84%"
"Nov 09, 2020","395.40","385.65","405.00","378.15","15.99M","3.41%"
"Nov 06, 2020","382.35","380.25","384.70","378.15","6.42M","-0.01%"
"Nov 05, 2020","382.40","378.30","386.90","372.35","9.37M","2.25%"
"Nov 03, 2020","374.00","360.00","376.80","358.35","8.07M","4.12%"
"Nov 02, 2020","359.20","346.05","359.55","342.10","8.46M","2.69%"
"Oct 30, 2020","349.80","349.00","352.35","343.60","5.73M","-0.91%"
"Oct 29, 2020","353.00","353.10","354.20","345.00","8.02M","0.60%"
"Oct 28, 2020","350.90","371.85","371.85","350.50","9.83M","-5.80%"
"Oct 27, 2020","372.50","375.00","376.90","372.05","3.06M","-0.55%"
"Oct 26, 2020","374.55","376.80","378.00","373.60","2.83M","-1.40%"
"Oct 23, 2020","379.85","381.80","381.80","378.50","2.41M","-0.51%"
"Oct 22, 2020","381.80","382.90","384.85","380.00","2.91M","-0.46%"
"Oct 21, 2020","383.55","384.60","385.30","381.35","2.37M","-0.27%"
"Oct 20, 2020","384.60","380.10","385.50","380.00","2.25M","0.80%"
"Oct 19, 2020","381.55","385.25","385.60","379.50","3.11M","-0.37%"
"Oct 16, 2020","382.95","378.75","384.35","377.95","3.36M","0.72%"
"Oct 15, 2020","380.20","384.20","384.95","379.20","3.62M","-1.35%"
"Oct 14, 2020","385.40","379.00","385.95","376.40","3.02M","1.73%"
"Oct 13, 2020","378.85","384.30","384.50","378.15","2.54M","-1.38%"
"Oct 12, 2020","384.15","386.10","387.15","382.70","4.43M","-0.62%"
"Oct 09, 2020","386.55","393.00","393.00","383.80","3.07M","-1.52%"
"Oct 08, 2020","392.50","390.00","394.20","386.10","4.04M","0.94%"
"Oct 07, 2020","388.85","390.00","392.95","385.45","4.11M","-0.35%"
"Oct 06, 2020","390.20","392.00","395.70","389.85","4.59M","-0.10%"
"Oct 05, 2020","390.60","382.95","390.70","381.25","5.74M","2.67%"
"Oct 02, 2020","380.45","383.50","384.20","378.10","5.01M","-1.30%"
"Oct 01, 2020","385.45","386.85","389.10","382.10","5.61M","0.64%"
"Sep 30, 2020","383.00","382.95","387.95","381.70","3.71M","-0.26%"
"Sep 29, 2020","384.00","386.00","389.40","380.80","4.54M","-0.49%"
"Sep 28, 2020","385.90","382.35","386.45","380.45","3.44M","1.18%"
"Sep 25, 2020","381.40","379.00","381.50","376.95","4.45M","1.25%"
"Sep 24, 2020","376.70","373.20","379.00","369.15","3.90M","1.60%"
"Sep 23, 2020","370.75","375.80","379.55","370.15","3.81M","-1.08%"
"Sep 22, 2020","374.80","367.70","375.70","366.75","4.16M","1.76%"
"Sep 21, 2020","368.30","376.00","376.00","363.40","6.77M","-2.18%"
"Sep 18, 2020","376.50","382.90","384.00","374.50","4.17M","-1.58%"
"Sep 17, 2020","382.55","383.00","384.15","378.65","5.34M","-0.83%"
"Sep 16, 2020","385.75","386.05","389.90","381.80","4.94M","0.12%"
"Sep 15, 2020","385.30","374.00","385.70","373.10","4.05M","2.90%"
"Sep 14, 2020","374.45","372.00","376.90","370.65","3.28M","1.19%"
"Sep 11, 2020","370.05","367.00","371.70","365.50","3.24M","0.86%"
"Sep 10, 2020","366.90","372.05","373.00","365.65","4.26M","-1.32%"
"Sep 09, 2020","371.80","367.70","372.75","367.35","4.60M","1.06%"
"Sep 08, 2020","367.90","370.15","372.65","364.50","5.02M","-0.94%"
"Sep 07, 2020","371.40","370.00","373.40","367.45","3.42M","-0.30%"
"Sep 04, 2020","372.50","365.75","372.80","365.00","5.66M","1.72%"
"Sep 03, 2020","366.20","371.00","372.35","363.30","4.80M","-1.43%"
"Sep 02, 2020","371.50","374.15","377.50","367.30","4.53M","-0.64%"
"Sep 01, 2020","373.90","375.30","375.45","369.80","3.56M","0.19%"
"Aug 31, 2020","373.20","382.00","385.00","371.25","7.52M","-1.96%"
"Aug 28, 2020","380.65","389.90","391.20","378.80","3.50M","-2.31%"
"Aug 27, 2020","389.65","397.95","399.00","388.30","3.89M","-1.97%"
"Aug 26, 2020","397.50","393.05","398.50","391.90","5.66M","1.20%"
"Aug 25, 2020","392.80","389.50","393.45","386.70","5.98M","1.07%"
"Aug 24, 2020","388.65","384.55","388.70","383.25","3.24M","1.53%"
"Aug 21, 2020","382.80","382.05","386.20","377.60","4.10M","0.31%"
"Aug 20, 2020","381.60","385.10","386.30","379.10","5.24M","-1.78%"
"Aug 19, 2020","388.50","392.40","393.25","385.40","3.87M","-0.85%"
"Aug 18, 2020","391.85","388.00","394.30","386.15","5.60M","0.59%"
"Aug 17, 2020","389.55","389.50","393.10","383.20","6.55M","0.41%"
"Aug 14, 2020","387.95","387.50","390.00","382.65","6.09M","0.17%"
"Aug 13, 2020","387.30","379.00","389.70","376.00","10.59M","2.50%"
"Aug 12, 2020","377.85","369.00","379.05","368.55","7.43M","2.90%"
"Aug 11, 2020","367.20","369.00","371.85","366.70","6.20M","-0.29%"
"Aug 10, 2020","368.25","367.95","370.95","366.60","3.34M","0.30%"
"Aug 07, 2020","367.15","367.80","370.50","365.20","4.83M","-0.50%"
"Aug 06, 2020","369.00","365.05","374.85","362.45","6.14M","1.23%"
"Aug 05, 2020","364.50","361.00","365.60","359.00","7.95M","1.31%"
"Aug 04, 2020","359.80","356.50","360.70","355.00","4.72M","0.94%"
"Aug 03, 2020","356.45","356.00","358.35","355.25","3.73M","-0.13%"
"Jul 31, 2020","356.90","356.00","358.20","353.50","4.02M","0.30%"
"Jul 30, 2020","355.85","359.05","359.60","352.60","5.66M","-1.26%"
"Jul 29, 2020","360.40","356.00","360.40","355.45","5.48M","1.41%"
"Jul 28, 2020","355.40","358.95","359.30","355.00","4.09M","-0.80%"
"Jul 27, 2020","358.25","361.00","361.00","356.30","4.49M","-0.42%"
"Jul 24, 2020","359.75","358.20","360.70","357.40","4.49M","-0.07%"
"Jul 23, 2020","360.00","366.00","366.55","358.10","3.23M","-1.29%"
"Jul 22, 2020","364.70","364.00","366.80","362.20","3.39M","0.07%"
"Jul 21, 2020","364.45","362.50","367.75","362.20","5.28M","0.86%"
"Jul 20, 2020","361.35","359.35","361.65","355.90","3.79M","0.42%"
"Jul 17, 2020","359.85","361.00","362.25","358.35","2.15M","-0.35%"
"Jul 16, 2020","361.10","357.00","361.45","355.85","2.85M","0.74%"
"Jul 15, 2020","358.45","355.10","362.95","353.35","8.35M","0.97%"
"Jul 14, 2020","355.00","355.95","355.95","349.05","7.44M","0.01%"
"Jul 13, 2020","354.95","366.00","367.40","354.30","5.01M","-2.49%"
"Jul 10, 2020","364.00","361.05","364.50","356.80","4.24M","-0.07%"
"Jul 09, 2020","364.25","366.85","367.45","360.65","3.95M","-0.52%"
"Jul 08, 2020","366.15","366.00","366.80","362.75","2.85M","0.08%"
"Jul 07, 2020","365.85","366.00","368.80","364.55","3.43M","-0.80%"
"Jul 06, 2020","368.80","367.60","373.65","367.00","5.17M","0.94%"
"Jul 03, 2020","365.35","367.50","368.20","362.95","3.35M","-0.19%"
"Jul 02, 2020","366.05","364.05","367.80","362.50","3.70M","1.17%"
"Jun 30, 2020","361.80","365.60","366.20","359.50","4.14M","-1.01%"
"Jun 29, 2020","365.50","365.50","367.45","361.70","4.33M","-0.42%"
"Jun 26, 2020","367.05","373.05","373.05","366.00","3.59M","-1.20%"
"Jun 25, 2020","371.50","366.95","372.00","362.20","9.32M","-0.56%"
"Jun 23, 2020","373.60","376.90","377.75","372.50","4.26M","-0.55%"
"Jun 22, 2020","375.65","374.55","379.00","370.50","5.86M","-0.13%"
"Jun 19, 2020","376.15","376.15","378.80","373.70","7.04M","0.67%"
"Jun 18, 2020","373.65","371.70","374.50","369.25","5.31M","0.51%"
"Jun 17, 2020","371.75","372.55","376.85","371.05","6.43M","0.09%"
"Jun 16, 2020","371.40","372.15","376.80","370.25","9.21M","1.43%"
"Jun 15, 2020","366.15","368.70","369.05","359.55","12.12M","-2.65%"
"Jun 11, 2020","376.10","382.90","382.90","370.50","15.67M","-6.05%"
"Jun 10, 2020","400.30","401.60","403.75","397.25","8.81M","-0.42%"
"Jun 09, 2020","402.00","403.00","403.90","394.30","10.12M","0.46%"
"Jun 08, 2020","400.15","407.00","408.25","395.00","12.65M","-0.45%"
"Jun 05, 2020","401.95","394.50","402.00","393.00","11.60M","3.05%"
"Jun 04, 2020","390.05","397.00","397.30","387.65","8.82M","-1.74%"
"Jun 03, 2020","396.95","390.20","397.60","388.40","13.93M","2.57%"
"Jun 02, 2020","387.00","380.55","387.00","379.80","13.08M","2.19%"
"Jun 01, 2020","378.70","380.00","387.00","376.35","8.34M","0.66%"
"May 29, 2020","376.20","374.05","376.35","370.40","10.71M","-0.33%"
"May 28, 2020","377.45","376.80","378.20","372.50","7.37M","0.68%"
"May 27, 2020","374.90","373.80","380.00","366.35","12.19M","0.13%"
"May 26, 2020","374.40","377.80","380.90","374.40","10.60M","0.12%"
"May 25, 2020","373.95","366.50","374.00","366.50","5.29M","2.59%"
"May 22, 2020","364.50","359.70","365.90","358.10","13.80M","-0.68%"
"May 21, 2020","367.00","378.90","383.35","364.40","20.89M","-3.48%"
"May 20, 2020","380.25","374.00","384.45","373.25","14.75M","1.00%"
"May 19, 2020","376.50","376.20","383.50","371.55","18.94M","0.39%"
"May 18, 2020","375.05","357.50","375.95","355.65","19.90M","7.14%"
"May 15, 2020","350.05","351.20","354.75","349.35","9.51M","0.84%"
"May 14, 2020","347.15","346.00","349.95","344.55","8.93M","-0.24%"
"May 13, 2020","348.00","350.30","353.15","345.85","8.91M","-0.88%"
"May 12, 2020","351.10","347.80","355.70","345.20","11.19M","0.89%"
"May 08, 2020","348.00","344.05","350.00","340.25","9.55M","1.46%"
"May 07, 2020","343.00","337.15","344.55","336.75","12.49M","1.89%"
"May 06, 2020","336.65","344.00","344.85","335.00","14.59M","-1.71%"
"May 05, 2020","342.50","337.00","343.55","334.00","13.98M","3.47%"
"May 04, 2020","331.00","330.55","332.75","325.05","8.83M","-1.39%"
"Apr 30, 2020","335.65","343.25","346.45","330.30","17.15M","-0.68%"
"Apr 29, 2020","337.95","328.00","338.25","326.50","15.37M","3.95%"
"Apr 28, 2020","325.10","320.50","331.30","318.00","17.58M","0.68%"
"Apr 27, 2020","322.90","322.20","327.30","319.30","10.28M","-0.34%"
"Apr 24, 2020","324.00","334.70","334.70","322.50","16.54M","-3.28%"
"Apr 23, 2020","335.00","329.60","336.80","324.10","22.99M","4.05%"
"Apr 22, 2020","321.95","299.10","329.10","299.10","25.01M","5.90%"
"Apr 21, 2020","304.00","299.20","306.95","293.50","25.25M","-1.27%"
"Apr 20, 2020","307.90","310.50","314.50","307.80","12.23M","-1.91%"
"Apr 17, 2020","313.90","312.00","314.75","307.30","14.67M","2.67%"
"Apr 16, 2020","305.75","308.85","314.90","296.25","21.56M","-0.49%"
"Apr 15, 2020","307.25","328.00","328.35","304.05","19.86M","-7.16%"
"Apr 14, 2020","330.95","339.15","342.00","327.40","13.26M","-1.71%"
"Apr 13, 2020","336.70","345.00","346.50","334.40","9.85M","-2.12%"
"Apr 10, 2020","344.00","350.00","350.05","342.15","12.85M","-2.55%"
"Apr 09, 2020","353.00","347.90","355.00","341.50","27.11M","3.37%"
"Apr 08, 2020","341.50","337.00","342.95","335.70","14.04M","0.59%"
