"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","96.18","95.00","96.79","94.69","2.14M","1.40%"
"Nov 26, 2020","94.85","95.15","95.44","94.31","1.49M","-0.19%"
"Nov 25, 2020","95.03","95.30","95.60","94.34","2.82M","-0.18%"
"Nov 24, 2020","95.20","96.17","96.58","94.00","3.34M","-0.31%"
"Nov 23, 2020","95.50","95.28","96.46","95.07","2.67M","0.70%"
"Nov 20, 2020","94.84","95.60","95.64","94.60","1.35M","-0.35%"
"Nov 19, 2020","95.17","96.80","96.80","94.89","2.37M","-1.37%"
"Nov 18, 2020","96.49","95.04","97.14","95.04","1.85M","0.78%"
"Nov 17, 2020","95.74","96.41","96.79","94.85","3.26M","-0.37%"
"Nov 16, 2020","96.10","97.00","97.49","95.20","3.17M","-0.82%"
"Nov 13, 2020","96.89","96.40","97.05","96.00","2.24M","0.62%"
"Nov 12, 2020","96.29","95.15","97.00","94.51","3.31M","1.20%"
"Nov 11, 2020","95.15","96.85","97.50","94.57","4.62M","-0.78%"
"Nov 10, 2020","95.90","95.91","96.51","94.04","3.09M","0.31%"
"Nov 09, 2020","95.60","94.96","98.00","94.32","4.46M","1.73%"
"Nov 06, 2020","93.97","93.90","94.03","92.90","1.73M","0.09%"
"Nov 05, 2020","93.89","93.61","94.39","93.19","2.61M","0.66%"
"Nov 03, 2020","93.27","93.46","93.59","92.33","2.33M","0.29%"
"Nov 02, 2020","93.00","92.43","93.00","91.12","2.00M","0.67%"
"Oct 30, 2020","92.38","92.51","92.80","90.62","2.62M","-0.08%"
"Oct 29, 2020","92.45","92.20","93.37","91.41","1.80M","0.21%"
"Oct 28, 2020","92.26","94.14","94.30","91.38","2.42M","-1.67%"
"Oct 27, 2020","93.83","95.40","95.60","93.64","2.15M","-1.38%"
"Oct 26, 2020","95.14","95.10","95.98","94.55","2.13M","-0.22%"
"Oct 23, 2020","95.35","95.26","95.71","94.51","1.88M","0.68%"
"Oct 22, 2020","94.71","94.39","95.50","93.88","1.86M","0.70%"
"Oct 21, 2020","94.05","95.15","96.34","93.52","3.16M","-1.04%"
"Oct 20, 2020","95.04","93.43","95.38","92.91","2.73M","1.45%"
"Oct 19, 2020","93.68","94.00","94.80","92.92","1.16M","-0.53%"
"Oct 16, 2020","94.18","93.88","94.79","92.41","1.67M","0.75%"
"Oct 15, 2020","93.48","94.70","95.12","93.20","1.42M","-1.59%"
"Oct 14, 2020","94.99","94.74","95.74","93.95","2.16M","0.61%"
"Oct 13, 2020","94.41","94.27","95.70","93.50","2.99M","0.55%"
"Oct 12, 2020","93.89","92.90","94.29","92.56","3.93M","1.07%"
"Oct 09, 2020","92.90","94.95","94.95","92.56","2.25M","-2.00%"
"Oct 08, 2020","94.80","95.60","95.60","94.50","2.15M","-0.80%"
"Oct 07, 2020","95.56","96.43","96.56","94.85","1.39M","-0.68%"
