"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","36.88","36.99","37.04","36.48","24.64M","-0.22%"
"Nov 26, 2020","36.96","37.49","37.58","36.73","23.65M","-1.39%"
"Nov 25, 2020","37.47","37.17","37.60","36.91","34.81M","1.09%"
"Nov 24, 2020","37.07","37.44","37.47","36.78","37.21M","0.22%"
"Nov 23, 2020","36.99","36.67","37.34","36.55","32.73M","1.51%"
"Nov 20, 2020","36.44","36.83","36.90","36.20","16.37M","-0.80%"
"Nov 19, 2020","36.74","37.10","37.14","36.58","18.89M","-0.53%"
"Nov 18, 2020","36.93","36.94","37.42","36.74","35.37M","-0.23%"
"Nov 17, 2020","37.01","37.76","37.96","36.60","36.09M","-2.00%"
"Nov 16, 2020","37.77","36.17","37.83","35.80","79.51M","5.55%"
"Nov 13, 2020","35.78","35.82","36.15","35.48","26.48M","-0.18%"
"Nov 12, 2020","35.85","36.40","36.77","35.79","50.54M","-1.98%"
"Nov 11, 2020","36.58","36.90","37.42","36.38","39.32M","-0.39%"
"Nov 10, 2020","36.72","36.80","37.15","36.18","46.65M","-0.22%"
"Nov 09, 2020","36.80","35.90","37.08","35.44","57.18M","3.55%"
"Nov 06, 2020","35.54","35.69","35.77","35.28","27.81M","-0.67%"
"Nov 05, 2020","35.78","34.90","35.90","34.56","48.75M","4.30%"
"Nov 03, 2020","34.31","33.95","34.74","33.95","36.75M","0.87%"
"Nov 02, 2020","34.01","32.78","34.15","32.56","36.55M","3.31%"
"Oct 30, 2020","32.92","33.08","33.82","32.49","45.66M","-1.48%"
"Oct 29, 2020","33.42","32.33","33.67","32.13","49.59M","3.13%"
"Oct 28, 2020","32.40","33.99","34.10","32.06","70.94M","-4.83%"
"Oct 27, 2020","34.04","34.10","34.52","33.97","24.93M","0.13%"
"Oct 26, 2020","34.00","33.96","34.28","33.80","19.31M","0.00%"
"Oct 23, 2020","34.00","33.63","34.15","33.63","20.12M","0.88%"
"Oct 22, 2020","33.71","33.60","33.91","33.51","20.29M","0.09%"
"Oct 21, 2020","33.67","34.15","34.17","33.57","16.96M","-1.29%"
