"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","144,500.0","143,550.0","144,950.0","142,700.0","1.62K","0.73%"
"Nov 26, 2020","143,450.0","143,500.0","143,800.0","142,050.0","1.44K","0.17%"
"Nov 25, 2020","143,200.0","141,900.0","143,900.0","141,050.0","2.35K","0.99%"
"Nov 24, 2020","141,800.0","141,800.0","142,150.0","140,700.0","1.32K","0.21%"
"Nov 23, 2020","141,500.0","141,950.0","142,000.0","140,700.0","1.32K","0.07%"
"Nov 20, 2020","141,400.0","140,900.0","141,850.0","140,200.0","2.56K","0.28%"
"Nov 19, 2020","141,000.0","141,500.0","141,700.0","141,000.0","1.65K","-0.49%"
"Nov 18, 2020","141,700.0","139,800.0","141,900.0","139,800.0","1.69K","1.29%"
"Nov 17, 2020","139,900.0","141,550.0","141,550.0","139,150.0","1.71K","-0.67%"
"Nov 16, 2020","140,850.0","140,200.0","141,600.0","139,350.0","3.05K","0.90%"
"Nov 13, 2020","139,600.0","139,000.0","139,900.0","138,550.0","0.70K","0.29%"
"Nov 12, 2020","139,200.0","141,550.0","141,550.0","138,350.0","2.47K","-1.42%"
"Nov 11, 2020","141,200.0","140,550.0","143,400.0","140,250.0","4.17K","0.79%"
"Nov 10, 2020","140,100.0","138,500.0","140,400.0","137,250.0","2.80K","1.41%"
"Nov 09, 2020","138,150.0","137,000.0","139,700.0","136,650.0","4.36K","1.25%"
"Nov 06, 2020","136,450.0","135,250.0","136,850.0","135,250.0","1.58K","-0.33%"
"Nov 05, 2020","136,900.0","134,150.0","137,200.0","133,650.0","3.02K","2.78%"
"Nov 03, 2020","133,200.0","133,750.0","134,500.0","132,250.0","1.89K","0.11%"
"Nov 02, 2020","133,050.0","132,000.0","133,650.0","130,850.0","1.92K","0.68%"
"Oct 30, 2020","132,150.0","133,450.0","133,450.0","131,850.0","1.22K","-0.86%"
"Oct 29, 2020","133,300.0","134,500.0","134,600.0","131,700.0","1.48K","0.26%"
"Oct 28, 2020","132,950.0","134,150.0","135,850.0","131,500.0","3.18K","-1.15%"
"Oct 27, 2020","134,500.0","135,150.0","135,250.0","134,200.0","1.09K","-0.22%"
"Oct 26, 2020","134,800.0","135,000.0","136,150.0","134,400.0","1.41K","-0.52%"
"Oct 23, 2020","135,500.0","135,500.0","136,250.0","135,050.0","1.54K","-0.15%"
"Oct 22, 2020","135,700.0","135,700.0","136,250.0","135,250.0","0.67K","0.33%"
"Oct 21, 2020","135,250.0","137,150.0","137,400.0","134,300.0","2.31K","-1.28%"
"Oct 20, 2020","137,000.0","136,200.0","137,750.0","135,450.0","2.26K","0.74%"
"Oct 19, 2020","136,000.0","133,700.0","136,800.0","132,550.0","9.87K","-5.98%"
"Oct 16, 2020","144,650.0","146,900.0","146,900.0","141,400.0","9.40K","-1.03%"
"Oct 15, 2020","146,150.0","147,500.0","147,500.0","145,800.0","2.82K","-0.65%"
"Oct 14, 2020","147,100.0","146,700.0","147,700.0","146,500.0","1.73K","-0.24%"
"Oct 13, 2020","147,450.0","147,000.0","148,400.0","146,250.0","2.64K","0.24%"
"Oct 12, 2020","147,100.0","146,050.0","147,250.0","146,050.0","1.19K","0.51%"
"Oct 09, 2020","146,350.0","147,000.0","147,000.0","145,350.0","1.40K","-0.31%"
"Oct 08, 2020","146,800.0","146,150.0","147,050.0","146,050.0","0.94K","0.41%"
"Oct 07, 2020","146,200.0","146,650.0","147,400.0","145,550.0","1.57K","-0.20%"
"Oct 06, 2020","146,500.0","145,650.0","147,500.0","145,650.0","1.73K","0.65%"
"Oct 05, 2020","145,550.0","146,350.0","146,450.0","144,600.0","2.01K","-0.17%"
"Oct 02, 2020","145,800.0","145,450.0","146,900.0","145,200.0","2.55K","-0.17%"
"Oct 01, 2020","146,050.0","148,350.0","148,600.0","145,700.0","2.75K","-1.02%"
"Sep 30, 2020","147,550.0","148,550.0","148,700.0","147,500.0","2.31K","-0.61%"
"Sep 29, 2020","148,450.0","146,000.0","149,450.0","145,550.0","6.75K","1.16%"
"Sep 28, 2020","146,750.0","144,150.0","146,750.0","144,150.0","4.06K","1.07%"
"Sep 25, 2020","145,200.0","146,000.0","147,000.0","143,550.0","3.81K","0.41%"
"Sep 24, 2020","144,600.0","144,750.0","144,750.0","142,550.0","2.64K","0.42%"
"Sep 23, 2020","144,000.0","142,850.0","144,950.0","141,200.0","4.43K","0.70%"
"Sep 22, 2020","143,000.0","142,900.0","144,550.0","142,550.0","1.68K","-0.31%"
"Sep 21, 2020","143,450.0","144,400.0","146,400.0","141,300.0","4.61K","-1.14%"
"Sep 18, 2020","145,100.0","144,100.0","146,350.0","141,650.0","7.53K","0.55%"
"Sep 17, 2020","144,300.0","138,350.0","144,800.0","136,300.0","7.43K","3.33%"
"Sep 16, 2020","139,650.0","139,400.0","140,500.0","138,800.0","1.45K","-0.18%"
"Sep 15, 2020","139,900.0","138,850.0","140,700.0","138,700.0","2.70K","0.50%"
"Sep 14, 2020","139,200.0","138,450.0","139,700.0","138,150.0","1.65K","0.80%"
"Sep 11, 2020","138,100.0","136,000.0","138,450.0","136,000.0","1.78K","0.99%"
"Sep 10, 2020","136,750.0","135,950.0","139,350.0","135,200.0","2.97K","0.55%"
"Sep 09, 2020","136,000.0","134,800.0","137,000.0","134,800.0","1.30K","0.15%"
"Sep 08, 2020","135,800.0","137,300.0","137,300.0","134,350.0","2.53K","-0.84%"
"Sep 07, 2020","136,950.0","136,850.0","137,650.0","136,700.0","0.94K","0.07%"
"Sep 04, 2020","136,850.0","136,350.0","137,900.0","136,250.0","1.18K","0.18%"
"Sep 03, 2020","136,600.0","138,050.0","138,650.0","136,000.0","2.35K","-0.87%"
"Sep 02, 2020","137,800.0","139,600.0","140,300.0","136,250.0","2.25K","-1.78%"
"Sep 01, 2020","140,300.0","137,950.0","140,450.0","136,950.0","2.40K","1.93%"
"Aug 31, 2020","137,650.0","138,900.0","139,600.0","137,450.0","2.56K","-0.36%"
"Aug 28, 2020","138,150.0","141,100.0","141,550.0","136,300.0","3.79K","-2.30%"
"Aug 27, 2020","141,400.0","142,700.0","142,750.0","140,850.0","1.67K","-0.70%"
"Aug 26, 2020","142,400.0","141,300.0","142,950.0","140,700.0","2.05K","0.56%"
"Aug 25, 2020","141,600.0","142,550.0","143,400.0","140,650.0","2.34K","-0.46%"
"Aug 24, 2020","142,250.0","143,000.0","143,350.0","141,650.0","1.64K","0.00%"
"Aug 21, 2020","142,250.0","143,000.0","144,150.0","140,200.0","2.40K","-0.70%"
"Aug 20, 2020","143,250.0","144,800.0","145,700.0","140,650.0","4.87K","-1.51%"
"Aug 19, 2020","145,450.0","144,800.0","145,900.0","144,500.0","2.51K","0.00%"
