"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","0.037765","0.037100","0.038200","0.036785","110.56B","2.07%"
"Nov 26, 2020","0.037000","0.036865","0.037440","0.036600","71.43B","0.49%"
"Nov 25, 2020","0.036820","0.036940","0.037150","0.036445","51.55B","-0.31%"
"Nov 24, 2020","0.036935","0.036695","0.036995","0.036435","31.58B","1.11%"
"Nov 23, 2020","0.036530","0.036670","0.037000","0.036255","31.81B","-0.04%"
"Nov 20, 2020","0.036545","0.036100","0.036845","0.036050","34.49B","1.23%"
"Nov 19, 2020","0.036100","0.036050","0.036265","0.035690","27.25B","0.14%"
"Nov 18, 2020","0.036050","0.036010","0.036680","0.035435","42.89B","-0.41%"
"Nov 17, 2020","0.036200","0.037190","0.037245","0.035900","67.09B","-2.69%"
"Nov 16, 2020","0.037200","0.036950","0.037300","0.036605","87.17B","1.64%"
"Nov 13, 2020","0.036600","0.035930","0.037050","0.035745","107.16B","1.85%"
"Nov 12, 2020","0.035935","0.034000","0.036605","0.033850","108.57B","5.26%"
"Nov 11, 2020","0.034140","0.034710","0.035220","0.034120","59.20B","-1.44%"
"Nov 10, 2020","0.034640","0.034380","0.034835","0.034165","36.27B","0.73%"
"Nov 09, 2020","0.034390","0.033900","0.034620","0.033625","65.19B","2.34%"
"Nov 06, 2020","0.033605","0.033570","0.033725","0.033200","23.50B","-0.12%"
"Nov 05, 2020","0.033645","0.033420","0.033790","0.033155","40.43B","2.09%"
"Nov 03, 2020","0.032955","0.033000","0.033295","0.032705","34.42B","0.27%"
"Nov 02, 2020","0.032865","0.032630","0.032915","0.032100","24.61B","0.61%"
"Oct 30, 2020","0.032665","0.032475","0.033220","0.032220","30.38B","-0.29%"
"Oct 29, 2020","0.032760","0.032370","0.033100","0.032050","39.28B","1.66%"
"Oct 28, 2020","0.032225","0.033435","0.033435","0.032200","35.78B","-3.62%"
"Oct 27, 2020","0.033435","0.034160","0.034425","0.033400","23.80B","-1.99%"
"Oct 26, 2020","0.034115","0.034725","0.034730","0.033885","26.68B","-1.93%"
"Oct 23, 2020","0.034785","0.034610","0.035145","0.034270","39.23B","0.42%"
"Oct 22, 2020","0.034640","0.033400","0.034780","0.033250","65.65B","3.10%"
"Oct 21, 2020","0.033600","0.033960","0.034670","0.033325","91.92B","-0.86%"
"Oct 20, 2020","0.033890","0.031800","0.033980","0.031500","107.52B","6.82%"
"Oct 19, 2020","0.031725","0.032120","0.032295","0.031625","21.28B","-0.92%"
"Oct 16, 2020","0.032020","0.032600","0.032675","0.032005","19.95B","-1.94%"
"Oct 15, 2020","0.032655","0.033120","0.033185","0.032405","25.03B","-1.72%"
"Oct 14, 2020","0.033225","0.032965","0.033295","0.032805","12.84B","0.56%"
"Oct 13, 2020","0.033040","0.033180","0.033380","0.032915","12.16B","-0.57%"
"Oct 12, 2020","0.033230","0.033195","0.033540","0.033115","13.35B","0.08%"
"Oct 09, 2020","0.033205","0.033475","0.033475","0.033005","13.95B","-0.57%"
"Oct 08, 2020","0.033395","0.033400","0.033505","0.033055","18.56B","-0.03%"
"Oct 07, 2020","0.033405","0.033800","0.033950","0.033190","23.75B","-1.14%"
"Oct 06, 2020","0.033790","0.033745","0.034065","0.033695","14.22B","0.12%"
"Oct 05, 2020","0.033750","0.033950","0.033980","0.033600","14.81B","-0.25%"
"Oct 02, 2020","0.033835","0.033740","0.033900","0.033510","19.76B","-1.21%"
"Oct 01, 2020","0.034250","0.034645","0.034705","0.034150","14.04B","-0.65%"
"Sep 30, 2020","0.034475","0.034545","0.034750","0.034270","19.44B","-0.30%"
"Sep 29, 2020","0.034580","0.034500","0.034880","0.033630","33.61B","0.25%"
"Sep 28, 2020","0.034495","0.034255","0.034590","0.034170","18.39B","0.79%"
"Sep 25, 2020","0.034225","0.034340","0.034390","0.033910","18.76B","-0.15%"
"Sep 24, 2020","0.034275","0.034140","0.034600","0.034020","35.48B","-0.23%"
"Sep 23, 2020","0.034355","0.034600","0.034875","0.034300","27.37B","-0.81%"
"Sep 22, 2020","0.034635","0.034835","0.035115","0.034300","51.07B","-0.63%"
"Sep 21, 2020","0.034855","0.035475","0.035475","0.034550","27.06B","-1.79%"
"Sep 18, 2020","0.035490","0.035760","0.035800","0.035255","22.40B","-0.60%"
"Sep 17, 2020","0.035705","0.035610","0.035770","0.035345","24.48B","-0.25%"
"Sep 16, 2020","0.035795","0.036240","0.036345","0.035685","22.06B","-1.08%"
"Sep 15, 2020","0.036185","0.035830","0.036250","0.035635","24.93B","1.08%"
"Sep 14, 2020","0.035800","0.035530","0.035875","0.035480","24.48B","1.07%"
"Sep 11, 2020","0.035420","0.035240","0.035440","0.035090","13.26B","0.77%"
"Sep 10, 2020","0.035150","0.035050","0.035485","0.034615","24.68B","0.34%"
"Sep 09, 2020","0.035030","0.034830","0.035060","0.034710","14.81B","0.59%"
"Sep 08, 2020","0.034825","0.035250","0.035285","0.034500","26.90B","-1.09%"
"Sep 07, 2020","0.035210","0.035250","0.035445","0.035085","14.16B","-0.35%"
"Sep 04, 2020","0.035335","0.034985","0.035400","0.034805","20.97B","0.73%"
"Sep 03, 2020","0.035080","0.035535","0.035620","0.034925","34.15B","-1.34%"
"Sep 02, 2020","0.035555","0.036100","0.036160","0.035160","29.99B","-1.41%"
"Sep 01, 2020","0.036065","0.035435","0.036085","0.035370","24.62B","1.95%"
"Aug 31, 2020","0.035375","0.036060","0.036195","0.035055","29.83B","-1.60%"
"Aug 28, 2020","0.035950","0.036155","0.036275","0.035800","15.12B","-0.39%"
"Aug 27, 2020","0.036090","0.036050","0.036370","0.035950","22.39B","0.07%"
"Aug 26, 2020","0.036065","0.035790","0.036080","0.035360","31.80B","0.60%"
"Aug 25, 2020","0.035850","0.036320","0.036460","0.035650","36.27B","-1.28%"
"Aug 24, 2020","0.036315","0.036460","0.036660","0.036005","41.05B","-0.12%"
"Aug 21, 2020","0.036360","0.037010","0.037100","0.036075","34.66B","-1.65%"
"Aug 20, 2020","0.036970","0.037325","0.037345","0.036710","29.01B","-1.27%"
"Aug 19, 2020","0.037445","0.037320","0.037660","0.037245","18.07B","0.24%"
"Aug 18, 2020","0.037355","0.037575","0.037735","0.037170","19.46B","-0.68%"
"Aug 17, 2020","0.037610","0.037850","0.038100","0.037370","36.07B","-0.29%"
"Aug 14, 2020","0.037720","0.037780","0.037845","0.037275","25.08B","0.21%"
"Aug 13, 2020","0.037640","0.037590","0.037985","0.037455","34.54B","-0.11%"
"Aug 12, 2020","0.037680","0.037170","0.037700","0.036935","39.96B","2.03%"
"Aug 11, 2020","0.036930","0.036650","0.037455","0.036605","59.06B","0.48%"
"Aug 10, 2020","0.036755","0.036700","0.037050","0.036510","40.06B","0.10%"
"Aug 07, 2020","0.036720","0.037820","0.037940","0.036595","100.29B","-2.93%"
"Aug 06, 2020","0.037830","0.038560","0.038780","0.037430","85.66B","-1.87%"
"Aug 05, 2020","0.038550","0.040530","0.040725","0.038110","187.09B","-4.54%"
"Aug 04, 2020","0.040385","0.040200","0.040705","0.039850","43.71B","0.65%"
"Aug 03, 2020","0.040125","0.038835","0.040135","0.038760","66.52B","3.54%"
"Jul 31, 2020","0.038755","0.038440","0.038900","0.038440","28.32B","0.38%"
"Jul 30, 2020","0.038610","0.038500","0.039115","0.038250","45.25B","-1.61%"
"Jul 29, 2020","0.039240","0.038820","0.039295","0.038500","40.38B","0.86%"
"Jul 28, 2020","0.038905","0.039300","0.039515","0.038740","32.23B","-0.78%"
"Jul 27, 2020","0.039210","0.038100","0.039500","0.038045","90.60B","3.32%"
"Jul 24, 2020","0.037950","0.037490","0.038025","0.037120","29.50B","1.29%"
"Jul 23, 2020","0.037465","0.038145","0.038205","0.037160","37.91B","-1.12%"
"Jul 22, 2020","0.037890","0.037985","0.038350","0.037520","50.34B","-0.47%"
"Jul 21, 2020","0.038070","0.037150","0.038720","0.037150","140.52B","2.61%"
"Jul 20, 2020","0.037100","0.034800","0.037135","0.034650","107.90B","6.61%"
"Jul 17, 2020","0.034800","0.034815","0.034880","0.034605","15.44B","-0.03%"
"Jul 16, 2020","0.034810","0.034760","0.034940","0.034625","14.55B","-0.53%"
"Jul 15, 2020","0.034995","0.035000","0.035055","0.034740","20.38B","0.23%"
"Jul 14, 2020","0.034915","0.035010","0.035055","0.034180","37.32B","-0.24%"
"Jul 13, 2020","0.035000","0.035360","0.035395","0.034955","21.76B","-0.67%"
"Jul 10, 2020","0.035235","0.034940","0.035255","0.034860","21.52B","0.17%"
