"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","35.60","36.96","36.96","35.59","4.55K","0.96%"
"Nov 25, 2020","35.26","35.40","35.40","35.26","0.38K","-1.02%"
"Nov 24, 2020","35.63","35.45","35.63","35.45","0.89K","1.57%"
"Nov 23, 2020","35.07","35.36","35.36","35.07","1.29K","0.03%"
"Nov 20, 2020","35.06","35.28","35.28","35.06","0.25K","0.05%"
"Nov 19, 2020","35.05","35.04","35.18","35.04","0.48K","-0.86%"
"Nov 18, 2020","35.35","35.61","35.61","35.35","0.94K","1.07%"
"Nov 17, 2020","34.98","35.02","35.02","34.98","0.51K","-0.92%"
"Nov 16, 2020","35.30","34.96","35.30","34.91","2.05K","2.32%"
"Nov 13, 2020","34.50","34.29","34.60","34.25","15.07K","1.86%"
"Nov 12, 2020","33.87","34.00","34.00","33.78","1.67K","-0.43%"
"Nov 11, 2020","34.02","34.02","34.02","34.02","0.10K","-0.07%"
"Nov 10, 2020","34.04","33.92","34.04","33.92","0.60K","0.59%"
"Nov 09, 2020","33.85","33.50","33.87","33.50","11.02K","3.11%"
"Nov 06, 2020","32.82","32.96","32.96","32.80","0.54K","-0.20%"
"Nov 05, 2020","32.89","32.89","32.89","32.89","0.05K","1.05%"
"Nov 04, 2020","32.55","31.75","32.69","31.75","3.78K","3.54%"
"Nov 03, 2020","31.44","31.44","31.45","31.44","0.68K","1.83%"
"Nov 02, 2020","30.87","30.92","31.00","30.65","16.72K","-0.07%"
"Oct 30, 2020","30.89","31.17","31.19","30.83","0.66K","-1.96%"
"Oct 29, 2020","31.51","31.34","31.51","31.21","0.26K","2.04%"
"Oct 28, 2020","30.88","31.10","31.37","30.86","3.20K","-4.74%"
"Oct 27, 2020","32.42","32.43","32.61","32.42","1.15K","-1.65%"
"Oct 26, 2020","32.96","33.19","33.19","32.96","1.64K","-1.26%"
"Oct 23, 2020","33.38","33.27","33.58","33.27","0.75K","0.81%"
"Oct 22, 2020","33.11","33.24","33.24","33.11","0.49K","0.53%"
"Oct 21, 2020","32.94","32.86","33.06","32.86","2.20K","0.72%"
"Oct 20, 2020","32.70","32.85","32.95","32.70","1.00K","1.02%"
"Oct 19, 2020","32.38","32.51","32.55","32.38","2.02K","-0.08%"
"Oct 17, 2020","32.40","32.40","32.40","32.40","-","0.00%"
"Oct 16, 2020","32.40","32.38","32.40","32.37","0.51K","-0.91%"
"Oct 15, 2020","32.70","32.70","32.70","32.70","0.13K","-0.88%"
"Oct 14, 2020","32.99","33.07","33.15","32.99","0.67K","0.03%"
"Oct 13, 2020","32.98","33.14","33.16","32.98","0.72K","-0.51%"
"Oct 12, 2020","33.15","33.15","33.15","33.15","0.24K","-0.22%"
"Oct 11, 2020","33.22","33.22","33.22","33.22","-","0.00%"
"Oct 09, 2020","33.22","32.99","33.30","32.99","2.71K","0.30%"
"Oct 08, 2020","33.12","33.40","33.41","33.12","2.36K","0.98%"
"Oct 07, 2020","32.80","32.93","32.93","32.80","0.71K","-0.19%"
"Oct 06, 2020","32.86","33.08","33.08","32.70","0.74K","-0.20%"
"Oct 05, 2020","32.92","32.95","32.95","32.92","0.28K","0.32%"
"Oct 04, 2020","32.82","32.82","32.82","32.82","-","0.00%"
"Oct 03, 2020","32.82","32.82","32.82","32.82","-","0.00%"
"Oct 02, 2020","32.82","32.82","32.82","32.82","0.05K","0.56%"
"Oct 01, 2020","32.64","32.70","32.70","32.64","0.55K","0.52%"
"Sep 30, 2020","32.47","32.72","32.72","32.47","0.90K","1.28%"
"Sep 29, 2020","32.06","32.14","32.14","31.96","5.53K","-0.99%"
"Sep 28, 2020","32.38","32.29","32.38","32.29","1.36K","0.75%"
"Sep 27, 2020","32.14","32.14","32.14","32.14","-","0.00%"
"Sep 26, 2020","32.14","32.14","32.14","32.14","-","0.00%"
"Sep 25, 2020","32.14","32.14","32.14","32.14","0.03K","-1.57%"
"Sep 24, 2020","32.65","32.71","32.71","32.65","0.30K","0.04%"
"Sep 23, 2020","32.64","32.79","32.79","32.64","0.51K","-0.76%"
"Sep 22, 2020","32.89","32.58","32.89","32.58","1.97K","0.53%"
"Sep 21, 2020","32.72","32.72","32.72","32.72","0.30K","-3.03%"
"Sep 18, 2020","33.74","33.84","33.84","33.63","0.86K","0.00%"
"Sep 17, 2020","33.74","33.70","33.74","33.70","1.00K","-0.50%"
"Sep 16, 2020","33.91","33.79","33.99","33.76","2.98K","1.09%"
"Sep 15, 2020","33.55","33.48","33.55","33.39","0.86K","1.13%"
"Sep 14, 2020","33.17","32.96","33.17","32.96","2.45K","0.09%"
"Sep 13, 2020","33.14","33.14","33.14","33.14","-","0.00%"
"Sep 11, 2020","33.14","33.40","33.40","33.00","0.95K","0.61%"
"Sep 10, 2020","32.94","32.93","32.94","32.93","2.15K","-0.57%"
"Sep 09, 2020","33.13","33.00","33.13","33.00","2.03K","2.67%"
