"Date","Price","Open","High","Low","Change %"
"Nov 27, 2020","5.240","5.360","5.360","5.180","0.77%"
"Nov 26, 2020","5.200","5.370","5.370","5.170","-0.19%"
"Nov 25, 2020","5.210","5.200","5.210","5.190","0.39%"
"Nov 24, 2020","5.190","5.370","5.370","5.180","0.19%"
"Nov 23, 2020","5.180","5.190","5.210","5.170","-0.19%"
"Nov 20, 2020","5.190","5.180","5.210","5.150","0.00%"
"Nov 19, 2020","5.190","5.150","5.210","5.150","0.00%"
"Nov 18, 2020","5.190","5.150","5.190","5.140","0.39%"
"Nov 17, 2020","5.170","5.320","5.320","5.130","0.39%"
"Nov 16, 2020","5.150","5.330","5.330","5.110","-0.39%"
"Nov 13, 2020","5.170","5.330","5.330","5.150","-0.19%"
"Nov 12, 2020","5.180","5.380","5.380","5.160","-0.58%"
"Nov 11, 2020","5.210","5.220","5.400","5.200","-0.38%"
"Nov 10, 2020","5.230","5.190","5.350","5.190","0.58%"
"Nov 09, 2020","5.200","5.250","5.300","5.170","-1.14%"
"Nov 06, 2020","5.260","5.280","5.280","5.200","-0.38%"
"Nov 05, 2020","5.280","5.560","5.560","5.260","-4.09%"
"Nov 04, 2020","5.505","5.505","5.505","5.505","-0.81%"
"Nov 03, 2020","5.550","5.550","5.560","5.460","0.00%"
"Nov 02, 2020","5.550","5.480","5.560","5.460","1.46%"
"Oct 30, 2020","5.470","5.440","5.480","5.390","0.55%"
"Oct 29, 2020","5.440","5.430","5.470","5.420","0.37%"
"Oct 28, 2020","5.420","5.370","5.420","5.360","1.12%"
"Oct 27, 2020","5.360","5.370","5.370","5.280","0.56%"
"Oct 26, 2020","5.330","5.370","5.370","5.270","0.19%"
"Oct 23, 2020","5.320","5.310","5.320","5.280","0.38%"
"Oct 22, 2020","5.300","5.300","5.320","5.290","0.19%"
"Oct 21, 2020","5.290","5.280","5.310","5.260","-0.19%"
"Oct 20, 2020","5.300","5.450","5.450","5.280","0.76%"
"Oct 19, 2020","5.260","5.330","5.330","5.260","-1.31%"
"Oct 16, 2020","5.330","5.340","5.350","5.310","-0.19%"
"Oct 15, 2020","5.340","5.300","5.340","5.300","0.95%"
"Oct 14, 2020","5.290","5.270","5.290","5.270","0.00%"
"Oct 13, 2020","5.290","5.310","5.360","5.260","-0.38%"
"Oct 12, 2020","5.310","5.320","5.340","5.290","0.38%"
"Oct 09, 2020","5.290","5.280","5.320","5.280","-0.38%"
"Oct 08, 2020","5.310","5.340","5.340","5.280","-0.56%"
"Oct 07, 2020","5.340","5.370","5.390","5.340","-0.37%"
"Oct 06, 2020","5.360","5.410","5.410","5.360","-0.56%"
"Oct 05, 2020","5.390","5.410","5.410","5.370","-0.37%"
"Oct 02, 2020","5.410","5.460","5.470","5.380","-0.18%"
"Oct 01, 2020","5.420","5.500","5.500","5.390","-1.09%"
"Sep 30, 2020","5.480","5.530","5.530","5.480","-0.72%"
"Sep 29, 2020","5.520","5.560","5.580","5.520","-0.72%"
"Sep 28, 2020","5.560","5.550","5.570","5.550","0.18%"
"Sep 25, 2020","5.550","5.550","5.550","5.490","0.00%"
"Sep 24, 2020","5.550","5.790","5.790","5.530","0.18%"
"Sep 23, 2020","5.540","5.750","5.750","5.480","0.91%"
"Sep 22, 2020","5.490","5.500","5.510","5.480","0.00%"
"Sep 21, 2020","5.490","5.440","5.490","5.430","1.10%"
"Sep 18, 2020","5.430","5.440","5.460","5.390","0.00%"
"Sep 17, 2020","5.430","5.440","5.440","5.420","0.18%"
"Sep 16, 2020","5.420","5.440","5.450","5.390","0.00%"
"Sep 15, 2020","5.420","5.400","5.450","5.400","-0.37%"
"Sep 14, 2020","5.440","5.450","5.460","5.440","0.37%"
"Sep 11, 2020","5.420","5.410","5.440","5.400","0.74%"
"Sep 10, 2020","5.380","5.460","5.460","5.380","-1.28%"
"Sep 09, 2020","5.450","5.720","5.720","5.430","-0.55%"
"Sep 08, 2020","5.480","5.450","5.500","5.430","0.92%"
"Sep 07, 2020","5.430","5.400","5.440","5.380","0.56%"
"Sep 04, 2020","5.400","5.430","5.440","5.370","-0.55%"
"Sep 03, 2020","5.430","5.430","5.440","5.360","0.00%"
