"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","363.67","363.84","364.18","362.58","28.51M","0.28%"
"Nov 25, 2020","362.66","363.13","363.16","361.48","45.33M","-0.15%"
"Nov 24, 2020","363.22","360.21","363.81","359.29","61.29M","1.61%"
"Nov 23, 2020","357.46","357.28","358.82","354.87","61.33M","0.60%"
"Nov 20, 2020","355.33","357.50","357.72","355.25","70.41M","-0.68%"
"Nov 19, 2020","357.78","355.60","358.18","354.15","58.03M","0.42%"
"Nov 18, 2020","356.28","360.91","361.50","356.24","67.24M","-1.20%"
"Nov 17, 2020","360.62","359.97","361.92","358.34","65.16M","-0.54%"
"Nov 16, 2020","362.57","360.98","362.78","359.59","73.45M","1.25%"
"Nov 13, 2020","358.10","355.27","358.90","354.71","62.96M","1.38%"
"Nov 12, 2020","353.21","355.58","356.72","351.26","66.63M","-0.97%"
"Nov 11, 2020","356.67","356.40","357.56","355.06","57.81M","0.74%"
"Nov 10, 2020","354.04","353.49","355.18","350.51","83.91M","-0.15%"
"Nov 09, 2020","354.56","363.97","364.38","354.06","170.08M","1.26%"
"Nov 06, 2020","350.16","349.93","351.51","347.65","74.97M","-0.02%"
"Nov 05, 2020","350.24","349.24","352.19","348.86","80.78M","1.95%"
"Nov 04, 2020","343.54","340.86","347.94","339.59","125.93M","2.23%"
"Nov 03, 2020","336.03","333.69","338.25","330.29","89.72M","1.77%"
"Nov 02, 2020","330.20","330.20","332.36","327.24","86.07M","1.12%"
"Oct 30, 2020","326.54","328.28","329.69","322.60","120.45M","-1.04%"
"Oct 29, 2020","329.98","326.91","333.40","325.09","89.17M","1.02%"
"Oct 28, 2020","326.66","332.10","338.25","326.13","125.70M","-3.42%"
"Oct 27, 2020","338.22","339.76","340.12","337.99","64.33M","-0.34%"
"Oct 26, 2020","339.39","342.13","342.98","335.62","89.71M","-1.85%"
"Oct 23, 2020","345.78","345.93","345.99","343.13","49.14M","0.34%"
"Oct 22, 2020","344.61","342.96","345.24","340.65","54.89M","0.55%"
"Oct 21, 2020","342.73","343.33","348.68","342.40","62.46M","-0.19%"
"Oct 20, 2020","343.38","343.46","346.88","342.64","59.39M","0.40%"
"Oct 19, 2020","342.01","348.65","349.33","341.04","67.26M","-1.52%"
"Oct 16, 2020","347.29","348.96","350.75","347.10","89.50M","-0.06%"
"Oct 15, 2020","347.50","343.54","348.01","343.54","60.36M","-0.12%"
"Oct 14, 2020","347.93","350.72","351.91","347.16","57.96M","-0.63%"
"Oct 13, 2020","350.13","352.34","352.34","349.10","73.26M","-0.65%"
"Oct 12, 2020","352.43","349.53","354.01","349.08","80.39M","1.61%"
"Oct 11, 2020","346.85","346.85","346.85","346.85","-","0.00%"
"Oct 09, 2020","346.85","345.56","347.35","344.89","59.53M","0.89%"
"Oct 08, 2020","343.78","342.84","343.84","341.89","45.24M","0.89%"
"Oct 07, 2020","340.76","338.11","341.60","338.11","57.00M","1.74%"
"Oct 06, 2020","334.93","339.91","342.17","334.38","90.13M","-1.42%"
"Oct 05, 2020","339.76","336.27","339.94","336.17","45.71M","1.77%"
"Oct 04, 2020","333.84","333.84","333.84","333.84","-","0.00%"
"Oct 03, 2020","333.84","333.84","333.84","333.84","-","0.00%"
"Oct 02, 2020","333.84","331.25","335.90","331.20","89.43M","-0.95%"
"Oct 01, 2020","337.04","337.63","338.68","335.05","88.70M","0.64%"
"Sep 30, 2020","334.89","333.20","338.28","332.90","104.08M","0.76%"
"Sep 29, 2020","332.37","333.87","334.73","331.63","51.53M","-0.54%"
"Sep 28, 2020","334.19","333.38","334.89","332.17","64.58M","1.66%"
"Sep 27, 2020","328.73","328.73","328.73","328.73","-","0.00%"
"Sep 26, 2020","328.73","328.73","328.73","328.73","-","0.00%"
"Sep 25, 2020","328.73","322.63","329.56","321.68","71.07M","1.62%"
"Sep 24, 2020","323.50","321.08","326.75","319.82","76.68M","0.27%"
"Sep 23, 2020","322.64","330.86","331.16","322.10","93.11M","-2.32%"
"Sep 22, 2020","330.30","328.45","330.89","325.90","63.61M","1.02%"
"Sep 21, 2020","326.97","325.61","326.98","321.73","99.45M","-1.11%"
"Sep 18, 2020","330.65","335.37","335.49","327.97","105.88M","-1.55%"
"Sep 17, 2020","335.84","333.55","337.66","333.01","91.52M","-0.88%"
"Sep 16, 2020","338.82","341.66","343.03","338.59","82.21M","-0.40%"
"Sep 15, 2020","340.17","341.26","342.00","339.02","52.92M","0.51%"
"Sep 14, 2020","338.46","337.55","340.36","336.95","65.61M","1.32%"
"Sep 13, 2020","334.06","334.06","334.06","334.06","-","0.00%"
"Sep 11, 2020","334.06","335.82","336.97","331.00","84.68M","0.05%"
"Sep 10, 2020","333.89","341.74","342.51","332.92","90.57M","-1.74%"
"Sep 09, 2020","339.79","337.62","342.45","336.66","91.46M","1.97%"
"Sep 08, 2020","333.21","336.12","337.98","332.88","114.47M","-2.73%"
"Sep 04, 2020","342.57","346.13","347.83","334.87","139.16M","-0.82%"
"Sep 03, 2020","345.39","355.87","356.35","342.62","148.01M","-3.44%"
"Sep 02, 2020","357.70","354.51","358.66","353.45","69.54M","1.45%"
"Sep 01, 2020","352.60","350.22","352.64","349.26","55.00M","0.94%"
"Aug 31, 2020","349.31","350.29","351.26","349.11","66.10M","-0.36%"
"Aug 30, 2020","350.58","350.58","350.58","350.58","-","0.00%"
"Aug 28, 2020","350.58","349.44","350.72","348.15","48.59M","0.65%"
"Aug 27, 2020","348.33","348.36","349.89","346.54","58.03M","0.22%"
"Aug 26, 2020","347.57","344.73","347.85","344.17","50.79M","1.00%"
