"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","364.33","363.42","364.67","363.29","14.02K","0.28%"
"Nov 26, 2020","363.33","364.20","364.20","363.00","9.65K","0.17%"
"Nov 25, 2020","362.73","364.49","365.40","362.41","16.07K","-0.12%"
"Nov 24, 2020","363.17","360.70","363.17","360.29","8.30K","2.11%"
"Nov 23, 2020","355.67","357.61","359.15","355.67","5.45K","-0.59%"
"Nov 20, 2020","357.79","356.85","358.72","356.67","5.76K","0.46%"
"Nov 19, 2020","356.16","356.71","356.97","354.43","3.61K","-1.57%"
"Nov 18, 2020","361.85","360.22","362.86","360.19","4.90K","0.10%"
"Nov 17, 2020","361.50","361.69","361.94","359.00","9.03K","-0.33%"
"Nov 16, 2020","362.68","361.91","363.83","360.46","7.64K","1.83%"
"Nov 13, 2020","356.16","354.92","357.27","354.35","12.84K","-0.06%"
"Nov 12, 2020","356.36","355.15","357.43","355.03","14.85K","-0.24%"
"Nov 11, 2020","357.20","355.47","358.14","355.36","7.64K","0.87%"
"Nov 10, 2020","354.14","355.36","356.84","351.36","14.26K","-1.97%"
"Nov 09, 2020","361.26","356.21","367.15","355.50","35.04K","2.95%"
"Nov 06, 2020","350.90","349.84","351.13","346.82","12.48K","-0.25%"
"Nov 05, 2020","351.78","348.00","353.01","348.00","14.42K","1.70%"
"Nov 04, 2020","345.91","335.28","347.29","334.95","40.07K","2.15%"
"Nov 03, 2020","338.63","332.49","338.63","332.40","9.46K","2.30%"
"Nov 02, 2020","331.03","328.30","332.56","327.69","10.01K","1.38%"
"Oct 30, 2020","326.53","325.28","329.95","324.00","13.38K","-1.04%"
"Oct 29, 2020","329.95","329.85","330.38","326.04","11.37K","-0.04%"
"Oct 28, 2020","330.09","336.02","336.02","328.36","17.45K","-2.80%"
"Oct 27, 2020","339.60","341.11","341.70","339.34","2.46K","0.10%"
"Oct 26, 2020","339.27","342.02","343.42","338.73","14.01K","-1.68%"
"Oct 23, 2020","345.07","344.62","346.82","344.62","5.40K","0.52%"
"Oct 22, 2020","343.28","342.20","344.00","341.81","4.35K","-0.26%"
"Oct 21, 2020","344.19","345.72","346.22","342.96","3.62K","-0.00%"
"Oct 20, 2020","344.20","344.44","345.91","343.46","5.35K","-0.81%"
"Oct 19, 2020","347.00","349.30","349.99","346.63","2.54K","-0.79%"
"Oct 16, 2020","349.75","348.70","351.41","348.00","5.27K","0.97%"
"Oct 15, 2020","346.38","346.77","346.97","344.34","6.68K","-1.23%"
"Oct 14, 2020","350.70","352.32","352.84","350.25","19.85K","-0.45%"
