"Date","Price","Open","High","Low","Change %"
"Jun 15, 2021","0.9367","0.9364","0.9385","0.9345","0.05%"
"Jun 14, 2021","0.9363","0.9362","0.9392","0.9351","-0.04%"
"Jun 11, 2021","0.9367","0.9376","0.9396","0.9337","-0.09%"
"Jun 10, 2021","0.9375","0.9363","0.9386","0.9351","0.17%"
"Jun 09, 2021","0.9359","0.9376","0.9382","0.9337","-0.15%"
"Jun 08, 2021","0.9373","0.9373","0.9381","0.9344","0.09%"
"Jun 07, 2021","0.9365","0.9345","0.9389","0.9331","0.18%"
"Jun 04, 2021","0.9348","0.9273","0.9367","0.9265","0.86%"
"Jun 03, 2021","0.9268","0.9330","0.9338","0.9258","-0.63%"
"Jun 02, 2021","0.9327","0.9363","0.9374","0.9314","-0.34%"
"Jun 01, 2021","0.9359","0.9331","0.9371","0.9301","0.35%"
"May 31, 2021","0.9326","0.9311","0.9359","0.9298","0.19%"
"May 28, 2021","0.9308","0.9339","0.9364","0.9295","-0.30%"
"May 27, 2021","0.9336","0.9381","0.9395","0.9328","-0.44%"
"May 26, 2021","0.9377","0.9352","0.9413","0.9342","0.31%"
"May 25, 2021","0.9348","0.9334","0.9366","0.9327","0.16%"
"May 24, 2021","0.9333","0.9337","0.9360","0.9306","0.02%"
"May 21, 2021","0.9331","0.9378","0.9384","0.9313","-0.47%"
"May 20, 2021","0.9375","0.9372","0.9401","0.9359","0.03%"
"May 19, 2021","0.9372","0.9403","0.9409","0.9333","-0.28%"
"May 18, 2021","0.9398","0.9372","0.9412","0.9359","0.33%"
"May 17, 2021","0.9367","0.9412","0.9432","0.9362","-0.41%"
"May 14, 2021","0.9406","0.9399","0.9434","0.9381","0.09%"
"May 13, 2021","0.9398","0.9374","0.9414","0.9336","0.29%"
"May 12, 2021","0.9371","0.9490","0.9498","0.9355","-1.21%"
"May 11, 2021","0.9486","0.9473","0.9505","0.9464","0.15%"
"May 10, 2021","0.9472","0.9529","0.9560","0.9469","-0.42%"
"May 07, 2021","0.9512","0.9449","0.9544","0.9447","0.66%"
"May 06, 2021","0.9450","0.9505","0.9514","0.9449","-0.54%"
"May 05, 2021","0.9501","0.9486","0.9513","0.9477","0.18%"
"May 04, 2021","0.9484","0.9530","0.9536","0.9462","-0.45%"
"May 03, 2021","0.9527","0.9478","0.9535","0.9469","0.47%"
"Apr 30, 2021","0.9482","0.9541","0.9559","0.9454","-0.58%"
"Apr 29, 2021","0.9537","0.9596","0.9610","0.9531","-0.54%"
"Apr 28, 2021","0.9589","0.9627","0.9644","0.9572","-0.35%"
"Apr 27, 2021","0.9623","0.9669","0.9682","0.9624","-0.44%"
"Apr 26, 2021","0.9666","0.9670","0.9711","0.9653","0.04%"
"Apr 23, 2021","0.9662","0.9639","0.9685","0.9625","0.25%"
"Apr 22, 2021","0.9638","0.9688","0.9703","0.9617","-0.50%"
"Apr 21, 2021","0.9686","0.9741","0.9761","0.9657","-0.53%"
"Apr 20, 2021","0.9738","0.9724","0.9759","0.9713","0.16%"
"Apr 19, 2021","0.9722","0.9675","0.9730","0.9650","0.55%"
"Apr 16, 2021","0.9669","0.9724","0.9731","0.9658","-0.51%"
"Apr 15, 2021","0.9719","0.9670","0.9732","0.9649","0.56%"
"Apr 14, 2021","0.9665","0.9575","0.9688","0.9571","0.95%"
"Apr 13, 2021","0.9574","0.9578","0.9600","0.9554","0.00%"
"Apr 12, 2021","0.9574","0.9544","0.9582","0.9530","0.26%"
"Apr 09, 2021","0.9549","0.9614","0.9624","0.9542","-0.66%"
"Apr 08, 2021","0.9612","0.9600","0.9636","0.9589","0.14%"
"Apr 07, 2021","0.9599","0.9628","0.9653","0.9594","-0.28%"
"Apr 06, 2021","0.9626","0.9581","0.9642","0.9549","0.51%"
"Apr 05, 2021","0.9577","0.9566","0.9600","0.9560","0.11%"
"Apr 02, 2021","0.9566","0.9557","0.9587","0.9545","0.10%"
"Apr 01, 2021","0.9556","0.9545","0.9567","0.9488","0.18%"
"Mar 31, 2021","0.9539","0.9596","0.9610","0.9536","-0.57%"
"Mar 30, 2021","0.9594","0.9608","0.9645","0.9584","-0.11%"
"Mar 29, 2021","0.9605","0.9607","0.9640","0.9589","0.05%"
"Mar 26, 2021","0.9600","0.9559","0.9622","0.9549","0.45%"
"Mar 25, 2021","0.9557","0.9536","0.9581","0.9531","0.24%"
"Mar 24, 2021","0.9534","0.9595","0.9609","0.9532","-0.62%"
"Mar 23, 2021","0.9593","0.9700","0.9708","0.9586","-1.05%"
"Mar 22, 2021","0.9695","0.9661","0.9715","0.9607","0.21%"
"Mar 19, 2021","0.9675","0.9689","0.9707","0.9657","-0.08%"
"Mar 18, 2021","0.9683","0.9671","0.9722","0.9658","0.19%"
"Mar 17, 2021","0.9665","0.9640","0.9693","0.9607","0.26%"
