"Date","Price","Open","High","Low","Change %"
"Jun 14, 2021","84.60","84.56","84.63","84.48","0.05%"
"Jun 13, 2021","84.56","84.43","84.60","84.40","0.07%"
"Jun 11, 2021","84.50","84.75","85.07","84.38","-0.28%"
"Jun 10, 2021","84.74","84.76","85.04","84.57","0.02%"
"Jun 09, 2021","84.72","84.77","84.86","84.64","-0.04%"
"Jun 08, 2021","84.75","84.71","84.88","84.63","0.07%"
"Jun 07, 2021","84.69","84.78","84.89","84.60","-0.02%"
"Jun 04, 2021","84.71","84.47","84.86","84.31","0.31%"
"Jun 03, 2021","84.45","84.94","85.01","84.29","-0.55%"
"Jun 02, 2021","84.92","84.90","85.21","84.75","0.06%"
"Jun 01, 2021","84.87","84.72","85.07","84.65","0.18%"
"May 31, 2021","84.72","84.72","84.93","84.57","-0.04%"
"May 28, 2021","84.75","85.03","85.18","84.54","-0.34%"
"May 27, 2021","85.04","84.49","85.10","84.32","0.69%"
"May 26, 2021","84.46","84.32","84.82","84.24","0.20%"
"May 25, 2021","84.29","84.29","84.69","84.23","0.01%"
"May 24, 2021","84.28","84.36","84.39","83.96","0.06%"
"May 21, 2021","84.23","84.59","84.68","84.09","-0.38%"
"May 20, 2021","84.55","84.42","84.66","84.25","0.20%"
"May 19, 2021","84.38","84.86","84.97","84.04","-0.53%"
"May 18, 2021","84.83","84.81","85.17","84.74","0.08%"
"May 17, 2021","84.76","85.05","85.20","84.44","-0.26%"
"May 14, 2021","84.98","84.61","85.19","84.51","0.46%"
"May 13, 2021","84.59","84.71","84.86","84.29","-0.13%"
"May 12, 2021","84.70","85.18","85.28","84.58","-0.52%"
"May 11, 2021","85.14","85.19","85.47","84.81","-0.04%"
"May 10, 2021","85.17","85.21","85.82","85.17","0.01%"
"May 07, 2021","85.16","84.87","85.33","84.71","0.37%"
"May 06, 2021","84.85","84.61","84.96","84.23","0.32%"
"May 05, 2021","84.58","84.26","84.71","84.24","0.40%"
"May 04, 2021","84.24","84.68","84.75","83.93","-0.47%"
"May 03, 2021","84.64","84.33","84.76","84.21","0.39%"
"Apr 30, 2021","84.31","84.58","84.88","84.13","-0.30%"
"Apr 29, 2021","84.56","84.61","85.03","84.35","-0.01%"
"Apr 28, 2021","84.57","84.40","84.76","84.12","0.23%"
"Apr 27, 2021","84.38","84.29","84.52","84.07","0.11%"
"Apr 26, 2021","84.29","83.58","84.52","83.46","0.85%"
"Apr 23, 2021","83.58","83.22","83.76","83.08","0.46%"
"Apr 22, 2021","83.20","83.78","83.89","83.11","-0.69%"
"Apr 21, 2021","83.78","83.51","83.94","83.20","0.36%"
"Apr 20, 2021","83.48","83.94","84.76","83.35","-0.49%"
"Apr 19, 2021","83.89","84.23","84.25","83.74","-0.26%"
"Apr 16, 2021","84.11","84.32","84.39","84.07","-0.19%"
"Apr 15, 2021","84.27","84.11","84.43","83.87","0.23%"
"Apr 14, 2021","84.08","83.31","84.31","83.10","0.94%"
"Apr 13, 2021","83.30","83.39","83.49","83.03","-0.07%"
"Apr 12, 2021","83.36","83.61","83.74","83.14","-0.24%"
"Apr 09, 2021","83.56","83.61","83.81","83.03","-0.04%"
"Apr 08, 2021","83.59","83.65","83.81","83.28","-0.05%"
"Apr 07, 2021","83.63","84.11","84.26","83.48","-0.54%"
"Apr 06, 2021","84.08","84.31","84.49","83.79","-0.23%"
"Apr 05, 2021","84.27","84.19","84.41","84.07","0.11%"
"Apr 02, 2021","84.18","84.25","84.50","84.03","-0.07%"
"Apr 01, 2021","84.24","84.14","84.29","83.42","0.18%"
"Mar 31, 2021","84.09","83.84","84.50","83.78","0.36%"
"Mar 30, 2021","83.79","83.79","84.31","83.69","0.04%"
"Mar 29, 2021","83.76","83.75","83.95","83.32","0.06%"
"Mar 26, 2021","83.71","82.76","83.86","82.69","1.17%"
"Mar 25, 2021","82.74","82.46","83.08","82.41","0.38%"
"Mar 24, 2021","82.43","82.80","83.07","82.28","-0.39%"
"Mar 23, 2021","82.75","84.32","84.36","82.73","-1.82%"
"Mar 22, 2021","84.28","84.17","84.39","83.43","-0.01%"
"Mar 19, 2021","84.29","84.49","84.61","84.10","-0.19%"
"Mar 18, 2021","84.45","84.86","85.48","84.35","-0.44%"
"Mar 17, 2021","84.82","84.43","85.02","84.11","0.49%"
"Mar 16, 2021","84.41","84.63","84.72","84.18","-0.24%"
"Mar 15, 2021","84.61","84.55","84.75","84.10","-0.04%"
"Mar 12, 2021","84.64","84.52","84.80","84.19","0.19%"
"Mar 11, 2021","84.48","83.85","84.56","83.75","0.80%"
"Mar 10, 2021","83.81","83.65","83.94","83.47","0.22%"
"Mar 09, 2021","83.63","83.32","83.93","83.17","0.43%"
"Mar 08, 2021","83.27","83.28","83.75","82.92","0.00%"
"Mar 05, 2021","83.27","83.43","83.61","82.77","-0.17%"
"Mar 04, 2021","83.41","83.19","84.06","83.00","0.28%"
"Mar 03, 2021","83.18","83.43","83.76","83.11","-0.28%"
"Mar 02, 2021","83.41","82.97","83.65","82.61","0.58%"
"Mar 01, 2021","82.93","82.19","83.14","82.04","0.99%"
"Feb 26, 2021","82.12","83.63","83.84","81.99","-1.78%"
"Feb 25, 2021","83.61","84.36","84.96","83.50","-0.87%"
"Feb 24, 2021","84.34","83.26","84.43","83.14","1.32%"
"Feb 23, 2021","83.24","83.18","83.38","82.92","0.11%"
"Feb 22, 2021","83.15","82.87","83.45","82.75","0.23%"
"Feb 19, 2021","82.96","82.11","83.18","81.98","1.08%"
"Feb 18, 2021","82.07","82.07","82.32","81.82","0.05%"
"Feb 17, 2021","82.03","82.26","82.32","81.75","-0.28%"
"Feb 16, 2021","82.26","81.98","82.43","81.87","0.37%"
"Feb 15, 2021","81.96","81.40","82.07","81.32","0.75%"
"Feb 12, 2021","81.35","81.21","81.50","81.07","0.21%"
"Feb 11, 2021","81.18","80.76","81.39","80.67","0.54%"
"Feb 10, 2021","80.74","80.94","81.13","80.74","-0.22%"
"Feb 09, 2021","80.92","81.07","81.18","80.64","-0.12%"
"Feb 08, 2021","81.02","80.92","81.22","80.63","0.17%"
"Feb 05, 2021","80.88","80.23","80.95","80.04","0.85%"
"Feb 04, 2021","80.20","80.00","80.35","79.97","0.26%"
"Feb 03, 2021","79.99","79.86","80.15","79.82","0.19%"
"Feb 02, 2021","79.84","79.96","80.39","79.53","-0.11%"
"Feb 01, 2021","79.93","80.03","80.23","79.68","-0.09%"
