"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2021","85.82","85.82","85.85","85.74","4.19M","-0.02%"
"Jun 10, 2021","85.84","85.54","85.86","85.51","4.65M","0.21%"
"Jun 09, 2021","85.66","85.69","85.74","85.60","4.46M","0.20%"
"Jun 08, 2021","85.49","85.49","85.51","85.45","5.10M","0.19%"
"Jun 07, 2021","85.33","85.33","85.36","85.29","10.29M","-0.07%"
"Jun 04, 2021","85.39","85.16","85.39","85.14","19.32M","0.40%"
"Jun 03, 2021","85.05","85.13","85.13","85.03","3.13M","-0.19%"
"Jun 02, 2021","85.21","85.11","85.23","85.09","4.71M","0.11%"
"Jun 01, 2021","85.12","85.07","85.14","84.98","4.78M","-0.16%"
"May 28, 2021","85.26","85.27","85.39","85.25","5.26M","-0.01%"
"May 27, 2021","85.27","85.32","85.34","85.20","4.31M","-0.14%"
"May 26, 2021","85.39","85.37","85.46","85.32","4.31M","-0.04%"
"May 25, 2021","85.42","85.25","85.42","85.24","3.49M","0.26%"
"May 24, 2021","85.20","85.15","85.24","85.14","5.75M","0.12%"
"May 21, 2021","85.10","85.12","85.15","85.03","5.05M","0.02%"
"May 20, 2021","85.08","84.89","85.09","84.89","5.04M","0.33%"
"May 19, 2021","84.80","84.91","85.00","84.70","5.88M","-0.11%"
"May 18, 2021","84.89","84.91","84.93","84.85","4.33M","-0.11%"
"May 17, 2021","84.98","85.04","85.04","84.95","3.65M","-0.09%"
"May 14, 2021","85.06","84.98","85.06","84.92","6.26M","0.24%"
"May 13, 2021","84.86","84.68","84.90","84.68","6.99M","0.20%"
"May 12, 2021","84.69","84.85","84.85","84.66","5.80M","-0.35%"
"May 11, 2021","84.99","85.03","85.04","84.94","6.63M","-0.20%"
"May 10, 2021","85.16","85.37","85.39","85.14","6.21M","-0.23%"
"May 07, 2021","85.36","85.48","85.60","85.30","4.89M","0.01%"
"May 06, 2021","85.35","85.25","85.40","85.24","4.14M","0.05%"
"May 05, 2021","85.31","85.21","85.34","85.17","5.95M","0.06%"
"May 04, 2021","85.26","85.24","85.39","85.21","5.52M","0.13%"
"May 03, 2021","85.15","85.12","85.31","85.11","4.60M","-0.13%"
"Apr 30, 2021","85.26","85.22","85.26","85.11","6.87M","0.14%"
"Apr 29, 2021","85.14","85.06","85.14","84.95","6.25M","-0.08%"
"Apr 28, 2021","85.21","85.19","85.23","85.03","5.48M","0.05%"
"Apr 27, 2021","85.17","85.37","85.37","85.15","4.45M","-0.26%"
"Apr 26, 2021","85.39","85.46","85.49","85.37","3.80M","-0.07%"
"Apr 23, 2021","85.45","85.48","85.48","85.35","6.44M","0.01%"
"Apr 22, 2021","85.44","85.41","85.46","85.29","4.01M","0.05%"
"Apr 21, 2021","85.40","85.28","85.40","85.24","4.51M","0.11%"
"Apr 20, 2021","85.31","85.15","85.36","85.14","4.65M","0.17%"
"Apr 19, 2021","85.17","85.11","85.19","85.06","6.17M","-0.06%"
"Apr 16, 2021","85.22","85.22","85.31","85.06","6.20M","-0.27%"
"Apr 15, 2021","85.45","85.33","85.56","85.27","5.39M","0.42%"
"Apr 14, 2021","85.09","85.06","85.13","85.01","4.59M","-0.07%"
