"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2021","12.23","11.90","12.42","11.89","186.06K","0.74%"
"Jun 17, 2021","12.14","11.82","12.22","11.74","164.04K","1.08%"
"Jun 16, 2021","12.01","11.81","12.26","11.56","144.67K","2.30%"
"Jun 15, 2021","11.74","11.85","12.09","11.72","133.15K","-0.68%"
"Jun 14, 2021","11.82","11.82","11.96","11.59","109.25K","-2.80%"
"Jun 11, 2021","12.16","11.90","12.35","11.88","292.78K","2.88%"
"Jun 10, 2021","11.82","11.81","12.06","11.66","162.15K","-0.59%"
"Jun 09, 2021","11.89","11.86","11.90","11.67","117.01K","1.11%"
"Jun 08, 2021","11.76","11.73","11.92","11.57","311.63K","1.12%"
"Jun 07, 2021","11.63","11.86","11.97","11.53","212.81K","-0.85%"
"Jun 04, 2021","11.73","11.94","12.07","11.70","223.08K","-3.93%"
"Jun 03, 2021","12.21","12.22","12.39","12.17","177.54K","1.83%"
"Jun 02, 2021","11.99","12.69","12.69","11.97","173.71K","-4.61%"
"Jun 01, 2021","12.57","12.69","12.78","12.53","163.22K","-7.23%"
"May 28, 2021","13.55","13.97","13.97","13.50","199.96K","-3.90%"
"May 27, 2021","14.10","14.26","14.37","14.02","122.55K","-2.49%"
"May 26, 2021","14.46","14.78","14.78","14.33","237.26K","-3.02%"
"May 25, 2021","14.91","14.25","14.98","14.24","205.78K","105.94%"
"May 24, 2021","7.24","7.41","7.43","7.22","111.48K","-3.72%"
"May 21, 2021","7.52","7.32","7.59","7.31","162.29K","3.44%"
"May 20, 2021","7.27","7.29","7.37","7.25","141.05K","-0.82%"
"May 19, 2021","7.33","7.31","7.46","7.16","502.54K","2.66%"
"May 18, 2021","7.14","7.17","7.25","7.04","126.77K","-0.70%"
"May 17, 2021","7.19","7.46","7.46","7.15","149.77K","-2.04%"
"May 14, 2021","7.34","7.30","7.48","7.28","127.91K","-2.78%"
"May 13, 2021","7.55","7.57","7.72","7.34","289.53K","-1.31%"
"May 12, 2021","7.65","7.26","7.69","7.21","393.15K","8.20%"
"May 11, 2021","7.07","7.50","7.50","7.07","417.35K","-2.35%"
"May 10, 2021","7.24","7.09","7.26","7.06","276.92K","0.56%"
"May 07, 2021","7.20","7.43","7.46","7.20","199.73K","-5.39%"
"May 06, 2021","7.61","7.80","7.82","7.61","200.55K","-4.19%"
"May 05, 2021","7.94","8.21","8.02","7.94","113.03K","-5.67%"
"May 04, 2021","8.42","8.41","8.49","8.26","178.78K","2.43%"
"May 03, 2021","8.22","8.25","8.33","8.06","131.33K","-0.72%"
"Apr 30, 2021","8.28","8.04","8.31","8.00","348.93K","5.61%"
"Apr 29, 2021","7.84","7.78","8.03","7.78","306.97K","0.19%"
"Apr 28, 2021","7.82","8.17","8.17","7.78","241.49K","-6.73%"
"Apr 27, 2021","8.39","8.27","8.44","8.11","178.37K","2.07%"
"Apr 26, 2021","8.22","8.18","8.36","8.15","173.93K","-1.56%"
"Apr 23, 2021","8.35","8.30","8.50","8.20","255.51K","-0.71%"
"Apr 22, 2021","8.41","8.33","8.56","8.31","335.92K","-1.75%"
"Apr 21, 2021","8.56","8.72","8.83","8.52","261.64K","-0.47%"
"Apr 20, 2021","8.60","8.42","8.67","8.37","347.02K","1.42%"
"Apr 19, 2021","8.48","8.57","8.69","8.30","344.38K","-1.05%"
"Apr 16, 2021","8.57","8.86","8.95","8.49","214.61K","-1.95%"
"Apr 15, 2021","8.74","8.62","8.83","8.62","464.72K","-2.35%"
"Apr 14, 2021","8.95","9.25","9.25","8.85","318.85K","-3.97%"
"Apr 13, 2021","9.32","9.56","9.56","9.08","265.97K","-0.96%"
"Apr 12, 2021","9.41","9.17","9.50","9.14","214.60K","0.53%"
"Apr 09, 2021","9.36","9.25","9.43","9.18","304.94K","4.12%"
"Apr 08, 2021","8.99","9.09","9.22","8.83","277.39K","-3.54%"
"Apr 07, 2021","9.32","9.08","9.37","8.95","236.02K","1.30%"
"Apr 06, 2021","9.20","9.36","9.36","9.01","322.88K","-2.34%"
"Apr 05, 2021","9.42","9.43","9.52","9.36","318.13K","-5.89%"
"Apr 01, 2021","10.01","9.62","10.01","9.57","383.01K","5.26%"
"Mar 31, 2021","9.51","9.89","9.95","9.47","422.16K","-4.23%"
"Mar 30, 2021","9.93","10.21","10.21","9.81","322.97K","-2.65%"
"Mar 29, 2021","10.20","10.34","10.50","10.07","438.16K","0.20%"
"Mar 26, 2021","10.18","10.02","10.48","9.86","493.01K","0.30%"
"Mar 25, 2021","10.15","10.43","10.48","10.01","650.64K","-1.84%"
"Mar 24, 2021","10.34","9.71","10.35","9.52","577.64K","6.27%"
"Mar 23, 2021","9.73","9.53","9.79","9.24","564.21K","3.29%"
"Mar 22, 2021","9.42","9.46","9.72","9.33","316.16K","2.61%"
"Mar 19, 2021","9.18","9.38","9.58","9.01","706.95K","-4.77%"
"Mar 18, 2021","9.64","9.45","9.68","9.18","678.21K","2.88%"
