"Date","Price","Open","High","Low","Change %"
"Jun 15, 2021","122.57","122.35","122.78","122.26","0.25%"
"Jun 14, 2021","122.26","122.08","122.41","121.84","0.16%"
"Jun 11, 2021","122.06","122.22","122.50","121.96","-0.10%"
"Jun 10, 2021","122.18","122.40","122.57","122.03","-0.12%"
"Jun 09, 2021","122.33","122.10","122.50","121.96","0.22%"
"Jun 08, 2021","122.06","121.72","122.20","121.62","0.31%"
"Jun 07, 2021","121.68","121.76","121.93","121.44","-0.02%"
"Jun 04, 2021","121.71","122.07","122.14","121.61","-0.28%"
"Jun 03, 2021","122.05","122.03","122.17","121.73","0.06%"
"Jun 02, 2021","121.98","122.04","122.33","121.71","-0.01%"
"Jun 01, 2021","121.99","121.83","122.28","121.67","0.18%"
"May 31, 2021","121.77","121.98","122.17","121.58","-0.25%"
"May 28, 2021","122.08","122.43","122.55","121.87","-0.26%"
"May 27, 2021","122.40","121.54","122.55","121.39","0.74%"
"May 26, 2021","121.50","121.47","121.79","121.36","0.07%"
"May 25, 2021","121.42","121.18","121.85","121.14","0.23%"
"May 24, 2021","121.14","121.39","121.46","121.01","-0.14%"
"May 21, 2021","121.31","121.24","121.48","120.94","0.12%"
"May 20, 2021","121.17","120.79","121.26","120.64","0.32%"
"May 19, 2021","120.78","121.28","121.54","120.54","-0.39%"
"May 18, 2021","121.25","120.89","121.55","120.83","0.34%"
"May 17, 2021","120.84","121.14","121.42","120.88","-0.37%"
"May 14, 2021","121.29","120.81","121.36","120.71","0.43%"
"May 13, 2021","120.77","120.60","121.07","120.49","0.17%"
"May 12, 2021","120.56","120.19","120.72","119.89","0.34%"
"May 11, 2021","120.15","120.71","120.99","120.12","-0.43%"
"May 10, 2021","120.67","120.68","121.11","120.02","0.15%"
"May 07, 2021","120.49","120.21","120.64","119.89","0.27%"
"May 06, 2021","120.16","119.61","120.42","119.50","0.50%"
"May 05, 2021","119.56","119.68","119.78","119.25","-0.06%"
"May 04, 2021","119.63","119.72","119.86","119.43","-0.05%"
"May 03, 2021","119.69","119.61","120.19","119.53","0.08%"
"Apr 30, 2021","119.59","119.89","120.01","119.56","-0.22%"
"Apr 29, 2021","119.85","119.39","120.13","119.27","0.41%"
"Apr 28, 2021","119.36","119.04","119.53","118.68","0.33%"
"Apr 27, 2021","118.97","118.22","119.04","118.08","0.69%"
"Apr 26, 2021","118.16","118.19","118.33","117.71","0.06%"
"Apr 23, 2021","118.09","117.76","118.25","117.49","0.30%"
"Apr 22, 2021","117.74","117.83","118.17","117.57","-0.06%"
"Apr 21, 2021","117.81","118.01","118.11","117.56","-0.14%"
"Apr 20, 2021","117.98","118.18","118.69","117.92","-0.15%"
"Apr 19, 2021","118.16","118.32","118.50","117.80","-0.03%"
"Apr 16, 2021","118.19","117.88","118.65","117.76","0.32%"
"Apr 15, 2021","117.81","118.08","118.16","117.64","-0.18%"
"Apr 14, 2021","118.02","118.42","118.62","117.95","-0.31%"
"Apr 13, 2021","118.39","118.56","118.77","118.01","-0.11%"
"Apr 12, 2021","118.52","118.57","118.73","118.14","0.01%"
"Apr 09, 2021","118.51","118.11","118.66","118.07","0.36%"
"Apr 08, 2021","118.08","118.18","118.32","117.61","-0.04%"
"Apr 07, 2021","118.13","117.89","118.39","117.54","0.24%"
"Apr 06, 2021","117.85","117.65","118.01","117.36","0.21%"
"Apr 05, 2021","117.60","117.49","117.75","117.18","0.14%"
"Apr 02, 2021","117.43","117.41","117.59","117.26","0.06%"
"Apr 01, 2021","117.36","117.36","117.59","116.93","0.06%"
"Mar 31, 2021","117.29","117.14","117.70","117.04","0.18%"
"Mar 30, 2021","117.08","116.89","117.22","116.82","0.21%"
"Mar 29, 2021","116.84","116.76","117.07","116.41","0.09%"
"Mar 26, 2021","116.73","116.14","116.88","116.07","0.54%"
"Mar 25, 2021","116.10","116.22","116.69","116.08","-0.08%"
"Mar 24, 2021","116.19","116.27","116.39","115.89","-0.01%"
"Mar 23, 2021","116.20","117.88","117.94","116.17","-1.41%"
"Mar 22, 2021","117.86","117.18","117.92","116.60","0.64%"
"Mar 19, 2021","117.11","117.45","117.64","116.88","-0.26%"
"Mar 18, 2021","117.42","117.97","118.20","117.21","-0.43%"
"Mar 17, 2021","117.93","117.87","118.10","117.46","0.08%"
"Mar 16, 2021","117.83","117.68","118.11","117.44","0.16%"
"Mar 15, 2021","117.64","117.35","117.71","117.19","0.38%"
"Mar 12, 2021","117.19","117.32","117.57","116.98","-0.13%"
"Mar 11, 2021","117.34","116.57","117.44","116.48","0.70%"
"Mar 10, 2021","116.52","116.93","117.18","116.49","-0.32%"
"Mar 09, 2021","116.89","116.25","117.01","116.17","0.60%"
"Mar 08, 2021","116.19","116.43","116.72","116.06","-0.12%"
"Mar 05, 2021","116.33","116.26","116.96","116.01","0.09%"
"Mar 04, 2021","116.23","116.32","116.60","115.96","-0.04%"
"Mar 03, 2021","116.28","116.62","116.89","116.28","-0.27%"
"Mar 02, 2021","116.60","116.68","116.87","116.24","-0.03%"
"Mar 01, 2021","116.63","117.31","117.68","116.36","-0.57%"
"Feb 26, 2021","117.30","117.44","117.81","117.01","-0.09%"
"Feb 25, 2021","117.40","116.79","117.71","116.67","0.56%"
"Feb 24, 2021","116.75","116.28","116.88","116.14","0.44%"
"Feb 23, 2021","116.24","117.25","117.43","116.21","-0.82%"
"Feb 22, 2021","117.20","117.58","117.83","117.09","-0.33%"
"Feb 19, 2021","117.59","117.97","118.10","117.57","-0.27%"
"Feb 18, 2021","117.91","117.79","118.03","117.66","0.14%"
"Feb 17, 2021","117.75","118.85","118.89","117.71","-0.88%"
"Feb 16, 2021","118.80","118.36","118.86","118.25","0.41%"
"Feb 15, 2021","118.32","117.61","118.43","117.60","0.55%"
"Feb 12, 2021","117.67","117.71","117.91","117.53","0.02%"
"Feb 11, 2021","117.65","117.48","117.74","117.39","0.18%"
"Feb 10, 2021","117.44","117.22","117.75","117.10","0.23%"
"Feb 09, 2021","117.17","117.08","117.25","116.89","0.10%"
"Feb 08, 2021","117.05","117.22","117.36","116.97","-0.10%"
"Feb 05, 2021","117.17","116.68","117.28","116.64","0.40%"
"Feb 04, 2021","116.70","116.81","116.90","116.58","-0.06%"
"Feb 03, 2021","116.77","117.00","117.04","116.71","-0.17%"
"Feb 02, 2021","116.97","116.98","117.28","116.84","0.03%"
"Feb 01, 2021","116.94","117.57","117.75","116.94","-0.51%"
"Jan 29, 2021","117.54","117.26","118.03","117.18","0.28%"
"Jan 28, 2021","117.21","117.13","117.59","117.00","0.10%"
"Jan 27, 2021","117.09","116.84","117.26","116.73","0.25%"
"Jan 26, 2021","116.80","116.76","116.96","116.61","0.06%"
"Jan 25, 2021","116.73","117.23","117.36","116.72","-0.38%"
"Jan 22, 2021","117.17","116.89","117.34","116.78","0.26%"
"Jan 21, 2021","116.87","116.36","117.01","116.26","0.49%"
