"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2021","12.46","12.45","12.50","12.43","502.62K","0.24%"
"Jun 10, 2021","12.43","12.46","12.51","12.20","1.19M","0.57%"
"Jun 09, 2021","12.36","12.47","12.49","12.33","562.35K","-0.64%"
"Jun 08, 2021","12.44","12.25","12.45","12.19","374.36K","1.22%"
"Jun 07, 2021","12.29","12.30","12.34","12.25","316.42K","0.16%"
"Jun 04, 2021","12.27","12.33","12.33","12.22","314.14K","0.49%"
"Jun 03, 2021","12.21","12.22","12.24","12.09","431.66K","0.16%"
"Jun 02, 2021","12.19","12.11","12.21","12.07","889.27K","1.16%"
"Jun 01, 2021","12.05","12.11","12.20","11.96","978.10K","1.95%"
"May 28, 2021","11.82","11.91","11.92","11.76","577.02K","-0.17%"
"May 27, 2021","11.84","11.78","11.86","11.74","419.57K","0.51%"
"May 26, 2021","11.78","11.68","11.79","11.64","449.98K","0.77%"
"May 25, 2021","11.69","11.73","11.78","11.69","421.30K","-0.34%"
"May 24, 2021","11.73","11.56","11.77","11.53","540.80K","2.62%"
"May 21, 2021","11.43","11.36","11.43","11.32","859.31K","2.97%"
"May 20, 2021","11.10","11.31","11.33","11.09","842.76K","-2.12%"
"May 19, 2021","11.34","11.41","11.42","11.13","1.91M","-3.08%"
"May 18, 2021","11.70","11.79","11.84","11.49","2.06M","-1.10%"
"May 17, 2021","11.83","11.74","11.84","11.71","921.82K","1.28%"
"May 14, 2021","11.68","11.63","11.70","11.61","561.01K","1.74%"
"May 13, 2021","11.48","11.52","11.64","11.37","1.20M","-3.04%"
"May 12, 2021","11.84","11.82","11.96","11.82","1.92M","0.77%"
"May 11, 2021","11.75","11.54","11.77","11.54","614.55K","0.77%"
"May 10, 2021","11.66","11.74","11.74","11.52","683.03K","0.43%"
"May 07, 2021","11.61","11.51","11.65","11.49","937.23K","0.17%"
"May 06, 2021","11.59","11.68","11.68","11.52","523.92K","-0.26%"
"May 05, 2021","11.62","11.75","11.76","11.56","706.91K","-0.43%"
"May 04, 2021","11.67","11.61","11.67","11.52","928.34K","2.19%"
"May 03, 2021","11.42","11.31","11.43","11.31","544.52K","1.60%"
"Apr 30, 2021","11.24","11.26","11.30","11.19","534.87K","-2.01%"
"Apr 29, 2021","11.47","11.53","11.56","11.39","566.02K","1.33%"
"Apr 28, 2021","11.32","11.31","11.41","11.28","1.00M","0.89%"
