"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2021","40.30","40.75","40.77","39.95","25.43M","-1.44%"
"Jun 10, 2021","40.89","40.94","41.16","40.46","38.49M","-1.21%"
"Jun 09, 2021","41.39","41.56","41.80","41.33","33.85M","-0.60%"
"Jun 08, 2021","41.64","41.62","42.01","41.31","24.62M","-0.50%"
"Jun 07, 2021","41.85","41.41","42.04","41.20","26.66M","0.43%"
"Jun 04, 2021","41.67","41.41","41.73","41.08","31.20M","2.03%"
"Jun 03, 2021","40.84","40.83","40.96","40.55","25.32M","-0.95%"
"Jun 02, 2021","41.23","40.16","41.33","40.13","49.62M","2.23%"
"Jun 01, 2021","40.33","40.20","40.40","39.99","42.43M","3.65%"
"May 28, 2021","38.91","38.34","38.99","38.31","30.91M","1.86%"
"May 27, 2021","38.20","37.97","38.29","37.76","23.59M","1.30%"
"May 26, 2021","37.71","37.32","37.90","37.30","22.51M","1.48%"
"May 25, 2021","37.16","38.01","38.03","37.06","33.90M","-1.38%"
"May 24, 2021","37.68","37.28","37.78","37.23","22.52M","1.78%"
"May 21, 2021","37.02","37.52","37.58","36.83","34.16M","-1.78%"
"May 20, 2021","37.69","37.64","37.72","37.39","29.48M","0.51%"
"May 19, 2021","37.50","37.53","37.97","37.15","33.33M","-1.32%"
"May 18, 2021","38.00","37.94","38.26","37.73","20.42M","0.26%"
"May 17, 2021","37.90","37.49","37.99","37.19","24.45M","1.09%"
"May 14, 2021","37.49","37.58","37.69","37.14","24.85M","1.38%"
"May 13, 2021","36.98","36.91","37.51","36.56","38.01M","0.76%"
"May 12, 2021","36.70","37.78","37.97","36.64","37.87M","-4.20%"
"May 11, 2021","38.31","37.25","38.32","37.21","30.96M","1.08%"
"May 10, 2021","37.90","38.32","38.35","37.81","26.09M","-0.29%"
"May 07, 2021","38.01","37.42","38.02","37.35","44.49M","2.70%"
"May 06, 2021","37.01","36.59","37.01","36.52","31.41M","2.15%"
"May 05, 2021","36.23","35.74","36.25","36.07","15.63M","2.87%"
"May 04, 2021","35.22","35.29","35.61","35.09","29.88M","-1.34%"
"May 03, 2021","35.70","35.66","36.05","35.44","24.00M","0.39%"
"Apr 30, 2021","35.56","36.12","36.23","35.48","36.29M","-2.68%"
"Apr 29, 2021","36.54","36.71","36.71","36.12","24.62M","-0.25%"
"Apr 28, 2021","36.63","35.96","36.73","35.90","30.20M","3.36%"
"Apr 27, 2021","35.44","35.73","36.04","35.33","21.15M","-1.01%"
"Apr 26, 2021","35.80","35.91","35.96","35.49","26.79M","0.73%"
"Apr 23, 2021","35.54","35.61","35.86","35.22","25.11M","0.40%"
"Apr 22, 2021","35.40","35.54","35.60","35.06","32.13M","0.85%"
"Apr 21, 2021","35.10","34.85","35.19","34.54","16.61M","0.23%"
"Apr 20, 2021","35.02","35.37","35.52","34.87","28.89M","-0.71%"
"Apr 19, 2021","35.27","35.06","35.67","34.84","39.50M","0.60%"
"Apr 16, 2021","35.06","34.51","35.25","34.34","34.10M","0.95%"
"Apr 15, 2021","34.73","34.94","35.01","34.57","36.86M","1.14%"
"Apr 14, 2021","34.34","33.76","34.52","33.76","28.43M","2.05%"
"Apr 13, 2021","33.65","33.29","34.12","33.24","22.56M","0.39%"
"Apr 12, 2021","33.52","33.56","34.00","33.31","19.09M","-0.12%"
"Apr 09, 2021","33.56","33.80","33.99","33.48","28.04M","-2.27%"
"Apr 08, 2021","34.34","34.16","34.65","33.90","25.70M","1.84%"
"Apr 07, 2021","33.72","34.15","34.42","33.62","28.12M","-0.68%"
"Apr 06, 2021","33.95","33.72","34.30","33.67","25.22M","1.10%"
"Apr 05, 2021","33.58","33.53","33.66","33.33","22.71M","2.94%"
"Apr 01, 2021","32.62","33.30","33.38","32.59","37.70M","-2.48%"
"Mar 31, 2021","33.45","32.81","33.58","32.74","35.78M","2.01%"
"Mar 30, 2021","32.79","32.38","32.98","32.26","40.59M","1.30%"
"Mar 29, 2021","32.37","32.10","32.60","31.86","29.93M","-0.12%"
"Mar 26, 2021","32.41","32.67","32.88","31.90","32.71M","-0.06%"
"Mar 25, 2021","32.43","32.06","32.66","31.93","42.10M","0.93%"
"Mar 24, 2021","32.13","33.26","33.58","32.13","33.17M","-3.25%"
