"Date","Price","Open","High","Low","Change %"
"Jun 14, 2021","1.1664","1.1658","1.1666","1.1657","0.05%"
"Jun 13, 2021","1.1658","1.1655","1.1661","1.1645","0.09%"
"Jun 11, 2021","1.1648","1.1649","1.1673","1.1617","0.04%"
"Jun 10, 2021","1.1643","1.1592","1.1650","1.1568","0.47%"
"Jun 09, 2021","1.1589","1.1631","1.1645","1.1574","-0.32%"
"Jun 08, 2021","1.1626","1.1636","1.1638","1.1589","-0.04%"
"Jun 07, 2021","1.1631","1.1629","1.1659","1.1609","0.00%"
"Jun 04, 2021","1.1631","1.1632","1.1677","1.1619","0.02%"
"Jun 03, 2021","1.1629","1.1605","1.1648","1.1599","0.24%"
"Jun 02, 2021","1.1601","1.1585","1.1630","1.1573","0.17%"
"Jun 01, 2021","1.1581","1.1624","1.1649","1.1566","-0.33%"
"May 31, 2021","1.1619","1.1632","1.1642","1.1607","-0.13%"
"May 28, 2021","1.1634","1.1647","1.1664","1.1617","-0.09%"
"May 27, 2021","1.1645","1.1581","1.1654","1.1563","0.58%"
"May 26, 2021","1.1578","1.1549","1.1590","1.1538","0.26%"
"May 25, 2021","1.1548","1.1591","1.1604","1.1530","-0.34%"
"May 24, 2021","1.1587","1.1626","1.1629","1.1559","-0.22%"
"May 21, 2021","1.1612","1.1605","1.1652","1.1586","0.09%"
"May 20, 2021","1.1602","1.1597","1.1614","1.1568","0.09%"
"May 19, 2021","1.1591","1.1609","1.1616","1.1568","-0.12%"
"May 18, 2021","1.1605","1.1628","1.1654","1.1601","-0.20%"
"May 17, 2021","1.1628","1.1607","1.1638","1.1583","0.18%"
"May 14, 2021","1.1607","1.1632","1.1637","1.1589","-0.19%"
"May 13, 2021","1.1629","1.1643","1.1654","1.1602","-0.07%"
"May 12, 2021","1.1637","1.1640","1.1683","1.1630","-0.02%"
"May 11, 2021","1.1639","1.1638","1.1654","1.1608","-0.01%"
"May 10, 2021","1.1640","1.1499","1.1646","1.1493","1.35%"
"May 07, 2021","1.1485","1.1509","1.1542","1.1487","-0.18%"
"May 06, 2021","1.1506","1.1582","1.1590","1.1494","-0.63%"
"May 05, 2021","1.1579","1.1559","1.1599","1.1556","0.22%"
"May 04, 2021","1.1554","1.1532","1.1568","1.1507","0.23%"
"May 03, 2021","1.1528","1.1494","1.1543","1.1474","0.32%"
"Apr 30, 2021","1.1491","1.1502","1.1521","1.1471","-0.09%"
"Apr 29, 2021","1.1501","1.1496","1.1531","1.1489","0.11%"
"Apr 28, 2021","1.1488","1.1507","1.1515","1.1483","-0.14%"
"Apr 27, 2021","1.1504","1.1507","1.1530","1.1490","0.02%"
"Apr 26, 2021","1.1502","1.1466","1.1519","1.1466","0.32%"
"Apr 23, 2021","1.1465","1.1517","1.1533","1.1466","-0.43%"
"Apr 22, 2021","1.1514","1.1573","1.1583","1.1490","-0.49%"
"Apr 21, 2021","1.1571","1.1579","1.1612","1.1566","-0.06%"
"Apr 20, 2021","1.1578","1.1621","1.1624","1.1568","-0.34%"
"Apr 19, 2021","1.1617","1.1543","1.1645","1.1530","0.69%"
"Apr 16, 2021","1.1537","1.1518","1.1554","1.1467","0.16%"
"Apr 15, 2021","1.1518","1.1504","1.1537","1.1494","0.16%"
"Apr 14, 2021","1.1500","1.1508","1.1537","1.1494","-0.03%"
"Apr 13, 2021","1.1503","1.1537","1.1576","1.1476","-0.27%"
"Apr 12, 2021","1.1534","1.1537","1.1577","1.1499","0.17%"
"Apr 09, 2021","1.1514","1.1528","1.1567","1.1495","-0.10%"
"Apr 08, 2021","1.1526","1.1575","1.1600","1.1517","-0.35%"
