"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2021","87.62","87.65","87.69","87.55","12.56M","0.03%"
"Jun 10, 2021","87.59","87.50","87.66","87.46","15.29M","0.18%"
"Jun 09, 2021","87.43","87.45","87.49","87.40","13.23M","0.08%"
"Jun 08, 2021","87.36","87.43","87.43","87.31","10.98M","0.07%"
"Jun 07, 2021","87.30","87.29","87.35","87.26","8.39M","0.03%"
"Jun 04, 2021","87.27","87.23","87.31","87.17","26.83M","0.22%"
"Jun 03, 2021","87.08","87.00","87.23","86.99","16.70M","-0.21%"
"Jun 02, 2021","87.26","87.15","87.27","87.12","13.70M","0.13%"
"Jun 01, 2021","87.15","87.06","87.16","87.00","22.39M","-0.03%"
"May 28, 2021","87.18","87.34","87.34","87.18","15.46M","-0.03%"
"May 27, 2021","87.21","87.36","87.38","87.20","12.68M","-0.05%"
"May 26, 2021","87.25","87.17","87.27","87.16","14.35M","0.03%"
"May 25, 2021","87.22","87.25","87.28","87.14","15.47M","0.01%"
"May 24, 2021","87.21","87.14","87.30","87.10","24.28M","0.11%"
"May 21, 2021","87.11","87.09","87.13","86.93","36.47M","0.15%"
"May 20, 2021","86.98","86.70","87.33","86.69","28.01M","0.43%"
"May 19, 2021","86.61","86.60","86.83","86.58","34.70M","-0.26%"
"May 18, 2021","86.84","87.07","87.10","86.84","16.45M","-0.24%"
"May 17, 2021","87.05","87.21","87.21","86.99","13.54M","-0.18%"
"May 14, 2021","87.21","87.03","87.21","87.03","22.55M","0.32%"
"May 13, 2021","86.93","86.78","87.00","86.78","28.69M","0.36%"
"May 12, 2021","86.62","86.91","86.98","86.62","31.63M","-0.48%"
"May 11, 2021","87.04","86.90","87.09","86.81","28.68M","-0.10%"
"May 10, 2021","87.13","87.38","87.38","87.13","16.58M","-0.23%"
"May 07, 2021","87.33","87.34","87.41","87.23","17.87M","0.07%"
"May 06, 2021","87.27","87.30","87.33","87.16","23.11M","-0.03%"
"May 05, 2021","87.30","87.19","87.32","87.17","13.68M","0.20%"
"May 04, 2021","87.13","87.11","87.15","86.97","23.09M","-0.06%"
"May 03, 2021","87.18","87.23","87.33","87.17","15.78M","-0.30%"
"Apr 30, 2021","87.44","87.37","87.49","87.35","23.37M","-0.05%"
"Apr 29, 2021","87.48","87.55","87.55","87.35","17.15M","0.11%"
"Apr 28, 2021","87.38","87.24","87.45","87.17","14.80M","0.19%"
"Apr 27, 2021","87.21","87.38","87.38","87.21","17.66M","-0.14%"
"Apr 26, 2021","87.33","87.38","87.48","87.29","12.75M","-0.05%"
"Apr 23, 2021","87.37","87.20","87.44","87.20","14.40M","0.26%"
"Apr 22, 2021","87.14","87.29","87.33","87.13","18.51M","-0.18%"
"Apr 21, 2021","87.30","86.97","87.30","86.97","19.53M","0.33%"
"Apr 20, 2021","87.01","87.05","87.13","86.96","22.90M","-0.17%"
"Apr 19, 2021","87.16","87.30","87.30","87.12","23.90M","-0.16%"
"Apr 16, 2021","87.30","87.50","87.53","87.30","32.51M","-0.21%"
"Apr 15, 2021","87.48","87.31","87.48","87.27","20.94M","0.40%"
"Apr 14, 2021","87.13","87.18","87.29","87.10","17.99M","-0.05%"
"Apr 13, 2021","87.17","87.01","87.19","86.91","20.64M","0.07%"
"Apr 12, 2021","87.11","87.10","87.14","87.02","15.36M","-0.10%"
"Apr 09, 2021","87.20","87.16","87.20","87.10","17.41M","-0.07%"
"Apr 08, 2021","87.26","87.33","87.36","87.24","11.05M","0.03%"
"Apr 07, 2021","87.23","87.29","87.31","87.18","15.65M","-0.03%"
"Apr 06, 2021","87.26","87.15","87.30","87.13","15.37M","0.17%"
"Apr 05, 2021","87.11","87.10","87.16","87.04","20.76M","0.05%"
"Apr 01, 2021","87.07","86.96","87.07","86.85","30.81M","-0.13%"
"Mar 31, 2021","87.18","86.86","87.20","86.86","41.60M","0.48%"
"Mar 30, 2021","86.76","86.84","86.88","86.74","19.62M","-0.24%"
"Mar 29, 2021","86.97","86.82","87.00","86.70","17.45M","0.06%"
"Mar 26, 2021","86.92","86.76","86.93","86.57","25.95M","0.30%"
"Mar 25, 2021","86.66","86.49","86.66","86.36","24.07M","0.17%"
"Mar 24, 2021","86.51","86.54","86.80","86.51","31.37M","0.06%"
"Mar 23, 2021","86.46","86.34","86.48","86.25","24.71M","0.10%"
"Mar 22, 2021","86.37","86.21","86.52","86.15","32.98M","0.36%"
"Mar 19, 2021","86.06","85.86","86.15","85.65","47.47M","0.38%"
"Mar 18, 2021","85.73","86.05","86.17","85.72","37.15M","-0.76%"
"Mar 17, 2021","86.39","86.11","86.65","86.04","28.35M","0.14%"
"Mar 16, 2021","86.27","86.41","86.48","86.19","22.93M","-0.23%"
"Mar 15, 2021","86.47","86.45","86.55","86.31","15.65M","0.01%"
"Mar 12, 2021","86.46","86.56","86.56","86.37","21.84M","-0.28%"
"Mar 11, 2021","86.70","86.63","86.86","86.59","27.73M","0.37%"
"Mar 10, 2021","86.38","86.16","86.50","86.16","23.78M","0.31%"
"Mar 09, 2021","86.11","86.25","86.44","86.08","31.44M","0.14%"
"Mar 08, 2021","85.99","86.56","86.63","85.97","39.87M","-0.73%"
"Mar 05, 2021","86.62","86.49","86.72","86.09","46.95M","0.30%"
"Mar 04, 2021","86.36","86.75","86.95","86.08","47.10M","-0.38%"
"Mar 03, 2021","86.69","86.84","86.91","86.65","29.95M","-0.32%"
"Mar 02, 2021","86.97","87.15","87.16","86.93","23.68M","-0.15%"
"Mar 01, 2021","87.10","86.67","87.16","86.56","47.62M","0.76%"
"Feb 26, 2021","86.44","86.88","86.92","86.40","46.62M","-0.30%"
"Feb 25, 2021","86.70","87.33","87.42","86.60","59.27M","-0.95%"
"Feb 24, 2021","87.53","87.31","87.53","87.23","21.79M","0.10%"
"Feb 23, 2021","87.44","87.19","87.51","87.01","28.49M","0.24%"
"Feb 22, 2021","87.23","87.37","87.46","87.23","24.88M","-0.31%"
"Feb 19, 2021","87.50","87.63","87.63","87.48","28.12M","0.01%"
"Feb 18, 2021","87.49","87.47","87.59","87.39","25.87M","-0.14%"
"Feb 17, 2021","87.61","87.46","87.61","87.43","19.27M","-0.03%"
"Feb 16, 2021","87.64","87.73","87.74","87.57","21.61M","-0.16%"
"Feb 12, 2021","87.78","87.55","87.79","87.55","17.80M","0.16%"
"Feb 11, 2021","87.64","87.64","87.68","87.54","16.23M","0.05%"
"Feb 10, 2021","87.60","87.62","87.68","87.47","20.39M","-0.02%"
"Feb 09, 2021","87.62","87.65","87.72","87.57","14.11M","-0.18%"
"Feb 08, 2021","87.78","87.59","87.78","87.56","16.43M","0.30%"
"Feb 05, 2021","87.52","87.63","87.65","87.47","21.65M","0.15%"
"Feb 04, 2021","87.39","87.35","87.47","87.31","21.15M","0.21%"
"Feb 03, 2021","87.21","87.20","87.36","87.17","30.49M","0.08%"
"Feb 02, 2021","87.14","87.15","87.26","87.09","28.94M","0.24%"
"Feb 01, 2021","86.93","86.81","86.97","86.65","33.72M","-0.05%"
"Jan 29, 2021","86.97","87.13","87.37","86.89","46.10M","-0.26%"
"Jan 28, 2021","87.20","87.16","87.49","87.14","38.05M","0.30%"
"Jan 27, 2021","86.94","87.02","87.22","86.81","46.01M","-0.29%"
"Jan 26, 2021","87.19","87.29","87.33","87.18","37.14M","-0.15%"
"Jan 25, 2021","87.32","87.30","87.33","87.03","28.46M","0.02%"
"Jan 22, 2021","87.30","87.28","87.39","87.18","26.62M","-0.19%"
"Jan 21, 2021","87.47","87.47","87.57","87.38","20.30M","-0.06%"
"Jan 20, 2021","87.52","87.62","87.62","87.37","24.26M","0.18%"
"Jan 19, 2021","87.36","87.35","87.38","87.14","23.58M","0.29%"
"Jan 15, 2021","87.11","87.14","87.27","87.05","48.13M","-0.16%"
"Jan 14, 2021","87.25","87.27","87.38","87.22","24.78M","-0.02%"
"Jan 13, 2021","87.27","86.98","87.31","86.95","47.39M","0.30%"
"Jan 12, 2021","87.01","86.89","87.07","86.79","39.73M","0.13%"
"Jan 11, 2021","86.90","87.02","87.17","86.89","26.54M","-0.54%"
"Jan 08, 2021","87.37","87.35","87.38","87.14","27.40M","0.15%"
"Jan 07, 2021","87.24","87.18","87.37","87.13","25.66M","0.29%"
"Jan 06, 2021","86.99","87.09","87.34","86.97","36.94M","-0.18%"
"Jan 05, 2021","87.15","87.02","87.25","86.98","32.36M","0.03%"
"Jan 04, 2021","87.12","87.40","87.40","86.87","34.52M","-0.21%"
"Dec 31, 2020","87.30","87.21","87.34","87.17","12.06M","0.08%"
"Dec 30, 2020","87.23","87.08","87.28","87.08","20.88M","0.21%"
"Dec 29, 2020","87.05","87.31","87.31","87.04","22.36M","-0.13%"
"Dec 28, 2020","87.16","87.18","87.23","87.04","21.91M","0.13%"
"Dec 24, 2020","87.05","86.95","87.05","86.94","7.33M","0.21%"
"Dec 23, 2020","86.87","86.62","86.90","86.60","15.91M","0.45%"
"Dec 22, 2020","86.48","86.43","86.54","86.35","21.23M","0.13%"
"Dec 21, 2020","86.37","86.38","86.55","86.22","28.90M","-0.36%"
"Dec 18, 2020","86.68","86.65","86.72","86.55","26.74M","0.08%"
"Dec 17, 2020","86.61","86.59","86.68","86.51","23.42M","-0.26%"
"Dec 16, 2020","86.84","86.94","86.97","86.60","42.00M","-0.15%"
"Dec 15, 2020","86.97","86.85","87.00","86.68","24.97M","0.31%"
"Dec 14, 2020","86.70","86.83","86.88","86.60","19.50M","0.02%"
"Dec 11, 2020","86.68","86.72","86.86","86.54","17.70M","-0.10%"
"Dec 10, 2020","86.77","86.48","86.88","86.46","23.33M","0.18%"
