"Date","Price","Open","High","Low","Change %"
"Jun 15, 2021","1.0001","0.9988","1.0015","0.9981","0.20%"
"Jun 14, 2021","0.9981","1.0037","1.0065","0.9962","-0.35%"
"Jun 11, 2021","1.0016","1.0036","1.0048","1.0002","-0.15%"
"Jun 10, 2021","1.0031","1.0017","1.0083","0.9998","0.17%"
"Jun 09, 2021","1.0014","0.9998","1.0031","0.9961","0.20%"
"Jun 08, 2021","0.9994","1.0009","1.0109","0.9957","0.01%"
"Jun 07, 2021","0.9993","1.0022","1.0077","0.9986","-0.42%"
"Jun 04, 2021","1.0035","1.0045","1.0082","0.9990","-0.16%"
"Jun 03, 2021","1.0051","1.0037","1.0078","0.9998","0.16%"
"Jun 02, 2021","1.0035","1.0051","1.0081","1.0008","-0.07%"
"Jun 01, 2021","1.0042","1.0036","1.0081","0.9969","0.10%"
"May 31, 2021","1.0032","1.0070","1.0148","1.0006","-0.46%"
"May 28, 2021","1.0078","1.0077","1.0110","0.9998","0.04%"
"May 27, 2021","1.0074","1.0063","1.0104","1.0026","0.11%"
"May 26, 2021","1.0063","1.0066","1.0085","1.0010","0.06%"
"May 25, 2021","1.0057","1.0016","1.0096","0.9984","0.51%"
"May 24, 2021","1.0006","1.0091","1.0105","1.0008","-0.70%"
"May 21, 2021","1.0077","1.0009","1.0102","0.9975","0.76%"
"May 20, 2021","1.0001","0.9967","1.0029","0.9914","0.39%"
"May 19, 2021","0.9962","0.9936","1.0013","0.9885","0.30%"
"May 18, 2021","0.9932","0.9872","0.9952","0.9848","0.12%"
"May 17, 2021","0.9920","0.9843","0.9931","0.9833","0.53%"
"May 14, 2021","0.9868","0.9948","1.0048","0.9851","-0.74%"
"May 13, 2021","0.9942","0.9894","0.9973","0.9887","0.60%"
"May 12, 2021","0.9883","0.9923","0.9966","0.9869","-0.43%"
"May 11, 2021","0.9926","0.9912","0.9967","0.9877","0.21%"
"May 10, 2021","0.9905","0.9904","0.9939","0.9832","0.14%"
"May 07, 2021","0.9891","0.9852","0.9952","0.9821","0.50%"
"May 06, 2021","0.9842","0.9836","0.9884","0.9815","0.11%"
"May 05, 2021","0.9831","0.9826","0.9865","0.9764","0.08%"
