"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2021","37.32","39.20","39.58","36.77","21.32M","-7.42%"
"Jun 17, 2021","40.31","38.74","41.17","38.74","18.47M","2.88%"
"Jun 16, 2021","39.18","40.52","40.88","38.07","18.09M","-2.15%"
"Jun 15, 2021","40.04","40.86","41.60","39.75","13.30M","-2.74%"
"Jun 14, 2021","41.17","39.71","41.17","39.08","18.51M","4.25%"
"Jun 11, 2021","39.49","39.05","39.49","38.57","7.97M","1.15%"
"Jun 10, 2021","39.04","37.96","39.35","37.53","17.60M","3.55%"
"Jun 09, 2021","37.70","38.77","38.88","37.62","11.72M","-1.23%"
"Jun 08, 2021","38.17","39.87","39.97","37.30","13.48M","-1.90%"
"Jun 07, 2021","38.91","39.20","39.41","38.15","11.45M","-2.09%"
"Jun 04, 2021","39.74","38.08","39.99","38.05","15.96M","7.06%"
"Jun 03, 2021","37.12","37.80","38.27","36.54","16.95M","-5.28%"
"Jun 02, 2021","39.19","38.27","39.57","37.92","12.37M","2.22%"
"Jun 01, 2021","38.34","39.52","40.54","37.74","18.07M","-1.13%"
"May 28, 2021","38.78","38.19","39.26","37.92","15.89M","2.43%"
"May 27, 2021","37.86","36.91","38.25","36.73","16.45M","1.83%"
"May 26, 2021","37.18","37.06","37.67","36.19","13.44M","0.65%"
"May 25, 2021","36.94","37.36","37.74","36.25","19.47M","1.12%"
"May 24, 2021","36.53","35.09","37.14","34.98","21.58M","7.00%"
"May 21, 2021","34.14","35.30","35.34","33.81","25.10M","-1.44%"
"May 20, 2021","34.64","32.75","34.98","32.69","28.59M","8.08%"
"May 19, 2021","32.05","28.31","32.15","28.23","29.21M","5.81%"
"May 18, 2021","30.29","31.83","32.06","30.23","15.26M","-2.60%"
"May 17, 2021","31.10","30.79","31.10","29.44","19.22M","-2.60%"
"May 14, 2021","31.93","30.49","32.68","29.59","21.88M","8.86%"
"May 13, 2021","29.33","29.53","30.48","28.30","25.52M","4.27%"
"May 12, 2021","28.13","30.00","30.56","27.82","34.05M","-12.39%"
"May 11, 2021","32.11","28.91","32.30","28.72","29.95M","0.56%"
"May 10, 2021","31.93","35.80","35.80","31.89","25.44M","-13.54%"
"May 07, 2021","36.93","36.51","37.55","35.91","16.78M","4.32%"
"May 06, 2021","35.40","34.24","35.40","33.17","15.39M","2.46%"
"May 05, 2021","34.55","35.07","35.79","34.12","7.95M","1.71%"
"May 04, 2021","33.97","34.41","34.45","32.00","24.43M","-4.61%"
"May 03, 2021","35.61","37.72","37.76","35.08","13.90M","-3.50%"
"Apr 30, 2021","36.90","38.35","39.17","36.56","19.39M","-8.46%"
"Apr 29, 2021","40.31","41.20","41.22","38.48","14.81M","2.26%"
"Apr 28, 2021","39.42","40.68","40.69","39.31","12.75M","-4.64%"
"Apr 27, 2021","41.34","42.78","42.91","40.96","12.56M","-2.06%"
"Apr 26, 2021","42.21","40.09","42.46","40.00","13.53M","5.13%"
"Apr 23, 2021","40.15","38.47","40.56","38.34","13.25M","5.71%"
"Apr 22, 2021","37.98","40.39","40.58","37.29","20.96M","-6.80%"
"Apr 21, 2021","40.75","37.81","40.75","37.36","15.16M","8.06%"
"Apr 20, 2021","37.71","38.98","39.52","37.04","13.89M","-4.77%"
"Apr 19, 2021","39.60","41.78","42.29","38.25","20.27M","-7.37%"
"Apr 16, 2021","42.75","43.40","43.62","42.49","11.02M","-1.66%"
"Apr 15, 2021","43.47","42.55","43.65","41.63","13.64M","5.33%"
"Apr 14, 2021","41.27","42.40","43.43","40.63","12.84M","-3.33%"
"Apr 13, 2021","42.69","44.00","44.09","41.58","14.06M","-0.93%"
"Apr 12, 2021","43.09","43.70","43.70","41.81","14.93M","-3.12%"
"Apr 09, 2021","44.48","43.84","44.49","43.13","10.75M","-0.69%"
"Apr 08, 2021","44.79","44.78","44.95","43.60","12.96M","3.25%"
"Apr 07, 2021","43.38","43.40","43.99","42.34","12.42M","0.00%"
"Apr 06, 2021","43.38","44.05","44.97","42.09","17.96M","-3.60%"
"Apr 05, 2021","45.00","44.40","45.29","42.91","26.45M","6.11%"
"Apr 01, 2021","42.41","40.05","42.44","40.05","27.80M","10.99%"
"Mar 31, 2021","38.21","36.55","38.98","36.36","25.36M","7.57%"
"Mar 30, 2021","35.52","35.03","35.78","34.30","17.93M","-0.75%"
"Mar 29, 2021","35.79","36.30","36.91","34.50","28.42M","-5.04%"
"Mar 26, 2021","37.69","32.81","37.74","32.71","35.67M","14.87%"
"Mar 25, 2021","32.81","30.96","33.17","30.12","30.29M","0.68%"
"Mar 24, 2021","32.59","35.79","36.13","32.57","26.20M","-4.23%"
"Mar 23, 2021","34.03","37.33","37.33","33.52","26.95M","-8.03%"
