"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2021","97.21","98.90","99.24","97.05","8.80M","-4.06%"
"Jun 17, 2021","101.32","101.08","102.00","99.40","6.39M","-0.04%"
"Jun 16, 2021","101.36","103.25","103.36","99.84","6.91M","-1.71%"
"Jun 15, 2021","103.12","103.80","103.81","102.46","4.11M","-0.58%"
"Jun 14, 2021","103.72","103.11","103.74","102.13","3.11M","0.67%"
"Jun 11, 2021","103.03","102.96","103.09","101.94","3.10M","0.50%"
"Jun 10, 2021","102.52","102.05","103.25","101.06","5.93M","1.39%"
"Jun 09, 2021","101.11","102.23","102.26","100.95","4.50M","-0.46%"
"Jun 08, 2021","101.58","102.20","102.23","100.18","5.20M","0.00%"
"Jun 07, 2021","101.58","101.83","101.95","100.82","3.35M","-0.21%"
"Jun 04, 2021","101.79","100.49","102.01","100.44","3.66M","2.69%"
"Jun 03, 2021","99.12","98.47","99.99","97.31","5.71M","-1.09%"
"Jun 02, 2021","100.21","100.29","100.87","99.51","4.98M","0.43%"
"Jun 01, 2021","99.78","101.82","101.94","99.44","6.09M","-0.27%"
"May 28, 2021","100.05","100.70","100.89","99.88","3.76M","0.60%"
"May 27, 2021","99.45","100.16","100.52","99.41","4.15M","0.09%"
"May 26, 2021","99.36","99.20","99.73","98.44","3.84M","0.56%"
"May 25, 2021","98.81","100.25","100.54","98.35","5.10M","-0.62%"
"May 24, 2021","99.43","98.19","100.22","97.97","4.73M","3.10%"
"May 21, 2021","96.44","97.88","98.76","96.14","6.72M","-0.26%"
"May 20, 2021","96.69","94.34","97.64","94.28","6.49M","3.11%"
"May 19, 2021","93.77","90.99","93.82","89.91","9.32M","-0.78%"
"May 18, 2021","94.51","97.17","97.36","94.34","5.10M","-2.51%"
"May 17, 2021","96.94","96.89","97.60","95.47","6.78M","-0.84%"
"May 14, 2021","97.76","95.44","98.37","95.43","7.71M","4.68%"
"May 13, 2021","93.39","91.30","94.83","91.28","12.28M","3.59%"
"May 12, 2021","90.15","94.25","95.21","89.76","11.12M","-6.49%"
"May 11, 2021","96.41","95.53","97.11","93.41","11.57M","-2.67%"
"May 10, 2021","99.05","102.34","102.48","98.91","6.54M","-2.90%"
"May 07, 2021","102.01","100.45","102.54","99.93","7.39M","2.21%"
"May 06, 2021","99.80","97.63","99.95","96.07","8.63M","2.38%"
"May 05, 2021","97.48","98.72","98.87","96.97","5.33M","0.05%"
"May 04, 2021","97.43","97.80","98.17","94.66","9.30M","-1.82%"
"May 03, 2021","99.24","100.17","100.47","98.94","5.37M","0.53%"
"Apr 30, 2021","98.72","98.93","99.58","98.00","6.64M","-1.84%"
"Apr 29, 2021","100.57","100.89","101.12","98.11","6.93M","1.86%"
"Apr 28, 2021","98.73","99.08","99.93","98.42","6.05M","-0.07%"
"Apr 27, 2021","98.80","99.17","99.31","98.03","4.37M","-0.11%"
"Apr 26, 2021","98.91","98.86","99.38","98.50","5.20M","0.66%"
"Apr 23, 2021","98.26","95.67","99.36","95.60","6.29M","3.12%"
"Apr 22, 2021","95.29","97.82","98.44","94.45","9.59M","-2.68%"
"Apr 21, 2021","97.91","94.79","98.09","94.68","5.42M","2.81%"
"Apr 20, 2021","95.23","96.48","97.00","94.16","5.53M","-2.21%"
"Apr 19, 2021","97.38","98.17","98.49","96.37","6.57M","-1.56%"
"Apr 16, 2021","98.92","98.91","99.30","97.78","5.88M","1.04%"
"Apr 15, 2021","97.90","96.41","98.08","96.40","5.87M","3.16%"
"Apr 14, 2021","94.90","95.84","96.57","94.41","6.97M","-0.94%"
"Apr 13, 2021","95.80","94.92","96.28","94.62","4.53M","0.93%"
"Apr 12, 2021","94.92","94.41","95.16","94.00","4.58M","0.12%"
"Apr 09, 2021","94.81","92.80","94.99","92.70","4.83M","2.14%"
"Apr 08, 2021","92.82","92.48","92.90","91.80","4.37M","1.44%"
"Apr 07, 2021","91.50","91.14","91.81","90.82","4.25M","0.37%"
"Apr 06, 2021","91.16","91.01","92.00","90.78","4.87M","-0.31%"
"Apr 05, 2021","91.44","89.54","91.81","89.49","6.77M","4.46%"
"Apr 01, 2021","87.54","86.23","87.69","86.07","5.26M","3.05%"
"Mar 31, 2021","84.95","84.31","85.99","84.30","5.71M","1.13%"
"Mar 30, 2021","84.00","83.71","84.37","82.82","6.45M","-0.69%"
"Mar 29, 2021","84.58","83.72","85.20","82.69","6.79M","-0.06%"
"Mar 26, 2021","84.63","81.61","84.97","81.20","7.60M","4.68%"
"Mar 25, 2021","80.85","78.55","81.35","77.28","9.65M","1.72%"
"Mar 24, 2021","79.48","81.69","82.75","79.47","6.98M","-1.49%"
"Mar 23, 2021","80.68","82.28","83.23","80.18","6.48M","-2.45%"
"Mar 22, 2021","82.71","81.06","83.62","81.06","4.68M","2.38%"
"Mar 19, 2021","80.79","81.04","82.05","79.31","5.34M","-0.54%"
"Mar 18, 2021","81.23","83.14","84.59","80.79","7.74M","-4.27%"
"Mar 17, 2021","84.85","83.18","85.49","82.42","6.31M","0.84%"
"Mar 16, 2021","84.14","84.85","85.32","83.56","5.61M","-0.39%"
"Mar 15, 2021","84.47","83.11","84.59","81.64","4.43M","1.82%"
"Mar 12, 2021","82.96","81.70","83.04","81.13","4.39M","0.48%"
"Mar 11, 2021","82.56","81.81","83.92","81.51","6.29M","3.03%"
"Mar 10, 2021","80.13","80.24","81.28","79.31","10.85M","1.89%"
"Mar 09, 2021","78.64","77.94","80.33","77.60","7.31M","4.16%"
"Mar 08, 2021","75.50","77.27","79.05","75.28","11.13M","-1.41%"
"Mar 05, 2021","76.58","74.77","77.29","70.27","11.37M","5.41%"
"Mar 04, 2021","72.65","75.32","76.96","69.77","13.83M","-3.69%"
"Mar 03, 2021","75.43","78.11","78.76","75.38","11.59M","-4.03%"
"Mar 02, 2021","78.60","80.66","80.76","78.43","8.96M","-2.26%"
"Mar 01, 2021","80.42","78.04","81.23","78.04","6.43M","7.21%"
"Feb 26, 2021","75.01","77.46","78.12","73.72","12.27M","-1.54%"
"Feb 25, 2021","76.18","81.29","82.21","75.21","13.88M","-7.19%"
"Feb 24, 2021","82.08","78.80","82.43","78.14","6.38M","3.28%"
"Feb 23, 2021","79.47","77.81","80.39","75.03","6.58M","0.29%"
"Feb 22, 2021","79.24","79.29","80.85","79.07","4.35M","-2.26%"
