"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2021","26.48","26.07","26.53","25.99","6.95M","3.97%"
"Jun 17, 2021","25.47","25.54","25.96","25.30","6.87M","0.00%"
"Jun 16, 2021","25.47","25.01","25.85","24.98","6.36M","1.72%"
"Jun 15, 2021","25.04","24.87","25.20","24.87","3.30M","0.60%"
"Jun 14, 2021","24.89","25.05","25.29","24.89","3.24M","-0.72%"
"Jun 11, 2021","25.07","25.10","25.34","25.05","3.57M","-0.48%"
"Jun 10, 2021","25.19","25.31","25.57","25.02","5.61M","-1.41%"
"Jun 09, 2021","25.55","25.28","25.60","25.27","4.11M","0.47%"
"Jun 08, 2021","25.43","25.28","25.79","25.27","4.99M","-0.04%"
"Jun 07, 2021","25.44","25.38","25.64","25.35","3.85M","0.20%"
"Jun 04, 2021","25.39","25.72","25.75","25.32","4.88M","-2.72%"
"Jun 03, 2021","26.10","26.27","26.56","25.88","5.92M","1.08%"
"Jun 02, 2021","25.82","25.80","26.01","25.66","4.09M","-0.54%"
"Jun 01, 2021","25.96","25.40","26.03","25.37","4.38M","0.35%"
"May 28, 2021","25.87","25.70","25.91","25.64","4.03M","-0.61%"
"May 27, 2021","26.03","25.83","26.04","25.74","6.43M","-0.08%"
"May 26, 2021","26.05","26.08","26.31","25.95","6.78M","-0.65%"
"May 25, 2021","26.22","25.82","26.32","25.75","6.41M","0.69%"
"May 24, 2021","26.04","26.38","26.45","25.82","6.86M","-2.98%"
"May 21, 2021","26.84","26.47","26.96","26.23","8.27M","0.07%"
"May 20, 2021","26.82","27.51","27.53","26.53","5.96M","-3.18%"
"May 19, 2021","27.70","28.50","28.81","27.66","15.41M","0.87%"
"May 18, 2021","27.46","26.72","27.50","26.69","5.11M","2.46%"
"May 17, 2021","26.80","26.83","27.20","26.62","7.64M","0.83%"
"May 14, 2021","26.58","27.28","27.28","26.40","7.07M","-4.56%"
"May 13, 2021","27.85","28.56","28.56","27.43","10.61M","-3.67%"
"May 12, 2021","28.91","27.77","29.03","27.50","14.16M","6.36%"
"May 11, 2021","27.18","27.41","27.97","26.98","12.15M","2.68%"
"May 10, 2021","26.47","25.64","26.50","25.60","7.96M","2.96%"
"May 07, 2021","25.71","26.13","26.27","25.58","8.97M","-2.21%"
"May 06, 2021","26.29","26.90","27.34","26.27","10.33M","-2.45%"
"May 05, 2021","26.95","26.60","27.10","26.57","8.71M","-0.07%"
"May 04, 2021","26.97","26.89","27.71","26.78","11.50M","1.77%"
"May 03, 2021","26.50","26.24","26.58","26.16","5.40M","-0.60%"
"Apr 30, 2021","26.66","26.61","26.83","26.42","7.72M","1.95%"
"Apr 29, 2021","26.15","26.07","26.83","26.01","8.26M","-1.95%"
"Apr 28, 2021","26.67","26.55","26.73","26.34","5.59M","0.19%"
"Apr 27, 2021","26.62","26.53","26.86","26.51","5.62M","0.04%"
"Apr 26, 2021","26.61","26.63","26.73","26.49","8.40M","-0.67%"
"Apr 23, 2021","26.79","27.58","27.58","26.48","10.00M","-3.15%"
"Apr 22, 2021","27.66","26.96","27.91","26.81","11.16M","2.71%"
"Apr 21, 2021","26.93","27.87","27.89","26.89","6.27M","-2.85%"
"Apr 20, 2021","27.72","27.40","28.03","27.23","8.51M","2.25%"
"Apr 19, 2021","27.11","26.92","27.40","26.84","8.17M","1.38%"
"Apr 16, 2021","26.74","26.74","27.04","26.61","6.79M","-1.11%"
"Apr 15, 2021","27.04","27.43","27.46","26.95","10.93M","-3.15%"
"Apr 14, 2021","27.92","27.66","28.04","27.42","7.37M","0.98%"
"Apr 13, 2021","27.65","27.92","27.99","27.50","4.17M","-0.82%"
"Apr 12, 2021","27.88","28.05","28.18","27.83","5.97M","-0.21%"
"Apr 09, 2021","27.94","28.57","28.59","27.88","7.10M","-2.14%"
"Apr 08, 2021","28.55","28.68","28.88","28.54","5.25M","-1.45%"
"Apr 07, 2021","28.97","29.11","29.19","28.88","5.87M","-0.41%"
"Apr 06, 2021","29.09","29.13","29.20","28.82","4.88M","0.21%"
"Apr 05, 2021","29.03","29.66","29.68","28.87","6.84M","-4.25%"
"Apr 01, 2021","30.32","30.85","30.91","30.30","6.50M","-3.25%"
"Mar 31, 2021","31.34","31.57","31.57","30.93","6.45M","-1.14%"
"Mar 30, 2021","31.70","31.81","32.13","31.55","5.89M","0.73%"
"Mar 29, 2021","31.47","31.80","32.18","31.25","8.94M","0.03%"
"Mar 26, 2021","31.46","32.71","32.87","31.32","6.66M","-4.78%"
"Mar 25, 2021","33.04","33.99","34.52","32.80","9.67M","-1.61%"
"Mar 24, 2021","33.58","32.73","33.60","32.26","7.09M","1.54%"
"Mar 23, 2021","33.07","32.49","33.29","32.11","7.50M","2.23%"
"Mar 22, 2021","32.35","32.99","32.99","31.95","5.07M","-2.35%"
"Mar 19, 2021","33.13","33.03","33.71","32.59","7.57M","0.61%"
"Mar 18, 2021","32.93","32.22","33.09","31.69","7.51M","4.34%"
"Mar 17, 2021","31.56","32.22","32.52","31.34","5.97M","-0.94%"
"Mar 16, 2021","31.86","31.62","32.08","31.42","5.27M","0.31%"
"Mar 15, 2021","31.76","32.29","32.84","31.70","3.62M","-1.79%"
"Mar 12, 2021","32.34","32.83","33.05","32.31","4.71M","-0.43%"
"Mar 11, 2021","32.48","32.80","32.94","31.93","7.35M","-3.07%"
"Mar 10, 2021","33.51","33.46","33.88","33.03","6.76M","-1.87%"
"Mar 09, 2021","34.15","34.49","34.66","33.37","5.96M","-4.23%"
"Mar 08, 2021","35.66","34.85","35.75","34.03","8.06M","1.45%"
"Mar 05, 2021","35.15","36.11","38.42","34.81","12.92M","-5.54%"
"Mar 04, 2021","37.21","35.95","38.58","35.17","11.71M","3.74%"
"Mar 03, 2021","35.87","34.73","35.91","34.44","8.67M","3.88%"
"Mar 02, 2021","34.53","33.68","34.58","33.60","8.79M","2.40%"
"Mar 01, 2021","33.72","34.87","34.88","33.35","6.53M","-7.29%"
"Feb 26, 2021","36.37","35.24","36.97","34.90","11.48M","1.59%"
"Feb 25, 2021","35.80","33.74","36.21","33.38","15.13M","7.15%"
"Feb 24, 2021","33.41","34.86","35.15","33.29","7.21M","-3.27%"
