"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2021","6.56","6.80","6.80","6.56","2.27K","-3.24%"
"Jun 17, 2021","6.78","6.73","6.79","6.57","5.53K","-0.59%"
"Jun 16, 2021","6.82","6.52","6.95","6.52","19.79K","2.25%"
"Jun 15, 2021","6.67","7.40","7.44","6.67","9.84K","-10.71%"
"Jun 14, 2021","7.47","7.16","7.58","7.05","9.45K","5.21%"
"Jun 11, 2021","7.10","6.49","7.29","6.49","32.43K","12.70%"
"Jun 10, 2021","6.30","6.33","6.51","6.17","7.95K","0.32%"
"Jun 09, 2021","6.28","6.30","6.30","6.15","1.53K","3.46%"
"Jun 08, 2021","6.07","6.19","6.50","6.07","21.62K","6.49%"
"Jun 07, 2021","5.70","5.72","5.92","5.69","2.76K","-3.72%"
"Jun 04, 2021","5.92","5.68","5.98","5.66","3.39K","1.37%"
"Jun 03, 2021","5.84","5.70","5.86","5.60","9.13K","-0.51%"
"Jun 02, 2021","5.87","6.01","6.01","5.73","2.72K","-3.93%"
"Jun 01, 2021","6.11","5.96","6.25","5.96","31.32K","13.15%"
"May 28, 2021","5.40","5.36","5.55","5.36","6.66K","5.06%"
"May 27, 2021","5.14","5.43","5.59","5.00","12.07K","-6.55%"
"May 26, 2021","5.50","5.31","5.57","5.31","10.45K","1.85%"
"May 25, 2021","5.40","5.34","5.40","5.30","5.52K","2.66%"
"May 24, 2021","5.26","5.31","5.31","5.00","12.70K","-0.94%"
"May 21, 2021","5.31","5.40","5.40","5.31","3.50K","-1.85%"
"May 20, 2021","5.41","5.65","5.65","5.40","1.13K","-4.25%"
"May 19, 2021","5.65","5.64","5.69","5.59","2.54K","-4.72%"
"May 18, 2021","5.93","6.31","6.31","5.93","6.72K","-8.77%"
"May 17, 2021","6.50","6.41","6.66","6.32","66.52K","17.33%"
"May 14, 2021","5.54","5.70","5.75","5.53","7.04K","-2.12%"
"May 13, 2021","5.66","5.54","5.75","5.54","17.48K","-0.70%"
"May 12, 2021","5.70","5.57","5.72","5.57","11.85K","2.89%"
"May 11, 2021","5.54","5.40","5.60","5.20","8.96K","1.65%"
"May 10, 2021","5.45","5.32","5.45","5.26","10.88K","-4.72%"
"May 07, 2021","5.72","5.41","5.72","5.39","4.05K","5.93%"
"May 06, 2021","5.40","5.45","5.45","5.37","9.14K","-2.00%"
"May 05, 2021","5.51","5.70","5.70","5.37","5.26K","-2.13%"
"May 04, 2021","5.63","5.58","5.65","5.42","4.83K","0.00%"
"May 03, 2021","5.63","5.40","5.66","5.40","3.26K","3.30%"
"Apr 30, 2021","5.45","5.49","5.57","5.38","5.63K","2.83%"
"Apr 29, 2021","5.30","5.65","5.65","5.14","7.19K","-4.50%"
"Apr 28, 2021","5.55","5.59","5.75","5.50","22.91K","2.97%"
"Apr 27, 2021","5.39","5.19","5.52","5.19","48.18K","5.48%"
"Apr 26, 2021","5.11","4.82","5.15","4.82","23.43K","6.02%"
"Apr 23, 2021","4.82","4.85","4.95","4.82","5.61K","-0.62%"
"Apr 22, 2021","4.85","4.69","5.00","4.69","12.77K","4.08%"
"Apr 21, 2021","4.66","4.77","4.77","4.50","11.64K","-3.92%"
"Apr 20, 2021","4.85","4.75","4.85","4.75","757.65K","1.04%"
"Apr 19, 2021","4.80","4.57","4.85","4.57","19.31K","5.49%"
"Apr 16, 2021","4.55","4.50","4.59","4.43","13.55K","3.41%"
"Apr 15, 2021","4.40","4.20","4.50","4.20","268.38K","4.76%"
"Apr 14, 2021","4.20","4.25","4.35","4.15","3.01K","0.24%"
"Apr 13, 2021","4.19","4.26","4.35","4.09","22.19K","3.97%"
"Apr 12, 2021","4.03","3.90","4.05","3.86","18.12K","7.18%"
"Apr 09, 2021","3.76","3.90","3.92","3.76","137.69K","-1.57%"
"Apr 08, 2021","3.82","3.84","3.84","3.74","3.66K","1.33%"
"Apr 07, 2021","3.77","3.67","3.92","3.67","23.61K","5.60%"
"Apr 06, 2021","3.57","3.84","3.98","3.57","13.05K","-5.31%"
"Apr 05, 2021","3.77","4.08","4.19","3.74","172.41K","-14.71%"
"Apr 01, 2021","4.42","4.34","4.50","4.26","20.93K","3.03%"
"Mar 31, 2021","4.29","4.15","4.33","4.15","7.62K","-2.05%"
"Mar 30, 2021","4.38","4.45","4.45","4.26","7.33K","-3.95%"
"Mar 29, 2021","4.56","4.31","4.56","4.15","39.73K","5.07%"
"Mar 26, 2021","4.34","4.40","4.42","4.30","4.36K","1.17%"
"Mar 25, 2021","4.29","4.12","4.49","4.09","27.33K","6.19%"
"Mar 24, 2021","4.04","4.12","4.18","4.04","11.76K","0.25%"
"Mar 23, 2021","4.03","4.23","4.23","4.03","8.21K","-6.28%"
"Mar 22, 2021","4.30","4.14","4.35","4.06","23.17K","3.86%"
"Mar 19, 2021","4.14","3.85","4.14","3.72","38.61K","7.53%"
"Mar 18, 2021","3.85","4.00","4.00","3.68","27.78K","-3.99%"
"Mar 17, 2021","4.01","4.20","4.21","3.99","13.36K","-3.37%"
"Mar 16, 2021","4.15","4.00","4.15","4.00","4.04K","2.72%"
"Mar 15, 2021","4.04","4.40","4.45","3.90","140.59K","-10.22%"
"Mar 12, 2021","4.50","4.78","4.83","4.48","32.14K","-8.91%"
"Mar 11, 2021","4.94","5.00","5.00","4.80","7.69K","-1.20%"
"Mar 10, 2021","5.00","4.79","5.11","4.65","12.23K","3.09%"
"Mar 09, 2021","4.85","4.83","4.85","4.65","15.78K","0.00%"
"Mar 08, 2021","4.85","5.00","5.00","4.59","170.12K","-3.96%"
"Mar 05, 2021","5.05","5.40","5.40","4.96","31.47K","-5.43%"
"Mar 04, 2021","5.34","5.55","5.55","5.00","60.81K","-6.32%"
"Mar 03, 2021","5.70","5.98","6.00","5.70","23.86K","-5.00%"
"Mar 02, 2021","6.00","5.63","6.00","5.61","58.13K","8.50%"
"Mar 01, 2021","5.53","5.26","5.56","5.26","41.42K","1.10%"
"Feb 26, 2021","5.47","5.42","5.59","5.21","11.76K","-0.55%"
"Feb 25, 2021","5.50","5.58","5.89","5.50","13.69K","-2.14%"
"Feb 24, 2021","5.62","6.00","6.00","5.60","42.71K","-6.64%"
"Feb 23, 2021","6.02","6.15","6.24","5.97","46.97K","-7.24%"
"Feb 22, 2021","6.49","6.86","6.87","6.15","49.63K","-6.62%"
"Feb 19, 2021","6.95","6.82","7.15","6.73","51.09K","3.89%"
"Feb 18, 2021","6.69","7.07","7.07","6.54","528.29K","-6.43%"
