"Date","Price","Open","High","Low","Change %"
"Jun 15, 2021","8.3339","8.3119","8.3508","8.2939","0.25%"
"Jun 14, 2021","8.3129","8.3396","8.3664","8.3025","-0.29%"
"Jun 11, 2021","8.3368","8.2806","8.3619","8.2541","0.72%"
"Jun 10, 2021","8.2770","8.2771","8.3479","8.2605","0.02%"
"Jun 09, 2021","8.2756","8.2692","8.2865","8.2366","0.10%"
"Jun 08, 2021","8.2677","8.2479","8.3530","8.2402","0.09%"
"Jun 07, 2021","8.2603","8.3222","8.3351","8.2514","-0.62%"
"Jun 04, 2021","8.3121","8.3714","8.4051","8.2976","-0.78%"
"Jun 03, 2021","8.3773","8.3072","8.3942","8.2899","0.97%"
"Jun 02, 2021","8.2967","8.3167","8.3492","8.2895","-0.22%"
"Jun 01, 2021","8.3149","8.3273","8.3408","8.2452","-0.13%"
"May 31, 2021","8.3258","8.3599","8.4176","8.3019","-0.56%"
"May 28, 2021","8.3726","8.3516","8.3932","8.3322","0.43%"
"May 27, 2021","8.3369","8.3727","8.3965","8.3371","-0.38%"
"May 26, 2021","8.3685","8.3146","8.3791","8.2781","0.72%"
"May 25, 2021","8.3087","8.3321","8.3538","8.2835","-0.26%"
"May 24, 2021","8.3306","8.3835","8.4007","8.3259","-0.65%"
"May 21, 2021","8.3852","8.3097","8.4211","8.2902","0.98%"
"May 20, 2021","8.3039","8.3218","8.3548","8.2757","-0.17%"
"May 19, 2021","8.3183","8.2102","8.3600","8.2029","1.12%"
"May 18, 2021","8.2260","8.2230","8.2754","8.1756","-0.47%"
"May 17, 2021","8.2652","8.2266","8.3030","8.2167","0.46%"
"May 14, 2021","8.2274","8.3576","8.4167","8.2183","-1.51%"
"May 13, 2021","8.3537","8.3393","8.4220","8.3261","0.19%"
"May 12, 2021","8.3378","8.2562","8.3505","8.2441","0.94%"
"May 11, 2021","8.2598","8.2643","8.2895","8.2314","-0.12%"
"May 10, 2021","8.2701","8.2277","8.2823","8.1894","0.62%"
"May 07, 2021","8.2190","8.3108","8.3241","8.2036","-0.96%"
"May 06, 2021","8.2983","8.3474","8.3717","8.2984","-0.64%"
"May 05, 2021","8.3516","8.3389","8.3704","8.2961","0.21%"
"May 04, 2021","8.3339","8.2895","8.3631","8.2785","0.66%"
"May 03, 2021","8.2793","8.3124","8.3447","8.2715","-0.43%"
"Apr 30, 2021","8.3147","8.1958","8.3400","8.1793","1.42%"
"Apr 29, 2021","8.1979","8.1895","8.2605","8.1477","0.20%"
"Apr 28, 2021","8.1817","8.2728","8.3030","8.1663","-1.08%"
"Apr 27, 2021","8.2711","8.2948","8.3366","8.2687","-0.25%"
"Apr 26, 2021","8.2921","8.3070","8.3329","8.2693","-0.14%"
"Apr 23, 2021","8.3038","8.3650","8.3923","8.2837","-0.71%"
"Apr 22, 2021","8.3635","8.3406","8.3961","8.3104","0.32%"
"Apr 21, 2021","8.3372","8.3453","8.3939","8.3338","-0.22%"
"Apr 20, 2021","8.3555","8.2979","8.3656","8.2463","0.77%"
"Apr 19, 2021","8.2914","8.3693","8.4144","8.2814","-0.93%"
"Apr 16, 2021","8.3695","8.3945","8.4702","8.3543","-0.10%"
"Apr 15, 2021","8.3780","8.3877","8.4629","8.3545","-0.11%"
"Apr 14, 2021","8.3873","8.4721","8.5265","8.3785","-0.98%"
"Apr 13, 2021","8.4702","8.4869","8.5683","8.4663","-0.18%"
"Apr 12, 2021","8.4856","8.4871","8.5402","8.4713","-0.02%"
"Apr 09, 2021","8.4871","8.4706","8.5388","8.4475","0.35%"
"Apr 08, 2021","8.4572","8.4658","8.5323","8.4489","-0.08%"
"Apr 07, 2021","8.4643","8.4898","8.5343","8.4366","-0.24%"
"Apr 06, 2021","8.4843","8.5047","8.5539","8.4809","-0.23%"
"Apr 05, 2021","8.5041","8.5322","8.5541","8.4871","-0.32%"
"Apr 02, 2021","8.5313","8.5221","8.5934","8.5112","0.08%"
"Apr 01, 2021","8.5242","8.5369","8.5875","8.5156","-0.29%"
"Mar 31, 2021","8.5492","8.5537","8.6332","8.5033","-0.05%"
"Mar 30, 2021","8.5533","8.5431","8.6101","8.5320","0.14%"
"Mar 29, 2021","8.5416","8.5781","8.6215","8.5204","-0.35%"
"Mar 26, 2021","8.5714","8.6542","8.6777","8.5611","-0.89%"
"Mar 25, 2021","8.6480","8.5861","8.6692","8.5750","0.57%"
"Mar 24, 2021","8.5993","8.6416","8.6818","8.5548","-0.47%"
"Mar 23, 2021","8.6401","8.5057","8.6486","8.4889","1.57%"
"Mar 22, 2021","8.5065","8.5502","8.5985","8.4754","-0.36%"
"Mar 19, 2021","8.5373","8.5153","8.6117","8.4754","0.31%"
"Mar 18, 2021","8.5109","8.4198","8.5363","8.3857","1.14%"
"Mar 17, 2021","8.4147","8.4872","8.5337","8.4045","-0.84%"
"Mar 16, 2021","8.4857","8.4529","8.5111","8.4388","0.44%"
"Mar 15, 2021","8.4488","8.4299","8.5219","8.4072","0.31%"
"Mar 12, 2021","8.4229","8.4283","8.4918","8.4046","0.01%"
"Mar 11, 2021","8.4219","8.4301","8.4799","8.3763","-0.07%"
"Mar 10, 2021","8.4274","8.4741","8.5134","8.4222","-0.46%"
"Mar 09, 2021","8.4661","8.5353","8.5810","8.4545","-0.84%"
"Mar 08, 2021","8.5375","8.5550","8.6103","8.5052","-0.24%"
"Mar 05, 2021","8.5579","8.5793","8.6326","8.5072","-0.29%"
"Mar 04, 2021","8.5832","8.4984","8.6091","8.4558","1.02%"
"Mar 03, 2021","8.4969","8.4697","8.5249","8.4359","0.31%"
"Mar 02, 2021","8.4707","8.5784","8.6332","8.4624","-1.01%"
"Mar 01, 2021","8.5572","8.6575","8.6835","8.5451","-1.10%"
"Feb 26, 2021","8.6520","8.4823","8.6777","8.4570","2.02%"
"Feb 25, 2021","8.4808","8.3883","8.5292","8.3152","1.22%"
"Feb 24, 2021","8.3785","8.4654","8.5161","8.3670","-1.03%"
"Feb 23, 2021","8.4659","8.4916","8.5366","8.4450","-0.31%"
"Feb 22, 2021","8.4924","8.4748","8.5400","8.4181","0.28%"
"Feb 19, 2021","8.4685","8.4609","8.4942","8.4040","0.10%"
"Feb 18, 2021","8.4598","8.5072","8.5197","8.4498","-0.39%"
"Feb 17, 2021","8.4930","8.4389","8.5476","8.4268","0.68%"
"Feb 16, 2021","8.4355","8.3878","8.4527","8.3565","0.57%"
"Feb 15, 2021","8.3880","8.4570","8.4867","8.3740","-0.69%"
"Feb 12, 2021","8.4466","8.4810","8.5167","8.4480","-0.38%"
"Feb 11, 2021","8.4785","8.4637","8.4906","8.4380","0.12%"
"Feb 10, 2021","8.4686","8.4482","8.4851","8.4059","0.30%"
"Feb 09, 2021","8.4432","8.5049","8.5142","8.4423","-0.74%"
"Feb 08, 2021","8.5059","8.5299","8.5612","8.4933","-0.38%"
"Feb 05, 2021","8.5380","8.6398","8.6507","8.5229","-1.13%"
"Feb 04, 2021","8.6360","8.5874","8.6541","8.5700","0.62%"
"Feb 03, 2021","8.5832","8.6078","8.6367","8.5768","-0.23%"
"Feb 02, 2021","8.6026","8.6070","8.6622","8.5452","-0.03%"
"Feb 01, 2021","8.6050","8.5778","8.6564","8.5484","0.83%"
"Jan 29, 2021","8.5345","8.5961","8.7051","8.4861","-0.72%"
"Jan 28, 2021","8.5960","8.6508","8.7302","8.5685","-0.64%"
"Jan 27, 2021","8.6513","8.5466","8.7006","8.5271","1.20%"
"Jan 26, 2021","8.5486","8.5745","8.6259","8.5105","0.17%"
"Jan 25, 2021","8.5340","8.5088","8.5999","8.4500","0.40%"
"Jan 22, 2021","8.4998","8.4095","8.5677","8.3964","1.10%"
"Jan 21, 2021","8.4073","8.4928","8.5090","8.3961","-1.01%"
"Jan 20, 2021","8.4931","8.5384","8.5565","8.4755","-0.49%"
"Jan 19, 2021","8.5352","8.5887","8.6107","8.5144","-0.60%"
"Jan 18, 2021","8.5869","8.5645","8.6458","8.5408","0.33%"
"Jan 15, 2021","8.5584","8.4647","8.5850","8.4505","1.13%"
