"Date","Price","Open","High","Low","Change %"
"Jun 15, 2021","13.7838","13.7754","13.8548","13.7113","0.14%"
"Jun 14, 2021","13.7650","13.6925","13.8072","13.6854","0.65%"
"Jun 11, 2021","13.6758","13.5968","13.7652","13.5206","0.60%"
"Jun 10, 2021","13.5947","13.7461","13.7685","13.5694","-1.13%"
"Jun 09, 2021","13.7506","13.5479","13.7679","13.5190","1.36%"
"Jun 08, 2021","13.5656","13.4975","13.6093","13.4875","0.56%"
"Jun 07, 2021","13.4900","13.4000","13.5428","13.4000","0.41%"
"Jun 04, 2021","13.4346","13.6317","13.6903","13.4139","-1.43%"
"Jun 03, 2021","13.6301","13.5254","13.6587","13.4958","0.88%"
"Jun 02, 2021","13.5117","13.7481","13.8209","13.5082","-1.70%"
"Jun 01, 2021","13.7459","13.7258","13.8007","13.6781","0.20%"
"May 31, 2021","13.7183","13.7750","13.8050","13.7132","-0.29%"
"May 28, 2021","13.7579","13.7692","13.8794","13.7254","0.04%"
"May 27, 2021","13.7520","13.7731","13.8067","13.6757","-0.10%"
"May 26, 2021","13.7656","13.8671","13.8806","13.7407","-0.64%"
"May 25, 2021","13.8541","13.9192","13.9362","13.8138","-0.45%"
"May 24, 2021","13.9167","13.9550","14.0303","13.9046","-0.28%"
"May 21, 2021","13.9560","13.9954","14.0128","13.8905","-0.09%"
"May 20, 2021","13.9692","14.1063","14.1184","13.9614","-0.93%"
"May 19, 2021","14.1005","14.0001","14.1319","13.9709","0.81%"
"May 18, 2021","13.9875","14.0994","14.1174","13.9638","-0.85%"
"May 17, 2021","14.1079","14.1183","14.1883","14.0880","-0.02%"
"May 14, 2021","14.1108","14.1053","14.1844","14.0209","0.02%"
"May 13, 2021","14.1075","14.1305","14.2019","14.0555","-0.04%"
"May 12, 2021","14.1138","14.0258","14.1454","13.9576","0.85%"
"May 11, 2021","13.9943","14.0346","14.0848","13.9492","-0.32%"
"May 10, 2021","14.0390","14.0593","14.1256","13.9621","-0.11%"
"May 07, 2021","14.0541","14.2205","14.2701","14.0492","-1.31%"
"May 06, 2021","14.2401","14.3763","14.3853","14.1832","-0.85%"
"May 05, 2021","14.3617","14.5000","14.5330","14.3412","-0.64%"
"May 04, 2021","14.4541","14.3946","14.5445","14.3884","0.44%"
"May 03, 2021","14.3913","14.5321","14.5321","14.3673","-0.71%"
"Apr 30, 2021","14.4938","14.3117","14.5188","14.2860","1.35%"
"Apr 29, 2021","14.3008","14.2479","14.3637","14.1463","0.52%"
"Apr 28, 2021","14.2275","14.3496","14.4397","14.2062","-0.94%"
"Apr 27, 2021","14.3629","14.2725","14.3923","14.2546","0.64%"
"Apr 26, 2021","14.2722","14.3073","14.3073","14.2218","0.03%"
"Apr 23, 2021","14.2685","14.3070","14.3573","14.2354","-0.20%"
"Apr 22, 2021","14.2975","14.2463","14.3665","14.2008","0.40%"
"Apr 21, 2021","14.2408","14.3033","14.3401","14.2254","-0.39%"
"Apr 20, 2021","14.2971","14.2246","14.3399","14.1840","0.58%"
"Apr 19, 2021","14.2144","14.3421","14.3421","14.1704","-0.60%"
"Apr 16, 2021","14.3009","14.2000","14.3518","14.1456","1.03%"
"Apr 15, 2021","14.1556","14.3976","14.4394","14.1509","-1.61%"
"Apr 14, 2021","14.3872","14.5308","14.5363","14.3680","-0.94%"
"Apr 13, 2021","14.5233","14.5817","14.6882","14.5009","-0.29%"
"Apr 12, 2021","14.5651","14.6250","14.6692","14.5447","-0.20%"
"Apr 09, 2021","14.5937","14.5200","14.6294","14.5000","0.62%"
"Apr 08, 2021","14.5041","14.5667","14.5933","14.4445","-0.35%"
"Apr 07, 2021","14.5546","14.5333","14.6044","14.4832","0.26%"
"Apr 06, 2021","14.5168","14.5567","14.6224","14.4882","-0.20%"
"Apr 05, 2021","14.5457","14.6819","14.7109","14.5212","-0.86%"
"Apr 02, 2021","14.6712","14.6583","14.6875","14.6038","0.39%"
"Apr 01, 2021","14.6145","14.7767","14.8478","14.6112","-1.03%"
"Mar 31, 2021","14.7665","14.9172","14.9684","14.7206","-0.98%"
"Mar 30, 2021","14.9129","14.9150","15.0007","14.8669","0.06%"
"Mar 29, 2021","14.9042","15.0045","15.0714","14.8704","-0.62%"
"Mar 26, 2021","14.9970","15.0475","15.1032","14.9323","-0.15%"
"Mar 25, 2021","15.0196","14.9204","15.0965","14.8580","0.33%"
"Mar 24, 2021","14.9699","14.9098","14.9985","14.7512","0.45%"
"Mar 23, 2021","14.9023","14.7196","14.9445","14.6901","1.32%"
"Mar 22, 2021","14.7088","14.8467","14.9559","14.6737","0.06%"
"Mar 19, 2021","14.7002","14.7879","14.8253","14.6446","-0.45%"
"Mar 18, 2021","14.7673","14.6532","14.8225","14.6081","0.83%"
"Mar 17, 2021","14.6463","14.8699","14.9804","14.6124","-1.41%"
"Mar 16, 2021","14.8563","14.8575","14.9578","14.7732","0.00%"
"Mar 15, 2021","14.8558","14.9000","15.0325","14.8289","-0.51%"
"Mar 12, 2021","14.9323","14.8297","15.0449","14.8038","0.74%"
"Mar 11, 2021","14.8229","15.0886","15.1201","14.7868","-1.61%"
"Mar 10, 2021","15.0649","15.2934","15.3771","15.0528","-1.50%"
"Mar 09, 2021","15.2950","15.5150","15.5555","15.2685","-1.52%"
"Mar 08, 2021","15.5316","15.3554","15.5731","15.3099","1.20%"
"Mar 05, 2021","15.3479","15.2742","15.4415","15.2271","0.37%"
"Mar 04, 2021","15.2918","15.0873","15.3462","14.9960","1.41%"
"Mar 03, 2021","15.0785","14.9633","15.1135","14.8559","0.98%"
"Mar 02, 2021","14.9326","15.0175","15.1192","14.9200","-0.52%"
"Mar 01, 2021","15.0100","15.1001","15.1394","14.8952","-0.55%"
"Feb 26, 2021","15.0926","15.0276","15.1977","14.8081","0.20%"
"Feb 25, 2021","15.0625","14.4981","15.1094","14.4513","3.96%"
"Feb 24, 2021","14.4887","14.5393","14.6619","14.3960","-0.31%"
"Feb 23, 2021","14.5343","14.6763","14.7516","14.5324","-0.90%"
"Feb 22, 2021","14.6659","14.6533","14.9250","14.6194","0.14%"
"Feb 19, 2021","14.6449","14.5917","14.7395","14.5213","0.32%"
"Feb 18, 2021","14.5984","14.6308","14.7232","14.5027","-0.30%"
"Feb 17, 2021","14.6427","14.6700","14.8272","14.6154","-0.05%"
"Feb 16, 2021","14.6496","14.4546","14.7092","14.4023","1.43%"
"Feb 15, 2021","14.4432","14.5438","14.5594","14.4143","-0.73%"
"Feb 12, 2021","14.5492","14.6683","14.6975","14.5205","-0.54%"
"Feb 11, 2021","14.6286","14.7475","14.7731","14.6053","-0.79%"
"Feb 10, 2021","14.7454","14.7335","14.7664","14.6365","0.15%"
"Feb 09, 2021","14.7234","14.8830","14.8834","14.7147","-1.03%"
"Feb 08, 2021","14.8763","14.8777","15.0133","14.8349","0.07%"
"Feb 05, 2021","14.8664","15.0031","15.0349","14.8216","-0.87%"
"Feb 04, 2021","14.9963","14.9388","15.1278","14.9240","0.41%"
"Feb 03, 2021","14.9354","14.9674","15.0246","14.8824","-0.15%"
"Feb 02, 2021","14.9576","15.0625","15.0840","14.8911","-0.72%"
"Feb 01, 2021","15.0665","15.1650","15.2223","14.9676","-0.60%"
"Jan 29, 2021","15.1575","15.2066","15.2925","14.9524","-0.12%"
"Jan 28, 2021","15.1750","15.2612","15.3830","15.0536","-0.54%"
"Jan 27, 2021","15.2578","15.0521","15.3271","15.0305","1.30%"
"Jan 26, 2021","15.0613","15.2161","15.3764","15.0454","-1.13%"
"Jan 25, 2021","15.2341","15.1168","15.2793","15.0613","0.83%"
"Jan 22, 2021","15.1093","14.9525","15.1683","14.9017","1.17%"
"Jan 21, 2021","14.9347","14.8983","15.0154","14.7600","0.26%"
"Jan 20, 2021","14.8954","14.9579","15.0298","14.8538","-0.53%"
"Jan 19, 2021","14.9747","15.1613","15.2056","14.9144","-1.16%"
"Jan 18, 2021","15.1498","15.2000","15.3818","15.1523","-0.46%"
"Jan 15, 2021","15.2191","15.0942","15.3056","15.0259","1.00%"
"Jan 14, 2021","15.0691","15.2588","15.3020","15.0285","-1.17%"
"Jan 13, 2021","15.2476","15.2725","15.3327","15.1559","-0.02%"
"Jan 12, 2021","15.2510","15.5204","15.6088","15.2051","-1.91%"
"Jan 11, 2021","15.5472","15.3013","15.6657","15.2926","1.72%"
"Jan 08, 2021","15.2838","15.4208","15.4964","15.2050","-0.94%"
"Jan 07, 2021","15.4285","15.0700","15.4770","14.9955","2.50%"
"Jan 06, 2021","15.0525","14.9816","15.1479","14.8844","0.57%"
"Jan 05, 2021","14.9676","14.7183","15.0664","14.6269","1.72%"
"Jan 04, 2021","14.7149","14.6775","14.7500","14.5063","0.42%"
