"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 2021","27.76","27.32","28.53","26.63","7.89M","6.40%"
"Jun 17, 2021","26.09","26.32","26.64","25.19","4.83M","-0.61%"
"Jun 16, 2021","26.25","25.68","26.93","25.21","6.64M","0.96%"
"Jun 15, 2021","26.00","25.57","26.19","25.48","2.49M","2.28%"
"Jun 14, 2021","25.42","25.15","25.91","25.08","2.13M","0.75%"
"Jun 11, 2021","25.23","25.42","25.50","25.03","2.83M","-2.70%"
"Jun 10, 2021","25.93","26.84","26.96","25.90","3.53M","-6.05%"
"Jun 09, 2021","27.60","26.86","27.74","26.81","3.76M","1.51%"
"Jun 08, 2021","27.19","26.63","27.69","26.62","3.14M","1.23%"
"Jun 07, 2021","26.86","27.30","27.57","26.77","2.71M","-1.79%"
"Jun 04, 2021","27.35","27.95","27.95","27.20","3.71M","-5.30%"
"Jun 03, 2021","28.88","29.20","29.60","28.43","4.12M","1.83%"
"Jun 02, 2021","28.36","28.74","28.99","27.92","3.32M","-2.44%"
"Jun 01, 2021","29.07","27.72","29.10","27.56","3.66M","2.50%"
"May 28, 2021","28.36","27.66","28.42","27.54","3.96M","1.43%"
"May 27, 2021","27.96","29.04","29.07","27.77","5.09M","-4.87%"
"May 26, 2021","29.39","30.40","30.48","29.25","5.70M","-4.70%"
"May 25, 2021","30.84","30.64","31.40","30.60","2.47M","0.00%"
"May 24, 2021","30.84","31.68","31.68","30.52","2.52M","-4.58%"
"May 21, 2021","32.32","32.16","32.76","31.80","3.39M","-1.34%"
"May 20, 2021","32.76","33.72","34.20","32.40","4.11M","-5.32%"
"May 19, 2021","34.60","35.32","37.94","34.43","9.49M","4.34%"
"May 18, 2021","33.16","32.20","33.24","31.44","3.70M","2.73%"
"May 17, 2021","32.28","32.32","33.88","31.64","3.04M","2.02%"
"May 14, 2021","31.64","33.88","33.92","31.24","3.23M","-11.72%"
"May 13, 2021","35.84","37.32","37.40","35.00","6.00M","-9.40%"
"May 12, 2021","39.56","35.04","40.88","34.94","10.89M","17.18%"
