"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2021","105.08","105.52","105.63","104.56","3.27M","-0.40%"
"Jun 10, 2021","105.50","104.89","105.76","104.54","4.01M","0.72%"
"Jun 09, 2021","104.75","104.96","105.19","104.71","3.24M","0.13%"
"Jun 08, 2021","104.61","104.01","104.88","103.90","3.94M","0.83%"
"Jun 07, 2021","103.75","102.90","104.19","102.87","4.77M","1.18%"
"Jun 04, 2021","102.54","103.00","103.00","102.08","3.12M","0.05%"
"Jun 03, 2021","102.49","102.65","102.68","102.01","4.19M","-0.37%"
"Jun 02, 2021","102.87","102.05","102.97","101.61","4.45M","1.17%"
"Jun 01, 2021","101.68","100.37","101.69","100.01","4.38M","1.80%"
"May 28, 2021","99.88","99.84","100.17","99.61","3.41M","0.60%"
"May 27, 2021","99.28","99.80","99.80","99.17","4.36M","-0.23%"
"May 26, 2021","99.51","99.23","100.07","99.05","4.52M","0.44%"
"May 25, 2021","99.07","99.24","99.49","98.68","4.24M","-0.03%"
"May 24, 2021","99.10","98.35","99.46","98.23","3.49M","1.25%"
"May 21, 2021","97.88","98.15","98.40","97.67","3.02M","-0.10%"
"May 20, 2021","97.98","96.79","98.29","96.65","2.47M","1.12%"
"May 19, 2021","96.89","96.49","96.89","95.46","3.60M","-0.32%"
"May 18, 2021","97.20","97.20","97.83","96.60","3.36M","0.02%"
"May 17, 2021","97.18","97.05","97.39","96.69","3.32M","0.10%"
"May 14, 2021","97.08","96.58","97.41","96.32","3.94M","1.19%"
"May 13, 2021","95.94","95.01","96.61","94.97","5.12M","1.30%"
"May 12, 2021","94.71","96.90","97.12","94.64","4.60M","-2.53%"
"May 11, 2021","97.17","97.46","97.48","96.37","4.04M","-1.26%"
"May 10, 2021","98.41","98.80","99.56","98.41","3.44M","-0.03%"
"May 07, 2021","98.44","97.23","98.50","97.07","5.88M","1.32%"
"May 06, 2021","97.16","96.71","97.23","96.26","5.65M","0.56%"
