"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2021","140.37","140.63","140.71","139.82","1.82M","0.07%"
"Jun 10, 2021","140.27","141.06","141.30","140.18","2.88M","-0.04%"
"Jun 09, 2021","140.32","140.78","140.88","140.28","2.02M","-0.33%"
"Jun 08, 2021","140.78","140.87","140.94","140.08","2.09M","-0.13%"
"Jun 07, 2021","140.97","141.41","141.41","140.75","2.14M","-0.14%"
"Jun 04, 2021","141.17","141.31","141.33","140.73","4.32M","0.32%"
"Jun 03, 2021","140.72","139.92","140.95","139.67","3.88M","0.20%"
"Jun 02, 2021","140.44","140.40","140.57","139.78","3.19M","0.25%"
"Jun 01, 2021","140.09","141.00","141.08","139.90","3.05M","0.10%"
"May 28, 2021","139.95","140.33","140.33","139.70","2.27M","0.14%"
"May 27, 2021","139.75","140.00","140.35","139.47","2.58M","0.34%"
"May 26, 2021","139.27","139.02","139.41","138.58","2.29M","0.19%"
"May 25, 2021","139.01","140.06","140.23","138.82","2.86M","-0.62%"
"May 24, 2021","139.88","139.96","140.25","139.51","3.20M","0.41%"
"May 21, 2021","139.31","139.41","140.12","139.00","2.60M","0.36%"
"May 20, 2021","138.81","138.13","139.30","137.83","2.61M","0.49%"
"May 19, 2021","138.13","137.40","138.13","136.32","3.39M","-0.58%"
"May 18, 2021","138.94","140.21","140.30","138.87","2.72M","-0.96%"
"May 17, 2021","140.28","140.16","140.63","139.77","3.87M","0.09%"
"May 14, 2021","140.16","139.33","140.51","139.31","4.06M","1.11%"
"May 13, 2021","138.62","136.66","139.24","136.60","4.06M","1.43%"
"May 12, 2021","136.67","138.84","139.09","136.56","6.33M","-1.61%"
"May 11, 2021","138.91","139.76","140.16","138.22","4.11M","-1.35%"
"May 10, 2021","140.81","141.34","142.28","140.79","3.72M","0.14%"
"May 07, 2021","140.61","139.07","140.75","139.03","2.60M","0.72%"
"May 06, 2021","139.60","138.52","139.63","137.97","3.27M","0.87%"
"May 05, 2021","138.40","138.10","138.65","138.15","2.63M","0.51%"
"May 04, 2021","137.70","137.02","137.70","136.42","3.08M","0.28%"
"May 03, 2021","137.31","136.90","137.83","136.78","2.85M","0.98%"
"Apr 30, 2021","135.98","136.32","136.49","135.71","3.21M","-0.61%"
"Apr 29, 2021","136.82","136.12","136.86","135.79","2.67M","0.88%"
"Apr 28, 2021","135.63","135.64","135.87","135.36","1.80M","0.18%"
"Apr 27, 2021","135.38","135.25","135.55","134.78","2.81M","0.19%"
"Apr 26, 2021","135.12","135.50","135.81","134.99","1.86M","-0.13%"
"Apr 23, 2021","135.30","134.27","135.72","134.08","5.34M","0.77%"
"Apr 22, 2021","134.27","135.37","135.47","134.04","3.92M","-0.83%"
"Apr 21, 2021","135.39","133.80","135.49","133.80","2.16M","1.04%"
"Apr 20, 2021","133.99","134.41","134.51","133.60","2.73M","-0.76%"
"Apr 19, 2021","135.02","135.30","135.37","134.66","2.39M","-0.24%"
"Apr 16, 2021","135.35","135.07","135.56","134.98","2.44M","0.58%"
"Apr 15, 2021","134.57","134.21","134.63","133.79","3.31M","0.58%"
"Apr 14, 2021","133.80","133.19","134.29","133.17","2.43M","0.39%"
"Apr 13, 2021","133.28","133.21","133.49","132.56","2.38M","-0.32%"
"Apr 12, 2021","133.71","133.62","133.94","133.35","1.90M","0.07%"
"Apr 09, 2021","133.62","133.15","133.65","132.79","2.13M","0.58%"
"Apr 08, 2021","132.85","132.79","132.92","132.27","2.58M","-0.13%"
"Apr 07, 2021","133.02","133.23","133.52","132.57","2.20M","-0.03%"
"Apr 06, 2021","133.06","132.99","133.56","132.90","2.76M","-0.10%"
"Apr 05, 2021","133.19","133.23","133.57","132.84","3.39M","0.81%"
"Apr 01, 2021","132.12","131.56","132.15","131.13","3.43M","0.50%"
"Mar 31, 2021","131.46","131.92","132.20","131.38","3.25M","-0.45%"
"Mar 30, 2021","132.06","132.03","132.36","131.75","3.32M","-0.04%"
"Mar 29, 2021","132.11","131.53","132.61","131.23","4.05M","-0.15%"
"Mar 26, 2021","132.31","131.19","132.45","130.63","3.33M","1.61%"
"Mar 25, 2021","130.21","128.34","130.44","127.75","3.78M","0.63%"
"Mar 24, 2021","129.39","129.85","130.93","129.39","3.91M","0.08%"
"Mar 23, 2021","129.29","130.20","130.68","128.94","2.79M","-1.21%"
"Mar 22, 2021","130.88","130.61","131.16","130.11","2.76M","0.11%"
"Mar 19, 2021","130.74","131.18","131.43","129.83","3.48M","-0.43%"
"Mar 18, 2021","131.31","131.82","132.87","131.02","6.66M","-0.39%"
"Mar 17, 2021","131.82","131.29","131.83","130.62","3.00M","0.43%"
"Mar 16, 2021","131.26","131.84","131.84","130.97","3.18M","-0.64%"
"Mar 15, 2021","132.10","131.91","132.19","130.88","4.11M","0.24%"
"Mar 12, 2021","131.79","131.05","131.82","131.01","3.84M","0.91%"
"Mar 11, 2021","130.60","130.75","131.49","130.30","5.59M","-0.05%"
"Mar 10, 2021","130.67","129.43","131.09","129.43","6.06M","1.34%"
"Mar 09, 2021","128.94","129.40","130.38","128.89","6.14M","-0.36%"
"Mar 08, 2021","129.41","128.61","130.76","128.25","6.35M","1.17%"
