"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2021","103.51","103.70","104.02","102.97","10.11M","0.20%"
"Jun 10, 2021","103.30","104.45","104.67","103.26","10.65M","-0.49%"
"Jun 09, 2021","103.81","104.71","104.73","103.77","10.97M","-1.02%"
"Jun 08, 2021","104.88","104.76","105.09","104.17","8.85M","0.26%"
"Jun 07, 2021","104.61","105.51","105.56","104.34","8.30M","-0.69%"
"Jun 04, 2021","105.34","105.39","105.57","104.80","7.12M","0.32%"
"Jun 03, 2021","105.00","104.64","105.58","104.26","10.34M","-0.22%"
"Jun 02, 2021","105.23","105.64","105.71","105.07","7.55M","-0.28%"
"Jun 01, 2021","105.53","106.14","106.31","105.32","9.44M","0.39%"
"May 28, 2021","105.12","105.40","105.40","104.76","7.61M","0.00%"
"May 27, 2021","105.12","104.66","105.29","104.65","11.47M","1.37%"
"May 26, 2021","103.70","103.55","103.82","103.12","7.62M","0.32%"
"May 25, 2021","103.37","103.99","104.44","103.24","8.57M","-0.30%"
"May 24, 2021","103.68","103.62","103.90","103.13","7.10M","0.62%"
"May 21, 2021","103.04","103.09","103.87","102.69","13.42M","0.49%"
"May 20, 2021","102.54","102.49","102.90","101.92","11.64M","0.22%"
"May 19, 2021","102.31","101.73","102.31","100.68","16.66M","-0.56%"
"May 18, 2021","102.89","104.39","104.53","102.86","11.20M","-1.46%"
"May 17, 2021","104.41","104.73","104.76","103.65","11.55M","-0.31%"
"May 14, 2021","104.73","103.98","104.99","103.75","11.22M","1.38%"
"May 13, 2021","103.30","101.42","103.79","101.42","16.46M","1.87%"
"May 12, 2021","101.40","103.58","103.94","101.34","18.13M","-2.40%"
"May 11, 2021","103.89","104.36","104.66","102.87","25.43M","-1.48%"
"May 10, 2021","105.45","105.80","106.80","105.41","16.34M","0.09%"
"May 07, 2021","105.35","104.03","105.59","103.62","19.34M","1.06%"
"May 06, 2021","104.25","103.77","104.27","103.34","18.28M","0.70%"
"May 05, 2021","103.53","103.69","104.02","103.42","5.70M","0.10%"
"May 04, 2021","103.43","102.65","103.45","102.18","11.68M","0.44%"
"May 03, 2021","102.98","102.64","103.26","102.32","9.45M","1.03%"
"Apr 30, 2021","101.93","102.01","102.33","101.57","9.86M","-0.66%"
"Apr 29, 2021","102.61","102.50","102.74","101.86","11.04M","0.71%"
"Apr 28, 2021","101.89","102.06","102.41","101.76","7.88M","-0.21%"
"Apr 27, 2021","102.10","101.66","102.26","101.31","13.77M","0.83%"
"Apr 26, 2021","101.26","101.91","102.42","101.20","7.82M","-0.30%"
"Apr 23, 2021","101.56","100.65","101.82","100.41","8.13M","1.09%"
"Apr 22, 2021","100.46","101.00","101.70","100.36","11.78M","-0.51%"
"Apr 21, 2021","100.97","99.48","101.00","99.31","11.35M","1.37%"
"Apr 20, 2021","99.61","100.47","100.67","99.02","13.62M","-1.10%"
"Apr 19, 2021","100.72","101.14","101.14","100.22","8.14M","-0.42%"
"Apr 16, 2021","101.14","101.54","101.80","100.71","10.22M","0.22%"
"Apr 15, 2021","100.92","100.95","101.05","100.20","12.63M","0.40%"
"Apr 14, 2021","100.52","100.46","101.19","100.42","9.33M","0.13%"
"Apr 13, 2021","100.39","100.55","100.69","99.69","10.61M","-0.49%"
"Apr 12, 2021","100.88","100.47","100.93","100.32","7.70M","0.37%"
"Apr 09, 2021","100.51","99.86","100.54","99.59","9.66M","0.97%"
"Apr 08, 2021","99.54","99.15","99.57","98.61","9.15M","0.24%"
"Apr 07, 2021","99.30","99.76","100.02","99.00","8.87M","-0.46%"
"Apr 06, 2021","99.76","99.90","100.57","99.67","8.20M","-0.24%"
"Apr 05, 2021","100.00","99.66","100.33","99.57","10.79M","1.24%"
"Apr 01, 2021","98.78","98.82","98.84","98.15","11.19M","0.34%"
"Mar 31, 2021","98.45","98.88","99.26","98.12","12.29M","-0.32%"
"Mar 30, 2021","98.77","98.28","99.00","98.15","10.18M","0.44%"
"Mar 29, 2021","98.34","98.19","98.91","97.84","12.71M","0.02%"
"Mar 26, 2021","98.32","97.19","98.38","96.81","14.40M","1.73%"
"Mar 25, 2021","96.65","94.75","96.80","93.97","18.52M","1.60%"
"Mar 24, 2021","95.13","95.00","96.62","95.00","14.58M","0.73%"
"Mar 23, 2021","94.44","95.43","96.32","94.11","16.95M","-1.75%"
"Mar 22, 2021","96.12","96.40","96.53","95.46","12.32M","-0.36%"
"Mar 19, 2021","96.47","97.27","97.31","95.93","18.43M","-0.76%"
"Mar 18, 2021","97.21","97.27","98.51","97.03","16.89M","-0.09%"
"Mar 17, 2021","97.30","96.34","97.49","96.13","14.84M","1.15%"
