"Date","Price","Open","High","Low","Change %"
"Nov 27, 2020","14.300","14.350","14.350","14.250","-0.35%"
"Nov 26, 2020","14.350","15.110","15.110","14.250","-5.03%"
"Nov 25, 2020","15.110","14.350","15.110","14.250","5.30%"
"Nov 24, 2020","14.350","14.500","14.750","14.300","-1.03%"
"Nov 23, 2020","14.500","15.000","15.000","14.150","0.00%"
"Nov 20, 2020","14.500","15.000","15.000","13.900","-3.33%"
"Nov 19, 2020","15.000","13.700","15.000","13.600","9.49%"
"Nov 18, 2020","13.700","14.000","14.000","13.600","-2.14%"
"Nov 17, 2020","14.000","13.650","14.000","13.600","3.17%"
"Nov 16, 2020","13.570","13.480","13.570","13.480","0.52%"
"Nov 13, 2020","13.500","14.000","14.000","13.400","0.00%"
"Nov 12, 2020","13.500","13.800","13.800","13.500","-2.17%"
"Nov 11, 2020","13.800","14.500","14.850","13.800","-4.83%"
"Nov 10, 2020","14.500","14.600","14.650","14.250","-0.68%"
"Nov 09, 2020","14.600","14.500","14.750","14.250","-0.68%"
"Nov 06, 2020","14.700","15.000","15.000","14.700","-1.93%"
"Nov 05, 2020","14.990","15.000","15.250","14.950","-0.07%"
"Nov 04, 2020","15.000","15.500","15.500","15.000","-1.64%"
"Nov 03, 2020","15.250","15.000","15.250","14.650","1.67%"
"Nov 02, 2020","15.000","14.700","15.000","14.700","1.69%"
"Oct 30, 2020","14.750","14.170","14.750","14.000","5.36%"
"Oct 28, 2020","14.000","13.450","14.000","13.450","4.09%"
"Oct 27, 2020","13.450","14.000","14.150","13.400","0.37%"
"Oct 26, 2020","13.400","13.500","13.500","13.000","3.88%"
"Oct 23, 2020","12.900","12.650","14.500","12.650","1.98%"
"Oct 22, 2020","12.650","12.500","13.250","12.500","1.20%"
"Oct 21, 2020","12.500","12.600","12.750","12.500","-0.79%"
"Oct 20, 2020","12.600","12.500","12.600","12.500","0.80%"
"Oct 19, 2020","12.500","12.500","12.600","12.250","3.31%"
"Oct 16, 2020","12.100","12.500","12.550","12.100","-3.20%"
"Oct 15, 2020","12.500","12.650","12.650","12.300","0.00%"
"Oct 14, 2020","12.500","12.070","12.700","12.070","3.56%"
"Oct 13, 2020","12.070","12.000","12.070","12.000","0.58%"
"Oct 12, 2020","12.000","12.000","12.000","12.000","4.08%"
"Oct 09, 2020","11.530","11.300","11.530","11.300","2.04%"
"Oct 08, 2020","11.300","11.190","11.310","11.150","0.98%"
"Oct 07, 2020","11.190","11.250","11.500","11.190","-0.53%"
"Oct 06, 2020","11.250","11.500","11.500","11.200","0.45%"
"Oct 05, 2020","11.200","11.450","11.450","11.190","-2.18%"
"Oct 02, 2020","11.450","11.450","11.450","11.450","-1.29%"
"Oct 01, 2020","11.600","11.660","11.700","11.450","0.00%"
"Sep 30, 2020","11.600","12.000","12.000","11.600","-2.52%"
"Sep 29, 2020","11.900","11.850","12.000","11.650","0.42%"
"Sep 28, 2020","11.850","11.850","11.850","11.850","-7.49%"
"Sep 25, 2020","12.810","12.810","12.810","12.810","0.47%"
"Sep 24, 2020","12.750","11.760","12.750","11.760","8.97%"
"Sep 23, 2020","11.700","12.000","12.500","11.650","-0.43%"
"Sep 22, 2020","11.750","11.650","12.000","11.650","0.86%"
"Sep 21, 2020","11.650","11.900","11.900","11.650","-0.43%"
"Sep 18, 2020","11.700","11.750","11.750","11.700","-0.43%"
"Sep 17, 2020","11.750","11.650","12.100","11.650","1.29%"
"Sep 16, 2020","11.600","11.800","11.800","11.600","-0.85%"
"Sep 15, 2020","11.700","12.100","12.100","11.700","-4.10%"
"Sep 14, 2020","12.200","12.300","12.300","12.200","-0.41%"
"Sep 11, 2020","12.250","12.250","12.250","12.250","-0.41%"
"Sep 10, 2020","12.300","12.400","12.400","12.300","0.00%"
"Sep 08, 2020","12.300","12.400","12.400","12.300","0.00%"
"Sep 07, 2020","12.300","12.500","12.500","12.300","-1.60%"
"Sep 04, 2020","12.500","12.500","12.620","12.450","0.81%"
"Sep 03, 2020","12.400","12.500","12.500","12.350","1.22%"
"Sep 02, 2020","12.250","12.750","12.750","12.250","-2.78%"
"Sep 01, 2020","12.600","12.950","12.950","12.600","-2.70%"
"Aug 31, 2020","12.950","13.100","13.100","12.950","0.39%"
"Aug 28, 2020","12.900","12.950","13.250","12.900","-0.39%"
"Aug 27, 2020","12.950","13.000","13.000","12.950","0.00%"
"Aug 26, 2020","12.950","13.350","14.060","12.950","-3.00%"
"Aug 25, 2020","13.350","13.100","13.350","13.100","1.91%"
"Aug 24, 2020","13.100","13.100","13.100","13.100","0.77%"
"Aug 21, 2020","13.000","12.900","13.000","12.690","0.78%"
"Aug 20, 2020","12.900","13.200","13.250","12.800","-0.77%"
"Aug 19, 2020","13.000","13.000","13.350","13.000","0.00%"
"Aug 18, 2020","13.000","13.000","13.000","12.900","0.00%"
"Aug 17, 2020","13.000","13.000","13.000","13.000","-2.26%"
"Aug 13, 2020","13.300","13.500","13.500","13.250","6.40%"
"Aug 12, 2020","12.500","13.300","13.300","12.500","-5.66%"
"Aug 11, 2020","13.250","11.800","13.250","11.800","12.29%"
"Aug 10, 2020","11.800","11.700","11.800","11.700","0.43%"
"Aug 07, 2020","11.750","10.540","11.750","10.540","11.90%"
"Aug 06, 2020","10.500","9.850","10.500","9.850","6.60%"
"Aug 05, 2020","9.850","9.650","9.850","9.650","2.07%"
"Aug 04, 2020","9.650","9.650","9.650","9.650","-1.03%"
"Jul 29, 2020","9.750","9.840","9.840","9.750","-0.51%"
"Jul 28, 2020","9.800","9.900","9.900","9.800","-1.01%"
"Jul 27, 2020","9.900","9.700","9.900","9.600","2.06%"
"Jul 24, 2020","9.700","9.550","9.760","9.550","1.57%"
"Jul 23, 2020","9.550","9.300","9.550","9.300","2.69%"
"Jul 22, 2020","9.300","9.340","9.350","9.250","-0.43%"
"Jul 21, 2020","9.340","9.300","9.340","9.300","0.43%"
"Jul 20, 2020","9.300","9.250","9.640","9.200","1.64%"
"Jul 17, 2020","9.150","9.250","9.250","9.150","-1.08%"
"Jul 16, 2020","9.250","9.250","9.250","9.250","0.00%"
"Jul 14, 2020","9.250","9.300","9.370","9.250","1.09%"
"Jul 10, 2020","9.150","9.400","9.400","9.050","-1.08%"
"Jul 09, 2020","9.250","9.230","9.500","9.230","0.54%"
"Jul 08, 2020","9.200","9.380","9.450","9.200","-1.60%"
"Jul 07, 2020","9.350","9.400","9.400","9.350","-0.53%"
"Jul 06, 2020","9.400","9.350","9.400","9.350","-2.08%"
"Jul 03, 2020","9.600","9.000","9.600","9.000","8.35%"
"Jul 02, 2020","8.860","8.830","8.860","8.830","0.34%"
"Jul 01, 2020","8.830","8.600","9.000","8.550","1.49%"
"Jun 26, 2020","8.700","8.530","8.750","8.530","2.35%"
"Jun 25, 2020","8.500","8.630","8.630","8.500","-1.51%"
"Jun 24, 2020","8.630","8.530","8.630","8.400","1.53%"
"Jun 23, 2020","8.500","8.500","8.500","8.500","-5.56%"
"Jun 19, 2020","9.000","8.430","9.000","8.430","7.14%"
"Jun 18, 2020","8.400","8.460","8.460","8.400","0.00%"
"Jun 16, 2020","8.400","8.500","8.500","8.400","0.00%"
"Jun 15, 2020","8.400","8.750","8.750","8.350","0.60%"
"Jun 12, 2020","8.350","8.500","8.500","8.350","0.00%"
"Jun 11, 2020","8.350","8.380","8.380","8.300","-0.36%"
"Jun 10, 2020","8.380","8.430","8.500","8.300","-0.59%"
"Jun 09, 2020","8.430","8.350","8.430","8.350","0.96%"
"Jun 08, 2020","8.350","8.350","8.350","8.350","-2.68%"
"Jun 05, 2020","8.580","8.450","8.580","8.450","1.54%"
"Jun 04, 2020","8.450","8.480","8.480","8.250","-0.35%"
"Jun 03, 2020","8.480","8.450","8.480","8.450","1.19%"
"Jun 02, 2020","8.380","8.380","8.380","8.380","0.36%"
"Jun 01, 2020","8.350","8.350","8.350","8.350","-0.60%"
"May 29, 2020","8.400","8.300","8.400","8.250","1.20%"
"May 28, 2020","8.300","8.300","8.400","8.250","1.22%"
"May 27, 2020","8.200","8.350","8.350","8.200","-2.38%"
"May 22, 2020","8.400","8.300","8.480","8.300","1.20%"
"May 21, 2020","8.300","8.400","8.450","8.200","-1.19%"
"May 20, 2020","8.400","8.450","8.450","8.200","-0.59%"
"May 18, 2020","8.450","8.400","8.450","8.350","-1.52%"
"May 15, 2020","8.580","8.470","8.580","8.470","1.30%"
"May 14, 2020","8.470","8.350","8.470","8.350","1.44%"
"May 13, 2020","8.350","8.250","8.400","8.250","1.21%"
"May 12, 2020","8.250","8.500","8.500","8.250","-1.79%"
"May 11, 2020","8.400","8.300","8.400","8.300","-6.67%"
"May 07, 2020","9.000","8.300","10.000","8.300","8.43%"
"May 06, 2020","8.300","8.150","8.500","8.150","1.84%"
"May 05, 2020","8.150","8.200","8.250","8.100","-0.61%"
"May 04, 2020","8.200","9.750","9.750","8.200","-3.53%"
"Apr 30, 2020","8.500","8.500","8.500","8.500","0.00%"
"Apr 29, 2020","8.500","8.700","8.720","8.500","0.59%"
"Apr 28, 2020","8.450","8.500","8.500","8.350","2.42%"
"Apr 27, 2020","8.250","8.200","8.370","8.200","-6.99%"
"Apr 24, 2020","8.870","9.000","9.000","8.800","-6.63%"
"Apr 22, 2020","9.500","9.300","9.500","9.150","0.53%"
"Apr 21, 2020","9.450","9.750","10.000","9.400","-3.08%"
"Apr 20, 2020","9.750","11.700","11.700","9.400","-17.37%"
"Apr 17, 2020","11.800","13.000","13.000","11.800","1.29%"
"Apr 16, 2020","11.650","11.650","11.650","11.650","0.00%"
"Apr 15, 2020","11.650","11.500","12.000","11.500","1.30%"
"Apr 14, 2020","11.500","11.750","13.000","11.500","-2.13%"
"Apr 13, 2020","11.750","12.000","12.000","11.600","-2.08%"
"Apr 10, 2020","12.000","11.990","12.000","11.740","0.08%"
"Apr 09, 2020","11.990","12.020","12.020","11.990","-0.25%"
"Apr 08, 2020","12.020","11.990","12.020","11.990","0.25%"
"Apr 07, 2020","11.990","12.520","12.520","11.990","-4.00%"
"Apr 06, 2020","12.490","11.980","12.490","11.980","5.94%"
"Apr 03, 2020","11.790","12.730","12.730","11.780","2.70%"
"Apr 02, 2020","11.480","12.620","12.620","11.480","2.23%"
"Apr 01, 2020","11.230","12.220","12.220","11.230","0.90%"
"Mar 31, 2020","11.130","12.220","12.220","11.130","0.00%"
"Mar 30, 2020","11.130","12.220","12.220","11.130","2.30%"
"Mar 27, 2020","10.880","12.210","12.210","10.880","-5.14%"
"Mar 26, 2020","11.470","11.250","11.470","11.250","2.23%"
"Mar 25, 2020","11.220","11.220","11.220","11.220","2.19%"
"Mar 23, 2020","10.980","11.360","11.360","10.915","-6.15%"
"Mar 19, 2020","11.700","10.940","11.950","10.940","6.95%"
"Mar 18, 2020","10.940","10.960","10.960","10.460","-1.53%"
"Mar 17, 2020","11.110","11.350","11.350","11.110","-1.24%"
"Mar 16, 2020","11.250","11.800","11.800","11.190","-0.44%"
"Mar 13, 2020","11.300","11.790","11.800","11.200","0.71%"
"Mar 12, 2020","11.220","11.440","11.440","11.200","-0.18%"
"Mar 11, 2020","11.240","11.240","11.290","11.190","0.45%"
"Mar 10, 2020","11.190","11.420","11.690","11.190","-1.76%"
"Mar 09, 2020","11.390","11.680","11.680","11.340","0.44%"
"Mar 06, 2020","11.340","10.790","11.340","10.790","5.10%"
"Mar 05, 2020","10.790","10.790","10.970","10.790","-0.46%"
"Mar 04, 2020","10.840","11.430","11.430","10.720","-6.39%"
"Mar 03, 2020","11.580","12.250","12.250","11.530","-5.16%"
"Mar 02, 2020","12.210","12.410","12.410","12.210","-0.41%"
"Feb 28, 2020","12.260","12.500","12.500","12.160","2.94%"
"Feb 27, 2020","11.910","12.400","12.400","11.910","0.85%"
"Feb 26, 2020","11.810","11.910","12.400","11.520","-0.84%"
"Feb 25, 2020","11.910","11.990","12.180","11.910","-0.67%"
"Feb 24, 2020","11.990","11.960","11.990","11.960","1.52%"
"Feb 21, 2020","11.810","11.700","11.900","11.700","0.94%"
"Feb 20, 2020","11.700","11.210","12.000","11.210","4.37%"
"Feb 19, 2020","11.210","10.910","11.310","10.910","-2.52%"
"Feb 18, 2020","11.500","11.160","11.500","11.110","3.51%"
"Feb 17, 2020","11.110","11.250","11.250","11.010","-0.36%"
"Feb 14, 2020","11.150","11.400","11.500","11.100","-3.80%"
"Feb 13, 2020","11.590","11.050","11.590","11.050","4.89%"
"Feb 12, 2020","11.050","11.100","11.100","10.900","-0.45%"
"Feb 11, 2020","11.100","11.100","11.390","11.050","0.00%"
"Feb 10, 2020","11.100","11.490","11.490","10.650","5.21%"
"Feb 07, 2020","10.550","10.350","10.560","10.350","1.93%"
"Feb 06, 2020","10.350","10.260","10.400","10.260","0.49%"
"Feb 05, 2020","10.300","10.270","10.300","10.250","0.29%"
"Feb 04, 2020","10.270","10.200","10.300","10.150","0.69%"
"Feb 03, 2020","10.200","10.400","10.400","10.200","-0.49%"
"Jan 31, 2020","10.250","10.150","10.250","10.120","0.99%"
"Jan 30, 2020","10.150","10.150","10.200","10.100","0.50%"
"Jan 29, 2020","10.100","10.100","10.150","10.000","0.50%"
"Jan 28, 2020","10.050","10.100","10.140","10.050","0.00%"
"Jan 27, 2020","10.050","9.900","10.390","9.850","1.01%"
"Jan 24, 2020","9.950","9.990","9.990","9.900","-0.40%"
"Jan 23, 2020","9.990","10.090","10.090","9.890","-0.99%"
"Jan 22, 2020","10.090","10.180","10.180","10.040","-0.49%"
"Jan 21, 2020","10.140","10.280","10.280","10.140","-1.36%"
"Jan 20, 2020","10.280","10.280","10.280","10.180","0.49%"
"Jan 17, 2020","10.230","10.230","10.380","10.030","-0.49%"
"Jan 16, 2020","10.280","10.420","10.420","10.110","2.29%"
"Jan 15, 2020","10.050","10.150","10.150","9.950","-0.50%"
"Jan 14, 2020","10.100","10.350","10.350","10.050","-2.42%"
"Jan 13, 2020","10.350","10.760","10.760","10.290","-2.36%"
"Jan 10, 2020","10.600","11.000","11.000","10.550","-3.64%"
"Jan 09, 2020","11.000","11.230","11.230","10.800","-1.70%"
"Jan 08, 2020","11.190","11.230","11.500","11.150","-0.36%"
"Jan 07, 2020","11.230","11.350","11.400","11.150","-0.88%"
"Jan 06, 2020","11.330","11.500","11.500","11.300","-0.61%"
"Jan 03, 2020","11.400","11.090","11.450","11.090","2.80%"
"Jan 02, 2020","11.090","11.450","11.500","10.900","-3.14%"
"Dec 31, 2019","11.450","11.050","11.800","11.050","3.62%"
"Dec 30, 2019","11.050","11.000","11.100","11.000","0.00%"
"Dec 27, 2019","11.050","11.000","11.110","10.990","0.45%"
"Dec 26, 2019","11.000","11.250","11.300","11.000","-0.90%"
"Dec 25, 2019","11.100","11.300","11.300","11.000","-0.09%"
"Dec 24, 2019","11.110","11.350","11.500","11.110","-2.11%"
"Dec 23, 2019","11.350","12.000","12.000","11.300","-2.16%"
"Dec 20, 2019","11.600","11.400","11.900","11.340","0.87%"
"Dec 19, 2019","11.500","12.000","12.000","11.200","-0.86%"
"Dec 18, 2019","11.600","12.000","12.000","11.600","1.75%"
"Dec 17, 2019","11.400","11.250","11.500","11.200","1.33%"
"Dec 16, 2019","11.250","11.210","11.350","11.210","-0.44%"
"Dec 13, 2019","11.300","11.300","11.400","11.170","0.00%"
"Dec 12, 2019","11.300","11.500","11.500","11.200","-1.74%"
"Dec 11, 2019","11.500","11.700","11.750","11.410","-1.71%"
"Dec 10, 2019","11.700","11.700","11.750","11.540","0.00%"
"Dec 09, 2019","11.700","11.800","11.800","11.700","-0.85%"
"Dec 06, 2019","11.800","11.900","11.970","11.750","-0.84%"
"Dec 05, 2019","11.900","11.850","12.000","11.850","0.42%"
"Dec 04, 2019","11.850","11.900","12.000","11.840","-0.42%"
"Dec 03, 2019","11.900","11.900","12.000","11.800","0.00%"
"Dec 02, 2019","11.900","11.850","12.040","11.820","0.85%"
"Nov 29, 2019","11.800","11.900","12.020","11.800","-0.84%"
"Nov 28, 2019","11.900","12.000","12.000","11.800","-0.83%"
"Nov 27, 2019","12.000","11.850","12.000","11.850","1.27%"
"Nov 26, 2019","11.850","11.950","11.950","11.750","-0.25%"
"Nov 25, 2019","11.880","12.000","12.000","11.810","-0.75%"
"Nov 22, 2019","11.970","11.930","12.050","11.900","0.34%"
"Nov 21, 2019","11.930","11.900","12.200","11.900","0.25%"
"Nov 20, 2019","11.900","11.900","12.000","11.750","0.00%"
"Nov 19, 2019","11.900","11.900","11.920","11.830","0.68%"
"Nov 18, 2019","11.820","12.050","12.050","11.820","-2.72%"
"Nov 15, 2019","12.150","12.080","12.150","11.950","0.58%"
"Nov 14, 2019","12.080","12.200","12.200","12.050","-0.66%"
"Nov 13, 2019","12.160","12.240","12.300","12.150","-0.65%"
"Nov 12, 2019","12.240","12.250","12.350","12.150","-0.08%"
"Nov 11, 2019","12.250","12.500","12.500","12.250","0.00%"
"Nov 08, 2019","12.250","12.300","12.300","12.200","-0.41%"
"Nov 07, 2019","12.300","12.500","12.500","12.250","-1.60%"
"Nov 06, 2019","12.500","12.450","12.750","12.450","0.40%"
"Nov 05, 2019","12.450","12.500","12.500","12.350","-0.40%"
"Nov 04, 2019","12.500","12.400","12.600","12.300","-0.79%"
"Nov 01, 2019","12.600","12.600","12.760","12.500","0.00%"
"Oct 31, 2019","12.600","13.050","13.050","12.540","-3.45%"
"Oct 30, 2019","13.050","13.080","13.250","12.900","0.38%"
"Oct 28, 2019","13.000","12.880","13.110","12.880","-0.46%"
"Oct 25, 2019","13.060","13.250","13.400","13.020","-1.43%"
"Oct 24, 2019","13.250","14.050","14.050","13.200","-5.69%"
"Oct 23, 2019","14.050","14.250","14.250","14.000","-1.40%"
"Oct 22, 2019","14.250","14.250","14.900","14.050","0.00%"
"Oct 21, 2019","14.250","14.240","14.250","14.050","0.42%"
"Oct 18, 2019","14.190","15.790","15.790","14.190","-11.26%"
"Oct 17, 2019","15.990","16.480","16.480","15.850","-2.68%"
"Oct 16, 2019","16.430","15.520","16.480","15.520","5.86%"
"Oct 15, 2019","15.520","15.480","15.520","15.480","6.16%"
"Oct 11, 2019","14.620","13.380","14.720","13.380","5.18%"
"Oct 10, 2019","13.900","13.650","14.500","13.650","4.91%"
"Oct 09, 2019","13.250","13.000","13.250","13.000","-2.57%"
"Oct 08, 2019","13.600","13.600","13.600","13.600","0.00%"
"Oct 07, 2019","13.600","13.500","13.600","13.100","3.03%"
"Oct 04, 2019","13.200","13.200","13.500","13.000","-0.75%"
"Oct 03, 2019","13.300","13.400","13.400","13.250","-2.21%"
"Oct 02, 2019","13.600","13.600","13.600","13.600","0.00%"
"Oct 01, 2019","13.600","13.650","13.650","13.550","-2.86%"
"Sep 30, 2019","14.000","14.000","14.000","13.650","0.00%"
"Sep 27, 2019","14.000","14.000","14.000","14.000","-3.85%"
"Sep 26, 2019","14.560","14.100","14.560","13.950","-0.27%"
"Sep 25, 2019","14.600","14.600","14.600","14.600","0.69%"
"Sep 24, 2019","14.500","14.600","14.700","14.400","-2.68%"
"Sep 23, 2019","14.900","15.200","15.200","14.850","-0.67%"
"Sep 20, 2019","15.000","14.960","15.000","14.960","1.01%"
"Sep 18, 2019","14.850","15.000","15.000","14.750","-0.34%"
"Sep 17, 2019","14.900","15.200","15.200","14.900","-0.67%"
"Sep 13, 2019","15.000","15.100","15.100","15.000","-0.33%"
"Sep 12, 2019","15.050","15.250","15.250","15.000","-1.31%"
"Sep 11, 2019","15.250","15.360","15.450","15.250","-0.72%"
"Sep 10, 2019","15.360","15.450","15.450","15.300","-1.54%"
"Sep 09, 2019","15.600","15.800","15.800","15.600","-1.27%"
"Sep 06, 2019","15.800","15.850","15.850","15.800","-0.94%"
"Sep 05, 2019","15.950","16.000","16.000","15.950","-0.31%"
"Sep 04, 2019","16.000","16.000","16.110","16.000","-1.54%"
"Sep 03, 2019","16.250","16.250","16.250","16.250","-2.40%"
"Sep 02, 2019","16.650","16.800","16.800","16.650","-0.89%"
"Aug 29, 2019","16.800","17.000","17.000","16.800","0.00%"
"Aug 28, 2019","16.800","16.900","16.900","16.800","-0.59%"
"Aug 27, 2019","16.900","17.500","17.500","16.800","-1.17%"
"Aug 26, 2019","17.100","17.100","17.100","17.100","2.09%"
"Aug 23, 2019","16.750","17.000","17.000","16.750","-1.47%"
"Aug 22, 2019","17.000","16.450","17.000","16.450","3.34%"
"Aug 21, 2019","16.450","16.500","16.500","16.350","0.30%"
"Aug 20, 2019","16.400","15.500","16.560","15.500","5.81%"
"Aug 19, 2019","15.500","15.500","15.500","15.500","0.65%"
"Aug 16, 2019","15.400","15.600","15.600","15.400","-1.28%"
"Aug 15, 2019","15.600","15.600","15.600","15.400","0.00%"
"Aug 08, 2019","15.600","15.800","15.800","15.500","-4.29%"
"Aug 07, 2019","16.300","16.500","16.500","16.300","-1.21%"
"Aug 06, 2019","16.500","16.650","16.650","16.500","-0.90%"
"Aug 05, 2019","16.650","17.000","17.000","16.600","-1.19%"
"Aug 02, 2019","16.850","16.850","17.000","16.800","0.00%"
"Aug 01, 2019","16.850","16.750","17.000","16.750","0.60%"
"Jul 31, 2019","16.750","16.800","16.850","16.700","-0.30%"
"Jul 30, 2019","16.800","17.000","17.050","16.800","-0.88%"
"Jul 29, 2019","16.950","17.500","17.500","16.900","-3.14%"
"Jul 26, 2019","17.500","18.080","18.100","17.350","-3.21%"
"Jul 25, 2019","18.080","18.600","18.600","18.000","-2.80%"
"Jul 24, 2019","18.600","18.700","18.750","18.600","-0.53%"
"Jul 23, 2019","18.700","18.550","18.850","18.550","0.54%"
"Jul 22, 2019","18.600","18.600","18.700","18.550","0.00%"
"Jul 19, 2019","18.600","18.800","19.000","18.500","-4.62%"
"Jul 18, 2019","19.500","19.400","19.500","19.100","0.52%"
"Jul 17, 2019","19.400","19.800","20.000","19.300","-2.02%"
"Jul 16, 2019","19.800","20.050","20.050","19.800","-2.94%"
"Jul 12, 2019","20.400","20.650","20.700","20.200","-1.21%"
"Jul 11, 2019","20.650","20.600","20.850","20.500","-1.48%"
"Jul 10, 2019","20.960","21.000","21.000","20.900","-0.19%"
"Jul 09, 2019","21.000","20.900","21.000","20.900","0.48%"
"Jul 08, 2019","20.900","21.150","21.500","20.790","-0.95%"
"Jul 05, 2019","21.100","21.200","21.250","21.100","-0.47%"
"Jul 04, 2019","21.200","21.250","21.250","21.100","-0.24%"
"Jul 03, 2019","21.250","21.200","21.500","21.000","0.24%"
"Jul 02, 2019","21.200","21.500","21.500","21.150","0.24%"
"Jul 01, 2019","21.150","21.500","21.500","21.100","-2.53%"
"Jun 28, 2019","21.700","21.650","21.840","21.610","0.23%"
"Jun 27, 2019","21.650","21.350","21.700","21.300","1.64%"
"Jun 26, 2019","21.300","21.400","21.400","21.190","0.24%"
"Jun 25, 2019","21.250","21.300","21.460","21.200","0.00%"
"Jun 24, 2019","21.250","21.750","21.750","21.150","-1.39%"
"Jun 21, 2019","21.550","21.400","22.500","21.400","0.70%"
"Jun 20, 2019","21.400","23.000","23.000","21.400","-6.96%"
"Jun 19, 2019","23.000","23.200","24.500","23.000","-1.08%"
"Jun 18, 2019","23.250","23.650","23.650","23.200","-1.48%"
"Jun 17, 2019","23.600","24.000","24.000","23.550","-1.46%"
"Jun 14, 2019","23.950","24.000","24.000","23.800","0.00%"
"Jun 13, 2019","23.950","24.100","25.100","23.900","-0.62%"
"Jun 12, 2019","24.100","25.050","25.050","23.900","-1.11%"
"Jun 11, 2019","24.370","24.500","25.050","24.150","0.29%"
"Jun 10, 2019","24.300","24.500","25.250","24.300","-1.82%"
"Jun 07, 2019","24.750","25.500","25.500","24.250","-2.17%"
"Jun 03, 2019","25.300","25.250","25.300","25.250","0.00%"
"May 31, 2019","25.300","25.350","25.520","25.000","-0.20%"
"May 30, 2019","25.350","25.400","25.500","25.200","-0.20%"
"May 29, 2019","25.400","25.370","25.570","25.300","0.12%"
"May 28, 2019","25.370","25.550","25.550","23.360","-1.36%"
"May 27, 2019","25.720","25.700","25.770","25.650","-0.31%"
"May 24, 2019","25.800","25.650","26.250","25.620","0.58%"
"May 23, 2019","25.650","25.470","25.720","25.470","0.71%"
"May 22, 2019","25.470","25.700","25.700","25.300","-0.55%"
"May 21, 2019","25.610","25.750","25.950","25.570","-0.54%"
"May 20, 2019","25.750","26.400","26.400","25.700","-2.46%"
"May 17, 2019","26.400","26.500","26.500","25.900","7.27%"
"May 16, 2019","24.610","24.460","24.610","24.060","0.61%"
"May 15, 2019","24.460","24.850","24.860","24.390","-0.89%"
"May 14, 2019","24.680","25.170","25.170","24.590","-1.24%"
"May 13, 2019","24.990","25.480","25.540","24.990","-1.19%"
