"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","5.08","5.05","5.12","5.04","242.88K","0.99%"
"Nov 25, 2020","5.03","5.00","5.15","4.98","401.15K","-0.79%"
"Nov 24, 2020","5.07","5.01","5.15","4.98","600.16K","0.00%"
"Nov 23, 2020","5.07","5.20","5.20","5.03","326.19K","-2.69%"
"Nov 22, 2020","5.21","5.21","5.21","5.21","-","0.00%"
"Nov 20, 2020","5.21","5.29","5.32","5.20","238.85K","-1.70%"
"Nov 19, 2020","5.30","5.33","5.36","5.29","153.31K","1.53%"
"Nov 18, 2020","5.22","5.22","5.29","5.16","348.68K","0.77%"
"Nov 17, 2020","5.18","5.12","5.26","5.08","262.89K","-0.96%"
"Nov 16, 2020","5.23","5.26","5.26","5.18","99.11K","-0.57%"
"Nov 15, 2020","5.26","5.26","5.26","5.26","-","0.00%"
"Nov 14, 2020","5.26","5.26","5.26","5.26","-","0.00%"
"Nov 13, 2020","5.26","5.26","5.30","5.23","200.21K","4.16%"
"Nov 12, 2020","5.05","5.13","5.21","5.00","377.24K","-0.39%"
"Nov 11, 2020","5.07","4.97","5.12","4.97","333.73K","6.29%"
"Nov 10, 2020","4.77","4.75","4.83","4.73","683.40K","-4.41%"
"Nov 09, 2020","4.99","5.05","5.05","4.80","358.63K","4.61%"
"Nov 06, 2020","4.77","4.73","4.78","4.70","175.85K","2.58%"
"Nov 05, 2020","4.65","4.64","4.70","4.62","132.60K","2.65%"
"Nov 04, 2020","4.53","4.55","4.61","4.52","180.30K","-0.66%"
"Nov 03, 2020","4.56","4.49","4.64","4.49","179.65K","2.24%"
"Nov 02, 2020","4.46","4.47","4.50","4.42","234.82K","1.13%"
"Oct 30, 2020","4.41","4.50","4.53","4.36","487.87K","-5.57%"
"Oct 29, 2020","4.67","4.75","4.75","4.62","321.14K","-1.68%"
"Oct 28, 2020","4.75","4.75","4.76","4.65","263.01K","-0.21%"
"Oct 27, 2020","4.76","4.93","4.95","4.75","250.88K","-4.61%"
"Oct 26, 2020","4.99","5.03","5.05","4.89","327.12K","-2.73%"
"Oct 23, 2020","5.13","5.10","5.18","5.10","146.65K","-1.16%"
"Oct 22, 2020","5.19","5.11","5.20","5.07","193.20K","-2.44%"
"Oct 21, 2020","5.32","5.35","5.37","5.29","154.01K","-0.56%"
"Oct 20, 2020","5.35","5.41","5.46","5.35","255.92K","-2.19%"
"Oct 19, 2020","5.47","5.34","5.50","5.34","423.30K","4.59%"
"Oct 16, 2020","5.23","5.15","5.32","5.14","291.64K","1.75%"
"Oct 15, 2020","5.14","5.13","5.16","5.09","190.99K","-1.15%"
"Oct 14, 2020","5.20","5.15","5.25","5.12","241.96K","3.17%"
"Oct 13, 2020","5.04","5.07","5.11","5.04","166.71K","-1.18%"
"Oct 12, 2020","5.10","5.05","5.14","5.05","210.15K","2.62%"
"Oct 09, 2020","4.97","5.02","5.02","4.96","114.69K","-1.00%"
"Oct 08, 2020","5.02","4.92","5.04","4.92","236.75K","2.24%"
"Oct 07, 2020","4.91","4.94","4.98","4.90","172.91K","0.20%"
"Oct 06, 2020","4.90","5.01","5.01","4.90","323.84K","-2.20%"
"Oct 05, 2020","5.01","4.97","5.04","4.90","284.32K","3.94%"
"Oct 02, 2020","4.82","4.82","4.92","4.80","259.69K","-0.21%"
"Oct 01, 2020","4.83","4.87","4.89","4.82","281.47K","0.84%"
"Sep 30, 2020","4.79","4.80","4.86","4.77","419.56K","3.01%"
"Sep 29, 2020","4.65","4.80","4.80","4.64","269.54K","-2.52%"
"Sep 28, 2020","4.77","4.88","4.88","4.76","319.32K","-3.44%"
"Sep 25, 2020","4.94","5.01","5.09","4.88","975.50K","0.20%"
"Sep 24, 2020","4.93","5.03","5.05","4.88","742.73K","0.20%"
"Sep 23, 2020","4.92","4.92","4.97","4.87","719.76K","2.07%"
"Sep 22, 2020","4.82","4.86","4.88","4.79","531.88K","2.12%"
