"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","23.04","22.89","23.09","22.89","103.83K","1.36%"
"Nov 25, 2020","22.73","22.54","22.84","22.46","117.42K","1.20%"
"Nov 24, 2020","22.46","22.40","22.53","22.31","179.48K","-0.35%"
"Nov 23, 2020","22.54","22.41","22.63","22.23","330.65K","-4.25%"
"Nov 20, 2020","23.54","23.60","23.66","23.29","159.62K","-0.68%"
"Nov 19, 2020","23.70","23.43","23.81","23.32","461.05K","4.54%"
"Nov 18, 2020","22.67","22.52","22.99","22.52","274.74K","2.12%"
"Nov 17, 2020","22.20","22.32","22.42","21.99","130.45K","-2.12%"
"Nov 16, 2020","22.68","22.68","22.75","22.60","234.69K","-0.22%"
"Nov 13, 2020","22.73","22.56","22.99","22.56","409.88K","1.61%"
"Nov 12, 2020","22.37","22.33","22.50","22.01","624.17K","0.36%"
"Nov 11, 2020","22.29","21.56","22.36","21.50","1.16M","9.26%"
"Nov 10, 2020","20.40","20.30","20.65","20.24","435.29K","0.79%"
"Nov 09, 2020","20.24","20.29","20.40","19.96","769.46K","8.53%"
"Nov 06, 2020","18.65","18.67","18.73","18.42","181.00K","-0.21%"
"Nov 05, 2020","18.69","18.60","18.71","18.41","182.54K","0.48%"
"Nov 04, 2020","18.60","18.42","18.73","18.35","265.93K","1.53%"
"Nov 03, 2020","18.32","18.10","18.48","18.05","926.43K","2.00%"
"Nov 02, 2020","17.96","17.89","17.96","17.84","124.82K","1.24%"
"Oct 30, 2020","17.74","17.79","17.92","17.62","586.59K","-2.53%"
"Oct 29, 2020","18.20","18.15","18.28","18.04","155.37K","0.05%"
"Oct 28, 2020","18.19","18.24","18.35","18.10","504.23K","-3.55%"
"Oct 27, 2020","18.86","18.90","18.95","18.62","587.69K","-0.63%"
"Oct 26, 2020","18.98","19.20","19.20","18.86","467.46K","-5.01%"
"Oct 23, 2020","19.98","20.00","20.00","19.72","154.61K","-1.33%"
"Oct 22, 2020","20.25","20.27","20.30","20.08","264.92K","-2.60%"
"Oct 21, 2020","20.79","20.62","20.84","20.62","123.36K","1.32%"
"Oct 20, 2020","20.52","20.40","20.62","20.36","205.82K","0.49%"
"Oct 19, 2020","20.42","20.28","20.54","20.28","382.36K","1.64%"
"Oct 16, 2020","20.09","19.96","20.25","19.89","223.80K","1.21%"
"Oct 15, 2020","19.85","19.75","19.90","19.75","60.38K","-0.80%"
"Oct 14, 2020","20.01","20.02","20.13","19.98","82.82K","1.68%"
"Oct 13, 2020","19.68","19.90","19.90","19.68","102.42K","-1.40%"
"Oct 12, 2020","19.96","20.05","20.11","19.90","256.38K","0.30%"
"Oct 09, 2020","19.90","19.64","20.02","19.64","149.73K","2.05%"
"Oct 08, 2020","19.50","19.36","19.57","19.32","283.23K","-0.61%"
"Oct 07, 2020","19.62","19.75","19.75","19.59","209.02K","-0.86%"
"Oct 06, 2020","19.79","20.10","20.16","19.70","243.16K","-1.44%"
"Oct 05, 2020","20.08","19.97","20.17","19.97","136.64K","1.67%"
"Oct 02, 2020","19.75","19.74","19.91","19.67","274.77K","-0.75%"
"Oct 01, 2020","19.90","19.99","20.04","19.72","195.98K","0.71%"
"Sep 30, 2020","19.76","19.67","19.98","19.63","435.00K","2.12%"
"Sep 29, 2020","19.35","19.40","19.55","19.12","154.31K","-0.05%"
"Sep 28, 2020","19.36","19.60","19.60","19.34","189.14K","-2.81%"
"Sep 25, 2020","19.92","20.20","20.20","19.84","97.11K","-0.40%"
"Sep 24, 2020","20.00","19.82","20.08","19.78","344.36K","3.95%"
"Sep 23, 2020","19.24","19.46","19.55","19.24","176.96K","-0.72%"
"Sep 22, 2020","19.38","19.55","19.55","19.27","153.63K","-0.36%"
"Sep 21, 2020","19.45","19.55","19.60","19.30","191.22K","-2.51%"
"Sep 18, 2020","19.95","19.98","20.09","19.89","181.75K","-0.70%"
"Sep 17, 2020","20.09","19.91","20.15","19.78","183.01K","-0.20%"
"Sep 16, 2020","20.13","20.18","20.26","20.00","401.75K","-0.79%"
"Sep 15, 2020","20.29","20.34","20.35","20.03","198.65K","0.15%"
"Sep 14, 2020","20.26","20.17","20.36","20.12","185.13K","0.55%"
"Sep 11, 2020","20.15","20.00","20.21","20.00","226.37K","0.15%"
"Sep 10, 2020","20.12","20.25","20.27","20.01","262.29K","-0.69%"
"Sep 09, 2020","20.26","19.91","20.30","19.89","441.44K","2.58%"
"Sep 08, 2020","19.75","19.83","19.90","19.73","239.74K","-1.55%"
"Sep 04, 2020","20.06","19.83","20.15","19.77","198.40K","1.88%"
"Sep 03, 2020","19.69","19.81","19.90","19.47","390.97K","-1.75%"
"Sep 02, 2020","20.04","20.02","20.08","19.90","200.67K","-0.55%"
"Sep 01, 2020","20.15","19.90","20.15","19.79","449.52K","0.90%"
"Aug 31, 2020","19.97","20.21","20.21","19.83","378.48K","-2.63%"
"Aug 28, 2020","20.51","20.47","20.55","20.37","99.72K","-0.34%"
