"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","22.48","23.40","23.72","22.48","2.35M","-3.44%"
"Nov 26, 2020","23.28","23.46","23.98","23.16","2.04M","-0.85%"
"Nov 25, 2020","23.48","22.34","23.48","22.28","3.85M","5.96%"
"Nov 24, 2020","22.16","22.42","22.58","21.98","1.87M","-0.72%"
"Nov 23, 2020","22.32","22.24","22.72","22.08","2.75M","0.63%"
"Nov 20, 2020","22.18","21.58","22.26","21.58","2.73M","2.97%"
"Nov 19, 2020","21.54","21.86","21.92","21.50","1.99M","-0.83%"
"Nov 18, 2020","21.72","21.60","21.88","21.38","1.37M","1.02%"
"Nov 17, 2020","21.50","22.00","22.28","21.50","1.78M","-2.27%"
"Nov 16, 2020","22.00","22.64","22.82","21.94","3.13M","-2.65%"
"Nov 13, 2020","22.60","22.22","22.90","22.22","2.70M","2.26%"
"Nov 12, 2020","22.10","21.96","22.46","21.84","2.15M","0.82%"
"Nov 11, 2020","21.92","21.50","22.02","21.48","2.38M","1.76%"
"Nov 10, 2020","21.54","21.42","22.14","21.26","2.81M","0.37%"
"Nov 09, 2020","21.46","21.64","21.74","21.20","3.07M","0.47%"
"Nov 06, 2020","21.36","21.14","21.36","20.84","2.16M","0.38%"
"Nov 05, 2020","21.28","21.30","21.52","21.10","2.01M","2.11%"
"Nov 04, 2020","20.84","20.86","21.22","20.76","1.06M","0.10%"
"Nov 03, 2020","20.82","20.10","21.12","20.10","2.39M","4.26%"
"Nov 02, 2020","19.97","19.52","20.36","19.52","1.14M","2.78%"
"Oct 30, 2020","19.43","20.02","20.22","19.43","2.40M","-5.31%"
"Oct 28, 2020","20.52","21.30","21.30","20.52","497.28K","-4.02%"
"Oct 27, 2020","21.38","21.36","21.62","20.92","1.70M","0.09%"
"Oct 26, 2020","21.36","22.76","22.76","21.36","1.71M","-6.89%"
"Oct 23, 2020","22.94","23.20","23.38","22.36","1.52M","-0.26%"
"Oct 22, 2020","23.00","22.60","23.04","22.38","1.76M","1.77%"
"Oct 21, 2020","22.60","23.28","23.36","22.56","1.79M","-2.67%"
"Oct 20, 2020","23.22","23.40","23.48","22.98","1.06M","-0.51%"
"Oct 19, 2020","23.34","23.20","23.40","23.10","811.85K","1.21%"
"Oct 16, 2020","23.06","22.86","23.06","22.84","1.10M","0.87%"
"Oct 15, 2020","22.86","22.78","22.96","22.60","1.34M","0.53%"
"Oct 14, 2020","22.74","22.40","22.74","22.30","1.65M","1.61%"
"Oct 13, 2020","22.38","22.10","22.50","22.08","1.66M","1.27%"
"Oct 12, 2020","22.10","22.10","22.36","22.08","1.19M","0.00%"
"Oct 09, 2020","22.10","22.02","22.40","21.78","1.47M","0.27%"
"Oct 08, 2020","22.04","22.20","22.58","21.58","4.41M","-0.36%"
"Oct 07, 2020","22.12","21.88","22.32","21.58","2.03M","1.00%"
"Oct 06, 2020","21.90","21.50","22.22","21.48","3.30M","2.34%"
"Oct 05, 2020","21.40","20.94","21.42","20.92","2.94M","2.39%"
"Oct 02, 2020","20.90","20.88","21.18","20.82","1.41M","0.10%"
"Oct 01, 2020","20.88","20.74","20.90","20.64","953.49K","0.97%"
"Sep 30, 2020","20.68","20.90","20.98","20.60","1.35M","-1.05%"
"Sep 29, 2020","20.90","21.04","21.12","20.50","1.13M","-0.38%"
"Sep 28, 2020","20.98","20.82","20.98","20.52","1.17M","0.87%"
"Sep 25, 2020","20.80","21.20","21.20","20.80","983.87K","-1.52%"
"Sep 24, 2020","21.12","20.70","21.12","20.70","1.87M","1.64%"
"Sep 23, 2020","20.78","20.78","20.96","20.70","1.10M","0.39%"
"Sep 22, 2020","20.70","20.14","20.82","20.14","1.06M","2.88%"
"Sep 21, 2020","20.12","20.92","21.16","20.08","1.06M","-4.19%"
"Sep 18, 2020","21.00","20.72","21.02","20.62","1.88M","1.65%"
"Sep 17, 2020","20.66","19.14","20.82","19.14","1.74M","-0.96%"
"Sep 16, 2020","20.86","21.16","21.26","20.80","1.19M","-1.23%"
"Sep 15, 2020","21.12","20.90","21.20","20.76","1.86M","1.54%"
"Sep 14, 2020","20.80","20.62","20.84","20.34","1.36M","0.97%"
"Sep 11, 2020","20.60","20.32","20.82","20.30","3.38M","2.79%"
"Sep 10, 2020","20.04","19.98","20.26","19.91","1.46M","0.65%"
"Sep 09, 2020","19.91","19.92","20.00","19.76","818.21K","-0.05%"
"Sep 08, 2020","19.92","20.10","20.20","19.71","1.22M","-0.60%"
"Sep 07, 2020","20.04","20.16","20.30","20.02","789.61K","-0.30%"
"Sep 04, 2020","20.10","20.00","20.34","19.83","3.03M","0.65%"
"Sep 03, 2020","19.97","19.17","19.98","19.13","5.05M","4.17%"
"Sep 02, 2020","19.17","19.20","19.29","18.98","2.04M","-0.47%"
"Sep 01, 2020","19.26","19.35","19.35","18.79","1.68M","-0.87%"
"Aug 31, 2020","19.43","19.50","19.51","18.77","2.02M","-0.56%"
"Aug 28, 2020","19.54","19.70","19.76","19.29","908.32K","-0.66%"
"Aug 27, 2020","19.67","19.80","19.92","19.60","1.36M","-0.46%"
"Aug 26, 2020","19.76","19.96","20.04","19.66","1.78M","-0.70%"
"Aug 25, 2020","19.90","19.94","19.96","19.69","1.75M","0.51%"
"Aug 24, 2020","19.80","19.83","20.10","19.71","1.11M","0.00%"
"Aug 21, 2020","19.80","19.61","19.90","19.52","2.27M","1.54%"
"Aug 20, 2020","19.50","19.68","19.95","19.39","1.85M","-0.91%"
"Aug 19, 2020","19.68","19.54","19.80","19.27","1.68M","0.77%"
"Aug 18, 2020","19.53","19.92","20.10","19.52","1.46M","-1.96%"
"Aug 17, 2020","19.92","20.16","20.30","19.82","1.12M","-1.19%"
"Aug 14, 2020","20.16","19.99","20.24","19.47","1.76M","0.80%"
"Aug 13, 2020","20.00","20.66","20.80","20.00","3.32M","-0.70%"
"Aug 12, 2020","20.14","20.10","20.30","19.65","2.17M","0.70%"
"Aug 11, 2020","20.00","19.04","20.00","19.04","2.42M","5.04%"
"Aug 10, 2020","19.04","18.60","19.14","18.13","1.41M","2.09%"
"Aug 07, 2020","18.65","17.97","18.66","17.14","2.67M","3.78%"
"Aug 06, 2020","17.97","18.72","19.15","17.97","3.18M","-3.90%"
"Aug 05, 2020","18.70","18.70","18.83","17.90","2.29M","0.70%"
"Aug 04, 2020","18.57","19.52","19.76","18.09","3.61M","-4.08%"
"Jul 30, 2020","19.36","19.48","19.57","19.26","691.72K","-0.46%"
"Jul 29, 2020","19.45","20.00","20.10","19.11","3.80M","-2.94%"
"Jul 28, 2020","20.04","20.72","20.92","19.92","2.26M","-3.28%"
"Jul 27, 2020","20.72","20.74","21.06","20.72","1.15M","0.10%"
"Jul 24, 2020","20.70","20.68","20.76","20.52","1.16M","-0.38%"
"Jul 23, 2020","20.78","20.84","21.00","20.76","1.07M","0.29%"
"Jul 22, 2020","20.72","21.50","21.60","20.72","2.98M","-3.00%"
"Jul 21, 2020","21.36","20.78","21.40","20.70","5.32M","3.79%"
"Jul 20, 2020","20.58","20.78","20.80","20.46","2.13M","-0.96%"
"Jul 17, 2020","20.78","21.08","21.10","20.58","1.85M","-1.33%"
"Jul 16, 2020","21.06","21.26","21.38","20.96","3.67M","0.29%"
"Jul 14, 2020","21.00","21.18","21.18","20.68","3.52M","-7.57%"
"Jul 13, 2020","22.72","22.50","22.90","22.44","5.03M","2.25%"
"Jul 10, 2020","22.22","22.50","22.50","21.40","4.70M","-1.59%"
"Jul 09, 2020","22.58","23.10","23.26","22.14","6.35M","-1.74%"
"Jul 08, 2020","22.98","22.22","22.98","22.16","8.90M","3.42%"
"Jul 07, 2020","22.22","22.02","22.24","21.66","9.52M","1.46%"
"Jul 06, 2020","21.90","21.58","21.94","21.48","4.74M","2.62%"
"Jul 03, 2020","21.34","21.60","21.78","21.16","2.90M","-0.65%"
"Jul 02, 2020","21.48","21.22","21.68","21.22","3.51M","1.70%"
"Jul 01, 2020","21.12","21.42","21.50","21.08","2.90M","-0.94%"
"Jun 30, 2020","21.32","21.50","21.56","21.20","4.18M","-0.37%"
"Jun 29, 2020","21.40","21.08","21.56","20.96","6.96M","1.61%"
"Jun 26, 2020","21.06","20.42","21.26","20.42","10.72M","3.64%"
"Jun 25, 2020","20.32","20.24","20.68","19.87","4.30M","0.20%"
"Jun 24, 2020","20.28","20.60","20.60","20.26","2.46M","-1.55%"
"Jun 23, 2020","20.60","20.84","20.90","20.50","3.11M","-0.96%"
"Jun 22, 2020","20.80","20.78","21.08","20.54","6.50M","0.97%"
"Jun 19, 2020","20.60","20.52","20.60","20.16","6.68M","1.08%"
"Jun 18, 2020","20.38","20.42","20.64","20.22","6.30M","0.20%"
"Jun 17, 2020","20.34","20.12","20.38","19.94","9.91M","4.25%"
"Jun 16, 2020","19.51","19.50","19.73","19.45","5.73M","1.25%"
"Jun 15, 2020","19.27","19.16","19.29","19.07","3.89M","-0.57%"
"Jun 12, 2020","19.38","19.10","19.50","19.03","5.40M","0.05%"
"Jun 11, 2020","19.37","19.44","19.70","19.35","4.41M","-0.92%"
"Jun 10, 2020","19.55","19.41","19.83","19.32","5.71M","0.77%"
"Jun 09, 2020","19.40","19.70","19.78","19.25","6.35M","-1.42%"
"Jun 08, 2020","19.68","19.95","20.12","19.59","5.49M","-1.16%"
"Jun 05, 2020","19.91","20.06","20.10","19.63","6.10M","-0.10%"
"Jun 04, 2020","19.93","19.76","20.42","19.36","13.00M","1.17%"
"Jun 03, 2020","19.70","18.62","20.14","18.55","29.32M","6.37%"
"Jun 02, 2020","18.52","18.75","18.77","18.48","6.67M","-0.70%"
"Jun 01, 2020","18.65","18.66","18.76","18.40","7.10M","0.59%"
"May 29, 2020","18.54","18.44","18.54","18.15","7.14M","0.76%"
"May 28, 2020","18.40","19.00","19.07","18.18","11.11M","-2.34%"
"May 27, 2020","18.84","18.35","19.20","18.26","19.30M","5.19%"
"May 22, 2020","17.91","17.47","17.93","17.38","13.66M","2.52%"
"May 21, 2020","17.47","17.45","17.58","17.22","6.16M","0.46%"
"May 20, 2020","17.39","17.32","17.53","17.30","6.68M","1.28%"
"May 18, 2020","17.17","17.01","17.22","17.01","10.72M","1.36%"
"May 15, 2020","16.94","17.10","17.13","16.94","1.64M","-0.29%"
"May 14, 2020","16.99","17.30","17.36","16.85","3.26M","-1.79%"
"May 13, 2020","17.30","17.13","17.46","17.09","2.72M","0.99%"
"May 12, 2020","17.13","17.04","17.18","16.80","3.17M","0.76%"
"May 11, 2020","17.00","17.04","17.18","16.99","1.64M","-0.23%"
"May 08, 2020","17.04","17.45","17.50","16.90","3.91M","-2.13%"
"May 07, 2020","17.41","17.80","17.80","17.36","3.14M","-3.01%"
"May 06, 2020","17.95","18.22","18.25","17.67","3.81M","-1.37%"
"May 05, 2020","18.20","18.27","18.33","18.01","2.05M","0.05%"
"May 04, 2020","18.19","18.25","18.42","18.05","3.24M","-1.03%"
"Apr 30, 2020","18.38","18.40","18.59","18.21","7.26M","0.16%"
"Apr 29, 2020","18.35","18.20","18.46","18.20","2.77M","0.82%"
"Apr 28, 2020","18.20","18.42","18.54","18.19","3.12M","-0.87%"
"Apr 27, 2020","18.36","18.18","18.40","18.15","1.98M","1.72%"
"Apr 24, 2020","18.05","18.16","18.20","18.00","1.26M","-0.61%"
"Apr 22, 2020","18.16","18.30","18.38","17.96","2.07M","-0.71%"
"Apr 21, 2020","18.29","18.60","18.68","18.29","1.21M","-2.19%"
"Apr 20, 2020","18.70","18.52","18.72","18.45","1.83M","1.58%"
"Apr 17, 2020","18.41","18.65","18.65","18.37","1.63M","0.16%"
"Apr 16, 2020","18.38","18.06","18.55","18.06","2.90M","2.68%"
"Apr 15, 2020","17.90","18.73","18.74","17.70","2.43M","-4.43%"
"Apr 14, 2020","18.73","18.66","18.74","18.59","1.17M","1.08%"
"Apr 13, 2020","18.53","18.56","18.64","18.34","803.34K","-0.38%"
"Apr 10, 2020","18.60","18.66","18.70","18.55","1.01M","-0.32%"
"Apr 09, 2020","18.66","18.99","18.99","18.50","979.00K","1.14%"
"Apr 08, 2020","18.45","18.45","18.56","18.25","653.22K","0.38%"
"Apr 07, 2020","18.38","18.37","19.25","18.35","1.87M","0.82%"
"Apr 06, 2020","18.23","17.95","18.50","17.95","1.02M","1.79%"
"Apr 03, 2020","17.91","18.28","18.28","17.69","781.69K","-2.02%"
"Apr 02, 2020","18.28","17.60","18.28","17.41","858.42K","3.86%"
"Apr 01, 2020","17.60","17.22","17.60","16.98","3.50M","2.15%"
"Mar 31, 2020","17.23","17.39","17.63","17.09","1.07M","0.17%"
"Mar 30, 2020","17.20","17.42","17.68","17.17","686.79K","-1.15%"
"Mar 27, 2020","17.40","19.00","19.78","17.40","859.64K","-7.35%"
"Mar 26, 2020","18.78","19.05","19.29","18.54","485.39K","-1.42%"
"Mar 25, 2020","19.05","18.50","19.05","17.99","873.46K","4.67%"
"Mar 24, 2020","18.20","17.70","18.60","17.26","1.25M","6.93%"
