"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","6.38","6.50","6.54","6.35","108.21M","-1.09%"
"Nov 26, 2020","6.45","6.37","6.46","6.28","112.78M","2.38%"
"Nov 25, 2020","6.30","6.33","6.44","6.29","123.30M","0.32%"
"Nov 24, 2020","6.28","6.29","6.48","6.18","170.86M","0.32%"
"Nov 23, 2020","6.26","6.52","6.53","6.20","117.84M","-3.69%"
"Nov 20, 2020","6.50","6.49","6.57","6.40","205.85M","0.46%"
"Nov 19, 2020","6.47","6.27","6.67","6.11","505.78M","3.19%"
"Nov 18, 2020","6.27","6.01","6.30","6.01","287.82M","4.67%"
"Nov 17, 2020","5.99","6.28","6.28","5.98","193.34M","-5.07%"
"Nov 16, 2020","6.31","6.42","6.46","6.29","140.86M","0.00%"
"Nov 13, 2020","6.31","6.28","6.35","6.15","244.79M","1.12%"
"Nov 12, 2020","6.24","6.26","6.52","6.10","420.50M","0.32%"
"Nov 11, 2020","6.22","5.71","6.22","5.69","355.37M","9.89%"
"Nov 10, 2020","5.66","5.29","5.68","5.26","209.82M","5.20%"
"Nov 09, 2020","5.38","5.26","5.45","5.21","241.86M","7.17%"
"Nov 06, 2020","5.02","5.00","5.02","4.97","71.37M","0.20%"
"Nov 05, 2020","5.01","5.01","5.06","4.93","100.63M","0.20%"
"Nov 04, 2020","5.00","5.03","5.12","4.97","158.60M","-0.79%"
"Nov 03, 2020","5.04","4.84","5.07","4.78","156.45M","4.56%"
"Nov 02, 2020","4.82","4.81","4.90","4.77","83.80M","1.05%"
"Oct 30, 2020","4.77","4.86","4.86","4.75","80.49M","-2.45%"
"Oct 28, 2020","4.89","4.94","4.98","4.85","33.00M","-1.81%"
"Oct 27, 2020","4.98","4.88","4.98","4.84","78.33M","2.47%"
"Oct 26, 2020","4.86","5.01","5.01","4.85","79.71M","-3.95%"
"Oct 23, 2020","5.06","5.13","5.14","5.01","76.70M","-1.17%"
"Oct 22, 2020","5.12","5.42","5.45","5.12","172.85M","-5.19%"
"Oct 21, 2020","5.40","5.45","5.47","5.36","79.47M","0.19%"
"Oct 20, 2020","5.39","5.42","5.45","5.34","120.62M","-0.37%"
"Oct 19, 2020","5.41","5.24","5.44","5.22","188.78M","4.04%"
"Oct 16, 2020","5.20","5.11","5.22","5.09","82.94M","2.16%"
"Oct 15, 2020","5.09","5.14","5.15","5.06","65.74M","-1.36%"
"Oct 14, 2020","5.16","5.16","5.17","5.12","72.32M","0.19%"
"Oct 13, 2020","5.15","5.18","5.19","5.13","52.22M","-0.77%"
"Oct 12, 2020","5.19","5.18","5.21","5.15","72.57M","0.78%"
"Oct 09, 2020","5.15","5.08","5.16","5.05","74.72M","1.58%"
"Oct 08, 2020","5.07","5.09","5.09","5.00","71.39M","0.00%"
"Oct 07, 2020","5.07","5.11","5.12","5.06","75.46M","-1.36%"
"Oct 06, 2020","5.14","5.19","5.24","5.13","95.19M","-0.77%"
"Oct 05, 2020","5.18","5.18","5.20","5.16","50.89M","0.58%"
"Oct 02, 2020","5.15","5.15","5.19","5.12","93.97M","-0.39%"
"Oct 01, 2020","5.17","5.18","5.27","5.13","125.94M","0.39%"
"Sep 30, 2020","5.15","5.09","5.16","5.04","94.28M","3.21%"
"Sep 29, 2020","4.99","5.03","5.08","4.94","84.34M","-0.60%"
"Sep 28, 2020","5.02","5.12","5.14","5.00","87.13M","-1.57%"
"Sep 25, 2020","5.10","5.17","5.21","5.09","150.14M","1.19%"
"Sep 24, 2020","5.04","4.74","5.06","4.74","229.86M","5.88%"
"Sep 23, 2020","4.76","4.76","4.83","4.74","62.91M","0.42%"
"Sep 22, 2020","4.74","4.73","4.77","4.71","44.19M","0.42%"
"Sep 21, 2020","4.72","4.87","4.88","4.70","70.84M","-3.08%"
"Sep 18, 2020","4.87","4.88","4.90","4.84","46.77M","0.00%"
"Sep 17, 2020","4.87","4.86","4.89","4.85","41.96M","-0.41%"
"Sep 16, 2020","4.89","4.89","4.91","4.87","27.49M","0.00%"
"Sep 15, 2020","4.89","4.90","4.92","4.85","48.19M","0.00%"
"Sep 14, 2020","4.89","4.93","4.93","4.89","35.41M","-0.61%"
"Sep 11, 2020","4.92","4.94","4.96","4.90","46.52M","-0.20%"
"Sep 10, 2020","4.93","4.91","4.99","4.88","106.65M","0.82%"
"Sep 09, 2020","4.89","4.89","4.92","4.88","38.88M","-0.20%"
"Sep 08, 2020","4.90","4.95","4.96","4.88","57.52M","-0.61%"
"Sep 07, 2020","4.93","4.93","4.95","4.89","42.31M","0.20%"
"Sep 04, 2020","4.92","4.88","4.93","4.87","51.16M","0.82%"
"Sep 03, 2020","4.88","4.94","4.97","4.88","67.04M","-0.81%"
"Sep 02, 2020","4.92","4.96","4.98","4.89","85.78M","-0.61%"
"Sep 01, 2020","4.95","4.91","4.97","4.83","92.69M","1.23%"
"Aug 31, 2020","4.89","5.04","5.04","4.87","73.27M","-2.40%"
"Aug 28, 2020","5.01","5.05","5.06","4.97","73.62M","-0.40%"
"Aug 27, 2020","5.03","5.01","5.06","4.99","66.72M","1.41%"
"Aug 26, 2020","4.96","4.88","5.00","4.85","94.42M","1.64%"
"Aug 25, 2020","4.88","5.02","5.05","4.86","83.32M","-2.40%"
"Aug 24, 2020","5.00","5.08","5.09","5.00","62.64M","-1.38%"
"Aug 21, 2020","5.07","5.12","5.22","5.03","211.83M","-0.20%"
"Aug 20, 2020","5.08","5.14","5.14","5.05","107.27M","-1.55%"
"Aug 19, 2020","5.16","5.07","5.16","5.05","141.28M","2.18%"
"Aug 18, 2020","5.05","5.00","5.10","4.98","109.50M","1.20%"
"Aug 17, 2020","4.99","4.92","5.04","4.89","89.66M","1.22%"
"Aug 14, 2020","4.93","4.98","4.99","4.88","90.41M","-1.79%"
"Aug 13, 2020","5.02","5.07","5.11","4.99","136.55M","-0.59%"
"Aug 12, 2020","5.05","5.08","5.13","4.96","185.55M","-0.39%"
"Aug 11, 2020","5.07","4.78","5.08","4.77","244.15M","6.51%"
"Aug 10, 2020","4.76","4.72","4.79","4.68","97.41M","0.00%"
"Aug 07, 2020","4.76","4.70","4.77","4.53","192.67M","1.28%"
"Aug 06, 2020","4.70","5.02","5.02","4.70","242.23M","-6.37%"
"Aug 05, 2020","5.02","5.09","5.11","4.99","193.60M","-0.59%"
"Aug 04, 2020","5.05","5.30","5.32","4.97","147.61M","-3.63%"
"Jul 30, 2020","5.24","5.31","5.34","5.21","66.18M","-1.32%"
"Jul 29, 2020","5.31","5.53","5.55","5.26","108.01M","-3.45%"
"Jul 28, 2020","5.50","5.72","5.72","5.49","72.97M","-3.85%"
