"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","10.63","10.83","10.90","10.54","2.22M","-1.67%"
"Nov 26, 2020","10.81","10.79","11.08","10.71","5.83M","0.75%"
"Nov 25, 2020","10.73","11.08","11.08","10.70","3.69M","-2.45%"
"Nov 24, 2020","11.00","10.77","11.07","10.70","4.76M","2.71%"
"Nov 23, 2020","10.71","10.76","10.99","10.52","4.71M","-0.46%"
"Nov 20, 2020","10.76","10.48","11.08","10.46","8.12M","2.57%"
"Nov 19, 2020","10.49","10.00","10.54","9.93","12.02M","4.69%"
"Nov 18, 2020","10.02","9.90","10.23","9.84","11.68M","1.11%"
"Nov 17, 2020","9.91","9.89","10.09","9.64","9.15M","0.00%"
"Nov 16, 2020","9.91","9.99","10.16","9.79","14.50M","0.00%"
"Nov 13, 2020","9.91","10.00","10.26","9.88","5.93M","-0.30%"
"Nov 12, 2020","9.94","9.45","10.06","9.27","7.53M","5.63%"
"Nov 11, 2020","9.41","9.33","9.59","9.22","5.51M","1.07%"
"Nov 10, 2020","9.31","9.25","9.55","9.15","4.60M","-0.11%"
"Nov 09, 2020","9.32","9.29","9.44","9.25","7.11M","3.44%"
"Nov 06, 2020","9.01","8.70","9.23","8.61","9.42M","3.80%"
"Nov 05, 2020","8.68","8.46","9.04","8.43","11.86M","3.21%"
"Nov 04, 2020","8.41","8.25","8.48","8.23","4.67M","2.19%"
"Nov 03, 2020","8.23","8.50","8.53","8.08","5.10M","-2.60%"
"Nov 02, 2020","8.45","8.13","8.45","8.03","6.97M","4.71%"
"Oct 30, 2020","8.07","7.88","8.23","7.75","4.84M","2.15%"
"Oct 28, 2020","7.90","7.98","8.06","7.88","1.28M","-1.99%"
"Oct 27, 2020","8.06","7.93","8.07","7.67","5.19M","2.15%"
"Oct 26, 2020","7.89","8.47","8.50","7.76","7.37M","-6.85%"
"Oct 23, 2020","8.47","8.23","8.54","8.23","7.82M","3.29%"
"Oct 22, 2020","8.20","8.38","8.40","8.20","4.57M","-2.38%"
"Oct 21, 2020","8.40","8.22","8.49","8.20","9.24M","2.94%"
"Oct 20, 2020","8.16","8.22","8.33","8.13","6.34M","0.00%"
"Oct 19, 2020","8.16","8.09","8.20","7.94","6.90M","1.37%"
"Oct 16, 2020","8.05","7.92","8.15","7.87","7.95M","2.68%"
"Oct 15, 2020","7.84","8.19","8.27","7.78","12.58M","-4.27%"
"Oct 14, 2020","8.19","8.21","8.42","8.15","8.40M","0.61%"
"Oct 13, 2020","8.14","8.08","8.21","7.85","9.64M","2.26%"
"Oct 12, 2020","7.96","8.12","8.19","7.96","8.07M","-1.00%"
"Oct 09, 2020","8.04","8.33","8.36","8.02","10.64M","-1.95%"
"Oct 08, 2020","8.20","8.30","8.53","8.05","18.15M","-0.97%"
"Oct 07, 2020","8.28","8.14","8.67","7.89","26.32M","2.99%"
"Oct 06, 2020","8.04","7.34","8.04","7.31","32.93M","9.99%"
"Oct 05, 2020","7.31","7.30","7.43","7.28","3.80M","0.55%"
"Oct 02, 2020","7.27","7.16","7.38","7.15","7.64M","1.39%"
"Oct 01, 2020","7.17","7.18","7.25","7.14","3.95M","0.56%"
"Sep 30, 2020","7.13","7.10","7.26","7.08","6.04M","2.00%"
"Sep 29, 2020","6.99","6.97","7.15","6.93","4.21M","0.72%"
"Sep 28, 2020","6.94","7.02","7.05","6.91","2.96M","-1.28%"
"Sep 25, 2020","7.03","7.03","7.14","7.00","2.88M","0.57%"
"Sep 24, 2020","6.99","7.02","7.06","6.95","2.72M","-0.43%"
"Sep 23, 2020","7.02","7.03","7.22","7.02","4.35M","0.14%"
"Sep 22, 2020","7.01","7.00","7.17","6.98","5.81M","1.59%"
"Sep 21, 2020","6.90","6.85","7.53","6.78","57.49M","0.73%"
