"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","7.110","7.100","7.230","7.090","842.63K","0.28%"
"Nov 26, 2020","7.090","7.110","7.180","7.060","588.54K","0.14%"
"Nov 25, 2020","7.080","7.190","7.270","7.080","529.74K","-1.26%"
"Nov 24, 2020","7.170","7.170","7.200","7.100","618.88K","0.00%"
"Nov 23, 2020","7.170","7.160","7.270","6.990","1.10M","0.00%"
"Nov 20, 2020","7.170","6.930","7.210","6.900","1.66M","3.31%"
"Nov 19, 2020","6.940","7.000","7.090","6.880","1.56M","-0.86%"
"Nov 18, 2020","7.000","6.950","7.000","6.880","894.17K","0.57%"
"Nov 17, 2020","6.960","6.960","7.080","6.800","1.54M","0.00%"
"Nov 16, 2020","6.960","7.090","7.110","6.930","1.05M","-1.56%"
"Nov 13, 2020","7.070","6.990","7.070","6.850","747.03K","1.00%"
"Nov 12, 2020","7.000","7.110","7.140","6.760","1.18M","-0.28%"
"Nov 11, 2020","7.020","7.000","7.020","6.920","776.10K","1.15%"
"Nov 10, 2020","6.940","6.910","7.040","6.810","1.45M","1.31%"
"Nov 09, 2020","6.850","6.740","6.850","6.690","1.10M","2.54%"
"Nov 06, 2020","6.680","6.700","6.790","6.630","193.49K","-0.30%"
"Nov 05, 2020","6.700","6.650","6.850","6.620","1.07M","0.60%"
"Nov 04, 2020","6.660","6.630","6.680","6.580","578.86K","0.15%"
"Nov 03, 2020","6.650","6.570","6.650","6.360","744.04K","1.68%"
"Nov 02, 2020","6.540","6.790","6.790","6.490","746.41K","-1.65%"
"Oct 30, 2020","6.650","6.800","6.800","6.570","527.56K","-2.21%"
"Oct 28, 2020","6.800","6.820","6.840","6.570","310.78K","0.00%"
"Oct 27, 2020","6.800","6.580","6.800","6.470","420.54K","3.03%"
"Oct 26, 2020","6.600","7.110","7.110","6.580","917.32K","-7.43%"
"Oct 23, 2020","7.130","7.320","7.320","7.050","502.88K","-2.60%"
"Oct 22, 2020","7.320","7.100","7.320","6.990","2.75M","3.10%"
"Oct 21, 2020","7.100","7.100","7.480","7.000","1.31M","0.28%"
"Oct 20, 2020","7.080","7.060","7.130","6.980","671.11K","0.57%"
"Oct 19, 2020","7.040","7.100","7.150","7.040","517.55K","-0.56%"
"Oct 16, 2020","7.080","7.070","7.100","7.020","450.57K","0.14%"
"Oct 15, 2020","7.070","6.890","7.110","6.890","1.60M","2.46%"
"Oct 14, 2020","6.900","6.870","6.970","6.860","364.93K","0.44%"
"Oct 13, 2020","6.870","6.870","6.910","6.840","470.89K","0.29%"
"Oct 12, 2020","6.850","6.920","6.920","6.850","459.91K","-0.44%"
"Oct 09, 2020","6.880","6.960","6.980","6.830","1.70M","-1.15%"
"Oct 08, 2020","6.960","7.030","7.030","6.930","655.20K","0.00%"
"Oct 07, 2020","6.960","6.910","7.020","6.910","574.80K","0.00%"
"Oct 06, 2020","6.960","6.920","7.050","6.880","913.73K","0.14%"
"Oct 05, 2020","6.950","6.790","6.950","6.730","983.45K","2.21%"
"Oct 02, 2020","6.800","6.840","6.840","6.630","612.46K","-0.73%"
"Oct 01, 2020","6.850","6.960","7.040","6.830","925.24K","-1.44%"
"Sep 30, 2020","6.950","6.780","6.950","6.580","874.86K","3.42%"
"Sep 29, 2020","6.720","6.390","6.800","6.390","1.16M","4.35%"
"Sep 28, 2020","6.440","6.550","6.560","6.380","385.57K","-0.77%"
"Sep 25, 2020","6.490","6.450","6.520","6.380","429.66K","0.62%"
"Sep 24, 2020","6.450","6.320","6.450","6.270","696.01K","1.90%"
"Sep 23, 2020","6.330","6.320","6.350","6.260","1.06M","0.32%"
"Sep 22, 2020","6.310","6.340","6.980","6.300","2.96M","-0.63%"
"Sep 21, 2020","6.350","6.480","6.500","6.310","362.33K","-1.40%"
"Sep 18, 2020","6.440","6.400","6.500","6.340","520.07K","0.78%"
"Sep 17, 2020","6.390","6.290","6.420","6.250","593.50K","1.43%"
"Sep 16, 2020","6.300","6.250","6.300","6.180","216.81K","0.96%"
"Sep 15, 2020","6.240","6.270","6.320","6.230","138.78K","-0.32%"
"Sep 14, 2020","6.260","6.260","6.350","6.250","56.41K","0.00%"
"Sep 11, 2020","6.260","6.250","6.270","6.240","101.58K","0.00%"
"Sep 10, 2020","6.260","6.290","6.290","6.210","265.68K","-0.79%"
"Sep 09, 2020","6.310","6.270","6.310","6.240","201.05K","0.80%"
"Sep 08, 2020","6.260","6.310","6.320","6.250","127.16K","-0.48%"
"Sep 07, 2020","6.290","6.320","6.340","6.270","350.45K","0.16%"
"Sep 04, 2020","6.280","6.290","6.320","6.250","150.10K","-0.16%"
"Sep 03, 2020","6.290","6.350","6.370","6.290","222.03K","-0.94%"
"Sep 02, 2020","6.350","6.450","6.450","6.350","156.04K","-1.24%"
"Sep 01, 2020","6.430","6.390","6.520","6.340","128.70K","0.63%"
"Aug 31, 2020","6.390","6.270","6.460","6.240","364.54K","1.43%"
"Aug 28, 2020","6.300","6.320","6.320","6.220","234.39K","0.00%"
"Aug 27, 2020","6.300","6.230","6.300","6.210","209.28K","0.80%"
"Aug 26, 2020","6.250","6.290","6.290","6.210","312.88K","-0.79%"
"Aug 25, 2020","6.300","6.280","6.300","6.200","235.74K","0.48%"
"Aug 24, 2020","6.270","6.280","6.350","6.240","261.23K","-0.16%"
"Aug 21, 2020","6.280","6.420","6.420","6.280","157.05K","-1.26%"
"Aug 20, 2020","6.360","6.340","6.360","6.250","175.88K","0.16%"
"Aug 19, 2020","6.350","6.180","6.370","6.170","247.99K","3.08%"
"Aug 18, 2020","6.160","6.100","6.190","6.100","97.95K","0.16%"
"Aug 17, 2020","6.150","6.090","6.150","6.050","188.88K","0.65%"
"Aug 14, 2020","6.110","6.170","6.170","6.060","431.02K","-1.61%"
"Aug 13, 2020","6.210","6.260","6.270","6.160","286.39K","-0.80%"
"Aug 12, 2020","6.260","6.270","6.310","6.220","238.03K","-1.11%"
"Aug 11, 2020","6.330","6.200","6.330","6.180","354.58K","2.10%"
"Aug 10, 2020","6.200","6.130","6.200","6.000","153.58K","1.14%"
"Aug 07, 2020","6.130","6.020","6.130","5.740","385.72K","1.49%"
"Aug 06, 2020","6.040","6.250","6.250","6.000","447.01K","-3.67%"
"Aug 05, 2020","6.270","6.220","6.270","6.060","565.66K","0.64%"
"Aug 04, 2020","6.230","6.390","6.400","5.910","1.05M","-2.50%"
"Jul 30, 2020","6.390","6.350","6.390","6.230","512.44K","0.00%"
"Jul 29, 2020","6.390","6.400","6.400","6.160","956.08K","0.16%"
"Jul 28, 2020","6.380","6.580","6.640","6.380","661.63K","-3.33%"
"Jul 27, 2020","6.600","6.590","6.800","6.570","336.10K","0.00%"
"Jul 24, 2020","6.600","6.470","6.690","6.430","302.43K","2.01%"
"Jul 23, 2020","6.470","6.450","6.470","6.390","316.23K","0.31%"
"Jul 22, 2020","6.450","6.430","6.450","6.340","630.03K","0.00%"
"Jul 21, 2020","6.450","6.530","6.590","6.390","653.59K","-0.77%"
"Jul 20, 2020","6.500","6.550","6.600","6.440","370.84K","0.46%"
"Jul 17, 2020","6.470","6.480","6.520","6.360","1.35M","0.00%"
"Jul 16, 2020","6.470","6.470","6.590","6.470","535.71K","0.15%"
"Jul 14, 2020","6.460","6.450","6.600","6.400","1.05M","-0.15%"
"Jul 13, 2020","6.470","6.320","6.490","6.320","388.90K","2.21%"
"Jul 10, 2020","6.330","6.340","6.340","6.140","503.93K","-0.63%"
"Jul 09, 2020","6.370","6.390","6.440","6.220","494.95K","-0.31%"
"Jul 08, 2020","6.390","6.450","6.450","6.360","426.19K","-0.93%"
"Jul 07, 2020","6.450","6.480","6.490","6.300","648.35K","0.31%"
"Jul 06, 2020","6.430","6.410","6.530","6.400","649.00K","1.10%"
"Jul 03, 2020","6.360","6.390","6.490","6.360","263.87K","-0.16%"
"Jul 02, 2020","6.370","6.230","6.510","6.230","608.64K","2.08%"
"Jul 01, 2020","6.240","6.210","6.250","6.160","359.42K","0.97%"
"Jun 30, 2020","6.180","6.190","6.240","6.170","158.12K","0.32%"
"Jun 29, 2020","6.160","6.190","6.330","6.140","3.56M","-0.16%"
"Jun 26, 2020","6.170","6.180","6.200","6.130","116.48K","0.16%"
"Jun 25, 2020","6.160","6.180","6.190","6.130","140.28K","-0.32%"
