"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","12.140","11.850","12.660","11.630","5.07M","2.45%"
"Nov 26, 2020","11.850","10.820","11.850","10.790","4.26M","9.93%"
"Nov 25, 2020","10.780","11.290","11.650","10.530","2.94M","-4.52%"
"Nov 24, 2020","11.290","11.840","12.050","11.250","2.39M","-4.32%"
"Nov 23, 2020","11.800","11.890","12.340","11.370","4.55M","-0.76%"
"Nov 20, 2020","11.890","11.020","12.070","10.960","6.64M","8.29%"
"Nov 19, 2020","10.980","11.490","11.630","10.700","4.57M","-4.02%"
"Nov 18, 2020","11.440","10.500","11.440","10.420","5.95M","10.00%"
"Nov 17, 2020","10.400","10.280","10.480","10.040","1.53M","1.17%"
"Nov 16, 2020","10.280","10.490","10.660","10.240","957.45K","-2.00%"
"Nov 13, 2020","10.490","10.060","10.750","10.050","2.77M","4.27%"
"Nov 12, 2020","10.060","10.250","10.400","9.930","1.12M","-1.76%"
"Nov 11, 2020","10.240","10.300","10.300","10.140","703.83K","0.69%"
"Nov 10, 2020","10.170","10.210","10.350","10.140","730.22K","-0.49%"
"Nov 09, 2020","10.220","9.900","10.340","9.880","1.38M","3.23%"
"Nov 06, 2020","9.900","10.020","10.030","9.840","461.13K","-0.70%"
"Nov 05, 2020","9.970","9.830","10.100","9.770","904.10K","1.73%"
"Nov 04, 2020","9.800","9.420","9.830","9.360","1.33M","4.03%"
"Nov 03, 2020","9.420","9.230","9.640","9.140","696.67K","2.06%"
"Nov 02, 2020","9.230","9.010","9.340","8.860","911.70K","2.56%"
"Oct 30, 2020","9.000","8.800","9.200","8.400","349.97K","-0.99%"
"Oct 28, 2020","9.090","9.200","9.280","9.040","277.49K","-1.20%"
"Oct 27, 2020","9.200","8.800","9.340","8.700","1.01M","2.22%"
"Oct 26, 2020","9.000","9.950","9.950","9.000","882.71K","-9.91%"
"Oct 23, 2020","9.990","10.010","10.180","9.760","722.34K","-0.20%"
"Oct 22, 2020","10.010","10.300","10.350","9.890","1.21M","-2.72%"
"Oct 21, 2020","10.290","10.590","10.690","10.180","1.32M","-2.00%"
"Oct 20, 2020","10.500","10.360","11.070","10.170","4.62M","2.54%"
"Oct 19, 2020","10.240","10.170","10.440","10.140","1.73M","1.09%"
"Oct 16, 2020","10.130","10.040","10.400","10.030","1.57M","1.10%"
"Oct 15, 2020","10.020","10.100","10.150","9.930","808.21K","-0.30%"
"Oct 14, 2020","10.050","9.960","10.190","9.900","1.23M","0.90%"
"Oct 13, 2020","9.960","10.090","10.090","9.830","564.01K","-0.60%"
"Oct 12, 2020","10.020","10.030","10.260","9.970","1.36M","0.40%"
"Oct 09, 2020","9.980","10.100","10.150","9.860","1.11M","-0.80%"
"Oct 08, 2020","10.060","10.260","10.350","10.000","581.47K","-1.57%"
"Oct 07, 2020","10.220","10.390","10.430","10.160","555.94K","-1.26%"
"Oct 06, 2020","10.350","10.490","10.560","10.210","1.18M","-1.05%"
"Oct 05, 2020","10.460","10.260","10.600","10.250","1.37M","2.05%"
"Oct 02, 2020","10.250","10.270","10.550","10.150","1.68M","-0.19%"
"Oct 01, 2020","10.270","10.200","10.440","9.790","2.16M","0.69%"
"Sep 30, 2020","10.200","10.620","11.330","9.990","4.81M","-2.21%"
"Sep 29, 2020","10.430","9.480","10.430","9.440","5.70M","9.91%"
"Sep 28, 2020","9.490","9.010","9.550","8.940","3.13M","5.80%"
"Sep 25, 2020","8.970","9.030","9.290","8.910","1.74M","-1.21%"
"Sep 24, 2020","9.080","9.210","9.280","9.000","1.18M","-1.30%"
"Sep 23, 2020","9.200","9.330","9.420","9.200","1.46M","-1.08%"
"Sep 22, 2020","9.300","9.360","9.410","9.200","1.09M","-0.21%"
"Sep 21, 2020","9.320","9.470","9.470","9.150","1.04M","-1.48%"
"Sep 18, 2020","9.460","9.470","9.490","9.240","937.88K","0.42%"
"Sep 17, 2020","9.420","9.700","9.930","9.370","2.99M","-2.89%"
"Sep 16, 2020","9.700","9.240","9.900","9.240","3.89M","4.98%"
"Sep 15, 2020","9.240","9.300","9.560","9.220","2.00M","-0.65%"
"Sep 14, 2020","9.300","9.400","9.480","9.200","1.06M","-0.85%"
"Sep 11, 2020","9.380","9.310","9.690","9.180","3.83M","0.75%"
"Sep 10, 2020","9.310","8.950","9.470","8.950","4.07M","4.02%"
"Sep 09, 2020","8.950","9.130","9.250","8.950","1.39M","-2.19%"
"Sep 08, 2020","9.150","9.350","9.500","9.150","2.26M","-2.56%"
"Sep 07, 2020","9.390","9.660","9.920","9.320","3.57M","-1.98%"
"Sep 04, 2020","9.580","8.910","9.710","8.850","5.52M","7.16%"
"Sep 03, 2020","8.940","9.200","9.870","8.750","10.48M","-2.30%"
"Sep 02, 2020","9.150","8.320","9.150","8.210","4.26M","9.98%"
"Sep 01, 2020","8.320","8.580","8.600","8.190","1.12M","-2.58%"
"Aug 31, 2020","8.540","8.590","8.930","8.490","2.07M","-0.47%"
"Aug 28, 2020","8.580","8.150","8.870","8.080","3.73M","5.93%"
"Aug 27, 2020","8.100","8.180","8.300","8.000","1.69M","0.00%"
"Aug 26, 2020","8.100","8.340","8.410","7.990","1.71M","-2.99%"
"Aug 25, 2020","8.350","8.580","8.650","8.200","1.10M","-2.11%"
"Aug 24, 2020","8.530","8.870","8.910","8.480","2.71M","-3.62%"
