"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","69.85","70.30","70.75","69.50","2.39M","-0.64%"
"Nov 26, 2020","70.30","69.55","70.45","69.25","3.11M","1.15%"
"Nov 25, 2020","69.50","68.80","69.70","68.80","2.98M","1.24%"
"Nov 24, 2020","68.65","69.45","69.90","68.65","3.18M","-1.29%"
"Nov 23, 2020","69.55","69.65","70.20","69.15","2.87M","-0.07%"
"Nov 20, 2020","69.60","70.00","70.50","69.55","2.96M","-0.57%"
"Nov 19, 2020","70.00","70.50","71.30","69.50","3.91M","-0.92%"
"Nov 18, 2020","70.65","70.55","70.70","69.10","3.79M","1.00%"
"Nov 17, 2020","69.95","69.35","71.20","69.35","7.12M","1.75%"
"Nov 16, 2020","68.75","69.10","69.50","68.65","2.17M","-0.22%"
"Nov 13, 2020","68.90","68.65","69.15","68.35","2.13M","0.58%"
"Nov 12, 2020","68.50","69.05","69.70","68.50","3.99M","-0.72%"
"Nov 11, 2020","69.00","69.00","69.95","68.70","3.58M","0.00%"
"Nov 10, 2020","69.00","70.40","70.85","69.00","3.50M","-1.99%"
"Nov 09, 2020","70.40","71.70","71.70","68.95","4.43M","0.57%"
"Nov 06, 2020","70.00","69.10","70.00","68.80","3.04M","1.45%"
"Nov 05, 2020","69.00","69.00","69.35","68.35","2.29M","0.00%"
"Nov 04, 2020","69.00","68.40","69.30","68.30","2.20M","1.17%"
"Nov 03, 2020","68.20","67.45","68.55","67.35","3.25M","1.49%"
"Nov 02, 2020","67.20","67.20","69.00","66.90","3.28M","0.60%"
"Oct 30, 2020","66.80","68.50","69.25","66.10","4.62M","-2.48%"
"Oct 28, 2020","68.50","70.55","70.55","68.50","1.30M","-2.97%"
"Oct 27, 2020","70.60","69.85","72.05","69.55","3.39M","0.57%"
"Oct 26, 2020","70.20","69.85","71.75","69.30","4.68M","0.00%"
"Oct 23, 2020","70.20","72.95","72.95","70.15","4.46M","-3.77%"
"Oct 22, 2020","72.95","70.40","73.10","70.35","7.06M","3.99%"
"Oct 21, 2020","70.15","69.55","70.35","69.25","2.91M","1.23%"
"Oct 20, 2020","69.30","68.95","69.90","68.50","5.37M","1.02%"
"Oct 19, 2020","68.60","69.95","70.05","68.45","3.11M","-1.58%"
"Oct 16, 2020","69.70","69.50","69.80","69.00","2.14M","0.36%"
"Oct 15, 2020","69.45","68.95","70.00","68.80","3.45M","0.65%"
"Oct 14, 2020","69.00","68.90","69.20","68.30","2.44M","0.22%"
"Oct 13, 2020","68.85","70.00","70.10","68.85","2.92M","-1.64%"
"Oct 12, 2020","70.00","70.05","71.00","69.85","3.36M","0.00%"
"Oct 09, 2020","70.00","69.30","70.00","69.10","2.15M","1.08%"
"Oct 08, 2020","69.25","68.90","69.55","68.80","3.10M","0.51%"
"Oct 07, 2020","68.90","69.15","69.45","68.80","2.21M","-0.79%"
"Oct 06, 2020","69.45","70.60","70.75","69.45","3.04M","-1.21%"
"Oct 05, 2020","70.30","69.40","70.40","69.40","1.74M","1.37%"
"Oct 02, 2020","69.35","69.80","69.80","69.10","1.26M","-0.79%"
"Oct 01, 2020","69.90","70.00","70.85","69.30","2.40M","0.43%"
"Sep 30, 2020","69.60","68.95","69.90","68.80","3.18M","1.31%"
"Sep 29, 2020","68.70","68.60","69.00","68.00","2.82M","0.44%"
"Sep 28, 2020","68.40","69.00","69.60","68.35","3.02M","-1.16%"
"Sep 25, 2020","69.20","69.20","70.45","69.20","3.09M","0.29%"
"Sep 24, 2020","69.00","68.30","69.20","68.15","2.02M","0.73%"
"Sep 23, 2020","68.50","69.60","69.60","68.35","1.98M","-0.72%"
"Sep 22, 2020","69.00","68.55","69.90","68.55","3.12M","0.29%"
"Sep 21, 2020","68.80","69.90","70.25","68.80","2.31M","-1.92%"
"Sep 18, 2020","70.15","70.10","70.35","69.60","2.04M","-0.07%"
"Sep 17, 2020","70.20","71.30","71.30","68.80","2.46M","0.86%"
"Sep 16, 2020","69.60","70.30","71.45","69.60","2.55M","-0.71%"
"Sep 15, 2020","70.10","70.20","71.85","69.05","4.04M","-0.28%"
"Sep 14, 2020","70.30","69.30","70.55","68.75","2.85M","1.44%"
"Sep 11, 2020","69.30","67.70","69.40","67.70","3.32M","2.36%"
"Sep 10, 2020","67.70","68.30","68.60","67.20","2.40M","-0.73%"
"Sep 09, 2020","68.20","67.55","68.60","67.45","2.46M","0.96%"
"Sep 08, 2020","67.55","67.70","67.95","67.20","2.07M","-0.22%"
"Sep 07, 2020","67.70","68.10","68.20","67.30","1.64M","-0.07%"
"Sep 04, 2020","67.75","67.40","68.35","67.15","2.08M","0.44%"
