"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","2.440","2.480","2.510","2.430","49.62M","-1.21%"
"Nov 26, 2020","2.470","2.480","2.490","2.440","48.85M","0.00%"
"Nov 25, 2020","2.470","2.530","2.550","2.460","72.03M","-1.98%"
"Nov 24, 2020","2.520","2.570","2.580","2.490","66.81M","-1.56%"
"Nov 23, 2020","2.560","2.580","2.600","2.540","62.39M","0.00%"
"Nov 20, 2020","2.560","2.560","2.600","2.550","60.91M","0.00%"
"Nov 19, 2020","2.560","2.590","2.590","2.500","98.09M","-1.16%"
"Nov 18, 2020","2.590","2.560","2.600","2.550","71.06M","1.97%"
"Nov 17, 2020","2.540","2.630","2.650","2.540","86.99M","-3.79%"
"Nov 16, 2020","2.640","2.620","2.660","2.620","62.12M","1.54%"
"Nov 13, 2020","2.600","2.550","2.640","2.550","88.80M","2.36%"
"Nov 12, 2020","2.540","2.620","2.630","2.540","111.16M","-2.68%"
"Nov 11, 2020","2.610","2.590","2.640","2.570","142.76M","1.16%"
"Nov 10, 2020","2.580","2.570","2.610","2.560","49.69M","0.39%"
"Nov 09, 2020","2.570","2.600","2.620","2.560","149.36M","0.00%"
"Nov 06, 2020","2.570","2.600","2.620","2.540","143.78M","-1.15%"
"Nov 05, 2020","2.600","2.470","2.610","2.450","251.44M","5.26%"
"Nov 04, 2020","2.470","2.440","2.490","2.410","92.57M","1.65%"
"Nov 03, 2020","2.430","2.450","2.510","2.380","221.17M","-0.41%"
"Nov 02, 2020","2.440","2.450","2.470","2.430","55.10M","0.41%"
"Oct 30, 2020","2.430","2.340","2.430","2.330","82.72M","2.97%"
"Oct 28, 2020","2.360","2.360","2.390","2.340","43.73M","-0.42%"
"Oct 27, 2020","2.370","2.350","2.400","2.300","140.23M","0.85%"
"Oct 26, 2020","2.350","2.490","2.530","2.350","131.85M","-5.62%"
"Oct 23, 2020","2.490","2.460","2.500","2.430","97.20M","2.05%"
"Oct 22, 2020","2.440","2.470","2.520","2.400","121.45M","-0.81%"
"Oct 21, 2020","2.460","2.470","2.480","2.450","36.07M","0.00%"
"Oct 20, 2020","2.460","2.430","2.480","2.420","84.59M","1.23%"
"Oct 19, 2020","2.430","2.460","2.470","2.420","59.21M","-1.22%"
"Oct 16, 2020","2.460","2.480","2.490","2.440","46.02M","-0.40%"
"Oct 15, 2020","2.470","2.470","2.480","2.440","40.45M","0.41%"
"Oct 14, 2020","2.460","2.470","2.500","2.450","60.76M","0.00%"
"Oct 13, 2020","2.460","2.460","2.500","2.440","51.70M","0.00%"
"Oct 12, 2020","2.460","2.460","2.470","2.440","29.12M","0.41%"
"Oct 09, 2020","2.450","2.480","2.530","2.450","133.26M","-1.21%"
"Oct 08, 2020","2.480","2.440","2.480","2.380","87.95M","2.06%"
"Oct 07, 2020","2.430","2.390","2.430","2.380","49.99M","1.67%"
"Oct 06, 2020","2.390","2.430","2.460","2.390","54.82M","-1.65%"
"Oct 05, 2020","2.430","2.430","2.470","2.420","71.42M","0.41%"
"Oct 02, 2020","2.420","2.410","2.440","2.400","46.40M","0.41%"
"Oct 01, 2020","2.410","2.380","2.450","2.350","147.13M","1.69%"
"Sep 30, 2020","2.370","2.360","2.390","2.350","53.03M","1.28%"
"Sep 29, 2020","2.340","2.320","2.370","2.310","96.83M","0.86%"
"Sep 28, 2020","2.320","2.350","2.370","2.310","89.13M","-0.85%"
"Sep 25, 2020","2.340","2.370","2.380","2.310","104.45M","-0.43%"
"Sep 24, 2020","2.350","2.300","2.410","2.290","135.98M","1.73%"
"Sep 23, 2020","2.310","2.330","2.350","2.300","73.41M","0.43%"
"Sep 22, 2020","2.300","2.300","2.320","2.270","86.45M","0.44%"
"Sep 21, 2020","2.290","2.320","2.360","2.280","122.42M","-1.29%"
"Sep 18, 2020","2.320","2.260","2.340","2.250","146.46M","2.65%"
"Sep 17, 2020","2.260","2.200","2.300","2.200","136.98M","2.26%"
"Sep 16, 2020","2.210","2.240","2.260","2.210","56.31M","-0.90%"
"Sep 15, 2020","2.230","2.150","2.240","2.150","161.58M","3.72%"
"Sep 14, 2020","2.150","2.170","2.180","2.140","25.84M","-0.46%"
"Sep 11, 2020","2.160","2.170","2.190","2.160","30.68M","0.00%"
"Sep 10, 2020","2.160","2.170","2.200","2.150","46.68M","0.47%"
"Sep 09, 2020","2.150","2.130","2.170","2.130","36.22M","0.94%"
"Sep 08, 2020","2.130","2.160","2.170","2.120","35.84M","-0.93%"
"Sep 07, 2020","2.150","2.160","2.170","2.130","35.72M","0.00%"
"Sep 04, 2020","2.150","2.150","2.170","2.140","31.93M","-0.46%"
"Sep 03, 2020","2.160","2.120","2.180","2.120","48.59M","2.37%"
"Sep 02, 2020","2.110","2.120","2.140","2.100","35.44M","0.00%"
"Sep 01, 2020","2.110","2.110","2.120","2.050","42.60M","0.48%"
"Aug 31, 2020","2.100","2.130","2.130","2.060","61.60M","-0.94%"
"Aug 28, 2020","2.120","2.160","2.180","2.100","51.21M","-1.40%"
"Aug 27, 2020","2.150","2.150","2.190","2.130","69.54M","0.94%"
"Aug 26, 2020","2.130","2.050","2.140","2.030","70.06M","3.90%"
"Aug 25, 2020","2.050","2.120","2.120","2.030","55.53M","-2.38%"
"Aug 24, 2020","2.100","2.130","2.150","2.100","40.85M","0.00%"
"Aug 21, 2020","2.100","2.160","2.180","2.080","78.61M","-1.87%"
"Aug 20, 2020","2.140","2.080","2.160","2.070","117.12M","2.88%"
"Aug 19, 2020","2.080","2.050","2.090","2.050","57.59M","1.46%"
"Aug 18, 2020","2.050","2.040","2.080","2.020","51.09M","0.49%"
"Aug 17, 2020","2.040","2.050","2.070","2.020","46.84M","0.00%"
"Aug 14, 2020","2.040","2.020","2.120","2.020","155.52M","0.49%"
"Aug 13, 2020","2.030","2.050","2.080","2.000","76.96M","-0.49%"
"Aug 12, 2020","2.040","2.030","2.070","1.990","59.35M","0.49%"
"Aug 11, 2020","2.030","1.980","2.030","1.960","56.87M","3.57%"
"Aug 10, 2020","1.960","1.940","1.990","1.910","41.62M","-0.51%"
