"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","2.170","2.090","2.240","2.080","1.54B","4.33%"
"Nov 26, 2020","2.080","2.070","2.100","2.050","394.15M","1.46%"
"Nov 25, 2020","2.050","2.130","2.160","2.050","403.94M","-3.30%"
"Nov 24, 2020","2.120","2.090","2.170","2.030","1.65B","1.92%"
"Nov 23, 2020","2.080","1.940","2.100","1.920","1.44B","7.77%"
"Nov 20, 2020","1.930","1.920","1.950","1.910","146.89M","0.52%"
"Nov 19, 2020","1.920","1.980","1.990","1.900","544.76M","-3.52%"
"Nov 18, 2020","1.990","1.930","2.000","1.900","557.36M","4.19%"
"Nov 17, 2020","1.910","1.900","1.940","1.890","551.99M","1.06%"
"Nov 16, 2020","1.890","1.930","1.940","1.890","198.68M","-0.53%"
"Nov 13, 2020","1.900","1.890","1.920","1.880","304.71M","1.06%"
"Nov 12, 2020","1.880","1.910","1.960","1.860","468.54M","-1.05%"
"Nov 11, 2020","1.900","1.890","1.930","1.880","313.83M","1.60%"
"Nov 10, 2020","1.870","1.840","1.900","1.830","351.31M","1.08%"
"Nov 09, 2020","1.850","1.840","1.860","1.830","243.31M","2.78%"
"Nov 06, 2020","1.800","1.780","1.810","1.770","315.04M","1.12%"
"Nov 05, 2020","1.780","1.750","1.840","1.740","596.37M","1.71%"
"Nov 04, 2020","1.750","1.740","1.760","1.720","134.47M","0.57%"
"Nov 03, 2020","1.740","1.750","1.760","1.690","216.38M","0.00%"
"Nov 02, 2020","1.740","1.730","1.780","1.710","305.57M","1.16%"
"Oct 30, 2020","1.720","1.660","1.720","1.640","159.99M","1.18%"
"Oct 28, 2020","1.700","1.720","1.730","1.670","81.18M","-1.73%"
"Oct 27, 2020","1.730","1.680","1.750","1.630","344.44M","2.98%"
"Oct 26, 2020","1.680","1.790","1.800","1.660","318.31M","-7.69%"
"Oct 23, 2020","1.820","1.900","1.910","1.810","345.57M","-4.21%"
"Oct 22, 2020","1.900","1.940","1.940","1.890","230.17M","-1.55%"
"Oct 21, 2020","1.930","1.930","1.960","1.920","215.53M","1.05%"
"Oct 20, 2020","1.910","1.930","1.930","1.900","226.39M","-0.52%"
"Oct 19, 2020","1.920","1.940","1.950","1.910","156.32M","-0.52%"
"Oct 16, 2020","1.930","1.960","1.970","1.920","240.17M","-0.52%"
"Oct 15, 2020","1.940","1.920","2.000","1.910","704.56M","2.11%"
"Oct 14, 2020","1.900","1.930","1.940","1.870","390.51M","-0.52%"
"Oct 13, 2020","1.910","1.860","1.920","1.820","566.62M","3.80%"
"Oct 12, 2020","1.840","1.820","1.860","1.810","296.17M","2.22%"
"Oct 09, 2020","1.800","1.760","1.800","1.750","218.12M","2.86%"
"Oct 08, 2020","1.750","1.780","1.780","1.740","171.97M","-1.13%"
"Oct 07, 2020","1.770","1.780","1.780","1.760","134.93M","-0.56%"
"Oct 06, 2020","1.780","1.790","1.810","1.770","238.14M","0.56%"
"Oct 05, 2020","1.770","1.750","1.780","1.740","198.34M","1.72%"
"Oct 02, 2020","1.740","1.720","1.740","1.710","113.57M","1.16%"
"Oct 01, 2020","1.720","1.740","1.760","1.720","190.14M","-0.58%"
"Sep 30, 2020","1.730","1.720","1.740","1.710","141.71M","1.17%"
"Sep 29, 2020","1.710","1.730","1.740","1.700","126.45M","-1.16%"
"Sep 28, 2020","1.730","1.750","1.760","1.720","99.43M","-1.70%"
"Sep 25, 2020","1.760","1.750","1.770","1.740","203.81M","1.15%"
"Sep 24, 2020","1.740","1.730","1.750","1.720","202.33M","0.00%"
"Sep 23, 2020","1.740","1.740","1.760","1.730","126.21M","0.58%"
