"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","10.60","10.50","10.64","10.46","4.19M","1.44%"
"Nov 26, 2020","10.45","10.45","10.51","10.33","5.31M","0.38%"
"Nov 25, 2020","10.41","10.51","10.62","10.41","9.09M","-0.86%"
"Nov 24, 2020","10.50","10.11","10.54","10.08","8.84M","4.58%"
"Nov 23, 2020","10.04","9.95","10.21","9.95","9.36M","1.01%"
"Nov 20, 2020","9.94","9.71","10.08","9.67","8.68M","2.37%"
"Nov 19, 2020","9.71","9.79","9.86","9.60","6.60M","-0.92%"
"Nov 18, 2020","9.80","9.75","9.85","9.68","5.41M","0.72%"
"Nov 17, 2020","9.73","9.80","9.80","9.65","6.52M","-0.71%"
"Nov 16, 2020","9.80","10.28","10.33","9.68","14.88M","-3.16%"
"Nov 13, 2020","10.12","9.73","10.12","9.73","4.19M","4.01%"
"Nov 12, 2020","9.73","9.76","10.06","9.68","7.84M","0.10%"
"Nov 11, 2020","9.72","9.80","9.85","9.72","3.96M","-0.82%"
"Nov 10, 2020","9.80","9.83","9.85","9.68","3.48M","-0.41%"
"Nov 09, 2020","9.84","9.92","9.98","9.71","5.30M","0.10%"
"Nov 06, 2020","9.83","9.58","9.91","9.55","4.77M","2.72%"
"Nov 05, 2020","9.57","9.62","9.65","9.50","4.96M","-0.21%"
"Nov 04, 2020","9.59","9.65","9.75","9.37","7.00M","0.95%"
"Nov 03, 2020","9.50","9.42","9.53","9.19","4.55M","0.85%"
"Nov 02, 2020","9.42","8.99","9.42","8.99","3.64M","4.78%"
"Oct 30, 2020","8.99","8.95","8.99","8.43","4.97M","0.00%"
"Oct 28, 2020","8.99","9.21","9.21","8.94","1.60M","-2.39%"
"Oct 27, 2020","9.21","9.25","9.28","9.05","2.07M","-1.18%"
"Oct 26, 2020","9.32","9.49","9.49","8.98","3.92M","-1.89%"
"Oct 23, 2020","9.50","9.60","9.60","9.32","2.20M","-1.04%"
"Oct 22, 2020","9.60","9.53","9.75","9.37","4.93M","1.05%"
"Oct 21, 2020","9.50","9.44","9.52","9.42","2.79M","0.96%"
"Oct 20, 2020","9.41","9.37","9.50","9.33","3.58M","0.64%"
"Oct 19, 2020","9.35","9.44","9.54","9.26","5.52M","-0.85%"
"Oct 16, 2020","9.43","9.40","9.51","9.38","2.70M","0.53%"
"Oct 15, 2020","9.38","9.39","9.43","9.28","2.46M","-0.11%"
"Oct 14, 2020","9.39","9.25","9.68","9.25","9.33M","1.51%"
"Oct 13, 2020","9.25","9.28","9.37","9.21","3.06M","-0.11%"
"Oct 12, 2020","9.26","9.41","9.51","9.26","3.62M","-0.64%"
"Oct 09, 2020","9.32","9.29","9.41","9.26","2.01M","0.43%"
"Oct 08, 2020","9.28","9.35","9.47","9.12","3.29M","-0.32%"
"Oct 07, 2020","9.31","8.99","9.35","8.90","7.80M","3.56%"
"Oct 06, 2020","8.99","8.87","9.02","8.85","5.43M","1.70%"
"Oct 05, 2020","8.84","8.89","8.89","8.80","1.58M","0.00%"
"Oct 02, 2020","8.84","8.85","8.92","8.79","1.60M","-0.34%"
"Oct 01, 2020","8.87","9.01","9.04","8.80","3.04M","-0.56%"
