"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","7.050","7.110","7.170","7.050","2.45M","-0.70%"
"Nov 26, 2020","7.100","7.110","7.120","7.040","2.12M","0.28%"
"Nov 25, 2020","7.080","7.170","7.230","7.080","3.28M","-0.84%"
"Nov 24, 2020","7.140","7.190","7.200","7.110","2.47M","-0.28%"
"Nov 23, 2020","7.160","7.220","7.280","7.120","4.04M","-0.69%"
"Nov 20, 2020","7.210","7.260","7.290","7.190","2.65M","-0.69%"
"Nov 19, 2020","7.260","7.250","7.320","7.170","2.56M","0.28%"
"Nov 18, 2020","7.240","7.190","7.270","7.190","2.00M","0.84%"
"Nov 17, 2020","7.180","7.320","7.330","7.180","3.21M","-2.05%"
"Nov 16, 2020","7.330","7.300","7.400","7.250","3.89M","0.69%"
"Nov 13, 2020","7.280","7.320","7.370","7.220","3.97M","-0.41%"
"Nov 12, 2020","7.310","7.410","7.480","7.210","5.35M","-0.81%"
"Nov 11, 2020","7.370","7.460","7.490","7.340","3.58M","-0.81%"
"Nov 10, 2020","7.430","7.670","7.670","7.430","3.52M","-3.26%"
"Nov 09, 2020","7.680","7.690","7.820","7.560","4.81M","1.05%"
"Nov 06, 2020","7.600","7.540","7.660","7.420","3.54M","0.40%"
"Nov 05, 2020","7.570","7.250","7.620","7.250","6.98M","4.56%"
"Nov 04, 2020","7.240","7.170","7.280","7.170","4.64M","1.26%"
"Nov 03, 2020","7.150","7.200","7.320","7.150","6.05M","-0.69%"
"Nov 02, 2020","7.200","7.210","7.300","7.150","5.14M","-0.14%"
"Oct 30, 2020","7.210","7.100","7.250","7.100","4.53M","-0.14%"
"Oct 28, 2020","7.220","7.190","7.280","7.180","2.23M","0.28%"
"Oct 27, 2020","7.200","7.150","7.320","7.050","4.66M","0.00%"
"Oct 26, 2020","7.200","7.100","7.200","6.970","5.70M","0.70%"
"Oct 23, 2020","7.150","7.250","7.260","7.100","2.79M","-2.59%"
"Oct 22, 2020","7.340","7.150","7.340","7.100","2.87M","2.66%"
"Oct 21, 2020","7.150","7.290","7.310","7.130","3.00M","-1.79%"
