"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","34.94","34.32","36.10","34.16","16.40M","2.34%"
"Nov 26, 2020","34.14","34.16","34.44","33.88","2.58M","0.71%"
"Nov 25, 2020","33.90","33.82","34.44","33.50","2.99M","0.36%"
"Nov 24, 2020","33.78","34.10","34.22","33.36","2.48M","0.06%"
"Nov 23, 2020","33.76","35.00","35.18","33.64","3.79M","-1.52%"
"Nov 20, 2020","34.28","34.60","34.80","34.18","3.87M","-0.75%"
"Nov 19, 2020","34.54","33.40","34.64","33.00","5.35M","3.72%"
"Nov 18, 2020","33.30","33.18","33.90","32.80","2.58M","0.30%"
"Nov 17, 2020","33.20","33.90","34.62","32.44","6.12M","-1.83%"
"Nov 16, 2020","33.82","34.50","34.50","33.80","2.29M","-1.28%"
"Nov 13, 2020","34.26","34.16","34.84","33.92","4.72M","0.41%"
"Nov 12, 2020","34.12","34.16","35.00","33.22","7.25M","0.00%"
"Nov 11, 2020","34.12","35.06","35.50","33.90","4.46M","-1.95%"
"Nov 10, 2020","34.80","36.00","36.76","34.78","7.81M","-3.60%"
"Nov 09, 2020","36.10","34.50","37.78","34.50","23.38M","0.17%"
"Nov 06, 2020","36.04","34.62","37.42","34.36","16.66M","4.89%"
"Nov 05, 2020","34.36","34.40","34.84","33.98","2.55M","0.82%"
"Nov 04, 2020","34.08","33.86","35.22","33.60","4.22M","0.65%"
"Nov 03, 2020","33.86","36.18","36.40","33.64","5.14M","-5.10%"
"Nov 02, 2020","35.68","34.78","36.00","33.98","5.63M","2.71%"
"Oct 30, 2020","34.74","35.80","36.40","34.12","5.94M","-3.87%"
"Oct 28, 2020","36.14","36.20","36.84","35.94","2.49M","-0.99%"
"Oct 27, 2020","36.50","36.94","37.26","35.60","8.96M","-1.24%"
"Oct 26, 2020","36.96","38.60","40.38","36.56","20.27M","-2.63%"
"Oct 23, 2020","37.96","39.00","39.28","37.38","8.33M","-2.27%"
"Oct 22, 2020","38.84","36.42","38.84","36.16","12.48M","6.70%"
"Oct 21, 2020","36.40","36.52","37.20","35.30","6.71M","-0.33%"
"Oct 20, 2020","36.52","38.22","38.22","36.36","4.94M","-4.55%"
"Oct 19, 2020","38.26","38.90","39.20","37.64","6.64M","3.97%"
"Oct 16, 2020","36.80","35.62","37.02","35.40","8.19M","4.07%"
"Oct 15, 2020","35.36","36.00","36.26","35.10","2.34M","-1.23%"
"Oct 14, 2020","35.80","35.50","36.40","34.56","5.14M","0.85%"
"Oct 13, 2020","35.50","36.98","37.00","34.66","5.65M","-3.79%"
"Oct 12, 2020","36.90","37.62","38.58","36.02","5.90M","0.76%"
"Oct 09, 2020","36.62","35.00","36.62","33.32","2.41M","5.47%"
"Oct 08, 2020","34.72","37.96","37.96","34.70","3.09M","-9.21%"
"Oct 07, 2020","38.24","38.70","40.32","36.80","5.81M","4.31%"
"Oct 06, 2020","36.66","35.00","36.66","35.00","2.88M","9.96%"
"Oct 05, 2020","33.34","31.60","33.34","30.90","3.17M","9.96%"
"Oct 02, 2020","30.32","28.90","30.32","28.70","1.60M","3.84%"
"Oct 01, 2020","29.20","29.20","29.70","28.48","1.25M","0.14%"
"Sep 30, 2020","29.16","29.96","29.98","29.02","1.49M","-2.80%"
"Sep 29, 2020","30.00","29.34","30.98","27.32","2.60M","2.25%"
"Sep 28, 2020","29.34","30.20","31.46","28.70","2.73M","0.76%"
"Sep 25, 2020","29.12","29.96","30.00","28.62","2.06M","-2.80%"
"Sep 24, 2020","29.96","30.54","31.60","29.10","2.66M","-1.83%"
"Sep 23, 2020","30.52","33.20","33.50","30.44","4.32M","-9.65%"
"Sep 22, 2020","33.78","32.00","35.56","31.82","4.95M","-3.21%"
"Sep 21, 2020","34.90","31.74","34.90","30.62","7.35M","9.96%"
"Sep 18, 2020","31.74","28.30","31.74","27.24","5.77M","9.98%"
"Sep 17, 2020","28.86","30.02","31.00","28.86","5.54M","-9.98%"
"Sep 16, 2020","32.06","31.60","35.18","30.64","8.85M","-5.82%"
"Sep 15, 2020","34.04","35.30","35.50","34.04","1.52M","-9.99%"
"Sep 14, 2020","37.82","35.92","42.60","35.92","9.18M","-5.21%"
"Sep 11, 2020","39.90","39.90","39.90","39.90","292.91K","-9.97%"
"Sep 10, 2020","44.32","54.00","54.15","44.32","25.49M","-9.99%"
"Sep 09, 2020","49.24","48.00","49.24","47.00","7.92M","9.96%"
"Sep 08, 2020","44.78","44.00","44.78","42.00","14.25M","9.97%"
"Sep 07, 2020","40.72","38.40","40.72","38.40","18.76M","9.99%"
"Sep 04, 2020","37.02","35.90","37.38","34.28","32.37M","8.50%"
"Sep 03, 2020","34.12","33.00","34.12","29.46","30.31M","9.99%"
"Sep 02, 2020","31.02","29.04","31.02","29.04","22.64M","10.00%"
"Sep 01, 2020","28.20","26.20","28.20","26.20","23.67M","9.98%"
"Aug 31, 2020","25.64","24.80","26.22","24.12","18.77M","4.14%"
"Aug 28, 2020","24.62","24.80","25.26","23.20","19.20M","0.90%"
"Aug 27, 2020","24.40","24.00","24.96","23.20","27.18M","5.90%"
"Aug 26, 2020","23.04","21.00","23.04","21.00","23.52M","9.92%"
"Aug 25, 2020","20.96","21.50","23.08","20.22","28.22M","-1.96%"
"Aug 24, 2020","21.38","19.90","21.38","19.81","15.03M","9.98%"
"Aug 21, 2020","19.44","18.25","19.78","18.15","22.79M","7.40%"
"Aug 20, 2020","18.10","16.69","18.10","16.47","18.11M","9.96%"
"Aug 19, 2020","16.46","15.86","16.66","15.75","12.51M","4.77%"
"Aug 18, 2020","15.71","14.91","15.93","14.76","12.86M","6.87%"
"Aug 17, 2020","14.70","14.79","14.92","14.30","3.84M","0.14%"
"Aug 14, 2020","14.68","15.10","15.50","14.56","8.74M","-3.80%"
"Aug 13, 2020","15.26","14.53","15.54","14.53","15.35M","5.02%"
"Aug 12, 2020","14.53","14.68","14.91","14.36","6.36M","-0.95%"
"Aug 11, 2020","14.67","14.50","15.08","14.13","13.73M","1.52%"
"Aug 10, 2020","14.45","13.34","14.67","13.05","13.68M","8.32%"
"Aug 07, 2020","13.34","13.00","13.37","11.90","7.51M","5.12%"
"Aug 06, 2020","12.69","13.19","13.37","11.90","7.64M","-2.38%"
"Aug 05, 2020","13.00","14.00","14.00","12.83","4.58M","-7.67%"
"Aug 04, 2020","14.08","13.88","14.75","13.26","12.25M","4.76%"
"Jul 30, 2020","13.44","13.57","13.63","13.31","1.09M","-0.44%"
"Jul 29, 2020","13.50","13.21","13.58","12.71","4.35M","2.20%"
"Jul 28, 2020","13.21","14.00","14.03","13.21","4.81M","-4.96%"
"Jul 27, 2020","13.90","13.68","14.09","13.61","7.16M","2.58%"
"Jul 24, 2020","13.55","13.22","13.70","13.09","5.89M","2.50%"
"Jul 23, 2020","13.22","13.16","13.54","13.02","7.76M","0.15%"
"Jul 22, 2020","13.20","12.86","13.39","12.60","10.64M","5.10%"
"Jul 21, 2020","12.56","12.32","13.00","12.25","7.33M","2.87%"
"Jul 20, 2020","12.21","12.00","12.34","11.92","2.08M","0.08%"
"Jul 17, 2020","12.20","12.24","12.40","12.16","1.51M","-0.25%"
"Jul 16, 2020","12.23","12.11","12.60","12.06","4.91M","1.58%"
"Jul 14, 2020","12.04","12.25","12.46","11.93","1.86M","-1.47%"
"Jul 13, 2020","12.22","11.88","12.54","11.76","2.93M","-0.65%"
"Jul 10, 2020","12.30","12.50","12.55","11.88","4.66M","-3.53%"
"Jul 09, 2020","12.75","13.08","13.33","12.74","7.56M","-0.31%"
"Jul 08, 2020","12.79","13.30","13.35","12.79","8.02M","-7.18%"
"Jul 07, 2020","13.78","13.24","14.09","13.05","19.68M","5.59%"
"Jul 06, 2020","13.05","13.02","13.26","12.80","11.07M","3.57%"
"Jul 03, 2020","12.60","12.70","12.78","12.52","4.96M","-0.24%"
"Jul 02, 2020","12.63","12.55","12.80","12.45","5.95M","1.85%"
"Jul 01, 2020","12.40","12.64","12.78","12.40","4.22M","-1.51%"
"Jun 30, 2020","12.59","12.72","12.88","12.54","4.39M","-0.55%"
"Jun 29, 2020","12.66","12.62","12.97","12.40","7.42M","2.59%"
"Jun 26, 2020","12.34","12.35","12.80","12.30","5.50M","-0.08%"
"Jun 25, 2020","12.35","12.46","13.25","11.84","23.81M","-0.64%"
"Jun 24, 2020","12.43","11.30","12.43","10.80","7.92M","10.00%"
"Jun 23, 2020","11.30","11.42","11.55","11.30","1.74M","-0.70%"
"Jun 22, 2020","11.38","11.66","11.69","11.33","3.61M","-4.45%"
"Jun 19, 2020","11.91","12.21","12.26","11.85","3.07M","-2.38%"
"Jun 18, 2020","12.20","12.42","12.49","12.20","3.15M","-1.45%"
"Jun 17, 2020","12.38","12.50","12.73","12.31","5.45M","-3.58%"
"Jun 16, 2020","12.84","12.50","13.11","12.46","11.21M","4.05%"
"Jun 15, 2020","12.34","13.00","13.05","12.34","3.78M","-3.89%"
"Jun 12, 2020","12.84","12.59","12.98","12.29","3.42M","1.42%"
"Jun 11, 2020","12.66","12.92","12.99","12.64","2.24M","-2.16%"
"Jun 10, 2020","12.94","13.15","13.15","12.92","2.41M","-0.99%"
"Jun 09, 2020","13.07","13.30","13.34","13.01","7.61M","-0.98%"
"Jun 08, 2020","13.20","12.94","13.42","12.94","6.27M","2.09%"
"Jun 05, 2020","12.93","12.98","13.16","12.46","5.40M","-0.39%"
"Jun 04, 2020","12.98","13.50","13.59","12.72","7.41M","-1.96%"
"Jun 03, 2020","13.24","13.36","13.63","13.14","7.52M","1.07%"
"Jun 02, 2020","13.10","12.60","13.38","12.60","12.19M","4.80%"
"Jun 01, 2020","12.50","12.13","13.01","11.61","26.32M","5.66%"
"May 29, 2020","11.83","10.81","11.83","10.75","17.95M","9.94%"
"May 28, 2020","10.76","10.85","10.90","10.50","5.21M","-0.28%"
"May 27, 2020","10.79","10.64","11.14","10.52","12.12M","3.25%"
"May 22, 2020","10.45","10.38","10.57","10.34","3.08M","0.77%"
"May 21, 2020","10.37","10.52","10.80","10.37","5.74M","-0.86%"
"May 20, 2020","10.46","10.15","10.60","10.04","9.55M","4.50%"
"May 18, 2020","10.01","9.99","10.18","9.99","1.41M","0.70%"
"May 15, 2020","9.94","9.97","10.05","9.91","1.19M","0.00%"
"May 14, 2020","9.94","10.09","10.15","9.89","2.17M","-1.49%"
"May 13, 2020","10.09","10.15","10.24","10.07","1.80M","-0.59%"
"May 12, 2020","10.15","10.15","10.40","9.82","4.96M","0.10%"
"May 11, 2020","10.14","10.34","10.41","10.14","1.24M","-1.74%"
"May 08, 2020","10.32","10.36","10.54","10.24","6.00M","-0.29%"
"May 07, 2020","10.35","10.40","10.58","10.17","4.12M","-0.48%"
"May 06, 2020","10.40","10.50","10.68","10.33","5.01M","0.29%"
"May 05, 2020","10.37","10.68","10.74","10.28","5.46M","-2.08%"
"May 04, 2020","10.59","10.33","10.94","10.15","19.61M","2.92%"
"Apr 30, 2020","10.29","10.40","10.48","10.00","3.29M","-0.39%"
"Apr 29, 2020","10.33","10.41","10.52","10.28","3.07M","-0.10%"
"Apr 28, 2020","10.34","10.44","10.73","10.25","6.17M","0.00%"
"Apr 27, 2020","10.34","10.45","10.54","10.26","2.87M","0.78%"
"Apr 24, 2020","10.26","10.48","10.76","9.96","6.55M","-1.82%"
"Apr 22, 2020","10.45","10.47","11.10","10.40","14.01M","0.38%"
"Apr 21, 2020","10.41","9.46","10.41","9.46","15.27M","9.93%"
"Apr 20, 2020","9.47","9.60","9.64","9.39","1.53M","-0.42%"
"Apr 17, 2020","9.51","9.60","9.60","9.30","1.89M","2.37%"
"Apr 16, 2020","9.29","9.79","9.85","9.25","2.64M","-4.13%"
"Apr 15, 2020","9.69","10.37","10.62","9.40","8.32M","-6.10%"
"Apr 14, 2020","10.32","9.90","10.51","9.80","10.32M","6.28%"
"Apr 13, 2020","9.71","9.27","10.04","9.21","9.31M","2.86%"
"Apr 10, 2020","9.44","9.57","9.59","9.21","4.24M","-1.05%"
"Apr 09, 2020","9.54","9.65","9.76","9.38","10.74M","0.32%"
"Apr 08, 2020","9.51","9.40","9.77","8.93","8.60M","1.60%"
"Apr 07, 2020","9.36","9.03","9.73","9.02","10.69M","5.76%"
"Apr 06, 2020","8.85","8.20","8.85","8.20","9.01M","9.94%"
"Apr 03, 2020","8.05","8.40","8.40","8.00","1.78M","-3.13%"
"Apr 02, 2020","8.31","8.75","8.83","8.13","4.38M","-4.26%"
