"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","9.18","9.39","9.51","9.15","360.43M","-1.71%"
"Nov 26, 2020","9.34","9.15","9.35","9.08","395.21M","2.98%"
"Nov 25, 2020","9.07","9.16","9.27","9.06","371.84M","0.22%"
"Nov 24, 2020","9.05","9.16","9.41","8.95","563.74M","-0.22%"
"Nov 23, 2020","9.07","9.40","9.43","8.93","343.46M","-4.02%"
"Nov 20, 2020","9.45","9.50","9.59","9.38","476.31M","-0.74%"
"Nov 19, 2020","9.52","8.85","9.68","8.64","1.51B","7.57%"
"Nov 18, 2020","8.85","8.52","8.88","8.20","885.14M","5.11%"
"Nov 17, 2020","8.42","8.88","8.91","8.42","536.71M","-5.92%"
"Nov 16, 2020","8.95","9.01","9.12","8.92","393.22M","1.02%"
"Nov 13, 2020","8.86","8.68","8.87","8.59","576.77M","2.67%"
"Nov 12, 2020","8.63","8.50","8.92","8.43","1.19B","1.53%"
"Nov 11, 2020","8.50","7.85","8.53","7.81","1.27B","9.54%"
"Nov 10, 2020","7.76","7.35","7.77","7.32","545.96M","3.74%"
"Nov 09, 2020","7.48","7.35","7.56","7.26","697.47M","7.16%"
"Nov 06, 2020","6.98","6.94","7.02","6.91","259.77M","0.29%"
"Nov 05, 2020","6.96","6.94","7.06","6.88","312.14M","0.43%"
"Nov 04, 2020","6.93","6.94","7.09","6.86","420.42M","-0.29%"
"Nov 03, 2020","6.95","6.65","7.02","6.60","358.44M","5.14%"
"Nov 02, 2020","6.61","6.64","6.74","6.61","176.06M","0.15%"
"Oct 30, 2020","6.60","6.68","6.73","6.59","177.68M","-2.65%"
"Oct 28, 2020","6.78","6.88","6.93","6.77","78.19M","-1.74%"
"Oct 27, 2020","6.90","6.77","6.93","6.74","173.03M","1.92%"
"Oct 26, 2020","6.77","6.97","6.98","6.77","169.66M","-4.24%"
"Oct 23, 2020","7.07","7.09","7.12","6.98","167.83M","-0.42%"
"Oct 22, 2020","7.10","7.53","7.60","7.10","470.49M","-5.71%"
"Oct 21, 2020","7.53","7.58","7.61","7.46","200.61M","0.80%"
"Oct 20, 2020","7.47","7.50","7.56","7.43","269.60M","-0.40%"
"Oct 19, 2020","7.50","7.24","7.52","7.23","377.90M","4.46%"
"Oct 16, 2020","7.18","7.04","7.20","7.03","177.91M","2.43%"
"Oct 15, 2020","7.01","7.10","7.10","6.96","124.86M","-1.54%"
"Oct 14, 2020","7.12","7.09","7.16","7.05","146.01M","0.42%"
"Oct 13, 2020","7.09","7.14","7.15","7.07","115.31M","-0.70%"
"Oct 12, 2020","7.14","7.13","7.22","7.10","161.74M","0.56%"
"Oct 09, 2020","7.10","6.98","7.10","6.96","150.11M","1.87%"
"Oct 08, 2020","6.97","7.05","7.06","6.94","116.53M","-0.57%"
"Oct 07, 2020","7.01","7.06","7.09","6.96","234.32M","-1.41%"
