"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","52.20","53.75","54.70","49.10","25.20M","1.26%"
"Nov 26, 2020","51.55","48.00","51.55","47.40","15.76M","9.91%"
"Nov 25, 2020","46.90","45.84","48.94","45.84","16.70M","2.58%"
"Nov 24, 2020","45.72","52.85","54.60","45.40","37.18M","-9.01%"
"Nov 23, 2020","50.25","47.08","50.25","47.08","12.89M","9.91%"
"Nov 20, 2020","45.72","42.24","45.72","42.24","10.83M","9.96%"
"Nov 19, 2020","41.58","38.40","41.58","38.14","16.21M","10.00%"
"Nov 18, 2020","37.80","37.66","38.26","37.66","2.36M","1.02%"
"Nov 17, 2020","37.42","38.72","38.82","37.42","3.20M","-3.16%"
"Nov 16, 2020","38.64","38.28","39.22","38.08","5.16M","1.20%"
"Nov 13, 2020","38.18","37.66","38.24","37.60","2.80M","2.30%"
"Nov 12, 2020","37.32","38.02","38.20","37.18","2.95M","-1.17%"
"Nov 11, 2020","37.76","38.20","38.94","37.76","5.06M","-0.63%"
"Nov 10, 2020","38.00","36.74","38.28","36.62","6.22M","3.54%"
"Nov 09, 2020","36.70","37.02","37.68","36.54","5.51M","-0.49%"
"Nov 06, 2020","36.88","38.70","39.22","36.82","8.82M","-4.36%"
"Nov 05, 2020","38.56","35.30","38.72","35.30","21.29M","9.55%"
"Nov 04, 2020","35.20","34.22","36.20","34.22","4.88M","3.47%"
"Nov 03, 2020","34.02","33.70","34.40","33.24","3.40M","1.80%"
"Nov 02, 2020","33.42","33.56","34.26","33.36","4.22M","0.24%"
"Oct 30, 2020","33.34","33.90","34.30","32.84","3.23M","-3.81%"
"Oct 28, 2020","34.66","35.50","35.66","34.52","1.61M","-2.75%"
"Oct 27, 2020","35.64","34.02","35.84","33.80","5.29M","4.76%"
"Oct 26, 2020","34.02","35.62","35.68","34.02","4.00M","-4.44%"
"Oct 23, 2020","35.60","35.82","36.60","34.80","4.03M","-0.28%"
"Oct 22, 2020","35.70","35.50","36.38","35.26","6.75M","1.08%"
"Oct 21, 2020","35.32","34.86","36.08","34.82","5.23M","1.73%"
"Oct 20, 2020","34.72","35.10","35.50","34.70","3.85M","-0.97%"
