"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","6.800","6.840","6.920","6.720","56.86M","0.00%"
"Nov 26, 2020","6.800","6.770","6.830","6.690","46.53M","1.64%"
"Nov 25, 2020","6.690","6.550","6.790","6.550","96.39M","2.61%"
"Nov 24, 2020","6.520","6.520","6.690","6.430","108.32M","0.46%"
"Nov 23, 2020","6.490","6.820","6.830","6.480","64.89M","-4.84%"
"Nov 20, 2020","6.820","6.890","6.920","6.760","80.37M","-1.30%"
"Nov 19, 2020","6.910","6.830","7.190","6.630","316.99M","1.02%"
"Nov 18, 2020","6.840","6.610","6.890","6.560","97.43M","4.43%"
"Nov 17, 2020","6.550","6.800","6.890","6.500","87.54M","-4.38%"
"Nov 16, 2020","6.850","7.020","7.050","6.820","57.78M","-1.15%"
"Nov 13, 2020","6.930","6.850","6.950","6.790","75.03M","1.32%"
"Nov 12, 2020","6.840","6.790","7.150","6.680","154.14M","0.74%"
"Nov 11, 2020","6.790","6.230","6.790","6.230","180.53M","9.87%"
"Nov 10, 2020","6.180","5.770","6.180","5.740","117.79M","5.28%"
"Nov 09, 2020","5.870","5.750","5.980","5.680","136.36M","7.90%"
"Nov 06, 2020","5.440","5.400","5.470","5.380","32.25M","0.18%"
"Nov 05, 2020","5.430","5.450","5.540","5.380","30.61M","-0.91%"
"Nov 04, 2020","5.480","5.400","5.520","5.340","56.83M","1.48%"
"Nov 03, 2020","5.400","5.180","5.470","5.140","39.75M","4.65%"
"Nov 02, 2020","5.160","5.140","5.240","5.120","30.01M","0.98%"
"Oct 30, 2020","5.110","5.100","5.190","5.080","48.62M","-1.92%"
"Oct 28, 2020","5.210","5.230","5.290","5.180","17.82M","-0.95%"
"Oct 27, 2020","5.260","5.080","5.260","5.070","48.10M","3.14%"
"Oct 26, 2020","5.100","5.300","5.310","5.100","59.16M","-5.38%"
"Oct 23, 2020","5.390","5.480","5.540","5.370","33.07M","-2.00%"
"Oct 22, 2020","5.500","5.770","5.800","5.490","57.46M","-4.68%"
"Oct 21, 2020","5.770","5.830","5.850","5.740","43.62M","0.00%"
"Oct 20, 2020","5.770","5.750","5.850","5.700","51.94M","0.52%"
"Oct 19, 2020","5.740","5.500","5.750","5.500","69.79M","4.94%"
"Oct 16, 2020","5.470","5.330","5.470","5.310","46.50M","3.01%"
"Oct 15, 2020","5.310","5.380","5.390","5.270","25.27M","-1.85%"
"Oct 14, 2020","5.410","5.360","5.410","5.320","30.30M","0.74%"
"Oct 13, 2020","5.370","5.390","5.420","5.330","36.77M","-0.74%"
"Oct 12, 2020","5.410","5.330","5.410","5.310","29.80M","1.69%"
"Oct 09, 2020","5.320","5.220","5.330","5.220","25.65M","1.53%"
"Oct 08, 2020","5.240","5.250","5.270","5.160","28.57M","0.00%"
"Oct 07, 2020","5.240","5.230","5.250","5.190","27.65M","-0.38%"
"Oct 06, 2020","5.260","5.370","5.400","5.260","45.13M","-1.87%"
"Oct 05, 2020","5.360","5.370","5.400","5.350","46.29M","0.19%"
"Oct 02, 2020","5.350","5.370","5.470","5.320","74.98M","-0.74%"
"Oct 01, 2020","5.390","5.360","5.460","5.280","54.00M","0.75%"
"Sep 30, 2020","5.350","5.270","5.380","5.230","57.14M","3.08%"
"Sep 29, 2020","5.190","5.200","5.290","5.120","41.80M","-0.19%"
"Sep 28, 2020","5.200","5.240","5.280","5.130","36.05M","-0.57%"
"Sep 25, 2020","5.230","5.340","5.380","5.220","63.88M","0.00%"
"Sep 24, 2020","5.230","4.970","5.250","4.970","105.52M","4.18%"
"Sep 23, 2020","5.020","4.930","5.040","4.920","27.23M","2.03%"
"Sep 22, 2020","4.920","4.860","4.940","4.860","30.14M","1.65%"
"Sep 21, 2020","4.840","4.970","5.000","4.820","34.57M","-2.62%"
"Sep 18, 2020","4.970","5.000","5.030","4.970","19.88M","-0.60%"
"Sep 17, 2020","5.000","4.990","5.020","4.960","33.64M","-0.20%"
"Sep 16, 2020","5.010","5.030","5.060","5.000","18.06M","-0.40%"
"Sep 15, 2020","5.030","5.040","5.070","5.000","20.02M","0.00%"
"Sep 14, 2020","5.030","5.070","5.090","5.020","21.36M","-0.59%"
"Sep 11, 2020","5.060","5.100","5.140","5.050","28.87M","-0.78%"
"Sep 10, 2020","5.100","5.030","5.150","5.020","57.11M","1.59%"
"Sep 09, 2020","5.020","4.990","5.050","4.980","21.17M","0.40%"
"Sep 08, 2020","5.000","5.070","5.080","4.990","39.79M","-0.99%"
