"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","12.940","13.030","13.100","12.800","2.70M","-0.38%"
"Nov 26, 2020","12.990","12.720","12.990","12.590","3.99M","2.12%"
"Nov 25, 2020","12.720","12.970","12.980","12.710","2.68M","-0.86%"
"Nov 24, 2020","12.830","12.780","13.060","12.620","4.38M","0.39%"
"Nov 23, 2020","12.780","13.100","13.140","12.670","3.91M","-2.29%"
"Nov 20, 2020","13.080","13.210","13.500","13.020","4.78M","-0.53%"
"Nov 19, 2020","13.150","12.450","13.180","12.280","11.01M","6.05%"
"Nov 18, 2020","12.400","12.120","12.590","12.080","7.47M","2.14%"
"Nov 17, 2020","12.140","12.600","12.630","12.110","7.17M","-4.93%"
"Nov 16, 2020","12.770","13.190","13.220","12.740","4.82M","-1.84%"
"Nov 13, 2020","13.010","12.690","13.110","12.690","5.49M","2.52%"
"Nov 12, 2020","12.690","13.060","13.300","12.410","9.71M","-2.53%"
"Nov 11, 2020","13.020","12.500","13.070","12.500","10.38M","5.77%"
"Nov 10, 2020","12.310","11.470","12.440","11.400","10.12M","7.32%"
"Nov 09, 2020","11.470","11.200","11.600","11.200","5.68M","3.33%"
"Nov 06, 2020","11.100","10.910","11.200","10.830","7.09M","1.83%"
"Nov 05, 2020","10.900","10.810","11.050","10.750","5.68M","1.58%"
"Nov 04, 2020","10.730","10.570","10.910","10.440","6.44M","2.29%"
"Nov 03, 2020","10.490","10.850","10.920","10.330","5.72M","-2.69%"
"Nov 02, 2020","10.780","10.750","11.000","10.600","11.24M","2.76%"
"Oct 30, 2020","10.490","10.050","10.490","9.860","6.15M","2.74%"
"Oct 28, 2020","10.210","10.540","10.550","10.150","2.31M","-1.64%"
"Oct 27, 2020","10.380","10.000","10.610","10.000","5.66M","0.00%"
"Oct 26, 2020","10.380","10.700","10.890","10.200","6.60M","-3.35%"
"Oct 23, 2020","10.740","10.940","11.120","10.540","5.92M","-1.92%"
"Oct 22, 2020","10.950","10.690","10.950","10.300","8.74M","2.82%"
"Oct 21, 2020","10.650","10.310","10.670","10.310","4.39M","3.80%"
"Oct 20, 2020","10.260","10.010","10.300","9.980","4.32M","2.40%"
"Oct 19, 2020","10.020","9.970","10.170","9.930","3.42M","0.50%"
"Oct 16, 2020","9.970","9.880","10.170","9.840","4.78M","1.22%"
"Oct 15, 2020","9.850","9.940","9.940","9.770","3.40M","-0.91%"
"Oct 14, 2020","9.940","9.520","9.940","9.520","4.90M","4.74%"
"Oct 13, 2020","9.490","9.290","9.550","9.250","4.13M","2.48%"
"Oct 12, 2020","9.260","9.180","9.340","9.160","3.21M","0.76%"
"Oct 09, 2020","9.190","9.190","9.220","9.080","1.92M","0.44%"
"Oct 08, 2020","9.150","9.110","9.220","9.010","1.97M","0.99%"
"Oct 07, 2020","9.060","9.070","9.160","9.040","1.49M","-0.11%"
"Oct 06, 2020","9.070","9.320","9.330","9.050","2.87M","-2.16%"
"Oct 05, 2020","9.270","9.170","9.360","9.160","2.98M","1.09%"
"Oct 02, 2020","9.170","9.100","9.210","9.060","3.72M","-0.54%"
"Oct 01, 2020","9.220","9.370","9.570","9.070","5.11M","-1.50%"
"Sep 30, 2020","9.360","8.960","9.440","8.950","6.25M","5.05%"
"Sep 29, 2020","8.910","8.740","9.060","8.650","10.88M","2.77%"
"Sep 28, 2020","8.670","8.700","8.820","8.570","5.46M","0.23%"
"Sep 25, 2020","8.650","8.420","8.860","8.410","10.96M","3.22%"
"Sep 24, 2020","8.380","8.070","8.440","8.050","6.50M","3.46%"
"Sep 23, 2020","8.100","8.110","8.150","8.070","4.12M","0.25%"
"Sep 22, 2020","8.080","8.100","8.120","7.980","3.97M","-0.12%"
"Sep 21, 2020","8.090","8.240","8.280","7.930","7.43M","-1.58%"
"Sep 18, 2020","8.220","8.040","8.310","8.010","7.31M","2.49%"
"Sep 17, 2020","8.020","8.030","8.060","7.960","2.53M","0.00%"
"Sep 16, 2020","8.020","8.030","8.110","8.000","2.58M","0.12%"
"Sep 15, 2020","8.010","8.120","8.170","8.000","3.90M","-1.11%"
"Sep 14, 2020","8.100","8.010","8.180","7.950","6.86M","1.12%"
"Sep 11, 2020","8.010","8.100","8.100","7.990","2.43M","-0.74%"
"Sep 10, 2020","8.070","8.120","8.180","8.020","3.66M","-0.25%"
"Sep 09, 2020","8.090","8.020","8.110","8.000","5.00M","0.87%"
"Sep 08, 2020","8.020","8.200","8.250","8.020","4.67M","-1.96%"
"Sep 07, 2020","8.180","7.830","8.230","7.830","6.74M","4.74%"
"Sep 04, 2020","7.810","7.950","8.010","7.780","5.71M","-2.13%"
"Sep 03, 2020","7.980","8.080","8.150","7.950","4.14M","-0.99%"
"Sep 02, 2020","8.060","8.140","8.190","7.930","5.19M","-0.12%"
"Sep 01, 2020","8.070","8.170","8.230","7.860","6.43M","-0.62%"
"Aug 31, 2020","8.120","8.130","8.520","7.990","13.17M","0.50%"
"Aug 28, 2020","8.080","7.650","8.180","7.600","13.24M","6.18%"
"Aug 27, 2020","7.610","7.440","7.660","7.420","6.04M","2.70%"
"Aug 26, 2020","7.410","7.350","7.480","7.310","3.42M","0.14%"
"Aug 25, 2020","7.400","7.410","7.470","7.240","3.83M","0.00%"
"Aug 24, 2020","7.400","7.440","7.610","7.400","4.07M","-0.27%"
"Aug 21, 2020","7.420","7.460","7.600","7.350","5.18M","-0.40%"
"Aug 20, 2020","7.450","7.430","7.450","7.240","4.18M","0.00%"
"Aug 19, 2020","7.450","7.170","7.500","7.000","5.46M","4.34%"
"Aug 18, 2020","7.140","7.330","7.350","7.130","3.93M","-2.46%"
"Aug 17, 2020","7.320","7.500","7.510","7.300","3.50M","-1.61%"
"Aug 14, 2020","7.440","7.440","7.540","7.300","3.18M","0.00%"
"Aug 13, 2020","7.440","7.620","7.650","7.370","4.71M","-1.98%"
"Aug 12, 2020","7.590","7.590","7.660","7.480","4.47M","0.26%"
"Aug 11, 2020","7.570","7.450","7.670","7.300","10.30M","2.02%"
"Aug 10, 2020","7.420","7.490","7.750","7.380","5.78M","-0.93%"
"Aug 07, 2020","7.490","7.210","7.620","6.870","14.03M","3.31%"
"Aug 06, 2020","7.250","8.000","8.160","7.250","35.27M","-3.85%"
"Aug 05, 2020","7.540","7.300","7.560","7.040","5.98M","3.57%"
"Aug 04, 2020","7.280","7.920","7.930","7.170","9.02M","-7.85%"
"Jul 30, 2020","7.900","7.930","7.950","7.700","2.69M","-0.38%"
"Jul 29, 2020","7.930","7.520","7.930","7.290","8.95M","5.59%"
"Jul 28, 2020","7.510","7.900","7.940","7.510","7.79M","-4.70%"
"Jul 27, 2020","7.880","7.620","7.990","7.600","6.73M","4.23%"
"Jul 24, 2020","7.560","7.260","7.560","7.200","5.85M","4.13%"
"Jul 23, 2020","7.260","7.280","7.310","7.230","2.88M","0.14%"
"Jul 22, 2020","7.250","7.150","7.270","7.060","3.39M","1.54%"
"Jul 21, 2020","7.140","7.180","7.270","7.030","4.99M","0.14%"
"Jul 20, 2020","7.130","7.140","7.250","7.070","5.07M","-0.28%"
"Jul 17, 2020","7.150","6.980","7.200","6.950","4.14M","2.88%"
"Jul 16, 2020","6.950","6.940","7.050","6.900","4.23M","0.43%"
"Jul 14, 2020","6.920","6.760","6.960","6.730","4.61M","2.37%"
"Jul 13, 2020","6.760","6.570","6.790","6.570","3.17M","3.52%"
"Jul 10, 2020","6.530","6.570","6.620","6.320","5.69M","-1.51%"
"Jul 09, 2020","6.630","6.810","6.840","6.510","4.08M","-1.92%"
"Jul 08, 2020","6.760","6.730","6.800","6.690","2.45M","0.60%"
"Jul 07, 2020","6.720","6.810","6.860","6.650","4.54M","-1.18%"
"Jul 06, 2020","6.800","6.650","6.820","6.650","5.24M","2.87%"
"Jul 03, 2020","6.610","6.600","6.660","6.470","4.23M","0.61%"
"Jul 02, 2020","6.570","6.350","6.580","6.350","7.11M","3.96%"
"Jul 01, 2020","6.320","6.290","6.430","6.270","6.47M","1.28%"
"Jun 30, 2020","6.240","6.300","6.310","6.210","5.09M","-0.16%"
"Jun 29, 2020","6.250","6.130","6.310","6.110","14.93M","1.96%"
"Jun 26, 2020","6.130","6.090","6.150","6.050","3.42M","1.32%"
"Jun 25, 2020","6.050","6.110","6.110","5.990","3.48M","-0.98%"
"Jun 24, 2020","6.110","6.180","6.200","6.030","2.34M","-0.97%"
"Jun 23, 2020","6.170","6.150","6.260","6.150","3.78M","0.33%"
"Jun 22, 2020","6.150","6.150","6.220","6.140","5.18M","0.49%"
"Jun 19, 2020","6.120","6.090","6.170","6.060","4.71M","1.16%"
"Jun 18, 2020","6.050","5.980","6.170","5.980","3.81M","1.34%"
"Jun 17, 2020","5.970","6.080","6.080","5.970","2.17M","-1.16%"
"Jun 16, 2020","6.040","6.000","6.120","5.990","4.77M","1.51%"
"Jun 15, 2020","5.950","5.830","5.960","5.800","3.60M","1.02%"
"Jun 12, 2020","5.890","5.910","5.930","5.840","2.86M","-1.01%"
"Jun 11, 2020","5.950","5.940","6.020","5.930","2.51M","-0.50%"
"Jun 10, 2020","5.980","5.970","6.050","5.940","4.13M","0.34%"
"Jun 09, 2020","5.960","5.970","5.980","5.850","2.78M","0.00%"
"Jun 08, 2020","5.960","6.000","6.070","5.900","3.21M","-0.50%"
"Jun 05, 2020","5.990","5.940","6.020","5.900","6.90M","1.18%"
"Jun 04, 2020","5.920","5.870","5.940","5.840","3.83M","0.85%"
"Jun 03, 2020","5.870","5.810","5.910","5.810","4.04M","1.38%"
"Jun 02, 2020","5.790","5.850","5.890","5.770","2.79M","-0.86%"
"Jun 01, 2020","5.840","5.810","5.860","5.790","2.47M","0.86%"
"May 29, 2020","5.790","5.810","5.910","5.770","3.98M","-0.34%"
"May 28, 2020","5.810","5.880","5.920","5.710","4.38M","-1.19%"
"May 27, 2020","5.880","5.990","6.020","5.860","5.45M","-0.68%"
"May 22, 2020","5.920","5.680","5.950","5.620","13.16M","4.23%"
"May 21, 2020","5.680","5.580","5.850","5.520","17.56M","1.97%"
"May 20, 2020","5.570","5.670","5.690","5.570","5.22M","-0.54%"
"May 18, 2020","5.600","5.550","5.700","5.470","10.79M","1.82%"
"May 15, 2020","5.500","5.630","5.650","5.490","4.97M","-1.79%"
"May 14, 2020","5.600","5.600","5.660","5.480","7.82M","-0.36%"
"May 13, 2020","5.620","5.480","5.710","5.460","10.65M","2.55%"
"May 12, 2020","5.480","5.520","5.580","5.450","4.05M","-0.54%"
"May 11, 2020","5.510","5.470","5.670","5.430","10.07M","1.47%"
"May 08, 2020","5.430","5.490","5.540","5.400","5.96M","-0.37%"
"May 07, 2020","5.450","5.340","5.580","5.280","10.64M","2.06%"
"May 06, 2020","5.340","5.460","5.470","5.310","4.97M","-2.02%"
"May 05, 2020","5.450","5.520","5.570","5.250","11.17M","0.37%"
"May 04, 2020","5.430","5.550","5.680","5.320","9.95M","-3.38%"
"Apr 30, 2020","5.620","5.260","5.740","5.240","28.99M","7.66%"
"Apr 29, 2020","5.220","5.010","5.310","5.010","12.60M","4.40%"
"Apr 28, 2020","5.000","5.070","5.090","4.990","4.82M","-0.99%"
"Apr 27, 2020","5.050","5.050","5.120","5.010","6.53M","1.61%"
"Apr 24, 2020","4.970","4.930","5.050","4.910","3.39M","0.40%"
"Apr 22, 2020","4.950","5.030","5.120","4.950","7.43M","-1.79%"
"Apr 21, 2020","5.040","4.940","5.150","4.790","21.77M","1.20%"
"Apr 20, 2020","4.980","4.940","5.260","4.850","17.10M","1.84%"
"Apr 17, 2020","4.890","4.500","4.890","4.500","13.21M","9.89%"
"Apr 16, 2020","4.450","4.240","4.540","4.230","10.42M","5.20%"
"Apr 15, 2020","4.230","4.300","4.320","4.150","5.63M","-1.86%"
"Apr 14, 2020","4.310","4.290","4.370","4.270","4.05M","1.41%"
"Apr 13, 2020","4.250","4.200","4.310","4.150","3.91M","0.71%"
"Apr 10, 2020","4.220","4.090","4.280","4.070","6.20M","3.43%"
"Apr 09, 2020","4.080","4.050","4.100","4.010","5.30M","1.24%"
"Apr 08, 2020","4.030","3.920","4.070","3.880","6.03M","3.33%"
"Apr 07, 2020","3.900","4.000","4.070","3.900","7.94M","-1.27%"
"Apr 06, 2020","3.950","3.930","3.970","3.900","3.33M","2.60%"
"Apr 03, 2020","3.850","3.860","3.960","3.830","3.80M","0.26%"
"Apr 02, 2020","3.840","3.940","3.950","3.810","3.46M","-1.79%"
"Apr 01, 2020","3.910","3.990","4.050","3.800","8.99M","-2.98%"
"Mar 31, 2020","4.030","4.250","4.410","4.030","13.19M","-4.73%"
"Mar 30, 2020","4.230","3.880","4.240","3.730","13.64M","8.74%"
"Mar 27, 2020","3.890","3.600","3.920","3.520","10.67M","8.06%"
