"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","20.000","20.000","20.000","20.000","161.58K","-0.30%"
"Nov 26, 2020","20.060","20.020","20.080","20.020","280.28K","-0.10%"
"Nov 25, 2020","20.080","20.000","20.980","20.000","232.91K","0.40%"
"Nov 24, 2020","20.000","19.710","20.520","19.710","294.86K","1.52%"
"Nov 23, 2020","19.700","19.200","19.700","19.200","191.25K","2.60%"
"Nov 20, 2020","19.200","19.090","19.200","19.050","145.98K","0.58%"
"Nov 19, 2020","19.090","18.970","19.090","18.960","133.97K","0.74%"
"Nov 18, 2020","18.950","18.950","18.950","18.900","236.29K","-0.16%"
"Nov 17, 2020","18.980","19.650","19.650","18.980","200.20K","-3.41%"
"Nov 16, 2020","19.650","19.000","19.710","19.000","232.70K","-1.65%"
"Nov 13, 2020","19.980","20.500","20.500","19.980","202.64K","-0.10%"
"Nov 12, 2020","20.000","21.960","21.960","20.000","391.91K","-9.58%"
"Nov 11, 2020","22.120","20.000","22.140","20.000","311.34K","9.61%"
"Nov 10, 2020","20.180","19.800","20.340","19.800","190.03K","-1.08%"
"Nov 09, 2020","20.400","20.980","20.980","20.400","238.65K","-2.76%"
"Nov 06, 2020","20.980","20.000","20.980","20.000","235.38K","-3.14%"
"Nov 05, 2020","21.660","21.000","22.980","21.000","279.11K","2.27%"
"Nov 04, 2020","21.180","21.180","21.180","21.180","230.86K","-9.95%"
"Nov 03, 2020","23.520","23.780","23.780","23.520","255.83K","-9.95%"
"Nov 02, 2020","26.120","26.120","26.120","26.120","678.31K","9.93%"
"Oct 30, 2020","23.760","23.760","23.760","23.760","626.53K","10.00%"
"Oct 28, 2020","21.600","21.600","21.600","21.600","272.15K","9.92%"
"Oct 27, 2020","19.650","19.730","19.730","18.080","78.33K","-2.14%"
"Oct 26, 2020","20.080","21.000","21.000","20.080","311.35K","-4.38%"
"Oct 23, 2020","21.000","21.000","21.000","20.600","247.20K","2.34%"
"Oct 22, 2020","20.520","20.400","20.520","20.400","112.60K","-4.11%"
"Oct 21, 2020","21.400","22.000","22.000","21.400","178.12K","-0.47%"
"Oct 20, 2020","21.500","19.800","21.500","19.800","199.81K","8.59%"
"Oct 19, 2020","19.800","20.500","20.500","19.800","195.73K","-6.78%"
"Oct 16, 2020","21.240","22.000","22.000","21.240","159.92K","-3.45%"
"Oct 15, 2020","22.000","21.000","22.620","21.000","320.27K","6.90%"
"Oct 14, 2020","20.580","21.260","21.260","19.140","110.06K","-3.20%"
"Oct 13, 2020","21.260","21.900","21.900","21.260","226.79K","4.63%"
"Oct 12, 2020","20.320","19.000","20.320","19.000","218.14K","9.96%"
"Oct 09, 2020","18.480","18.490","18.490","18.480","93.62K","-0.05%"
"Oct 08, 2020","18.490","18.730","18.730","18.490","93.16K","-1.33%"
"Oct 07, 2020","18.740","18.960","18.960","18.740","61.53K","-1.16%"
"Oct 06, 2020","18.960","18.990","18.990","18.960","85.23K","-0.16%"
"Oct 05, 2020","18.990","19.100","19.100","18.990","92.51K","0.00%"
"Oct 02, 2020","18.990","19.190","19.190","18.360","56.61K","-1.56%"
"Oct 01, 2020","19.290","19.850","19.850","19.290","86.65K","2.99%"
"Sep 30, 2020","18.730","18.490","18.730","18.490","132.98K","-0.90%"
"Sep 29, 2020","18.900","19.080","19.080","18.900","81.28K","-0.94%"
"Sep 28, 2020","19.080","19.500","19.500","19.080","108.37K","-2.15%"
"Sep 25, 2020","19.500","20.080","20.080","19.500","94.29K","-2.89%"
"Sep 24, 2020","20.080","19.110","22.000","19.110","127.36K","-4.38%"
"Sep 23, 2020","21.000","22.000","22.000","20.580","158.12K","-6.17%"
"Sep 22, 2020","22.380","18.350","22.380","18.350","193.32K","9.81%"
"Sep 21, 2020","20.380","23.500","23.500","20.380","251.77K","-6.94%"
"Sep 18, 2020","21.900","21.900","21.900","21.880","398.80K","9.99%"
"Sep 17, 2020","19.910","18.140","19.910","18.140","215.10K","10.00%"
"Sep 16, 2020","18.100","17.700","18.100","17.700","147.40K","2.55%"
"Sep 15, 2020","17.650","18.750","18.750","17.650","144.00K","-5.87%"
"Sep 14, 2020","18.750","17.370","18.800","17.370","143.82K","-1.37%"
"Sep 11, 2020","19.010","19.000","19.050","19.000","143.85K","0.05%"
"Sep 10, 2020","19.000","17.500","19.000","17.500","276.38K","0.58%"
"Sep 09, 2020","18.890","19.000","19.000","18.890","194.28K","-2.93%"
"Sep 08, 2020","19.460","18.750","19.460","18.750","302.32K","-4.42%"
"Sep 07, 2020","20.360","22.000","22.000","20.360","418.43K","-9.99%"
"Sep 04, 2020","22.620","19.110","22.620","19.110","651.93K","9.91%"
"Sep 03, 2020","20.580","20.580","20.580","20.580","192.71K","-9.97%"
"Sep 02, 2020","22.860","22.860","22.860","22.860","35.41K","-9.93%"
"Sep 01, 2020","25.380","25.380","25.380","25.380","75.19K","-10.00%"
"Aug 31, 2020","28.200","28.540","28.660","23.760","3.14M","8.21%"
"Aug 28, 2020","26.060","26.060","26.060","25.700","1.59M","9.96%"
"Aug 27, 2020","23.700","22.500","23.700","22.180","789.45K","9.93%"
"Aug 26, 2020","21.560","19.800","21.560","19.800","825.97K","10.00%"
"Aug 25, 2020","19.600","19.600","19.600","18.620","534.63K","9.99%"
"Aug 24, 2020","17.820","16.210","17.820","16.200","241.15K","10.00%"
"Aug 21, 2020","16.200","15.010","16.200","14.270","230.98K","7.93%"
