"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","18.68","19.11","19.22","18.67","12.31M","-2.40%"
"Nov 26, 2020","19.14","18.91","19.20","18.63","13.06M","2.19%"
"Nov 25, 2020","18.73","19.06","19.31","18.73","16.96M","-1.73%"
"Nov 24, 2020","19.06","19.16","19.42","18.70","15.49M","-0.31%"
"Nov 23, 2020","19.12","19.50","19.69","18.66","15.11M","-1.95%"
"Nov 20, 2020","19.50","19.07","19.62","18.99","20.54M","1.83%"
"Nov 19, 2020","19.15","18.20","19.17","17.64","45.14M","5.22%"
"Nov 18, 2020","18.20","17.72","18.20","17.62","25.10M","2.71%"
"Nov 17, 2020","17.72","18.57","18.57","17.68","24.36M","-5.14%"
"Nov 16, 2020","18.68","19.12","19.26","18.58","22.54M","-1.27%"
"Nov 13, 2020","18.92","18.40","18.98","18.40","27.91M","2.88%"
"Nov 12, 2020","18.39","18.09","19.03","17.67","56.57M","1.60%"
"Nov 11, 2020","18.10","16.85","18.22","16.85","53.33M","7.80%"
"Nov 10, 2020","16.79","16.08","16.79","16.06","28.76M","2.88%"
"Nov 09, 2020","16.32","15.90","16.40","15.73","37.21M","5.15%"
"Nov 06, 2020","15.52","15.45","15.61","15.36","26.59M","2.11%"
"Nov 05, 2020","15.20","15.09","15.30","15.02","18.22M","1.40%"
"Nov 04, 2020","14.99","14.72","14.99","14.66","15.31M","1.97%"
"Nov 03, 2020","14.70","14.45","14.74","14.35","17.88M","2.30%"
"Nov 02, 2020","14.37","14.23","14.43","14.22","11.19M","1.48%"
"Oct 30, 2020","14.16","14.05","14.18","13.80","13.81M","-0.98%"
"Oct 28, 2020","14.30","14.55","14.56","14.30","3.98M","-2.19%"
"Oct 27, 2020","14.62","14.40","14.66","14.32","12.45M","0.76%"
"Oct 26, 2020","14.51","14.80","14.84","14.39","15.45M","-3.07%"
"Oct 23, 2020","14.97","15.13","15.20","14.80","12.45M","-1.25%"
"Oct 22, 2020","15.16","15.46","15.48","15.07","16.68M","-1.94%"
"Oct 21, 2020","15.46","15.63","15.66","15.38","13.68M","-0.51%"
"Oct 20, 2020","15.54","15.50","15.64","15.44","22.49M","0.32%"
"Oct 19, 2020","15.49","15.33","15.58","15.24","21.63M","1.57%"
"Oct 16, 2020","15.25","15.03","15.25","15.03","18.43M","1.73%"
"Oct 15, 2020","14.99","15.15","15.28","14.98","21.10M","-1.25%"
"Oct 14, 2020","15.18","14.82","15.18","14.76","26.63M","2.57%"
"Oct 13, 2020","14.80","14.84","14.88","14.73","14.41M","-0.27%"
"Oct 12, 2020","14.84","14.72","14.84","14.67","16.55M","0.88%"
