"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2020","13.170","13.740","13.870","13.060","18.20M","-3.37%"
"Nov 26, 2020","13.630","13.430","14.200","13.280","25.32M","2.33%"
"Nov 25, 2020","13.320","13.600","14.000","13.320","30.84M","-1.70%"
"Nov 24, 2020","13.550","13.960","13.970","13.550","23.39M","-1.81%"
"Nov 23, 2020","13.800","13.710","14.340","13.410","62.14M","0.80%"
"Nov 20, 2020","13.690","12.620","13.690","12.590","35.11M","9.96%"
"Nov 19, 2020","12.450","12.500","12.580","12.380","5.69M","-0.24%"
"Nov 18, 2020","12.480","12.420","12.570","12.410","7.40M","0.48%"
"Nov 17, 2020","12.420","12.550","12.720","12.390","12.79M","-1.04%"
"Nov 16, 2020","12.550","12.550","12.800","12.470","10.81M","0.48%"
"Nov 13, 2020","12.490","12.220","12.530","12.200","7.96M","2.46%"
"Nov 12, 2020","12.190","12.390","12.770","12.190","15.73M","-1.61%"
"Nov 11, 2020","12.390","12.560","12.660","12.340","13.04M","-1.20%"
"Nov 10, 2020","12.540","12.710","12.840","12.520","7.00M","-0.95%"
"Nov 09, 2020","12.660","13.250","13.380","12.540","11.42M","-3.36%"
"Nov 06, 2020","13.100","12.830","13.200","12.780","11.52M","2.26%"
"Nov 05, 2020","12.810","12.380","12.900","12.360","9.80M","3.72%"
"Nov 04, 2020","12.350","12.420","12.500","12.250","5.85M","-0.40%"
"Nov 03, 2020","12.400","12.220","12.570","12.060","12.39M","2.31%"
"Nov 02, 2020","12.120","12.150","12.280","12.070","5.16M","0.50%"
"Oct 30, 2020","12.060","12.330","12.370","12.020","4.96M","-4.06%"
"Oct 28, 2020","12.570","12.900","12.960","12.570","3.02M","-3.08%"
"Oct 27, 2020","12.970","12.800","13.210","12.800","6.39M","0.78%"
"Oct 26, 2020","12.870","13.140","13.740","12.850","19.79M","-3.09%"
"Oct 23, 2020","13.280","13.370","13.580","13.170","4.03M","-0.67%"
"Oct 22, 2020","13.370","13.720","13.730","13.350","5.40M","-2.55%"
"Oct 21, 2020","13.720","13.650","13.810","13.550","11.48M","0.96%"
"Oct 20, 2020","13.590","13.470","13.620","13.350","5.77M","0.89%"
"Oct 19, 2020","13.470","13.240","13.590","13.230","9.05M","1.81%"
"Oct 16, 2020","13.230","13.220","13.360","13.150","3.99M","0.23%"
"Oct 15, 2020","13.200","13.390","13.450","13.140","4.53M","-2.00%"
"Oct 14, 2020","13.470","13.380","13.610","13.340","9.02M","0.90%"
"Oct 13, 2020","13.350","13.690","13.730","13.350","6.17M","-2.20%"
"Oct 12, 2020","13.650","13.600","13.850","13.580","12.15M","0.59%"
"Oct 09, 2020","13.570","13.350","13.770","13.320","17.50M","2.18%"
"Oct 08, 2020","13.280","13.630","13.630","13.280","9.97M","-2.21%"
